POA_CODE_2021	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
POA0836	1	0	0	19200	22
POA0836	1	0	0	21600	25
POA0836	1	0	0	24000	44
POA0836	1	0	0	26400	32
POA0836	1	0	0	28800	19
POA0836	1	0	0	31200	45
POA0836	1	0	0	36000	59
POA0836	1	0	0	48000	19
POA0836	1	0	0	60000	16
POA0836	1	1	0	0	3
POA0836	1	1	0	3600	6
POA0836	1	1	0	7200	3
POA0836	1	1	0	9600	5
POA0836	1	1	0	12000	10
POA0836	1	1	0	14400	3
POA0836	1	1	0	16800	9
POA0836	1	1	0	19200	6
POA0836	1	1	0	21600	9
POA0836	1	1	0	24000	27
POA0836	1	1	0	26400	5
POA0836	1	1	0	28800	7
POA0836	1	1	0	31200	24
POA0836	1	1	0	36000	36
POA0836	1	1	0	48000	14
POA0836	1	1	0	60000	10
POA0836	1	1	1	0	3
POA0836	1	1	1	5400	4
POA0836	1	1	1	7200	9
POA0836	1	1	1	9600	8
POA0836	1	1	1	12000	12
POA0836	1	1	1	14400	21
POA0836	1	1	1	16800	17
POA0836	1	1	1	19200	26
POA0836	1	1	1	21600	31
POA0836	1	1	1	24000	66
POA0836	1	1	1	26400	47
POA0836	1	1	1	28800	28
POA0836	1	1	1	31200	102
POA0836	1	1	1	36000	127
POA0836	1	1	1	48000	37
POA0836	1	1	1	60000	15
POA0837	1	0	0	48000	3
POA0837	1	1	0	19200	3
POA0837	1	1	0	24000	4
POA0837	1	1	0	36000	3
POA0837	1	1	1	0	4
POA0837	1	1	1	24000	4
POA0837	1	1	1	28800	4
POA0837	1	1	1	31200	8
POA0838	0	1	1	19200	4
POA0838	1	0	0	19200	7
POA0838	1	0	0	24000	4
POA0838	1	0	0	28800	6
POA0838	1	0	0	31200	9
POA0838	1	0	0	36000	3
POA0838	1	0	0	60000	6
POA0838	1	1	0	21600	4
POA0838	1	1	0	31200	3
POA0838	1	1	0	36000	4
POA0838	1	1	1	12000	6
POA0838	1	1	1	16800	3
POA0838	1	1	1	19200	6
POA0838	1	1	1	21600	3
POA0838	1	1	1	24000	6
POA0838	1	1	1	26400	9
POA0838	1	1	1	28800	5
POA0838	1	1	1	31200	11
POA0838	1	1	1	36000	4
POA0839	0	1	1	21600	3
POA0839	1	1	1	21600	3
POA0840	1	0	0	3600	3
POA0840	1	0	0	9600	4
POA0840	1	0	0	14400	7
POA0840	1	0	0	24000	4
POA0840	1	1	1	19200	4
POA0841	0	1	1	26400	4
POA0841	1	0	0	12000	7
POA0841	1	0	0	19200	5
POA0841	1	0	0	21600	3
POA0841	1	0	0	24000	8
POA0841	1	0	0	31200	4
POA0841	1	1	0	26400	6
POA0841	1	1	0	31200	4
POA0841	1	1	1	16800	4
POA0841	1	1	1	19200	7
POA0841	1	1	1	21600	4
POA0841	1	1	1	24000	3
POA0841	1	1	1	26400	4
POA0841	1	1	1	31200	11
POA0841	1	1	1	36000	4
POA0845	0	1	0	19200	3
POA0845	1	1	1	9600	4
POA0846	1	0	0	21600	4
POA0850		1	1	16800	3
POA0850	0	1	0	9600	6
POA0850	0	1	0	14400	4
POA0850	0	1	0	16800	4
POA0850	0	1	0	19200	3
POA0850	0	1	0	21600	3
POA0850	0	1	1	7200	3
POA0850	0	1	1	12000	6
POA0850	0	1	1	14400	8
POA0850	0	1	1	16800	5
POA0850	0	1	1	19200	5
POA0850	1	0	0	3600	7
POA0850	1	0	0	7200	4
POA0850	1	0	0	9600	9
POA0850	1	0	0	12000	15
POA0850	1	0	0	14400	14
POA0850	1	0	0	16800	21
POA0850	1	0	0	19200	27
POA0850	1	0	0	21600	21
POA0850	1	0	0	24000	14
POA0850	1	0	0	26400	7
POA0850	1	0	0	28800	6
POA0850	1	0	0	31200	9
POA0850	1	0	0	36000	4
POA0850	1	0	0	48000	8
POA0850	1	0	0	60000	10
POA0850	1	1	0	12000	11
POA0850	1	1	0	14400	6
POA0850	1	1	0	16800	5
POA0850	1	1	0	19200	13
POA0850	1	1	0	21600	3
POA0850	1	1	0	24000	11
POA0850	1	1	0	26400	4
POA0850	1	1	0	31200	3
POA0850	1	1	0	36000	4
POA0850	1	1	0	60000	3
POA0850	1	1	1	3600	3
POA0850	1	1	1	7200	3
