POA_CODE_2021	Age	Sex	persons
POA2015	5-14	M	376
POA2015	15-19	F	118
POA2015	15-19	M	119
POA2015	20-24	F	393
POA2015	20-24	M	337
POA2015	25-34	F	1774
POA2015	25-34	M	1862
POA2015	35-44	F	1168
POA2015	35-44	M	1291
POA2015	45-54	F	658
POA2015	45-54	M	798
POA2015	55-64	F	414
POA2015	55-64	M	470
POA2015	65-74	F	254
POA2015	65-74	M	239
POA2015	75-84	F	98
POA2015	75-84	M	83
POA2015	85+	F	24
POA2015	85+	M	21
POA2016	0-4	F	238
POA2016	0-4	M	219
POA2016	5-14	F	302
POA2016	5-14	M	313
POA2016	15-19	F	126
POA2016	15-19	M	129
POA2016	20-24	F	558
POA2016	20-24	M	518
POA2016	25-34	F	1679
POA2016	25-34	M	1900
POA2016	35-44	F	1023
POA2016	35-44	M	1267
POA2016	45-54	F	597
POA2016	45-54	M	1050
POA2016	55-64	F	547
POA2016	55-64	M	843
POA2016	65-74	F	449
POA2016	65-74	M	532
POA2016	75-84	F	308
POA2016	75-84	M	264
POA2016	85+	F	124
POA2016	85+	M	92
POA2017	0-4	F	622
POA2017	0-4	M	638
POA2017	5-14	F	518
POA2017	5-14	M	519
POA2017	15-19	F	298
POA2017	15-19	M	269
POA2017	20-24	F	1754
POA2017	20-24	M	1723
POA2017	25-34	F	5456
POA2017	25-34	M	5731
POA2017	35-44	F	2223
POA2017	35-44	M	3039
POA2017	45-54	F	931
POA2017	45-54	M	1338
POA2017	55-64	F	826
POA2017	55-64	M	956
POA2017	65-74	F	628
POA2017	65-74	M	667
POA2017	75-84	F	292
POA2017	75-84	M	344
POA2017	85+	F	132
POA2017	85+	M	106
POA2018	0-4	F	546
POA2018	0-4	M	607
POA2018	5-14	F	728
POA2018	5-14	M	759
POA2018	15-19	F	379
POA2018	15-19	M	401
POA2018	20-24	F	823
POA2018	20-24	M	832
POA2018	25-34	F	2422
POA2018	25-34	M	2486
POA2018	35-44	F	1620
POA2018	35-44	M	1649
POA2018	45-54	F	1068
POA2018	45-54	M	1170
POA2018	55-64	F	887
POA2018	55-64	M	838
POA2018	65-74	F	731
POA2018	65-74	M	632
POA2018	75-84	F	525
POA2018	75-84	M	432
POA2018	85+	F	194
POA2018	85+	M	140
POA2019	0-4	F	461
POA2019	0-4	M	477
POA2019	5-14	F	748
POA2019	5-14	M	854
POA2019	15-19	F	351
POA2019	15-19	M	344
POA2019	20-24	F	386
POA2019	20-24	M	381
POA2019	25-34	F	1188
POA2019	25-34	M	1099
POA2019	35-44	F	1166
POA2019	35-44	M	1141
POA2019	45-54	F	975
POA2019	45-54	M	928
POA2019	55-64	F	685
POA2019	55-64	M	694
POA2019	65-74	F	488
POA2019	65-74	M	436
POA2019	75-84	F	267
POA2019	75-84	M	231
POA2019	85+	F	95
POA2019	85+	M	64
POA2020	0-4	F	548
POA2020	0-4	M	596
POA2020	5-14	F	669
POA2020	5-14	M	717
POA2020	15-19	F	347
POA2020	15-19	M	362
POA2020	20-24	F	1399
POA2020	20-24	M	1478
POA2020	25-34	F	3565
POA2020	25-34	M	3842
POA2020	35-44	F	1522
POA2020	35-44	M	1733
POA2020	45-54	F	896
POA2020	45-54	M	897
POA2020	55-64	F	707
POA2020	55-64	M	689
POA2020	65-74	F	471
POA2020	65-74	M	447
POA2020	75-84	F	295
POA2020	75-84	M	231
POA2020	85+	F	112
POA2020	85+	M	77
POA2021	0-4	F	363
POA2021	0-4	M	347
POA2021	5-14	F	612
POA2021	5-14	M	617
POA2021	15-19	F	267
POA2021	15-19	M	271
POA2021	20-24	F	540
POA2021	20-24	M	393
POA2021	25-34	F	1780
POA2021	25-34	M	1508
POA2021	35-44	F	1191
POA2021	35-44	M	1213
POA2021	45-54	F	1061
POA2021	45-54	M	987
POA2021	55-64	F	755
POA2021	55-64	M	787
POA2021	65-74	F	617
POA2021	65-74	M	583
POA2021	75-84	F	429
POA2021	75-84	M	346
POA2021	85+	F	159
POA2021	85+	M	108
POA2022	0-4	F	329
POA2022	0-4	M	333
POA2022	5-14	F	629
POA2022	5-14	M	658
POA2022	15-19	F	227
POA2022	15-19	M	239
POA2022	20-24	F	423
POA2022	20-24	M	353
POA2022	25-34	F	1659
POA2022	25-34	M	1552
POA2022	35-44	F	1107
POA2022	35-44	M	1117
POA2022	45-54	F	815
POA2022	45-54	M	817
POA2022	55-64	F	617
POA2022	55-64	M	590
POA2022	65-74	F	557
POA2022	65-74	M	489
POA2022	75-84	F	399
POA2022	75-84	M	293
POA2022	85+	F	189
POA2022	85+	M	119
POA2023	0-4	F	254
POA2023	0-4	M	253
POA2023	5-14	F	625
POA2023	5-14	M	693
POA2023	15-19	F	288
POA2023	15-19	M	405
POA2023	20-24	F	295
POA2023	20-24	M	261
POA2023	25-34	F	893
POA2023	25-34	M	705
POA2023	35-44	F	785
POA2023	35-44	M	660
POA2023	45-54	F	773
POA2023	45-54	M	639
POA2023	55-64	F	667
POA2023	55-64	M	587
POA2023	65-74	F	564
POA2023	65-74	M	519
POA2023	75-84	F	289
POA2023	75-84	M	263
POA2023	85+	F	98
POA2023	85+	M	79
POA2024	0-4	F	316
POA2024	0-4	M	314
POA2024	5-14	F	699
POA2024	5-14	M	722
POA2024	15-19	F	322
POA2024	15-19	M	302
POA2024	20-24	F	238
POA2024	20-24	M	215
POA2024	25-34	F	1026
POA2024	25-34	M	880
POA2024	35-44	F	935
POA2024	35-44	M	836
POA2024	45-54	F	842
POA2024	45-54	M	790
POA2024	55-64	F	585
POA2024	55-64	M	614
POA2024	65-74	F	441
POA2024	65-74	M	368
POA2024	75-84	F	289
POA2024	75-84	M	252
POA2024	85+	F	262
POA2024	85+	M	143
POA2025	0-4	F	182
POA2025	0-4	M	175
POA2025	5-14	F	387
POA2025	5-14	M	358
POA2025	15-19	F	148
POA2025	15-19	M	148
POA2025	20-24	F	203
POA2025	20-24	M	149
