POA_CODE_2021	Age5yr	Indigenous	persons
POA0838	30-34	0	41
POA0838	30-34	1	3
POA0838	35-39		5
POA0838	35-39	0	61
POA0838	35-39	1	3
POA0838	40-44		14
POA0838	40-44	0	55
POA0838	40-44	1	5
POA0838	45-49		12
POA0838	45-49	0	49
POA0838	50-54		8
POA0838	50-54	0	40
POA0838	55-59		4
POA0838	55-59	0	50
POA0838	55-59	1	3
POA0838	60-64		12
POA0838	60-64	0	55
POA0838	60-64	1	4
POA0838	65+		13
POA0838	65+	0	92
POA0839	0-4		4
POA0839	0-4	0	23
POA0839	0-4	1	6
POA0839	5-9		4
POA0839	5-9	0	14
POA0839	5-9	1	4
POA0839	10-14	0	10
POA0839	10-14	1	9
POA0839	15-19	0	9
POA0839	15-19	1	5
POA0839	20-24		5
POA0839	20-24	0	55
POA0839	25-29		9
POA0839	25-29	0	64
POA0839	25-29	1	4
POA0839	30-34		15
POA0839	30-34	0	47
POA0839	30-34	1	9
POA0839	35-39		4
POA0839	35-39	0	24
POA0839	35-39	1	6
POA0839	40-44		3
POA0839	40-44	0	9
POA0839	45-49		9
POA0839	45-49	0	13
POA0839	50-54		4
POA0839	50-54	0	22
POA0839	50-54	1	5
POA0839	55-59		3
POA0839	55-59	0	15
POA0839	60-64		6
POA0839	60-64	0	10
POA0839	65+		15
POA0839	65+	0	48
POA0839	65+	1	5
POA0840	0-4	0	5
POA0840	0-4	1	3
POA0840	5-9		6
POA0840	5-9	0	9
POA0840	5-9	1	3
POA0840	10-14		8
POA0840	10-14	0	5
POA0840	10-14	1	3
POA0840	15-19	0	3
POA0840	25-29	0	3
POA0840	30-34	0	4
POA0840	35-39	0	14
POA0840	35-39	1	5
POA0840	40-44		13
POA0840	40-44	0	11
POA0840	40-44	1	3
POA0840	45-49		9
POA0840	45-49	0	21
POA0840	45-49	1	4
POA0840	50-54		7
POA0840	50-54	0	25
POA0840	50-54	1	8
POA0840	55-59		8
POA0840	55-59	0	44
POA0840	55-59	1	5
POA0840	60-64	0	47
POA0840	65+		17
POA0840	65+	0	151
POA0840	65+	1	13
POA0841	0-4		4
POA0841	0-4	0	21
POA0841	0-4	1	10
POA0841	5-9	0	25
POA0841	10-14		10
POA0841	10-14	0	24
POA0841	10-14	1	6
POA0841	15-19		9
POA0841	15-19	0	18
POA0841	15-19	1	7
POA0841	20-24		6
POA0841	20-24	0	12
POA0841	20-24	1	4
POA0841	25-29		3
POA0841	25-29	0	16
POA0841	25-29	1	3
POA0841	30-34	0	17
POA0841	30-34	1	3
POA0841	35-39		4
POA0841	35-39	0	20
POA0841	40-44		8
POA0841	40-44	0	43
POA0841	40-44	1	4
POA0841	45-49		18
POA0841	45-49	0	42
POA0841	45-49	1	4
POA0841	50-54		16
POA0841	50-54	0	52
POA0841	50-54	1	5
POA0841	55-59		4
POA0841	55-59	0	40
POA0841	55-59	1	4
POA0841	60-64		6
POA0841	60-64	0	49
POA0841	65+		11
POA0841	65+	0	88
POA0841	65+	1	8
POA0845	0-4		10
POA0845	0-4	0	8
POA0845	0-4	1	8
POA0845	5-9		6
POA0845	5-9	0	11
POA0845	5-9	1	13
POA0845	10-14		4
POA0845	10-14	0	9
POA0845	10-14	1	11
POA0845	15-19		6
POA0845	15-19	0	8
POA0845	15-19	1	6
POA0845	20-24	0	4
POA0845	20-24	1	9
POA0845	25-29		8
POA0845	25-29	0	10
POA0845	25-29	1	5
POA0845	30-34		5
POA0845	30-34	0	11
POA0845	30-34	1	4
POA0845	35-39		3
