GCCSA_NAME21	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Greater Brisbane	65-74	0			M	83208
Greater Brisbane	65-74	1	0	1	F	21013
Greater Brisbane	65-74	1	0	1	M	12326
Greater Brisbane	65-74	1	1	0	F	992
Greater Brisbane	65-74	1	1	0	M	1524
Greater Brisbane	65-74	1	1	1	F	145
Greater Brisbane	65-74	1	1	1	M	74
Greater Brisbane	75-84				F	4345
Greater Brisbane	75-84				M	3410
Greater Brisbane	75-84	0			F	53895
Greater Brisbane	75-84	0			M	47366
Greater Brisbane	75-84	1	0	1	F	3577
Greater Brisbane	75-84	1	0	1	M	2936
Greater Brisbane	75-84	1	1	0	F	217
Greater Brisbane	75-84	1	1	0	M	215
Greater Brisbane	75-84	1	1	1	F	28
Greater Brisbane	75-84	1	1	1	M	21
Greater Brisbane	85+				F	3795
Greater Brisbane	85+				M	1843
Greater Brisbane	85+	0			F	22752
Greater Brisbane	85+	0			M	14129
Greater Brisbane	85+	1	0	1	F	181
Greater Brisbane	85+	1	0	1	M	127
Greater Brisbane	85+	1	1	0	F	38
Greater Brisbane	85+	1	1	0	M	18
Greater Brisbane	85+	1	1	1	F	3
Rest of Qld	15-19				F	5910
Rest of Qld	15-19				M	6737
Rest of Qld	15-19	0			F	63346
Rest of Qld	15-19	0			M	69418
Rest of Qld	15-19	1	0	1	F	5884
Rest of Qld	15-19	1	0	1	M	3372
Rest of Qld	15-19	1	1	0	F	697
Rest of Qld	15-19	1	1	0	M	345
Rest of Qld	15-19	1	1	1	F	70
Rest of Qld	15-19	1	1	1	M	35
Rest of Qld	20-24				F	6251
Rest of Qld	20-24				M	7967
Rest of Qld	20-24	0			F	56013
Rest of Qld	20-24	0			M	61247
Rest of Qld	20-24	1	0	1	F	4216
Rest of Qld	20-24	1	0	1	M	2129
Rest of Qld	20-24	1	1	0	F	6734
Rest of Qld	20-24	1	1	0	M	3106
Rest of Qld	20-24	1	1	1	F	383
Rest of Qld	20-24	1	1	1	M	105
Rest of Qld	25-34				F	13978
Rest of Qld	25-34				M	18156
Rest of Qld	25-34	0			F	79518
Rest of Qld	25-34	0			M	96168
Rest of Qld	25-34	1	0	1	F	6389
Rest of Qld	25-34	1	0	1	M	3661
Rest of Qld	25-34	1	1	0	F	62692
Rest of Qld	25-34	1	1	0	M	39703
Rest of Qld	25-34	1	1	1	F	3489
Rest of Qld	25-34	1	1	1	M	1198
Rest of Qld	35-44				F	11876
Rest of Qld	35-44				M	15732
Rest of Qld	35-44	0			F	48167
Rest of Qld	35-44	0			M	58652
Rest of Qld	35-44	1	0	1	F	5084
Rest of Qld	35-44	1	0	1	M	3139
Rest of Qld	35-44	1	1	0	F	98186
Rest of Qld	35-44	1	1	0	M	77197
Rest of Qld	35-44	1	1	1	F	5014
Rest of Qld	35-44	1	1	1	M	2291
Rest of Qld	45-54				F	11522
Rest of Qld	45-54				M	15456
Rest of Qld	45-54	0			F	104020
Rest of Qld	45-54	0			M	98133
Rest of Qld	45-54	1	0	1	F	11683
Rest of Qld	45-54	1	0	1	M	4916
Rest of Qld	45-54	1	1	0	F	46768
Rest of Qld	45-54	1	1	0	M	47426
Rest of Qld	45-54	1	1	1	F	1904
Rest of Qld	45-54	1	1	1	M	1288
Rest of Qld	55-64				F	10606
Rest of Qld	55-64				M	13435
Rest of Qld	55-64	0			F	131516
Rest of Qld	55-64	0			M	131733
Rest of Qld	55-64	1	0	1	F	27468
Rest of Qld	55-64	1	0	1	M	10697
Rest of Qld	55-64	1	1	0	F	3948
Rest of Qld	55-64	1	1	0	M	9078
Rest of Qld	55-64	1	1	1	F	284
Rest of Qld	55-64	1	1	1	M	261
Rest of Qld	65-74				F	8992
Rest of Qld	65-74				M	10251
Rest of Qld	65-74	0			F	114664
Rest of Qld	65-74	0			M	118292
Rest of Qld	65-74	1	0	1	F	20372
Rest of Qld	65-74	1	0	1	M	11871
Rest of Qld	65-74	1	1	0	F	913
Rest of Qld	65-74	1	1	0	M	1620
Rest of Qld	65-74	1	1	1	F	127
Rest of Qld	65-74	1	1	1	M	63
Rest of Qld	75-84				F	7428
Rest of Qld	75-84				M	6513
Rest of Qld	75-84	0			F	70639
Rest of Qld	75-84	0			M	67339
Rest of Qld	75-84	1	0	1	F	3346
Rest of Qld	75-84	1	0	1	M	2665
Rest of Qld	75-84	1	1	0	F	257
Rest of Qld	75-84	1	1	0	M	300
Rest of Qld	75-84	1	1	1	F	26
Rest of Qld	75-84	1	1	1	M	12
Rest of Qld	85+				F	5093
Rest of Qld	85+				M	2976
Rest of Qld	85+	0			F	26983
Rest of Qld	85+	0			M	18746
Rest of Qld	85+	1	0	1	F	205
Rest of Qld	85+	1	0	1	M	126
Rest of Qld	85+	1	1	0	F	43
Rest of Qld	85+	1	1	0	M	23
Rest of Qld	85+	1	1	1	F	4
No usual address (SA)	15-19				F	17
No usual address (SA)	15-19				M	14
No usual address (SA)	15-19	0			F	78
No usual address (SA)	15-19	0			M	54
No usual address (SA)	15-19	1	0	1	F	10
No usual address (SA)	15-19	1	1	0	F	7
No usual address (SA)	20-24				F	16
No usual address (SA)	20-24				M	24
No usual address (SA)	20-24	0			F	68
No usual address (SA)	20-24	0			M	71
No usual address (SA)	20-24	1	0	1	F	6
No usual address (SA)	20-24	1	1	0	F	7
No usual address (SA)	20-24	1	1	0	M	7
No usual address (SA)	25-34				F	72
No usual address (SA)	25-34				M	93
No usual address (SA)	25-34	0			F	147
No usual address (SA)	25-34	0			M	180
No usual address (SA)	25-34	1	0	1	F	12
No usual address (SA)	25-34	1	0	1	M	4
No usual address (SA)	25-34	1	1	0	F	67
No usual address (SA)	25-34	1	1	0	M	45
No usual address (SA)	25-34	1	1	1	F	3
No usual address (SA)	35-44				F	82
No usual address (SA)	35-44				M	94
No usual address (SA)	35-44	0			F	85
No usual address (SA)	35-44	0			M	129
No usual address (SA)	35-44	1	0	1	F	8
No usual address (SA)	35-44	1	0	1	M	6
No usual address (SA)	35-44	1	1	0	F	64
No usual address (SA)	35-44	1	1	0	M	55
No usual address (SA)	35-44	1	1	1	F	5
No usual address (SA)	35-44	1	1	1	M	4
No usual address (SA)	45-54				F	43
No usual address (SA)	45-54				M	94
No usual address (SA)	45-54	0			F	95
No usual address (SA)	45-54	0			M	170
No usual address (SA)	45-54	1	0	1	F	10
No usual address (SA)	45-54	1	0	1	M	6
No usual address (SA)	45-54	1	1	0	F	25
No usual address (SA)	45-54	1	1	0	M	29
No usual address (SA)	45-54	1	1	1	M	5
No usual address (SA)	55-64				F	27
No usual address (SA)	55-64				M	97
No usual address (SA)	55-64	0			F	144
No usual address (SA)	55-64	0			M	192
No usual address (SA)	55-64	1	0	1	F	22
No usual address (SA)	55-64	1	0	1	M	13
No usual address (SA)	55-64	1	1	0	F	3
No usual address (SA)	55-64	1	1	0	M	4
No usual address (SA)	65-74				F	17
No usual address (SA)	65-74				M	46
No usual address (SA)	65-74	0			F	110
No usual address (SA)	65-74	0			M	165
No usual address (SA)	65-74	1	0	1	F	10
No usual address (SA)	65-74	1	0	1	M	3
No usual address (SA)	75-84				F	4
No usual address (SA)	75-84				M	5
No usual address (SA)	75-84	0			F	23
No usual address (SA)	75-84	0			M	31
No usual address (SA)	75-84	1	0	1	F	5
No usual address (SA)	85+	0			F	10
No usual address (SA)	85+	0			M	6
Migratory - Offshore - Shipping (SA)	45-54				M	7
Greater Adelaide	15-19				F	1585
Greater Adelaide	15-19				M	1733
Greater Adelaide	15-19	0			F	33608
Greater Adelaide	15-19	0			M	36680
Greater Adelaide	15-19	1	0	1	F	2712
Greater Adelaide	15-19	1	0	1	M	1628
Greater Adelaide	15-19	1	1	0	F	193
Greater Adelaide	15-19	1	1	0	M	122
Greater Adelaide	15-19	1	1	1	F	17
Greater Adelaide	15-19	1	1	1	M	14
Greater Adelaide	20-24				F	1797
Greater Adelaide	20-24				M	2180
Greater Adelaide	20-24	0			F	38130
Greater Adelaide	20-24	0			M	42207
Greater Adelaide	20-24	1	0	1	F	2465
Greater Adelaide	20-24	1	0	1	M	1354
Greater Adelaide	20-24	1	1	0	F	1963
Greater Adelaide	20-24	1	1	0	M	833
Greater Adelaide	20-24	1	1	1	F	111
Greater Adelaide	20-24	1	1	1	M	26
Greater Adelaide	25-34				F	4110
Greater Adelaide	25-34				M	5011
Greater Adelaide	25-34	0			F	56810
Greater Adelaide	25-34	0			M	69352
Greater Adelaide	25-34	1	0	1	F	3702
Greater Adelaide	25-34	1	0	1	M	2180
Greater Adelaide	25-34	1	1	0	F	31040
Greater Adelaide	25-34	1	1	0	M	19599
Greater Adelaide	25-34	1	1	1	F	1433
Greater Adelaide	25-34	1	1	1	M	473
Greater Adelaide	35-44				F	3359
Greater Adelaide	35-44				M	4337
Greater Adelaide	35-44	0			F	28264
Greater Adelaide	35-44	0			M	36854
Greater Adelaide	35-44	1	0	1	F	2599
Greater Adelaide	35-44	1	0	1	M	1576
Greater Adelaide	35-44	1	1	0	F	56732
Greater Adelaide	35-44	1	1	0	M	46828
Greater Adelaide	35-44	1	1	1	F	2781
Greater Adelaide	35-44	1	1	1	M	1323
Greater Adelaide	45-54				F	2964
Greater Adelaide	45-54				M	3757
Greater Adelaide	45-54	0			F	53632
Greater Adelaide	45-54	0			M	51463
Greater Adelaide	45-54	1	0	1	F	4893
Greater Adelaide	45-54	1	0	1	M	1985
Greater Adelaide	45-54	1	1	0	F	26284
Greater Adelaide	45-54	1	1	0	M	28274
Greater Adelaide	45-54	1	1	1	F	1058
Greater Adelaide	45-54	1	1	1	M	762
Greater Adelaide	55-64				F	2729
Greater Adelaide	55-64				M	3198
Greater Adelaide	55-64	0			F	65331
Greater Adelaide	55-64	0			M	66529
Greater Adelaide	55-64	1	0	1	F	16537
Greater Adelaide	55-64	1	0	1	M	6260
Greater Adelaide	55-64	1	1	0	F	2374
Greater Adelaide	55-64	1	1	0	M	5142
Greater Adelaide	55-64	1	1	1	F	185
Greater Adelaide	55-64	1	1	1	M	119
Greater Adelaide	65-74				F	2725
Greater Adelaide	65-74				M	2587
Greater Adelaide	65-74	0			F	53622
Greater Adelaide	65-74	0			M	51821
Greater Adelaide	65-74	1	0	1	F	17595
Greater Adelaide	65-74	1	0	1	M	10766
Greater Adelaide	65-74	1	1	0	F	628
Greater Adelaide	65-74	1	1	0	M	874
Greater Adelaide	65-74	1	1	1	F	92
Greater Adelaide	65-74	1	1	1	M	45
Greater Adelaide	75-84				F	2552
Greater Adelaide	75-84				M	1850
Greater Adelaide	75-84	0			F	39041
Greater Adelaide	75-84	0			M	31945
Greater Adelaide	75-84	1	0	1	F	3070
Greater Adelaide	75-84	1	0	1	M	2753
Greater Adelaide	75-84	1	1	0	F	152
Greater Adelaide	75-84	1	1	0	M	162
Greater Adelaide	75-84	1	1	1	F	22
Greater Adelaide	75-84	1	1	1	M	9
Greater Adelaide	85+				F	1915
Greater Adelaide	85+				M	1068
Greater Adelaide	85+	0			F	20424
Greater Adelaide	85+	0			M	12500
Greater Adelaide	85+	1	0	1	F	166
Greater Adelaide	85+	1	0	1	M	147
Greater Adelaide	85+	1	1	0	F	23
Greater Adelaide	85+	1	1	0	M	9
Rest of SA	15-19				F	883
Rest of SA	15-19				M	1041
Rest of SA	15-19	0			F	7941
Rest of SA	15-19	0			M	9237
Rest of SA	15-19	1	0	1	F	883
Rest of SA	15-19	1	0	1	M	525
Rest of SA	15-19	1	1	0	F	90
Rest of SA	15-19	1	1	0	M	60
Rest of SA	15-19	1	1	1	F	11
Rest of SA	15-19	1	1	1	M	9
Rest of SA	20-24				F	556
Rest of SA	20-24				M	872
Rest of SA	20-24	0			F	6195
Rest of SA	20-24	0			M	7774
Rest of SA	20-24	1	0	1	F	691
Rest of SA	20-24	1	0	1	M	366
Rest of SA	20-24	1	1	0	F	949
Rest of SA	20-24	1	1	0	M	423
Rest of SA	20-24	1	1	1	F	55
Rest of SA	20-24	1	1	1	M	17
Rest of SA	25-34				F	1354
Rest of SA	25-34				M	2241
Rest of SA	25-34	0			F	8314
Rest of SA	25-34	0			M	11580
Rest of SA	25-34	1	0	1	F	933
Rest of SA	25-34	1	0	1	M	608
Rest of SA	25-34	1	1	0	F	8987
Rest of SA	25-34	1	1	0	M	6087
Rest of SA	25-34	1	1	1	F	634
Rest of SA	25-34	1	1	1	M	219
Rest of SA	35-44				F	1295
Rest of SA	35-44				M	2208
Rest of SA	35-44	0			F	5634
Rest of SA	35-44	0			M	7446
Rest of SA	35-44	1	0	1	F	730
Rest of SA	35-44	1	0	1	M	448
Rest of SA	35-44	1	1	0	F	12296
Rest of SA	35-44	1	1	0	M	10169
Rest of SA	35-44	1	1	1	F	852
Rest of SA	35-44	1	1	1	M	397
Rest of SA	45-54				F	1582
Rest of SA	45-54				M	2211
Rest of SA	45-54	0			F	15260
Rest of SA	45-54	0			M	15187
Rest of SA	45-54	1	0	1	F	2092
Rest of SA	45-54	1	0	1	M	837
Rest of SA	45-54	1	1	0	F	5405
Rest of SA	45-54	1	1	0	M	6067
Rest of SA	45-54	1	1	1	F	262
Rest of SA	45-54	1	1	1	M	172
Rest of SA	55-64				F	1668
Rest of SA	55-64				M	2148
Rest of SA	55-64	0			F	21311
Rest of SA	55-64	0			M	23459
Rest of SA	55-64	1	0	1	F	5517
Rest of SA	55-64	1	0	1	M	2401
Rest of SA	55-64	1	1	0	F	477
Rest of SA	55-64	1	1	0	M	1155
Rest of SA	55-64	1	1	1	F	54
Rest of SA	55-64	1	1	1	M	39
Rest of SA	65-74				F	1699
Rest of SA	65-74				M	1891
Rest of SA	65-74	0			F	21558
Rest of SA	65-74	0			M	23236
Rest of SA	65-74	1	0	1	F	3869
Rest of SA	65-74	1	0	1	M	2571
Rest of SA	65-74	1	1	0	F	143
Rest of SA	65-74	1	1	0	M	245
Rest of SA	65-74	1	1	1	F	20
Rest of SA	65-74	1	1	1	M	13
Rest of SA	75-84				F	1336
Rest of SA	75-84				M	1264
Rest of SA	75-84	0			F	13904
Rest of SA	75-84	0			M	13378
Rest of SA	75-84	1	0	1	F	576
Rest of SA	75-84	1	0	1	M	477
Rest of SA	75-84	1	1	0	F	38
Rest of SA	75-84	1	1	0	M	39
Rest of SA	75-84	1	1	1	F	3
Rest of SA	85+				F	768
Rest of SA	85+				M	485
Rest of SA	85+	0			F	5751
Rest of SA	85+	0			M	3978
Rest of SA	85+	1	0	1	F	33
Rest of SA	85+	1	0	1	M	22
Rest of SA	85+	1	1	0	F	7
Rest of SA	85+	1	1	0	M	4
No usual address (WA)	15-19				F	59
No usual address (WA)	15-19				M	40
No usual address (WA)	15-19	0			F	66
No usual address (WA)	15-19	0			M	67
No usual address (WA)	15-19	1	0	1	F	14
No usual address (WA)	15-19	1	0	1	M	11
No usual address (WA)	15-19	1	1	0	F	4
No usual address (WA)	15-19	1	1	0	M	6
No usual address (WA)	20-24				F	105
No usual address (WA)	20-24				M	133
No usual address (WA)	20-24	0			F	123
No usual address (WA)	20-24	0			M	151
No usual address (WA)	20-24	1	0	1	F	8
No usual address (WA)	20-24	1	0	1	M	6
No usual address (WA)	20-24	1	1	0	F	17
No usual address (WA)	20-24	1	1	0	M	10
No usual address (WA)	25-34				F	265
No usual address (WA)	25-34				M	390
No usual address (WA)	25-34	0			F	299
No usual address (WA)	25-34	0			M	326
No usual address (WA)	25-34	1	0	1	F	24
No usual address (WA)	25-34	1	0	1	M	16
No usual address (WA)	25-34	1	1	0	F	101
No usual address (WA)	25-34	1	1	0	M	83
No usual address (WA)	25-34	1	1	1	F	6
No usual address (WA)	25-34	1	1	1	M	4
No usual address (WA)	35-44				F	281
No usual address (WA)	35-44				M	531
No usual address (WA)	35-44	0			F	141
No usual address (WA)	35-44	0			M	232
No usual address (WA)	35-44	1	0	1	F	11
No usual address (WA)	35-44	1	0	1	M	11
No usual address (WA)	35-44	1	1	0	F	163
No usual address (WA)	35-44	1	1	0	M	144
No usual address (WA)	35-44	1	1	1	F	17
No usual address (WA)	35-44	1	1	1	M	5
No usual address (WA)	45-54				F	227
No usual address (WA)	45-54				M	512
No usual address (WA)	45-54	0			F	199
No usual address (WA)	45-54	0			M	267
No usual address (WA)	45-54	1	0	1	F	19
No usual address (WA)	45-54	1	0	1	M	6
No usual address (WA)	45-54	1	1	0	F	29
No usual address (WA)	45-54	1	1	0	M	52
No usual address (WA)	45-54	1	1	1	F	8
No usual address (WA)	55-64				F	161
No usual address (WA)	55-64				M	336
No usual address (WA)	55-64	0			F	279
No usual address (WA)	55-64	0			M	306
No usual address (WA)	55-64	1	0	1	F	33
No usual address (WA)	55-64	1	0	1	M	15
No usual address (WA)	55-64	1	1	0	M	9
No usual address (WA)	55-64	1	1	1	F	3
No usual address (WA)	65-74				F	90
No usual address (WA)	65-74				M	146
No usual address (WA)	65-74	0			F	210
No usual address (WA)	65-74	0			M	283
No usual address (WA)	65-74	1	0	1	F	15
No usual address (WA)	65-74	1	0	1	M	10
No usual address (WA)	65-74	1	1	0	M	5
No usual address (WA)	75-84				F	14
No usual address (WA)	75-84				M	46
No usual address (WA)	75-84	0			F	27
No usual address (WA)	75-84	0			M	69
No usual address (WA)	85+				F	12
No usual address (WA)	85+				M	9
No usual address (WA)	85+	0			F	5
No usual address (WA)	85+	0			M	7
Migratory - Offshore - Shipping (WA)	15-19				M	7
Migratory - Offshore - Shipping (WA)	15-19	0			M	3
Migratory - Offshore - Shipping (WA)	20-24				F	5
Migratory - Offshore - Shipping (WA)	20-24				M	13
Migratory - Offshore - Shipping (WA)	20-24	0			F	5
Migratory - Offshore - Shipping (WA)	20-24	0			M	9
Migratory - Offshore - Shipping (WA)	25-34				F	3
Migratory - Offshore - Shipping (WA)	25-34				M	44
Migratory - Offshore - Shipping (WA)	25-34	0			F	10
Migratory - Offshore - Shipping (WA)	25-34	0			M	48
Migratory - Offshore - Shipping (WA)	25-34	1	1	0	M	10
Migratory - Offshore - Shipping (WA)	35-44				F	3
Migratory - Offshore - Shipping (WA)	35-44				M	68
Migratory - Offshore - Shipping (WA)	35-44	0			F	9
Migratory - Offshore - Shipping (WA)	35-44	0			M	67
Migratory - Offshore - Shipping (WA)	35-44	1	1	0	M	18
Migratory - Offshore - Shipping (WA)	45-54				F	8
Migratory - Offshore - Shipping (WA)	45-54				M	45
Migratory - Offshore - Shipping (WA)	45-54	0			F	5
Migratory - Offshore - Shipping (WA)	45-54	0			M	50
Migratory - Offshore - Shipping (WA)	45-54	1	1	0	M	4
Migratory - Offshore - Shipping (WA)	55-64				M	20
Migratory - Offshore - Shipping (WA)	55-64	0			F	5
Migratory - Offshore - Shipping (WA)	55-64	0			M	27
Migratory - Offshore - Shipping (WA)	55-64	1	0	1	M	3
Migratory - Offshore - Shipping (WA)	65-74				M	4
Migratory - Offshore - Shipping (WA)	65-74	0			F	3
Migratory - Offshore - Shipping (WA)	65-74	0			M	9
Greater Perth	15-19				F	2757
Greater Perth	15-19				M	2896
Greater Perth	15-19	0			F	52228
Greater Perth	15-19	0			M	57051
Greater Perth	15-19	1	0	1	F	4830
Greater Perth	15-19	1	0	1	M	2970
Greater Perth	15-19	1	1	0	F	313
Greater Perth	15-19	1	1	0	M	204
Greater Perth	15-19	1	1	1	F	48
Greater Perth	15-19	1	1	1	M	26
Greater Perth	20-24				F	3437
Greater Perth	20-24				M	4563
Greater Perth	20-24	0			F	54124
Greater Perth	20-24	0			M	59153
Greater Perth	20-24	1	0	1	F	4086
Greater Perth	20-24	1	0	1	M	2102
Greater Perth	20-24	1	1	0	F	3496
Greater Perth	20-24	1	1	0	M	1420
Greater Perth	20-24	1	1	1	F	203
Greater Perth	20-24	1	1	1	M	48
Greater Perth	25-34				F	8525
Greater Perth	25-34				M	12578
Greater Perth	25-34	0			F	84088
Greater Perth	25-34	0			M	101124
Greater Perth	25-34	1	0	1	F	6613
Greater Perth	25-34	1	0	1	M	3519
Greater Perth	25-34	1	1	0	F	52784
Greater Perth	25-34	1	1	0	M	31210
Greater Perth	25-34	1	1	1	F	2632
Greater Perth	25-34	1	1	1	M	834
Greater Perth	35-44				F	6872
Greater Perth	35-44				M	11372
Greater Perth	35-44	0			F	45477
Greater Perth	35-44	0			M	59992
Greater Perth	35-44	1	0	1	F	4776
Greater Perth	35-44	1	0	1	M	2670
Greater Perth	35-44	1	1	0	F	92644
Greater Perth	35-44	1	1	0	M	75652
Greater Perth	35-44	1	1	1	F	5295
Greater Perth	35-44	1	1	1	M	2170
Greater Perth	45-54				F	5519
Greater Perth	45-54				M	9093
Greater Perth	45-54	0			F	79959
Greater Perth	45-54	0			M	77159
Greater Perth	45-54	1	0	1	F	8594
Greater Perth	45-54	1	0	1	M	3215
Greater Perth	45-54	1	1	0	F	42735
Greater Perth	45-54	1	1	0	M	45176
Greater Perth	45-54	1	1	1	F	1939
Greater Perth	45-54	1	1	1	M	1183
Greater Perth	55-64				F	4617
Greater Perth	55-64				M	6738
Greater Perth	55-64	0			F	89314
Greater Perth	55-64	0			M	92848
Greater Perth	55-64	1	0	1	F	25322
Greater Perth	55-64	1	0	1	M	9086
Greater Perth	55-64	1	1	0	F	3597
Greater Perth	55-64	1	1	0	M	8155
Greater Perth	55-64	1	1	1	F	295
Greater Perth	55-64	1	1	1	M	217
Greater Perth	65-74				F	4230
Greater Perth	65-74				M	4245
Greater Perth	65-74	0			F	69716
Greater Perth	65-74	0			M	70881
Greater Perth	65-74	1	0	1	F	24233
Greater Perth	65-74	1	0	1	M	14050
Greater Perth	65-74	1	1	0	F	982
Greater Perth	65-74	1	1	0	M	1418
Greater Perth	65-74	1	1	1	F	144
Greater Perth	65-74	1	1	1	M	61
Greater Perth	75-84				F	4088
Greater Perth	75-84				M	3184
Greater Perth	75-84	0			F	46292
Greater Perth	75-84	0			M	41044
Greater Perth	75-84	1	0	1	F	4356
Greater Perth	75-84	1	0	1	M	3598
Greater Perth	75-84	1	1	0	F	232
Greater Perth	75-84	1	1	0	M	256
Greater Perth	75-84	1	1	1	F	29
Greater Perth	75-84	1	1	1	M	22
Greater Perth	85+				F	3477
Greater Perth	85+				M	1937
Greater Perth	85+	0			F	21285
Greater Perth	85+	0			M	13627
Greater Perth	85+	1	0	1	F	249
Greater Perth	85+	1	0	1	M	186
Greater Perth	85+	1	1	0	F	35
Greater Perth	85+	1	1	0	M	35
Rest of WA	15-19				F	1549
Rest of WA	15-19				M	1759
Rest of WA	15-19	0			F	11129
Rest of WA	15-19	0			M	12738
Rest of WA	15-19	1	0	1	F	1399
Rest of WA	15-19	1	0	1	M	816
Rest of WA	15-19	1	1	0	F	148
Rest of WA	15-19	1	1	0	M	89
Rest of WA	15-19	1	1	1	F	36
Rest of WA	15-19	1	1	1	M	8
Rest of WA	20-24				F	1385
Rest of WA	20-24				M	1928
Rest of WA	20-24	0			F	8173
Rest of WA	20-24	0			M	10328
Rest of WA	20-24	1	0	1	F	902
Rest of WA	20-24	1	0	1	M	520
Rest of WA	20-24	1	1	0	F	1487
Rest of WA	20-24	1	1	0	M	692
Rest of WA	20-24	1	1	1	F	130
Rest of WA	20-24	1	1	1	M	46
Rest of WA	25-34				F	3591
Rest of WA	25-34				M	5602
Rest of WA	25-34	0			F	13685
Rest of WA	25-34	0			M	18094
Rest of WA	25-34	1	0	1	F	1443
Rest of WA	25-34	1	0	1	M	912
Rest of WA	25-34	1	1	0	F	13198
Rest of WA	25-34	1	1	0	M	8805
Rest of WA	25-34	1	1	1	F	1126
Rest of WA	25-34	1	1	1	M	367
Rest of WA	35-44				F	3398
Rest of WA	35-44				M	5422
Rest of WA	35-44	0			F	9291
Rest of WA	35-44	0			M	12599
Rest of WA	35-44	1	0	1	F	1331
Rest of WA	35-44	1	0	1	M	798
Rest of WA	35-44	1	1	0	F	19414
Rest of WA	35-44	1	1	0	M	16264
Rest of WA	35-44	1	1	1	F	1643
Rest of WA	35-44	1	1	1	M	704
Rest of WA	45-54				F	3173
Rest of WA	45-54				M	5120
Rest of WA	45-54	0			F	20683
Rest of WA	45-54	0			M	21239
Rest of WA	45-54	1	0	1	F	2741
Rest of WA	45-54	1	0	1	M	1090
Rest of WA	45-54	1	1	0	F	8173
Rest of WA	45-54	1	1	0	M	9207
Rest of WA	45-54	1	1	1	F	505
Rest of WA	45-54	1	1	1	M	330
Rest of WA	55-64				F	2878
Rest of WA	55-64				M	4236
Rest of WA	55-64	0			F	25417
Rest of WA	55-64	0			M	28366
Rest of WA	55-64	1	0	1	F	6133
Rest of WA	55-64	1	0	1	M	2489
Rest of WA	55-64	1	1	0	F	697
Rest of WA	55-64	1	1	0	M	1703
Rest of WA	55-64	1	1	1	F	75
Rest of WA	55-64	1	1	1	M	63
Rest of WA	65-74				F	2218
Rest of WA	65-74				M	2721
Rest of WA	65-74	0			F	21068
Rest of WA	65-74	0			M	23685
Rest of WA	65-74	1	0	1	F	4026
Rest of WA	65-74	1	0	1	M	2465
Rest of WA	65-74	1	1	0	F	150
Rest of WA	65-74	1	1	0	M	275
Rest of WA	65-74	1	1	1	F	33
Rest of WA	65-74	1	1	1	M	18
Rest of WA	75-84				F	1488
Rest of WA	75-84				M	1441
Rest of WA	75-84	0			F	11849
Rest of WA	75-84	0			M	11913
Rest of WA	75-84	1	0	1	F	609
Rest of WA	75-84	1	0	1	M	451
Rest of WA	75-84	1	1	0	F	59
Rest of WA	75-84	1	1	0	M	60
Rest of WA	75-84	1	1	1	F	6
Rest of WA	75-84	1	1	1	M	4
Rest of WA	85+				F	832
Rest of WA	85+				M	560
Rest of WA	85+	0			F	4507
Rest of WA	85+	0			M	3242
Rest of WA	85+	1	0	1	F	42
Rest of WA	85+	1	0	1	M	27
Rest of WA	85+	1	1	0	F	8
Rest of WA	85+	1	1	0	M	7
Rest of WA	85+	1	1	1	F	4
No usual address (Tas.)	15-19				F	10
No usual address (Tas.)	15-19				M	10
No usual address (Tas.)	15-19	0			F	33
No usual address (Tas.)	15-19	0			M	25
No usual address (Tas.)	15-19	1	0	1	F	3
No usual address (Tas.)	15-19	1	0	1	M	4
No usual address (Tas.)	15-19	1	1	0	F	3
No usual address (Tas.)	20-24				F	7
No usual address (Tas.)	20-24				M	10
No usual address (Tas.)	20-24	0			F	33
No usual address (Tas.)	20-24	0			M	47
No usual address (Tas.)	20-24	1	0	1	F	6
No usual address (Tas.)	20-24	1	0	1	M	3
No usual address (Tas.)	20-24	1	1	0	F	4
No usual address (Tas.)	20-24	1	1	0	M	3
No usual address (Tas.)	20-24	1	1	1	F	4
No usual address (Tas.)	25-34				F	12
No usual address (Tas.)	25-34				M	40
No usual address (Tas.)	25-34	0			F	47
No usual address (Tas.)	25-34	0			M	62
No usual address (Tas.)	25-34	1	0	1	M	7
No usual address (Tas.)	25-34	1	1	0	F	28
No usual address (Tas.)	25-34	1	1	0	M	28
No usual address (Tas.)	35-44				F	21
No usual address (Tas.)	35-44				M	27
No usual address (Tas.)	35-44	0			F	42
No usual address (Tas.)	35-44	0			M	45
No usual address (Tas.)	35-44	1	0	1	M	5
No usual address (Tas.)	35-44	1	1	0	F	32
No usual address (Tas.)	35-44	1	1	0	M	27
No usual address (Tas.)	35-44	1	1	1	M	3
No usual address (Tas.)	45-54				F	17
No usual address (Tas.)	45-54				M	29
No usual address (Tas.)	45-54	0			F	49
No usual address (Tas.)	45-54	0			M	87
No usual address (Tas.)	45-54	1	0	1	F	6
No usual address (Tas.)	45-54	1	0	1	M	3
No usual address (Tas.)	45-54	1	1	0	F	7
No usual address (Tas.)	45-54	1	1	0	M	13
No usual address (Tas.)	55-64				F	27
No usual address (Tas.)	55-64				M	32
No usual address (Tas.)	55-64	0			F	72
No usual address (Tas.)	55-64	0			M	68
No usual address (Tas.)	55-64	1	0	1	F	4
No usual address (Tas.)	55-64	1	1	0	F	3
No usual address (Tas.)	65-74				F	30
