GCCSA_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Migratory - Offshore - Shipping (WA)	35-44	1	M	6
Migratory - Offshore - Shipping (WA)	45-54		F	8
Migratory - Offshore - Shipping (WA)	45-54		M	46
Migratory - Offshore - Shipping (WA)	45-54	0	F	5
Migratory - Offshore - Shipping (WA)	45-54	0	M	54
Migratory - Offshore - Shipping (WA)	55-64		M	20
Migratory - Offshore - Shipping (WA)	55-64	0	F	5
Migratory - Offshore - Shipping (WA)	55-64	0	M	30
Migratory - Offshore - Shipping (WA)	65-74		M	4
Migratory - Offshore - Shipping (WA)	65-74	0	F	5
Migratory - Offshore - Shipping (WA)	65-74	0	M	6
Greater Perth	15-19		F	2906
Greater Perth	15-19		M	3047
Greater Perth	15-19	0	F	54442
Greater Perth	15-19	0	M	57573
Greater Perth	15-19	1	F	2835
Greater Perth	15-19	1	M	2525
Greater Perth	20-24		F	3577
Greater Perth	20-24		M	4747
Greater Perth	20-24	0	F	57898
Greater Perth	20-24	0	M	59606
Greater Perth	20-24	1	F	3869
Greater Perth	20-24	1	M	2935
Greater Perth	25-34		F	8921
Greater Perth	25-34		M	12943
Greater Perth	25-34	0	F	134090
Greater Perth	25-34	0	M	129095
Greater Perth	25-34	1	F	11633
Greater Perth	25-34	1	M	7230
Greater Perth	35-44		F	7312
Greater Perth	35-44		M	11817
Greater Perth	35-44	0	F	128669
Greater Perth	35-44	0	M	128540
Greater Perth	35-44	1	F	19083
Greater Perth	35-44	1	M	11493
Greater Perth	45-54		F	5807
Greater Perth	45-54		M	9447
Greater Perth	45-54	0	F	107806
Greater Perth	45-54	0	M	111577
Greater Perth	45-54	1	F	25131
Greater Perth	45-54	1	M	14796
Greater Perth	55-64		F	4756
Greater Perth	55-64		M	6913
Greater Perth	55-64	0	F	91367
Greater Perth	55-64	0	M	94409
Greater Perth	55-64	1	F	27033
Greater Perth	55-64	1	M	15718
Greater Perth	65-74		F	4426
Greater Perth	65-74		M	4424
Greater Perth	65-74	0	F	78079
Greater Perth	65-74	0	M	75350
Greater Perth	65-74	1	F	16801
Greater Perth	65-74	1	M	10882
Greater Perth	75-84		F	4237
Greater Perth	75-84		M	3325
Greater Perth	75-84	0	F	44503
Greater Perth	75-84	0	M	39473
Greater Perth	75-84	1	F	6256
Greater Perth	75-84	1	M	5308
Greater Perth	85+		F	3590
Greater Perth	85+		M	2024
Greater Perth	85+	0	F	20236
Greater Perth	85+	0	M	12186
Greater Perth	85+	1	F	1210
Greater Perth	85+	1	M	1581
Rest of WA	15-19		F	1581
Rest of WA	15-19		M	1752
Rest of WA	15-19	0	F	11960
Rest of WA	15-19	0	M	12991
Rest of WA	15-19	1	F	706
Rest of WA	15-19	1	M	679
Rest of WA	20-24		F	1444
Rest of WA	20-24		M	1963
Rest of WA	20-24	0	F	9933
Rest of WA	20-24	0	M	10970
Rest of WA	20-24	1	F	706
Rest of WA	20-24	1	M	582
Rest of WA	25-34		F	3701
Rest of WA	25-34		M	5682
Rest of WA	25-34	0	F	26646
Rest of WA	25-34	0	M	26480
Rest of WA	25-34	1	F	2692
Rest of WA	25-34	1	M	1618
Rest of WA	35-44		F	3533
Rest of WA	35-44		M	5541
Rest of WA	35-44	0	F	26962
Rest of WA	35-44	0	M	27592
Rest of WA	35-44	1	F	4587
Rest of WA	35-44	1	M	2645
Rest of WA	45-54		F	3246
Rest of WA	45-54		M	5228
Rest of WA	45-54	0	F	26242
Rest of WA	45-54	0	M	28335
Rest of WA	45-54	1	F	5798
Rest of WA	45-54	1	M	3431
Rest of WA	55-64		F	2928
Rest of WA	55-64		M	4296
Rest of WA	55-64	0	F	25638
Rest of WA	55-64	0	M	28424
Rest of WA	55-64	1	F	6636
Rest of WA	55-64	1	M	4121
Rest of WA	65-74		F	2282
Rest of WA	65-74		M	2746
Rest of WA	65-74	0	F	21178
Rest of WA	65-74	0	M	23566
Rest of WA	65-74	1	F	4038
Rest of WA	65-74	1	M	2854
Rest of WA	75-84		F	1560
Rest of WA	75-84		M	1484
Rest of WA	75-84	0	F	10867
Rest of WA	75-84	0	M	11022
Rest of WA	75-84	1	F	1574
Rest of WA	75-84	1	M	1359
Rest of WA	85+		F	860
Rest of WA	85+		M	567
Rest of WA	85+	0	F	4265
Rest of WA	85+	0	M	2900
Rest of WA	85+	1	F	276
Rest of WA	85+	1	M	376
No usual address (Tas.)	15-19		F	11
No usual address (Tas.)	15-19		M	9
No usual address (Tas.)	15-19	0	F	36
No usual address (Tas.)	15-19	0	M	25
No usual address (Tas.)	15-19	1	F	7
No usual address (Tas.)	15-19	1	M	5
No usual address (Tas.)	20-24		F	10
No usual address (Tas.)	20-24		M	9
No usual address (Tas.)	20-24	0	F	36
No usual address (Tas.)	20-24	0	M	54
No usual address (Tas.)	20-24	1	F	8
No usual address (Tas.)	20-24	1	M	4
No usual address (Tas.)	25-34		F	11
No usual address (Tas.)	25-34		M	40
No usual address (Tas.)	25-34	0	F	74
No usual address (Tas.)	25-34	0	M	88
No usual address (Tas.)	25-34	1	F	13
No usual address (Tas.)	25-34	1	M	6
No usual address (Tas.)	35-44		F	21
No usual address (Tas.)	35-44		M	29
No usual address (Tas.)	35-44	0	F	62
No usual address (Tas.)	35-44	0	M	69
No usual address (Tas.)	35-44	1	F	15
No usual address (Tas.)	35-44	1	M	11
No usual address (Tas.)	45-54		F	17
No usual address (Tas.)	45-54		M	29
No usual address (Tas.)	45-54	0	F	48
No usual address (Tas.)	45-54	0	M	87
No usual address (Tas.)	45-54	1	F	12
No usual address (Tas.)	45-54	1	M	12
No usual address (Tas.)	55-64		F	27
No usual address (Tas.)	55-64		M	32
No usual address (Tas.)	55-64	0	F	60
No usual address (Tas.)	55-64	0	M	61
No usual address (Tas.)	55-64	1	F	17
No usual address (Tas.)	55-64	1	M	11
No usual address (Tas.)	65-74		F	33
No usual address (Tas.)	65-74		M	48
No usual address (Tas.)	65-74	0	F	38
No usual address (Tas.)	65-74	0	M	48
No usual address (Tas.)	65-74	1	F	6
No usual address (Tas.)	75-84		F	4
No usual address (Tas.)	75-84		M	4
No usual address (Tas.)	75-84	0	F	7
No usual address (Tas.)	75-84	0	M	13
No usual address (Tas.)	75-84	1	F	3
Migratory - Offshore - Shipping (Tas.)	35-44	0	M	3
Migratory - Offshore - Shipping (Tas.)	45-54	0	M	3
Greater Hobart	15-19		F	371
Greater Hobart	15-19		M	385
Greater Hobart	15-19	0	F	5733
Greater Hobart	15-19	0	M	6192
Greater Hobart	15-19	1	F	349
Greater Hobart	15-19	1	M	302
Greater Hobart	20-24		F	365
Greater Hobart	20-24		M	415
Greater Hobart	20-24	0	F	6468
Greater Hobart	20-24	0	M	6678
Greater Hobart	20-24	1	F	507
Greater Hobart	20-24	1	M	387
Greater Hobart	25-34		F	1019
Greater Hobart	25-34		M	1245
Greater Hobart	25-34	0	F	17103
Greater Hobart	25-34	0	M	17497
Greater Hobart	25-34	1	F	1718
Greater Hobart	25-34	1	M	1182
Greater Hobart	35-44		F	730
Greater Hobart	35-44		M	930
Greater Hobart	35-44	0	F	12991
Greater Hobart	35-44	0	M	13093
Greater Hobart	35-44	1	F	2531
Greater Hobart	35-44	1	M	1384
Greater Hobart	45-54		F	582
Greater Hobart	45-54		M	752
Greater Hobart	45-54	0	F	11610
Greater Hobart	45-54	0	M	11550
Greater Hobart	45-54	1	F	3244
Greater Hobart	45-54	1	M	1917
Greater Hobart	55-64		F	587
Greater Hobart	55-64		M	652
Greater Hobart	55-64	0	F	11284
Greater Hobart	55-64	0	M	11291
Greater Hobart	55-64	1	F	3798
Greater Hobart	55-64	1	M	2330
Greater Hobart	65-74		F	667
Greater Hobart	65-74		M	608
Greater Hobart	65-74	0	F	10666
Greater Hobart	65-74	0	M	10084
Greater Hobart	65-74	1	F	2468
Greater Hobart	65-74	1	M	1639
Greater Hobart	75-84		F	577
Greater Hobart	75-84		M	458
Greater Hobart	75-84	0	F	6475
Greater Hobart	75-84	0	M	5281
Greater Hobart	75-84	1	F	980
Greater Hobart	75-84	1	M	827
Greater Hobart	85+		F	355
Greater Hobart	85+		M	192
Greater Hobart	85+	0	F	2997
Greater Hobart	85+	0	M	1707
Greater Hobart	85+	1	F	165
Greater Hobart	85+	1	M	208
Rest of Tas.	15-19		F	566
Rest of Tas.	15-19		M	700
Rest of Tas.	15-19	0	F	7027
Rest of Tas.	15-19	0	M	7512
Rest of Tas.	15-19	1	F	448
Rest of Tas.	15-19	1	M	399
Rest of Tas.	20-24		F	504
Rest of Tas.	20-24		M	601
Rest of Tas.	20-24	0	F	6755
Rest of Tas.	20-24	0	M	7232
Rest of Tas.	20-24	1	F	567
Rest of Tas.	20-24	1	M	425
Rest of Tas.	25-34		F	1089
Rest of Tas.	25-34		M	1245
Rest of Tas.	25-34	0	F	15245
Rest of Tas.	25-34	0	M	15880
Rest of Tas.	25-34	1	F	2026
Rest of Tas.	25-34	1	M	1175
Rest of Tas.	35-44		F	957
Rest of Tas.	35-44		M	1094
Rest of Tas.	35-44	0	F	13641
Rest of Tas.	35-44	0	M	13592
Rest of Tas.	35-44	1	F	3108
Rest of Tas.	35-44	1	M	1697
Rest of Tas.	45-54		F	1032
Rest of Tas.	45-54		M	1184
Rest of Tas.	45-54	0	F	15070
Rest of Tas.	45-54	0	M	15297
Rest of Tas.	45-54	1	F	4244
Rest of Tas.	45-54	1	M	2501
Rest of Tas.	55-64		F	1212
Rest of Tas.	55-64		M	1313
Rest of Tas.	55-64	0	F	16754
Rest of Tas.	55-64	0	M	17575
Rest of Tas.	55-64	1	F	5295
Rest of Tas.	55-64	1	M	3103
Rest of Tas.	65-74		F	1272
Rest of Tas.	65-74		M	1397
Rest of Tas.	65-74	0	F	15783
Rest of Tas.	65-74	0	M	16373
Rest of Tas.	65-74	1	F	3408
Rest of Tas.	65-74	1	M	2462
Rest of Tas.	75-84		F	1062
Rest of Tas.	75-84		M	886
Rest of Tas.	75-84	0	F	9046
Rest of Tas.	75-84	0	M	8545
Rest of Tas.	75-84	1	F	1257
Rest of Tas.	75-84	1	M	1223
Rest of Tas.	85+		F	546
Rest of Tas.	85+		M	396
Rest of Tas.	85+	0	F	3663
Rest of Tas.	85+	0	M	2288
Rest of Tas.	85+	1	F	205
Rest of Tas.	85+	1	M	256
No usual address (NT)	15-19		F	31
No usual address (NT)	15-19		M	15
No usual address (NT)	15-19	0	F	29
No usual address (NT)	15-19	0	M	11
No usual address (NT)	20-24		F	38
No usual address (NT)	20-24		M	48
No usual address (NT)	20-24	0	F	59
No usual address (NT)	20-24	0	M	35
No usual address (NT)	20-24	1	F	5
No usual address (NT)	25-34		F	137
No usual address (NT)	25-34		M	104
No usual address (NT)	25-34	0	F	215
No usual address (NT)	25-34	0	M	181
No usual address (NT)	25-34	1	F	15
No usual address (NT)	25-34	1	M	10
No usual address (NT)	35-44		F	103
No usual address (NT)	35-44		M	129
No usual address (NT)	35-44	0	F	143
No usual address (NT)	35-44	0	M	167
No usual address (NT)	35-44	1	F	17
No usual address (NT)	35-44	1	M	9
No usual address (NT)	45-54		F	122
No usual address (NT)	45-54		M	150
No usual address (NT)	45-54	0	F	144
No usual address (NT)	45-54	0	M	156
No usual address (NT)	45-54	1	F	14
No usual address (NT)	45-54	1	M	12
No usual address (NT)	55-64		F	108
No usual address (NT)	55-64		M	115
No usual address (NT)	55-64	0	F	158
No usual address (NT)	55-64	0	M	178
No usual address (NT)	55-64	1	F	17
No usual address (NT)	55-64	1	M	6
No usual address (NT)	65-74		F	33
No usual address (NT)	65-74		M	53
No usual address (NT)	65-74	0	F	81
No usual address (NT)	65-74	0	M	141
No usual address (NT)	65-74	1	F	4
No usual address (NT)	65-74	1	M	9
No usual address (NT)	75-84		M	11
No usual address (NT)	75-84	0	F	13
No usual address (NT)	75-84	0	M	24
No usual address (NT)	85+	0	M	4
Migratory - Offshore - Shipping (NT)	15-19	0	M	5
Migratory - Offshore - Shipping (NT)	20-24	0	F	3
Migratory - Offshore - Shipping (NT)	20-24	0	M	6
Migratory - Offshore - Shipping (NT)	25-34		M	3
Migratory - Offshore - Shipping (NT)	25-34	0	F	3
Migratory - Offshore - Shipping (NT)	25-34	0	M	12
Migratory - Offshore - Shipping (NT)	35-44		M	4
Migratory - Offshore - Shipping (NT)	35-44	0	M	13
Migratory - Offshore - Shipping (NT)	45-54		M	5
Migratory - Offshore - Shipping (NT)	45-54	0	F	3
Migratory - Offshore - Shipping (NT)	45-54	0	M	9
Migratory - Offshore - Shipping (NT)	45-54	1	M	6
Migratory - Offshore - Shipping (NT)	55-64		M	3
Migratory - Offshore - Shipping (NT)	55-64	0	M	10
Greater Darwin	15-19		F	378
Greater Darwin	15-19		M	427
Greater Darwin	15-19	0	F	3139
Greater Darwin	15-19	0	M	3318
Greater Darwin	15-19	1	F	223
Greater Darwin	15-19	1	M	170
Greater Darwin	20-24		F	429
Greater Darwin	20-24		M	722
Greater Darwin	20-24	0	F	3518
Greater Darwin	20-24	0	M	4001
Greater Darwin	20-24	1	F	198
Greater Darwin	20-24	1	M	180
Greater Darwin	25-34		F	1280
Greater Darwin	25-34		M	1754
Greater Darwin	25-34	0	F	10932
Greater Darwin	25-34	0	M	10387
Greater Darwin	25-34	1	F	983
Greater Darwin	25-34	1	M	609
Greater Darwin	35-44		F	1050
Greater Darwin	35-44		M	1388
Greater Darwin	35-44	0	F	8912
Greater Darwin	35-44	0	M	8616
Greater Darwin	35-44	1	F	1319
Greater Darwin	35-44	1	M	819
Greater Darwin	45-54		F	790
Greater Darwin	45-54		M	1169
Greater Darwin	45-54	0	F	6926
Greater Darwin	45-54	0	M	7279
Greater Darwin	45-54	1	F	1330
Greater Darwin	45-54	1	M	914
Greater Darwin	55-64		F	607
Greater Darwin	55-64		M	770
Greater Darwin	55-64	0	F	5364
Greater Darwin	55-64	0	M	6043
Greater Darwin	55-64	1	F	1166
Greater Darwin	55-64	1	M	685
Greater Darwin	65-74		F	405
Greater Darwin	65-74		M	496
Greater Darwin	65-74	0	F	3449
Greater Darwin	65-74	0	M	3934
Greater Darwin	65-74	1	F	658
Greater Darwin	65-74	1	M	427
Greater Darwin	75-84		F	197
Greater Darwin	75-84		M	197
Greater Darwin	75-84	0	F	1393
Greater Darwin	75-84	0	M	1463
Greater Darwin	75-84	1	F	187
Greater Darwin	75-84	1	M	162
Greater Darwin	85+		F	80
Greater Darwin	85+		M	51
Greater Darwin	85+	0	F	352
Greater Darwin	85+	0	M	283
Greater Darwin	85+	1	F	28
Greater Darwin	85+	1	M	33
Rest of NT	15-19		F	388
Rest of NT	15-19		M	457
Rest of NT	15-19	0	F	2399
Rest of NT	15-19	0	M	2659
Rest of NT	15-19	1	F	277
Rest of NT	15-19	1	M	250
Rest of NT	20-24		F	321
Rest of NT	20-24		M	493
Rest of NT	20-24	0	F	2524
Rest of NT	20-24	0	M	2533
Rest of NT	20-24	1	F	374
Rest of NT	20-24	1	M	303
Rest of NT	25-34		F	926
Rest of NT	25-34		M	1222
Rest of NT	25-34	0	F	6572
Rest of NT	25-34	0	M	5985
Rest of NT	25-34	1	F	892
Rest of NT	25-34	1	M	663
Rest of NT	35-44		F	739
Rest of NT	35-44		M	987
Rest of NT	35-44	0	F	4963
Rest of NT	35-44	0	M	4918
Rest of NT	35-44	1	F	903
Rest of NT	35-44	1	M	608
Rest of NT	45-54		F	618
Rest of NT	45-54		M	770
Rest of NT	45-54	0	F	4184
Rest of NT	45-54	0	M	4079
Rest of NT	45-54	1	F	794
Rest of NT	45-54	1	M	514
Rest of NT	55-64		F	507
Rest of NT	55-64		M	642
Rest of NT	55-64	0	F	3394
Rest of NT	55-64	0	M	3460
Rest of NT	55-64	1	F	611
Rest of NT	55-64	1	M	386
Rest of NT	65-74		F	278
Rest of NT	65-74		M	338
Rest of NT	65-74	0	F	1753
Rest of NT	65-74	0	M	1974
Rest of NT	65-74	1	F	270
Rest of NT	65-74	1	M	191
Rest of NT	75-84		F	88
Rest of NT	75-84		M	115
Rest of NT	75-84	0	F	561
Rest of NT	75-84	0	M	617
Rest of NT	75-84	1	F	75
Rest of NT	75-84	1	M	45
Rest of NT	85+		F	27
Rest of NT	85+		M	17
Rest of NT	85+	0	F	163
Rest of NT	85+	0	M	103
Rest of NT	85+	1	F	13
Rest of NT	85+	1	M	9
No usual address (ACT)	15-19		M	4
No usual address (ACT)	15-19	0	F	34
No usual address (ACT)	15-19	0	M	16
No usual address (ACT)	15-19	1	F	3
No usual address (ACT)	15-19	1	M	3
No usual address (ACT)	20-24		F	4
No usual address (ACT)	20-24		M	7
No usual address (ACT)	20-24	0	F	38
No usual address (ACT)	20-24	0	M	31
No usual address (ACT)	20-24	1	F	4
No usual address (ACT)	20-24	1	M	5
No usual address (ACT)	25-34		F	5
No usual address (ACT)	25-34		M	10
No usual address (ACT)	25-34	0	F	35
No usual address (ACT)	25-34	0	M	40
No usual address (ACT)	25-34	1	F	7
No usual address (ACT)	25-34	1	M	10
No usual address (ACT)	35-44		F	7
No usual address (ACT)	35-44		M	30
No usual address (ACT)	35-44	0	F	23
No usual address (ACT)	35-44	0	M	34
No usual address (ACT)	35-44	1	F	7
No usual address (ACT)	35-44	1	M	4
No usual address (ACT)	45-54		F	7
No usual address (ACT)	45-54		M	19
No usual address (ACT)	45-54	0	F	23
No usual address (ACT)	45-54	0	M	29
No usual address (ACT)	45-54	1	M	5
No usual address (ACT)	55-64		F	8
No usual address (ACT)	55-64		M	16
No usual address (ACT)	55-64	0	F	26
No usual address (ACT)	55-64	0	M	19
No usual address (ACT)	55-64	1	F	4
No usual address (ACT)	55-64	1	M	3
No usual address (ACT)	65-74		F	4
No usual address (ACT)	65-74		M	9
No usual address (ACT)	65-74	0	F	4
No usual address (ACT)	65-74	0	M	14
No usual address (ACT)	65-74	1	F	5
No usual address (ACT)	75-84		M	4
No usual address (ACT)	75-84	0	F	4
Australian Capital Territory	15-19		F	669
Australian Capital Territory	15-19		M	686
Australian Capital Territory	15-19	0	F	11543
Australian Capital Territory	15-19	0	M	12064
Australian Capital Territory	15-19	1	F	689
Australian Capital Territory	15-19	1	M	640
Australian Capital Territory	20-24		F	1016
Australian Capital Territory	20-24		M	1137
Australian Capital Territory	20-24	0	F	15123
Australian Capital Territory	20-24	0	M	15064
Australian Capital Territory	20-24	1	F	998
Australian Capital Territory	20-24	1	M	845
Australian Capital Territory	25-34		F	1910
Australian Capital Territory	25-34		M	2334
Australian Capital Territory	25-34	0	F	34232
Australian Capital Territory	25-34	0	M	34215
Australian Capital Territory	25-34	1	F	2852
Australian Capital Territory	25-34	1	M	2085
Australian Capital Territory	35-44		F	1317
Australian Capital Territory	35-44		M	1652
Australian Capital Territory	35-44	0	F	28981
Australian Capital Territory	35-44	0	M	29424
Australian Capital Territory	35-44	1	F	4708
Australian Capital Territory	35-44	1	M	3202
Australian Capital Territory	45-54		F	944
Australian Capital Territory	45-54		M	1185
Australian Capital Territory	45-54	0	F	21674
Australian Capital Territory	45-54	0	M	22650
Australian Capital Territory	45-54	1	F	5728
Australian Capital Territory	45-54	1	M	3954
Australian Capital Territory	55-64		F	719
Australian Capital Territory	55-64		M	883
Australian Capital Territory	55-64	0	F	17139
Australian Capital Territory	55-64	0	M	17243
Australian Capital Territory	55-64	1	F	5604
Australian Capital Territory	55-64	1	M	3740
Australian Capital Territory	65-74		F	756
Australian Capital Territory	65-74		M	690
Australian Capital Territory	65-74	0	F	14714
Australian Capital Territory	65-74	0	M	13619
Australian Capital Territory	65-74	1	F	3548
Australian Capital Territory	65-74	1	M	2308
Australian Capital Territory	75-84		F	624
Australian Capital Territory	75-84		M	505
Australian Capital Territory	75-84	0	F	8411
Australian Capital Territory	75-84	0	M	6964
Australian Capital Territory	75-84	1	F	1528
Australian Capital Territory	75-84	1	M	1315
Australian Capital Territory	85+		F	490
Australian Capital Territory	85+		M	274
Australian Capital Territory	85+	0	F	3543
Australian Capital Territory	85+	0	M	2242
Australian Capital Territory	85+	1	F	282
Australian Capital Territory	85+	1	M	357
Other Territories	15-19		F	19
Other Territories	15-19		M	17
Other Territories	15-19	0	F	83
Other Territories	15-19	0	M	69
Other Territories	15-19	1	F	9
Other Territories	15-19	1	M	5
Other Territories	20-24		F	13
Other Territories	20-24		M	43
Other Territories	20-24	0	F	82
Other Territories	20-24	0	M	65
Other Territories	20-24	1	F	11
Other Territories	20-24	1	M	4
Other Territories	25-34		F	52
Other Territories	25-34		M	163
Other Territories	25-34	0	F	170
Other Territories	25-34	0	M	166
Other Territories	25-34	1	F	18
Other Territories	25-34	1	M	6
Other Territories	35-44		F	51
Other Territories	35-44		M	105
Other Territories	35-44	0	F	226
Other Territories	35-44	0	M	201
Other Territories	35-44	1	F	27
Other Territories	35-44	1	M	23
Other Territories	45-54		F	42
Other Territories	45-54		M	86
Other Territories	45-54	0	F	219
Other Territories	45-54	0	M	232
Other Territories	45-54	1	F	51
Other Territories	45-54	1	M	29
Other Territories	55-64		F	47
Other Territories	55-64		M	62
Other Territories	55-64	0	F	275
Other Territories	55-64	0	M	283
Other Territories	55-64	1	F	64
Other Territories	55-64	1	M	41
Other Territories	65-74		F	32
Other Territories	65-74		M	48
Other Territories	65-74	0	F	202
Other Territories	65-74	0	M	247
Other Territories	65-74	1	F	36
Other Territories	65-74	1	M	28
Other Territories	75-84		F	22
Other Territories	75-84		M	24
Other Territories	75-84	0	F	94
Other Territories	75-84	0	M	91
Other Territories	75-84	1	F	16
Other Territories	75-84	1	M	11
Other Territories	85+		F	7
Other Territories	85+		M	3
Other Territories	85+	0	F	27
Other Territories	85+	0	M	26
Other Territories	85+	1	M	4
