GCCSA_NAME21	Age	NeedsAssistance	Sex	persons
Greater Melbourne	65-74		F	8945
Greater Melbourne	65-74		M	8399
Greater Melbourne	65-74	0	F	181669
Greater Melbourne	65-74	0	M	163389
Greater Melbourne	65-74	1	F	24213
Greater Melbourne	65-74	1	M	18408
Greater Melbourne	75-84		F	6676
Greater Melbourne	75-84		M	5841
Greater Melbourne	75-84	0	F	85736
Greater Melbourne	75-84	0	M	78805
Greater Melbourne	75-84	1	F	35193
Greater Melbourne	75-84	1	M	22740
Greater Melbourne	85+		F	5232
Greater Melbourne	85+		M	3004
Greater Melbourne	85+	0	F	20324
Greater Melbourne	85+	0	M	17440
Greater Melbourne	85+	1	F	35974
Greater Melbourne	85+	1	M	18051
Rest of Vic.	0-4		F	2577
Rest of Vic.	0-4		M	2663
Rest of Vic.	0-4	0	F	38579
Rest of Vic.	0-4	0	M	39710
Rest of Vic.	0-4	1	F	481
Rest of Vic.	0-4	1	M	828
Rest of Vic.	5-14		F	6164
Rest of Vic.	5-14		M	6744
Rest of Vic.	5-14	0	F	83208
Rest of Vic.	5-14	0	M	85181
Rest of Vic.	5-14	1	F	3506
Rest of Vic.	5-14	1	M	7084
Rest of Vic.	15-19		F	2700
Rest of Vic.	15-19		M	2864
Rest of Vic.	15-19	0	F	38403
Rest of Vic.	15-19	0	M	39995
Rest of Vic.	15-19	1	F	1519
Rest of Vic.	15-19	1	M	2562
Rest of Vic.	20-24		F	2429
Rest of Vic.	20-24		M	2999
Rest of Vic.	20-24	0	F	35792
Rest of Vic.	20-24	0	M	36928
Rest of Vic.	20-24	1	F	1172
Rest of Vic.	20-24	1	M	1808
Rest of Vic.	25-34		F	5789
Rest of Vic.	25-34		M	7284
Rest of Vic.	25-34	0	F	85376
Rest of Vic.	25-34	0	M	81386
Rest of Vic.	25-34	1	F	2356
Rest of Vic.	25-34	1	M	2793
Rest of Vic.	35-44		F	5955
Rest of Vic.	35-44		M	6951
Rest of Vic.	35-44	0	F	85224
Rest of Vic.	35-44	0	M	78169
Rest of Vic.	35-44	1	F	2907
Rest of Vic.	35-44	1	M	2675
Rest of Vic.	45-54		F	5714
Rest of Vic.	45-54		M	6862
Rest of Vic.	45-54	0	F	91020
Rest of Vic.	45-54	0	M	84256
Rest of Vic.	45-54	1	F	4586
Rest of Vic.	45-54	1	M	3944
Rest of Vic.	55-64		F	6017
Rest of Vic.	55-64		M	6817
Rest of Vic.	55-64	0	F	98635
Rest of Vic.	55-64	0	M	91005
Rest of Vic.	55-64	1	F	6870
Rest of Vic.	55-64	1	M	6139
Rest of Vic.	65-74		F	5596
Rest of Vic.	65-74		M	6237
Rest of Vic.	65-74	0	F	86960
Rest of Vic.	65-74	0	M	83577
Rest of Vic.	65-74	1	F	8920
Rest of Vic.	65-74	1	M	8632
Rest of Vic.	75-84		F	3995
Rest of Vic.	75-84		M	3784
Rest of Vic.	75-84	0	F	41793
Rest of Vic.	75-84	0	M	39608
Rest of Vic.	75-84	1	F	11428
Rest of Vic.	75-84	1	M	9045
Rest of Vic.	85+		F	2860
Rest of Vic.	85+		M	1740
Rest of Vic.	85+	0	F	9912
Rest of Vic.	85+	0	M	8240
Rest of Vic.	85+	1	F	13131
Rest of Vic.	85+	1	M	6538
No usual address (Qld)	0-4		F	33
No usual address (Qld)	0-4		M	36
No usual address (Qld)	0-4	0	F	190
No usual address (Qld)	0-4	0	M	236
No usual address (Qld)	0-4	1	F	6
No usual address (Qld)	0-4	1	M	4
No usual address (Qld)	5-14		F	63
No usual address (Qld)	5-14		M	67
No usual address (Qld)	5-14	0	F	376
No usual address (Qld)	5-14	0	M	372
No usual address (Qld)	5-14	1	F	20
No usual address (Qld)	5-14	1	M	42
No usual address (Qld)	15-19		F	55
No usual address (Qld)	15-19		M	67
No usual address (Qld)	15-19	0	F	218
No usual address (Qld)	15-19	0	M	187
No usual address (Qld)	15-19	1	F	18
No usual address (Qld)	15-19	1	M	21
No usual address (Qld)	20-24		F	125
No usual address (Qld)	20-24		M	147
No usual address (Qld)	20-24	0	F	348
No usual address (Qld)	20-24	0	M	273
No usual address (Qld)	20-24	1	F	11
No usual address (Qld)	20-24	1	M	21
No usual address (Qld)	25-34		F	364
No usual address (Qld)	25-34		M	390
No usual address (Qld)	25-34	0	F	949
No usual address (Qld)	25-34	0	M	872
No usual address (Qld)	25-34	1	F	31
No usual address (Qld)	25-34	1	M	37
No usual address (Qld)	35-44		F	260
No usual address (Qld)	35-44		M	453
No usual address (Qld)	35-44	0	F	589
No usual address (Qld)	35-44	0	M	698
No usual address (Qld)	35-44	1	F	34
No usual address (Qld)	35-44	1	M	45
No usual address (Qld)	45-54		F	218
No usual address (Qld)	45-54		M	391
No usual address (Qld)	45-54	0	F	610
No usual address (Qld)	45-54	0	M	611
No usual address (Qld)	45-54	1	F	60
No usual address (Qld)	45-54	1	M	45
No usual address (Qld)	55-64		F	193
No usual address (Qld)	55-64		M	306
No usual address (Qld)	55-64	0	F	890
No usual address (Qld)	55-64	0	M	897
No usual address (Qld)	55-64	1	F	85
No usual address (Qld)	55-64	1	M	92
No usual address (Qld)	65-74		F	107
No usual address (Qld)	65-74		M	204
No usual address (Qld)	65-74	0	F	702
No usual address (Qld)	65-74	0	M	956
No usual address (Qld)	65-74	1	F	62
No usual address (Qld)	65-74	1	M	98
No usual address (Qld)	75-84		F	17
No usual address (Qld)	75-84		M	38
No usual address (Qld)	75-84	0	F	118
No usual address (Qld)	75-84	0	M	220
No usual address (Qld)	75-84	1	F	23
No usual address (Qld)	75-84	1	M	23
No usual address (Qld)	85+		F	3
No usual address (Qld)	85+		M	5
No usual address (Qld)	85+	0	F	7
No usual address (Qld)	85+	0	M	9
No usual address (Qld)	85+	1	F	9
No usual address (Qld)	85+	1	M	5
Migratory - Offshore - Shipping (Qld)	20-24		F	4
Migratory - Offshore - Shipping (Qld)	20-24		M	9
Migratory - Offshore - Shipping (Qld)	20-24	0	M	4
Migratory - Offshore - Shipping (Qld)	25-34		F	13
Migratory - Offshore - Shipping (Qld)	25-34		M	24
Migratory - Offshore - Shipping (Qld)	25-34	0	F	3
Migratory - Offshore - Shipping (Qld)	25-34	0	M	14
Migratory - Offshore - Shipping (Qld)	35-44		F	5
Migratory - Offshore - Shipping (Qld)	35-44		M	42
