GCCSA_NAME21	CountryOfBirth	persons
Greater Darwin	MYS	653
Greater Darwin	NLD	244
Greater Darwin	NPL	2540
Greater Darwin	NZL	2437
Greater Darwin	PAK	598
Greater Darwin	PHL	5283
Greater Darwin	PNG	424
Greater Darwin	POL	93
Greater Darwin	SGP	274
Greater Darwin	THA	947
Greater Darwin	TUR	34
Greater Darwin	TWN	415
Greater Darwin	USA	425
Greater Darwin	VNM	1137
Greater Darwin	WSM	32
Greater Darwin	ZAF	645
Greater Darwin	ZWE	453
Rest of NT		8940
Rest of NT	AFG	8
Rest of NT	AUS	70155
Rest of NT	BGD	61
Rest of NT	BIH	12
Rest of NT	BRA	46
Rest of NT	CAN	93
Rest of NT	CHL	35
Rest of NT	CHN	288
Rest of NT	DEU	215
Rest of NT	EGY	11
Rest of NT	FJI	225
Rest of NT	FRA	115
Rest of NT	GBR	1338
Rest of NT	GRC	30
Rest of NT	HKG	52
Rest of NT	HRV	5
Rest of NT	IDN	138
Rest of NT	IND	1216
Rest of NT	IRL	142
Rest of NT	IRN	15
Rest of NT	IRQ	18
Rest of NT	ITA	122
Rest of NT	JPN	50
Rest of NT	KHM	28
Rest of NT	KOR	70
Rest of NT	LBN	10
Rest of NT	LKA	199
Rest of NT	MKD	4
Rest of NT	MLT	9
Rest of NT	MMR	24
Rest of NT	MUS	31
Rest of NT	MYS	99
Rest of NT	NLD	94
Rest of NT	NPL	443
Rest of NT	NZL	1521
Rest of NT	PAK	86
Rest of NT	PHL	1096
Rest of NT	PNG	157
Rest of NT	POL	34
Rest of NT	SGP	31
Rest of NT	THA	155
Rest of NT	TUR	8
Rest of NT	TWN	94
Rest of NT	USA	756
Rest of NT	VNM	217
Rest of NT	WSM	38
Rest of NT	ZAF	297
Rest of NT	ZWE	274
No usual address (ACT)		130
No usual address (ACT)	AUS	384
No usual address (ACT)	CHN	12
No usual address (ACT)	GBR	8
No usual address (ACT)	HKG	4
No usual address (ACT)	IND	12
No usual address (ACT)	IRN	4
No usual address (ACT)	IRQ	6
No usual address (ACT)	NPL	4
No usual address (ACT)	NZL	24
No usual address (ACT)	PHL	4
No usual address (ACT)	THA	5
No usual address (ACT)	USA	5
No usual address (ACT)	ZAF	4
Australian Capital Territory		33618
Australian Capital Territory	AFG	745
Australian Capital Territory	AUS	306525
Australian Capital Territory	BGD	1942
Australian Capital Territory	BIH	406
Australian Capital Territory	BRA	602
Australian Capital Territory	CAN	1383
Australian Capital Territory	CHL	834
Australian Capital Territory	CHN	12141
Australian Capital Territory	DEU	2212
Australian Capital Territory	EGY	541
Australian Capital Territory	FJI	1059
Australian Capital Territory	FRA	755
Australian Capital Territory	GBR	15498
Australian Capital Territory	GRC	1000
Australian Capital Territory	HKG	1897
Australian Capital Territory	HRV	1347
Australian Capital Territory	IDN	1325
Australian Capital Territory	IND	17188
Australian Capital Territory	IRL	904
Australian Capital Territory	IRN	1109
Australian Capital Territory	IRQ	727
Australian Capital Territory	ITA	1909
Australian Capital Territory	JPN	850
Australian Capital Territory	KHM	451
Australian Capital Territory	KOR	2553
Australian Capital Territory	LBN	464
Australian Capital Territory	LKA	3306
Australian Capital Territory	MKD	475
Australian Capital Territory	MLT	254
Australian Capital Territory	MMR	660
Australian Capital Territory	MUS	367
Australian Capital Territory	MYS	2851
Australian Capital Territory	NLD	1001
Australian Capital Territory	NPL	5686
Australian Capital Territory	NZL	5096
Australian Capital Territory	PAK	2906
Australian Capital Territory	PHL	5051
Australian Capital Territory	PNG	705
Australian Capital Territory	POL	1009
Australian Capital Territory	SGP	1166
Australian Capital Territory	THA	1616
Australian Capital Territory	TUR	293
Australian Capital Territory	TWN	688
Australian Capital Territory	USA	3369
Australian Capital Territory	VNM	4077
Australian Capital Territory	WSM	294
Australian Capital Territory	ZAF	2337
Australian Capital Territory	ZWE	687
No usual address (OT)		3
No usual address (OT)	AUS	12
Other Territories		874
Other Territories	AFG	4
Other Territories	AUS	2673
Other Territories	BRA	4
Other Territories	CAN	10
Other Territories	CHN	16
Other Territories	DEU	13
Other Territories	FJI	42
Other Territories	FRA	7
Other Territories	GBR	112
Other Territories	HKG	3
Other Territories	IDN	17
Other Territories	IND	26
Other Territories	IRL	3
Other Territories	IRN	11
Other Territories	IRQ	12
Other Territories	ITA	3
Other Territories	JPN	6
Other Territories	LBN	8
Other Territories	LKA	12
Other Territories	MMR	4
Other Territories	MYS	339
Other Territories	NLD	9
Other Territories	NZL	350
Other Territories	PAK	12
Other Territories	PHL	60
Other Territories	PNG	14
Other Territories	SGP	44
Other Territories	THA	16
Other Territories	USA	21
Other Territories	VNM	14
Other Territories	ZAF	14
Other Territories	ZWE	12
