GCCSA_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Greater Adelaide		28875	8
Greater Adelaide		34125	4
Greater Adelaide		49875	4
Greater Adelaide	(Other)	52	38
Greater Adelaide	(Other)	3937	40
Greater Adelaide	(Other)	5250	259
Greater Adelaide	(Other)	7875	299
Greater Adelaide	(Other)	10500	261
Greater Adelaide	(Other)	11812	1305
Greater Adelaide	(Other)	14437	1256
Greater Adelaide	(Other)	18375	923
Greater Adelaide	(Other)	23625	222
Greater Adelaide	(Other)	28875	66
Greater Adelaide	(Other)	34125	24
Greater Adelaide	(Other)	39375	13
Greater Adelaide	(Other)	44625	9
Greater Adelaide	(Other)	49875	21
Greater Adelaide	Co-op/church group etc	52	108
Greater Adelaide	Co-op/church group etc	3937	232
Greater Adelaide	Co-op/church group etc	5250	1178
Greater Adelaide	Co-op/church group etc	7875	2504
Greater Adelaide	Co-op/church group etc	10500	822
Greater Adelaide	Co-op/church group etc	11812	1138
Greater Adelaide	Co-op/church group etc	14437	843
Greater Adelaide	Co-op/church group etc	18375	422
Greater Adelaide	Co-op/church group etc	23625	71
Greater Adelaide	Co-op/church group etc	28875	23
Greater Adelaide	Co-op/church group etc	34125	16
Greater Adelaide	Co-op/church group etc	39375	3
Greater Adelaide	Co-op/church group etc	49875	3
Greater Adelaide	Person not in same household	52	204
Greater Adelaide	Person not in same household	3937	142
Greater Adelaide	Person not in same household	5250	1159
Greater Adelaide	Person not in same household	7875	2066
Greater Adelaide	Person not in same household	10500	2229
Greater Adelaide	Person not in same household	11812	5083
Greater Adelaide	Person not in same household	14437	10798
Greater Adelaide	Person not in same household	18375	8553
Greater Adelaide	Person not in same household	23625	2583
Greater Adelaide	Person not in same household	28875	748
Greater Adelaide	Person not in same household	34125	254
Greater Adelaide	Person not in same household	39375	144
Greater Adelaide	Person not in same household	44625	53
Greater Adelaide	Person not in same household	49875	134
Greater Adelaide	Real estate agent	52	58
Greater Adelaide	Real estate agent	3937	33
Greater Adelaide	Real estate agent	5250	348
