GCCSA_NAME21	Age	HoursHousekeeping	Sex	adults
No usual address (Qld)	35-44	30+	F	101
No usual address (Qld)	35-44	30+	M	42
No usual address (Qld)	45-54		F	217
No usual address (Qld)	45-54		M	402
No usual address (Qld)	45-54	0	F	164
No usual address (Qld)	45-54	0	M	267
No usual address (Qld)	45-54	<5	F	155
No usual address (Qld)	45-54	<5	M	147
No usual address (Qld)	45-54	5-14	F	193
No usual address (Qld)	45-54	5-14	M	163
No usual address (Qld)	45-54	15-29	F	87
No usual address (Qld)	45-54	15-29	M	50
No usual address (Qld)	45-54	30+	F	68
No usual address (Qld)	45-54	30+	M	19
No usual address (Qld)	55-64		F	193
No usual address (Qld)	55-64		M	312
No usual address (Qld)	55-64	0	F	243
No usual address (Qld)	55-64	0	M	362
No usual address (Qld)	55-64	<5	F	194
No usual address (Qld)	55-64	<5	M	241
No usual address (Qld)	55-64	5-14	F	310
No usual address (Qld)	55-64	5-14	M	253
No usual address (Qld)	55-64	15-29	F	149
No usual address (Qld)	55-64	15-29	M	77
No usual address (Qld)	55-64	30+	F	88
No usual address (Qld)	55-64	30+	M	43
No usual address (Qld)	65-74		F	118
No usual address (Qld)	65-74		M	210
No usual address (Qld)	65-74	0	F	237
No usual address (Qld)	65-74	0	M	446
No usual address (Qld)	65-74	<5	F	111
No usual address (Qld)	65-74	<5	M	179
No usual address (Qld)	65-74	5-14	F	204
No usual address (Qld)	65-74	5-14	M	269
No usual address (Qld)	65-74	15-29	F	123
No usual address (Qld)	65-74	15-29	M	98
No usual address (Qld)	65-74	30+	F	78
No usual address (Qld)	65-74	30+	M	45
No usual address (Qld)	75-84		F	28
No usual address (Qld)	75-84		M	49
No usual address (Qld)	75-84	0	F	65
No usual address (Qld)	75-84	0	M	124
No usual address (Qld)	75-84	<5	F	19
No usual address (Qld)	75-84	<5	M	35
No usual address (Qld)	75-84	5-14	F	23
No usual address (Qld)	75-84	5-14	M	40
No usual address (Qld)	75-84	15-29	F	15
No usual address (Qld)	75-84	15-29	M	15
No usual address (Qld)	75-84	30+	F	14
No usual address (Qld)	75-84	30+	M	13
No usual address (Qld)	85+		F	4
No usual address (Qld)	85+		M	6
No usual address (Qld)	85+	0	F	16
No usual address (Qld)	85+	0	M	6
No usual address (Qld)	85+	<5	M	5
Migratory - Offshore - Shipping (Qld)	20-24		F	4
Migratory - Offshore - Shipping (Qld)	20-24		M	9
Migratory - Offshore - Shipping (Qld)	25-34		F	13
Migratory - Offshore - Shipping (Qld)	25-34		M	30
Migratory - Offshore - Shipping (Qld)	25-34	0	F	3
Migratory - Offshore - Shipping (Qld)	25-34	0	M	5
Migratory - Offshore - Shipping (Qld)	35-44		F	5
Migratory - Offshore - Shipping (Qld)	35-44		M	45
Migratory - Offshore - Shipping (Qld)	35-44	0	M	10
Migratory - Offshore - Shipping (Qld)	35-44	<5	M	6
Migratory - Offshore - Shipping (Qld)	45-54		M	31
Migratory - Offshore - Shipping (Qld)	45-54	0	M	6
Migratory - Offshore - Shipping (Qld)	45-54	5-14	M	3
Migratory - Offshore - Shipping (Qld)	55-64		M	3
Greater Brisbane	15-19		F	3929
Greater Brisbane	15-19		M	4210
Greater Brisbane	15-19	0	F	26011
Greater Brisbane	15-19	0	M	32002
Greater Brisbane	15-19	<5	F	35693
Greater Brisbane	15-19	<5	M	36085
Greater Brisbane	15-19	5-14	F	9549
Greater Brisbane	15-19	5-14	M	7127
Greater Brisbane	15-19	15-29	F	1133
Greater Brisbane	15-19	15-29	M	622
Greater Brisbane	15-19	30+	F	466
Greater Brisbane	15-19	30+	M	286
Greater Brisbane	20-24		F	5017
Greater Brisbane	20-24		M	6077
Greater Brisbane	20-24	0	F	23919
Greater Brisbane	20-24	0	M	33596
Greater Brisbane	20-24	<5	F	27473
Greater Brisbane	20-24	<5	M	30600
Greater Brisbane	20-24	5-14	F	23002
Greater Brisbane	20-24	5-14	M	14868
Greater Brisbane	20-24	15-29	F	4666
Greater Brisbane	20-24	15-29	M	1885
Greater Brisbane	20-24	30+	F	2686
Greater Brisbane	20-24	30+	M	851
Greater Brisbane	25-34		F	11325
Greater Brisbane	25-34		M	14384
Greater Brisbane	25-34	0	F	36711
Greater Brisbane	25-34	0	M	51773
Greater Brisbane	25-34	<5	F	34571
Greater Brisbane	25-34	<5	M	51207
Greater Brisbane	25-34	5-14	F	61102
Greater Brisbane	25-34	5-14	M	51806
Greater Brisbane	25-34	15-29	F	23574
Greater Brisbane	25-34	15-29	M	10376
Greater Brisbane	25-34	30+	F	22950
Greater Brisbane	25-34	30+	M	4296
Greater Brisbane	35-44		F	9053
Greater Brisbane	35-44		M	11558
Greater Brisbane	35-44	0	F	24171
Greater Brisbane	35-44	0	M	35450
Greater Brisbane	35-44	<5	F	19996
Greater Brisbane	35-44	<5	M	41755
Greater Brisbane	35-44	5-14	F	59692
Greater Brisbane	35-44	5-14	M	62103
Greater Brisbane	35-44	15-29	F	37716
Greater Brisbane	35-44	15-29	M	18106
Greater Brisbane	35-44	30+	F	33584
Greater Brisbane	35-44	30+	M	7161
Greater Brisbane	45-54		F	7007
Greater Brisbane	45-54		M	9146
Greater Brisbane	45-54	0	F	22572
Greater Brisbane	45-54	0	M	31434
Greater Brisbane	45-54	<5	F	20558
Greater Brisbane	45-54	<5	M	39819
Greater Brisbane	45-54	5-14	F	62141
Greater Brisbane	45-54	5-14	M	58500
Greater Brisbane	45-54	15-29	F	34376
Greater Brisbane	45-54	15-29	M	15660
Greater Brisbane	45-54	30+	F	21852
Greater Brisbane	45-54	30+	M	5989
Greater Brisbane	55-64		F	5672
Greater Brisbane	55-64		M	6652
Greater Brisbane	55-64	0	F	24497
Greater Brisbane	55-64	0	M	30591
Greater Brisbane	55-64	<5	F	17159
Greater Brisbane	55-64	<5	M	31084
Greater Brisbane	55-64	5-14	F	47377
Greater Brisbane	55-64	5-14	M	44828
Greater Brisbane	55-64	15-29	F	28192
Greater Brisbane	55-64	15-29	M	13538
Greater Brisbane	55-64	30+	F	18251
Greater Brisbane	55-64	30+	M	5956
Greater Brisbane	65-74		F	5107
Greater Brisbane	65-74		M	5140
Greater Brisbane	65-74	0	F	27363
Greater Brisbane	65-74	0	M	28575
Greater Brisbane	65-74	<5	F	9246
Greater Brisbane	65-74	<5	M	17582
Greater Brisbane	65-74	5-14	F	26959
Greater Brisbane	65-74	5-14	M	29568
Greater Brisbane	65-74	15-29	F	23973
Greater Brisbane	65-74	15-29	M	13896
Greater Brisbane	65-74	30+	F	19467
Greater Brisbane	65-74	30+	M	7286
Greater Brisbane	75-84		F	4575
Greater Brisbane	75-84		M	3630
Greater Brisbane	75-84	0	F	20980
Greater Brisbane	75-84	0	M	18749
Greater Brisbane	75-84	<5	F	5784
Greater Brisbane	75-84	<5	M	7850
Greater Brisbane	75-84	5-14	F	11731
Greater Brisbane	75-84	5-14	M	12669
Greater Brisbane	75-84	15-29	F	10131
Greater Brisbane	75-84	15-29	M	6881
Greater Brisbane	75-84	30+	F	8878
Greater Brisbane	75-84	30+	M	4179
Greater Brisbane	85+		F	3869
Greater Brisbane	85+		M	1873
Greater Brisbane	85+	0	F	13726
Greater Brisbane	85+	0	M	7776
Greater Brisbane	85+	<5	F	2873
Greater Brisbane	85+	<5	M	2063
Greater Brisbane	85+	5-14	F	3372
Greater Brisbane	85+	5-14	M	2406
Greater Brisbane	85+	15-29	F	1715
Greater Brisbane	85+	15-29	M	1172
Greater Brisbane	85+	30+	F	1216
Greater Brisbane	85+	30+	M	829
Rest of Qld	15-19		F	5886
Rest of Qld	15-19		M	6656
Rest of Qld	15-19	0	F	26025
Rest of Qld	15-19	0	M	31942
Rest of Qld	15-19	<5	F	33435
Rest of Qld	15-19	<5	M	33816
Rest of Qld	15-19	5-14	F	8963
Rest of Qld	15-19	5-14	M	6517
Rest of Qld	15-19	15-29	F	1123
Rest of Qld	15-19	15-29	M	622
Rest of Qld	15-19	30+	F	483
Rest of Qld	15-19	30+	M	355
Rest of Qld	20-24		F	6343
Rest of Qld	20-24		M	8039
Rest of Qld	20-24	0	F	20069
Rest of Qld	20-24	0	M	28030
Rest of Qld	20-24	<5	F	21119
Rest of Qld	20-24	<5	M	24114
Rest of Qld	20-24	5-14	F	18779
Rest of Qld	20-24	5-14	M	11858
Rest of Qld	20-24	15-29	F	4376
Rest of Qld	20-24	15-29	M	1670
Rest of Qld	20-24	30+	F	2918
Rest of Qld	20-24	30+	M	844
Rest of Qld	25-34		F	14249
Rest of Qld	25-34		M	18370
Rest of Qld	25-34	0	F	30426
Rest of Qld	25-34	0	M	44591
Rest of Qld	25-34	<5	F	26488
Rest of Qld	25-34	<5	M	41810
Rest of Qld	25-34	5-14	F	49367
Rest of Qld	25-34	5-14	M	41056
Rest of Qld	25-34	15-29	F	21556
Rest of Qld	25-34	15-29	M	8914
Rest of Qld	25-34	30+	F	23977
Rest of Qld	25-34	30+	M	4151
Rest of Qld	35-44		F	12105
Rest of Qld	35-44		M	15999
Rest of Qld	35-44	0	F	20312
Rest of Qld	35-44	0	M	31560
Rest of Qld	35-44	<5	F	17553
Rest of Qld	35-44	<5	M	37331
Rest of Qld	35-44	5-14	F	53808
Rest of Qld	35-44	5-14	M	50819
Rest of Qld	35-44	15-29	F	33609
Rest of Qld	35-44	15-29	M	14460
Rest of Qld	35-44	30+	F	30934
Rest of Qld	35-44	30+	M	6841
Rest of Qld	45-54		F	11766
Rest of Qld	45-54		M	15848
Rest of Qld	45-54	0	F	23657
Rest of Qld	45-54	0	M	35171
Rest of Qld	45-54	<5	F	21271
Rest of Qld	45-54	<5	M	40497
Rest of Qld	45-54	5-14	F	63060
Rest of Qld	45-54	5-14	M	53883
Rest of Qld	45-54	15-29	F	33909
Rest of Qld	45-54	15-29	M	14832
Rest of Qld	45-54	30+	F	22232
Rest of Qld	45-54	30+	M	6978
Rest of Qld	55-64		F	10925
Rest of Qld	55-64		M	13747
Rest of Qld	55-64	0	F	30366
Rest of Qld	55-64	0	M	40436
Rest of Qld	55-64	<5	F	20022
Rest of Qld	55-64	<5	M	36575
Rest of Qld	55-64	5-14	F	55061
Rest of Qld	55-64	5-14	M	49978
Rest of Qld	55-64	15-29	F	33918
Rest of Qld	55-64	15-29	M	16069
Rest of Qld	55-64	30+	F	23531
Rest of Qld	55-64	30+	M	8389
Rest of Qld	65-74		F	9428
Rest of Qld	65-74		M	10698
Rest of Qld	65-74	0	F	35050
Rest of Qld	65-74	0	M	40582
Rest of Qld	65-74	<5	F	11037
Rest of Qld	65-74	<5	M	23094
Rest of Qld	65-74	5-14	F	32575
Rest of Qld	65-74	5-14	M	37913
Rest of Qld	65-74	15-29	F	30004
Rest of Qld	65-74	15-29	M	18633
Rest of Qld	65-74	30+	F	26979
Rest of Qld	65-74	30+	M	11176
Rest of Qld	75-84		F	7800
Rest of Qld	75-84		M	6904
Rest of Qld	75-84	0	F	27690
Rest of Qld	75-84	0	M	27163
Rest of Qld	75-84	<5	F	6845
Rest of Qld	75-84	<5	M	10521
Rest of Qld	75-84	5-14	F	14006
Rest of Qld	75-84	5-14	M	16218
Rest of Qld	75-84	15-29	F	12477
Rest of Qld	75-84	15-29	M	9327
Rest of Qld	75-84	30+	F	12874
Rest of Qld	75-84	30+	M	6704
Rest of Qld	85+		F	5247
Rest of Qld	85+		M	3037
Rest of Qld	85+	0	F	16307
Rest of Qld	85+	0	M	10268
Rest of Qld	85+	<5	F	3146
Rest of Qld	85+	<5	M	2707
Rest of Qld	85+	5-14	F	3704
Rest of Qld	85+	5-14	M	2933
Rest of Qld	85+	15-29	F	2097
Rest of Qld	85+	15-29	M	1629
Rest of Qld	85+	30+	F	1831
Rest of Qld	85+	30+	M	1295
No usual address (SA)	15-19		F	20
No usual address (SA)	15-19		M	17
No usual address (SA)	15-19	0	F	40
No usual address (SA)	15-19	0	M	28
No usual address (SA)	15-19	<5	F	23
No usual address (SA)	15-19	<5	M	17
No usual address (SA)	15-19	5-14	F	20
No usual address (SA)	15-19	5-14	M	4
No usual address (SA)	15-19	15-29	F	3
No usual address (SA)	20-24		F	19
No usual address (SA)	20-24		M	24
No usual address (SA)	20-24	0	F	34
No usual address (SA)	20-24	0	M	49
No usual address (SA)	20-24	<5	F	17
No usual address (SA)	20-24	<5	M	20
No usual address (SA)	20-24	5-14	F	26
No usual address (SA)	20-24	5-14	M	12
No usual address (SA)	20-24	15-29	F	8
No usual address (SA)	20-24	15-29	M	3
No usual address (SA)	20-24	30+	F	4
No usual address (SA)	20-24	30+	M	3
No usual address (SA)	25-34		F	77
No usual address (SA)	25-34		M	88
No usual address (SA)	25-34	0	F	64
No usual address (SA)	25-34	0	M	126
No usual address (SA)	25-34	<5	F	61
No usual address (SA)	25-34	<5	M	53
No usual address (SA)	25-34	5-14	F	65
No usual address (SA)	25-34	5-14	M	34
No usual address (SA)	25-34	15-29	F	18
No usual address (SA)	25-34	15-29	M	10
No usual address (SA)	25-34	30+	F	19
No usual address (SA)	25-34	30+	M	6
No usual address (SA)	35-44		F	86
No usual address (SA)	35-44		M	95
No usual address (SA)	35-44	0	F	41
No usual address (SA)	35-44	0	M	99
No usual address (SA)	35-44	<5	F	32
No usual address (SA)	35-44	<5	M	48
No usual address (SA)	35-44	5-14	F	51
No usual address (SA)	35-44	5-14	M	31
No usual address (SA)	35-44	15-29	F	19
No usual address (SA)	35-44	15-29	M	8
No usual address (SA)	35-44	30+	F	23
No usual address (SA)	35-44	30+	M	5
No usual address (SA)	45-54		F	50
No usual address (SA)	45-54		M	98
No usual address (SA)	45-54	0	F	20
No usual address (SA)	45-54	0	M	109
No usual address (SA)	45-54	<5	F	28
No usual address (SA)	45-54	<5	M	40
No usual address (SA)	45-54	5-14	F	46
No usual address (SA)	45-54	5-14	M	36
No usual address (SA)	45-54	15-29	F	20
No usual address (SA)	45-54	15-29	M	20
No usual address (SA)	45-54	30+	F	12
No usual address (SA)	45-54	30+	M	6
No usual address (SA)	55-64		F	27
No usual address (SA)	55-64		M	99
No usual address (SA)	55-64	0	F	32
No usual address (SA)	55-64	0	M	81
No usual address (SA)	55-64	<5	F	44
No usual address (SA)	55-64	<5	M	52
No usual address (SA)	55-64	5-14	F	55
No usual address (SA)	55-64	5-14	M	55
No usual address (SA)	55-64	15-29	F	28
No usual address (SA)	55-64	15-29	M	14
No usual address (SA)	55-64	30+	F	10
No usual address (SA)	55-64	30+	M	11
No usual address (SA)	65-74		F	17
No usual address (SA)	65-74		M	48
No usual address (SA)	65-74	0	F	44
No usual address (SA)	65-74	0	M	74
No usual address (SA)	65-74	<5	F	21
No usual address (SA)	65-74	<5	M	30
No usual address (SA)	65-74	5-14	F	30
No usual address (SA)	65-74	5-14	M	44
No usual address (SA)	65-74	15-29	F	16
No usual address (SA)	65-74	15-29	M	7
No usual address (SA)	65-74	30+	F	18
No usual address (SA)	65-74	30+	M	15
No usual address (SA)	75-84		M	5
No usual address (SA)	75-84	0	F	10
No usual address (SA)	75-84	0	M	11
No usual address (SA)	75-84	<5	F	4
No usual address (SA)	75-84	<5	M	9
No usual address (SA)	75-84	5-14	F	4
No usual address (SA)	75-84	5-14	M	7
No usual address (SA)	75-84	30+	F	5
No usual address (SA)	85+	0	F	3
No usual address (SA)	85+	5-14	F	3
No usual address (SA)	85+	15-29	M	4
Migratory - Offshore - Shipping (SA)	45-54		M	7
Greater Adelaide	15-19		F	1580
Greater Adelaide	15-19		M	1721
Greater Adelaide	15-19	0	F	13883
Greater Adelaide	15-19	0	M	17349
Greater Adelaide	15-19	<5	F	17923
Greater Adelaide	15-19	<5	M	17937
Greater Adelaide	15-19	5-14	F	4101
Greater Adelaide	15-19	5-14	M	2827
Greater Adelaide	15-19	15-29	F	448
Greater Adelaide	15-19	15-29	M	247
Greater Adelaide	15-19	30+	F	169
Greater Adelaide	15-19	30+	M	97
Greater Adelaide	20-24		F	1825
Greater Adelaide	20-24		M	2197
Greater Adelaide	20-24	0	F	12902
Greater Adelaide	20-24	0	M	18626
Greater Adelaide	20-24	<5	F	15708
Greater Adelaide	20-24	<5	M	17086
Greater Adelaide	20-24	5-14	F	10861
Greater Adelaide	20-24	5-14	M	7387
Greater Adelaide	20-24	15-29	F	2046
Greater Adelaide	20-24	15-29	M	900
Greater Adelaide	20-24	30+	F	1129
Greater Adelaide	20-24	30+	M	402
Greater Adelaide	25-34		F	4193
Greater Adelaide	25-34		M	5102
Greater Adelaide	25-34	0	F	19401
Greater Adelaide	25-34	0	M	28499
Greater Adelaide	25-34	<5	F	18269
Greater Adelaide	25-34	<5	M	28364
Greater Adelaide	25-34	5-14	F	31164
Greater Adelaide	25-34	5-14	M	27276
Greater Adelaide	25-34	15-29	F	12180
Greater Adelaide	25-34	15-29	M	5309
Greater Adelaide	25-34	30+	F	11879
Greater Adelaide	25-34	30+	M	2064
Greater Adelaide	35-44		F	3475
Greater Adelaide	35-44		M	4456
Greater Adelaide	35-44	0	F	12087
Greater Adelaide	35-44	0	M	19093
Greater Adelaide	35-44	<5	F	9904
Greater Adelaide	35-44	<5	M	22298
Greater Adelaide	35-44	5-14	F	30836
Greater Adelaide	35-44	5-14	M	32448
Greater Adelaide	35-44	15-29	F	20073
Greater Adelaide	35-44	15-29	M	9021
Greater Adelaide	35-44	30+	F	17349
Greater Adelaide	35-44	30+	M	3610
Greater Adelaide	45-54		F	3055
Greater Adelaide	45-54		M	3924
Greater Adelaide	45-54	0	F	11580
Greater Adelaide	45-54	0	M	17764
Greater Adelaide	45-54	<5	F	10490
Greater Adelaide	45-54	<5	M	22024
Greater Adelaide	45-54	5-14	F	33478
Greater Adelaide	45-54	5-14	M	31305
Greater Adelaide	45-54	15-29	F	19079
Greater Adelaide	45-54	15-29	M	8206
Greater Adelaide	45-54	30+	F	11142
Greater Adelaide	45-54	30+	M	3019
Greater Adelaide	55-64		F	2887
Greater Adelaide	55-64		M	3292
Greater Adelaide	55-64	0	F	14716
Greater Adelaide	55-64	0	M	19163
Greater Adelaide	55-64	<5	F	10155
Greater Adelaide	55-64	<5	M	19906
Greater Adelaide	55-64	5-14	F	30849
Greater Adelaide	55-64	5-14	M	27847
Greater Adelaide	55-64	15-29	F	17901
Greater Adelaide	55-64	15-29	M	7858
Greater Adelaide	55-64	30+	F	10651
Greater Adelaide	55-64	30+	M	3184
Greater Adelaide	65-74		F	2889
Greater Adelaide	65-74		M	2682
Greater Adelaide	65-74	0	F	17087
Greater Adelaide	65-74	0	M	17909
Greater Adelaide	65-74	<5	F	5901
Greater Adelaide	65-74	<5	M	12122
Greater Adelaide	65-74	5-14	F	19086
Greater Adelaide	65-74	5-14	M	20401
Greater Adelaide	65-74	15-29	F	17102
Greater Adelaide	65-74	15-29	M	8706
Greater Adelaide	65-74	30+	F	12594
Greater Adelaide	65-74	30+	M	4270
Greater Adelaide	75-84		F	2706
Greater Adelaide	75-84		M	1927
Greater Adelaide	75-84	0	F	14771
Greater Adelaide	75-84	0	M	12570
Greater Adelaide	75-84	<5	F	3997
Greater Adelaide	75-84	<5	M	5701
Greater Adelaide	75-84	5-14	F	8798
Greater Adelaide	75-84	5-14	M	9099
Greater Adelaide	75-84	15-29	F	7859
Greater Adelaide	75-84	15-29	M	4815
Greater Adelaide	75-84	30+	F	6700
Greater Adelaide	75-84	30+	M	2619
Greater Adelaide	85+		F	1979
Greater Adelaide	85+		M	1121
Greater Adelaide	85+	0	F	12125
Greater Adelaide	85+	0	M	6855
Greater Adelaide	85+	<5	F	2410
Greater Adelaide	85+	<5	M	1748
Greater Adelaide	85+	5-14	F	3079
Greater Adelaide	85+	5-14	M	2153
Greater Adelaide	85+	15-29	F	1682
Greater Adelaide	85+	15-29	M	1080
Greater Adelaide	85+	30+	F	1269
Greater Adelaide	85+	30+	M	765
Rest of SA	15-19		F	866
Rest of SA	15-19		M	984
Rest of SA	15-19	0	F	2936
Rest of SA	15-19	0	M	4011
Rest of SA	15-19	<5	F	4478
Rest of SA	15-19	<5	M	4791
Rest of SA	15-19	5-14	F	1286
Rest of SA	15-19	5-14	M	942
Rest of SA	15-19	15-29	F	172
Rest of SA	15-19	15-29	M	108
Rest of SA	15-19	30+	F	74
Rest of SA	15-19	30+	M	36
Rest of SA	20-24		F	574
Rest of SA	20-24		M	872
Rest of SA	20-24	0	F	1934
Rest of SA	20-24	0	M	3241
Rest of SA	20-24	<5	F	2365
Rest of SA	20-24	<5	M	3245
Rest of SA	20-24	5-14	F	2509
Rest of SA	20-24	5-14	M	1710
Rest of SA	20-24	15-29	F	634
Rest of SA	20-24	15-29	M	264
Rest of SA	20-24	30+	F	436
Rest of SA	20-24	30+	M	118
Rest of SA	25-34		F	1393
Rest of SA	25-34		M	2260
Rest of SA	25-34	0	F	2758
Rest of SA	25-34	0	M	5021
Rest of SA	25-34	<5	F	2613
Rest of SA	25-34	<5	M	5485
Rest of SA	25-34	5-14	F	6250
Rest of SA	25-34	5-14	M	5857
Rest of SA	25-34	15-29	F	3345
Rest of SA	25-34	15-29	M	1428
Rest of SA	25-34	30+	F	3868
Rest of SA	25-34	30+	M	675
Rest of SA	35-44		F	1316
Rest of SA	35-44		M	2228
Rest of SA	35-44	0	F	1970
Rest of SA	35-44	0	M	3673
Rest of SA	35-44	<5	F	1731
Rest of SA	35-44	<5	M	4815
Rest of SA	35-44	5-14	F	6650
Rest of SA	35-44	5-14	M	6818
Rest of SA	35-44	15-29	F	4648
Rest of SA	35-44	15-29	M	2140
Rest of SA	35-44	30+	F	4488
Rest of SA	35-44	30+	M	991
Rest of SA	45-54		F	1595
Rest of SA	45-54		M	2254
Rest of SA	45-54	0	F	2843
Rest of SA	45-54	0	M	4782
Rest of SA	45-54	<5	F	2591
Rest of SA	45-54	<5	M	6047
Rest of SA	45-54	5-14	F	8939
Rest of SA	45-54	5-14	M	7957
Rest of SA	45-54	15-29	F	5310
Rest of SA	45-54	15-29	M	2386
Rest of SA	45-54	30+	F	3323
Rest of SA	45-54	30+	M	1050
Rest of SA	55-64		F	1729
Rest of SA	55-64		M	2194
Rest of SA	55-64	0	F	4460
Rest of SA	55-64	0	M	6847
Rest of SA	55-64	<5	F	2828
Rest of SA	55-64	<5	M	6705
Rest of SA	55-64	5-14	F	9317
Rest of SA	55-64	5-14	M	8925
Rest of SA	55-64	15-29	F	6474
Rest of SA	55-64	15-29	M	2985
Rest of SA	55-64	30+	F	4219
Rest of SA	55-64	30+	M	1546
Rest of SA	65-74		F	1801
Rest of SA	65-74		M	1950
Rest of SA	65-74	0	F	6014
Rest of SA	65-74	0	M	7598
Rest of SA	65-74	<5	F	1705
Rest of SA	65-74	<5	M	4652
Rest of SA	65-74	5-14	F	5849
Rest of SA	65-74	5-14	M	7465
Rest of SA	65-74	15-29	F	6199
Rest of SA	65-74	15-29	M	3880
Rest of SA	65-74	30+	F	5728
Rest of SA	65-74	30+	M	2410
Rest of SA	75-84		F	1404
Rest of SA	75-84		M	1337
Rest of SA	75-84	0	F	5305
Rest of SA	75-84	0	M	5104
Rest of SA	75-84	<5	F	1112
Rest of SA	75-84	<5	M	2024
Rest of SA	75-84	5-14	F	2598
Rest of SA	75-84	5-14	M	3303
Rest of SA	75-84	15-29	F	2591
Rest of SA	75-84	15-29	M	1940
Rest of SA	75-84	30+	F	2850
Rest of SA	75-84	30+	M	1464
Rest of SA	85+		F	787
Rest of SA	85+		M	510
Rest of SA	85+	0	F	3443
Rest of SA	85+	0	M	2107
Rest of SA	85+	<5	F	582
Rest of SA	85+	<5	M	510
Rest of SA	85+	5-14	F	807
Rest of SA	85+	5-14	M	664
Rest of SA	85+	15-29	F	519
Rest of SA	85+	15-29	M	389
Rest of SA	85+	30+	F	413
Rest of SA	85+	30+	M	302
No usual address (WA)	15-19		F	59
No usual address (WA)	15-19		M	45
No usual address (WA)	15-19	0	F	38
No usual address (WA)	15-19	0	M	34
No usual address (WA)	15-19	<5	F	28
No usual address (WA)	15-19	<5	M	27
No usual address (WA)	15-19	5-14	F	17
No usual address (WA)	15-19	5-14	M	15
No usual address (WA)	15-19	15-29	F	7
No usual address (WA)	15-19	15-29	M	4
No usual address (WA)	15-19	30+	F	5
No usual address (WA)	20-24		F	105
No usual address (WA)	20-24		M	131
No usual address (WA)	20-24	0	F	45
No usual address (WA)	20-24	0	M	88
No usual address (WA)	20-24	<5	F	49
No usual address (WA)	20-24	<5	M	47
No usual address (WA)	20-24	5-14	F	39
No usual address (WA)	20-24	5-14	M	25
No usual address (WA)	20-24	15-29	F	11
No usual address (WA)	20-24	15-29	M	5
No usual address (WA)	20-24	30+	F	7
No usual address (WA)	20-24	30+	M	4
No usual address (WA)	25-34		F	268
No usual address (WA)	25-34		M	390
No usual address (WA)	25-34	0	F	145
No usual address (WA)	25-34	0	M	180
No usual address (WA)	25-34	<5	F	98
No usual address (WA)	25-34	<5	M	112
No usual address (WA)	25-34	5-14	F	94
No usual address (WA)	25-34	5-14	M	95
No usual address (WA)	25-34	15-29	F	39
No usual address (WA)	25-34	15-29	M	28
No usual address (WA)	25-34	30+	F	46
No usual address (WA)	25-34	30+	M	15
No usual address (WA)	35-44		F	279
No usual address (WA)	35-44		M	529
No usual address (WA)	35-44	0	F	71
No usual address (WA)	35-44	0	M	143
No usual address (WA)	35-44	<5	F	50
No usual address (WA)	35-44	<5	M	97
No usual address (WA)	35-44	5-14	F	97
No usual address (WA)	35-44	5-14	M	101
No usual address (WA)	35-44	15-29	F	44
No usual address (WA)	35-44	15-29	M	28
No usual address (WA)	35-44	30+	F	68
No usual address (WA)	35-44	30+	M	24
No usual address (WA)	45-54		F	228
No usual address (WA)	45-54		M	514
No usual address (WA)	45-54	0	F	73
No usual address (WA)	45-54	0	M	143
No usual address (WA)	45-54	<5	F	47
No usual address (WA)	45-54	<5	M	80
No usual address (WA)	45-54	5-14	F	63
No usual address (WA)	45-54	5-14	M	66
No usual address (WA)	45-54	15-29	F	41
No usual address (WA)	45-54	15-29	M	19
No usual address (WA)	45-54	30+	F	18
No usual address (WA)	45-54	30+	M	8
No usual address (WA)	55-64		F	160
No usual address (WA)	55-64		M	338
No usual address (WA)	55-64	0	F	77
No usual address (WA)	55-64	0	M	148
No usual address (WA)	55-64	<5	F	63
No usual address (WA)	55-64	<5	M	74
No usual address (WA)	55-64	5-14	F	112
No usual address (WA)	55-64	5-14	M	84
No usual address (WA)	55-64	15-29	F	36
No usual address (WA)	55-64	15-29	M	17
No usual address (WA)	55-64	30+	F	26
No usual address (WA)	55-64	30+	M	12
No usual address (WA)	65-74		F	89
No usual address (WA)	65-74		M	145
No usual address (WA)	65-74	0	F	87
No usual address (WA)	65-74	0	M	139
No usual address (WA)	65-74	<5	F	31
No usual address (WA)	65-74	<5	M	62
No usual address (WA)	65-74	5-14	F	64
No usual address (WA)	65-74	5-14	M	60
No usual address (WA)	65-74	15-29	F	20
No usual address (WA)	65-74	15-29	M	17
No usual address (WA)	65-74	30+	F	18
No usual address (WA)	65-74	30+	M	17
No usual address (WA)	75-84		F	14
No usual address (WA)	75-84		M	48
No usual address (WA)	75-84	0	F	15
No usual address (WA)	75-84	0	M	33
No usual address (WA)	75-84	<5	M	3
No usual address (WA)	75-84	5-14	F	4
No usual address (WA)	75-84	5-14	M	17
No usual address (WA)	75-84	15-29	F	4
No usual address (WA)	75-84	15-29	M	7
No usual address (WA)	75-84	30+	M	3
No usual address (WA)	85+		F	12
No usual address (WA)	85+		M	9
No usual address (WA)	85+	0	F	8
No usual address (WA)	85+	0	M	6
Migratory - Offshore - Shipping (WA)	15-19		M	7
Migratory - Offshore - Shipping (WA)	15-19	0	M	3
Migratory - Offshore - Shipping (WA)	20-24		F	5
Migratory - Offshore - Shipping (WA)	20-24		M	13
Migratory - Offshore - Shipping (WA)	20-24	0	F	3
Migratory - Offshore - Shipping (WA)	20-24	0	M	15
