GCCSA_NAME21	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Greater Darwin	Flat/apartment	5400	34
Greater Darwin	Flat/apartment	7200	77
Greater Darwin	Flat/apartment	9600	131
Greater Darwin	Flat/apartment	12000	380
Greater Darwin	Flat/apartment	16800	436
Greater Darwin	Flat/apartment	21600	394
Greater Darwin	Flat/apartment	28800	166
Greater Darwin	Flat/apartment	36000	122
Greater Darwin	Flat/apartment	48000	72
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	0	25
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	3600	10
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	5400	15
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	7200	43
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	9600	54
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	12000	201
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	16800	220
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	21600	220
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	28800	93
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	36000	51
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	48000	35
Greater Darwin	Separate house	0	423
Greater Darwin	Separate house	3600	123
Greater Darwin	Separate house	5400	122
Greater Darwin	Separate house	7200	263
Greater Darwin	Separate house	9600	337
Greater Darwin	Separate house	12000	1259
Greater Darwin	Separate house	16800	1834
Greater Darwin	Separate house	21600	3640
Greater Darwin	Separate house	28800	2222
Greater Darwin	Separate house	36000	1810
Greater Darwin	Separate house	48000	1089
Rest of NT		7200	3
Rest of NT		12000	6
Rest of NT		16800	6
Rest of NT		21600	8
Rest of NT		28800	3
Rest of NT		36000	6
Rest of NT		48000	5
Rest of NT	(Other)	0	9
Rest of NT	(Other)	7200	6
Rest of NT	(Other)	9600	4
Rest of NT	(Other)	12000	8
Rest of NT	(Other)	16800	5
Rest of NT	(Other)	21600	5
Rest of NT	(Other)	28800	5
Rest of NT	(Other)	36000	6
Rest of NT	Flat/apartment	7200	5
Rest of NT	Flat/apartment	9600	9
Rest of NT	Flat/apartment	12000	7
Rest of NT	Flat/apartment	16800	8
Rest of NT	Flat/apartment	21600	4
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	0	14
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	3600	12
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	5400	6
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	7200	28
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	9600	50
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	12000	159
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	16800	157
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	21600	86
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	28800	23
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	36000	23
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	48000	7
Rest of NT	Separate house	0	135
Rest of NT	Separate house	3600	57
Rest of NT	Separate house	5400	57
Rest of NT	Separate house	7200	89
Rest of NT	Separate house	9600	171
Rest of NT	Separate house	12000	500
Rest of NT	Separate house	16800	786
Rest of NT	Separate house	21600	920
Rest of NT	Separate house	28800	405
Rest of NT	Separate house	36000	265
Rest of NT	Separate house	48000	165
Australian Capital Territory		12000	3
Australian Capital Territory		16800	6
Australian Capital Territory		28800	5
Australian Capital Territory		36000	6
Australian Capital Territory		48000	4
Australian Capital Territory	Flat/apartment	0	235
Australian Capital Territory	Flat/apartment	3600	71
Australian Capital Territory	Flat/apartment	5400	96
Australian Capital Territory	Flat/apartment	7200	226
Australian Capital Territory	Flat/apartment	9600	385
Australian Capital Territory	Flat/apartment	12000	1936
Australian Capital Territory	Flat/apartment	16800	2383
Australian Capital Territory	Flat/apartment	21600	1985
Australian Capital Territory	Flat/apartment	28800	602
Australian Capital Territory	Flat/apartment	36000	512
Australian Capital Territory	Flat/apartment	48000	302
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	0	350
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	3600	96
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	5400	115
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	7200	215
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	9600	313
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	12000	1234
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	16800	2352
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	21600	2757
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	28800	956
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	36000	693
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	48000	404
Australian Capital Territory	Separate house	0	2146
Australian Capital Territory	Separate house	3600	609
Australian Capital Territory	Separate house	5400	527
Australian Capital Territory	Separate house	7200	890
Australian Capital Territory	Separate house	9600	1187
Australian Capital Territory	Separate house	12000	3751
Australian Capital Territory	Separate house	16800	5687
Australian Capital Territory	Separate house	21600	11788
Australian Capital Territory	Separate house	28800	7979
Australian Capital Territory	Separate house	36000	7238
Australian Capital Territory	Separate house	48000	4984
Other Territories	Flat/apartment	0	3
Other Territories	Flat/apartment	12000	6
Other Territories	Semi-detached, row/terrace house, townhouse etc.	7200	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.	12000	8
Other Territories	Semi-detached, row/terrace house, townhouse etc.	21600	4
Other Territories	Separate house	0	16
Other Territories	Separate house	3600	9
Other Territories	Separate house	5400	5
Other Territories	Separate house	7200	20
Other Territories	Separate house	9600	20
Other Territories	Separate house	12000	65
Other Territories	Separate house	16800	45
Other Territories	Separate house	21600	40
Other Territories	Separate house	28800	14
Other Territories	Separate house	36000	6
Other Territories	Separate house	48000	3
