GCCSA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
Greater Adelaide	20-24	Year 9	F	308
Greater Adelaide	20-24	Year 9	M	400
Greater Adelaide	20-24	Year 10	F	1586
Greater Adelaide	20-24	Year 10	M	2238
Greater Adelaide	20-24	Year 11	F	2845
Greater Adelaide	20-24	Year 11	M	4505
Greater Adelaide	20-24	Year 12	F	37615
Greater Adelaide	20-24	Year 12	M	36916
Greater Adelaide	25-34		F	3877
Greater Adelaide	25-34		M	4460
Greater Adelaide	25-34	Did not go to school	F	615
Greater Adelaide	25-34	Did not go to school	M	612
Greater Adelaide	25-34	Year 8 or below	F	724
Greater Adelaide	25-34	Year 8 or below	M	891
Greater Adelaide	25-34	Year 9	F	1160
Greater Adelaide	25-34	Year 9	M	1666
Greater Adelaide	25-34	Year 10	F	5620
Greater Adelaide	25-34	Year 10	M	7919
Greater Adelaide	25-34	Year 11	F	7616
Greater Adelaide	25-34	Year 11	M	11408
Greater Adelaide	25-34	Year 12	F	77379
Greater Adelaide	25-34	Year 12	M	69544
Greater Adelaide	35-44		F	3300
Greater Adelaide	35-44		M	4050
Greater Adelaide	35-44	Did not go to school	F	982
Greater Adelaide	35-44	Did not go to school	M	853
Greater Adelaide	35-44	Year 8 or below	F	1128
Greater Adelaide	35-44	Year 8 or below	M	1255
Greater Adelaide	35-44	Year 9	F	1611
Greater Adelaide	35-44	Year 9	M	2099
Greater Adelaide	35-44	Year 10	F	6782
Greater Adelaide	35-44	Year 10	M	9117
Greater Adelaide	35-44	Year 11	F	8590
Greater Adelaide	35-44	Year 11	M	11678
Greater Adelaide	35-44	Year 12	F	71268
Greater Adelaide	35-44	Year 12	M	61788
Greater Adelaide	45-54		F	2981
Greater Adelaide	45-54		M	3710
Greater Adelaide	45-54	Did not go to school	F	1287
Greater Adelaide	45-54	Did not go to school	M	1002
Greater Adelaide	45-54	Year 8 or below	F	1218
Greater Adelaide	45-54	Year 8 or below	M	1368
Greater Adelaide	45-54	Year 9	F	1957
Greater Adelaide	45-54	Year 9	M	2446
Greater Adelaide	45-54	Year 10	F	8935
Greater Adelaide	45-54	Year 10	M	10752
Greater Adelaide	45-54	Year 11	F	14486
Greater Adelaide	45-54	Year 11	M	16236
Greater Adelaide	45-54	Year 12	F	57912
Greater Adelaide	45-54	Year 12	M	50668
Greater Adelaide	55-64		F	3076
Greater Adelaide	55-64		M	3502
Greater Adelaide	55-64	Did not go to school	F	1230
Greater Adelaide	55-64	Did not go to school	M	994
Greater Adelaide	55-64	Year 8 or below	F	2056
Greater Adelaide	55-64	Year 8 or below	M	2146
Greater Adelaide	55-64	Year 9	F	3405
Greater Adelaide	55-64	Year 9	M	3745
Greater Adelaide	55-64	Year 10	F	14243
Greater Adelaide	55-64	Year 10	M	14286
Greater Adelaide	55-64	Year 11	F	21032
Greater Adelaide	55-64	Year 11	M	19487
Greater Adelaide	55-64	Year 12	F	42089
Greater Adelaide	55-64	Year 12	M	37029
Greater Adelaide	65-74		F	3580
Greater Adelaide	65-74		M	3156
Greater Adelaide	65-74	Did not go to school	F	1056
Greater Adelaide	65-74	Did not go to school	M	836
Greater Adelaide	65-74	Year 8 or below	F	5112
Greater Adelaide	65-74	Year 8 or below	M	4182
Greater Adelaide	65-74	Year 9	F	4438
Greater Adelaide	65-74	Year 9	M	3596
Greater Adelaide	65-74	Year 10	F	18147
Greater Adelaide	65-74	Year 10	M	12685
Greater Adelaide	65-74	Year 11	F	15463
Greater Adelaide	65-74	Year 11	M	13136
Greater Adelaide	65-74	Year 12	F	26828
Greater Adelaide	65-74	Year 12	M	28446
Greater Adelaide	75-84		F	3713
Greater Adelaide	75-84		M	2687
Greater Adelaide	75-84	Did not go to school	F	1094
Greater Adelaide	75-84	Did not go to school	M	658
Greater Adelaide	75-84	Year 8 or below	F	7454
Greater Adelaide	75-84	Year 8 or below	M	5532
Greater Adelaide	75-84	Year 9	F	4227
Greater Adelaide	75-84	Year 9	M	2827
Greater Adelaide	75-84	Year 10	F	11180
Greater Adelaide	75-84	Year 10	M	7797
Greater Adelaide	75-84	Year 11	F	5406
Greater Adelaide	75-84	Year 11	M	4636
Greater Adelaide	75-84	Year 12	F	11730
Greater Adelaide	75-84	Year 12	M	12570
Greater Adelaide	85+		F	2856
Greater Adelaide	85+		M	1580
Greater Adelaide	85+	Did not go to school	F	925
Greater Adelaide	85+	Did not go to school	M	421
Greater Adelaide	85+	Year 8 or below	F	5740
Greater Adelaide	85+	Year 8 or below	M	3274
Greater Adelaide	85+	Year 9	F	2404
Greater Adelaide	85+	Year 9	M	1248
Greater Adelaide	85+	Year 10	F	4356
Greater Adelaide	85+	Year 10	M	2394
Greater Adelaide	85+	Year 11	F	1962
Greater Adelaide	85+	Year 11	M	1188
Greater Adelaide	85+	Year 12	F	4278
Greater Adelaide	85+	Year 12	M	3618
Rest of SA	15-19		F	627
Rest of SA	15-19		M	705
Rest of SA	15-19	Did not go to school	F	10
Rest of SA	15-19	Did not go to school	M	16
Rest of SA	15-19	Year 8 or below	F	45
Rest of SA	15-19	Year 8 or below	M	81
Rest of SA	15-19	Year 9	F	125
Rest of SA	15-19	Year 9	M	207
Rest of SA	15-19	Year 10	F	356
Rest of SA	15-19	Year 10	M	689
Rest of SA	15-19	Year 11	F	482
Rest of SA	15-19	Year 11	M	1043
Rest of SA	15-19	Year 12	F	2233
Rest of SA	15-19	Year 12	M	2043
Rest of SA	20-24		F	551
Rest of SA	20-24		M	735
Rest of SA	20-24	Did not go to school	F	10
Rest of SA	20-24	Did not go to school	M	30
Rest of SA	20-24	Year 8 or below	F	42
Rest of SA	20-24	Year 8 or below	M	90
Rest of SA	20-24	Year 9	F	109
Rest of SA	20-24	Year 9	M	169
Rest of SA	20-24	Year 10	F	543
Rest of SA	20-24	Year 10	M	1061
Rest of SA	20-24	Year 11	F	1103
Rest of SA	20-24	Year 11	M	1859
Rest of SA	20-24	Year 12	F	6048
Rest of SA	20-24	Year 12	M	5476
Rest of SA	25-34		F	1358
Rest of SA	25-34		M	1718
Rest of SA	25-34	Did not go to school	F	72
Rest of SA	25-34	Did not go to school	M	97
Rest of SA	25-34	Year 8 or below	F	193
Rest of SA	25-34	Year 8 or below	M	318
Rest of SA	25-34	Year 9	F	423
Rest of SA	25-34	Year 9	M	712
Rest of SA	25-34	Year 10	F	2106
Rest of SA	25-34	Year 10	M	3514
Rest of SA	25-34	Year 11	F	2810
Rest of SA	25-34	Year 11	M	4265
Rest of SA	25-34	Year 12	F	13241
Rest of SA	25-34	Year 12	M	10090
Rest of SA	35-44		F	1341
Rest of SA	35-44		M	1739
Rest of SA	35-44	Did not go to school	F	78
Rest of SA	35-44	Did not go to school	M	125
Rest of SA	35-44	Year 8 or below	F	248
Rest of SA	35-44	Year 8 or below	M	407
Rest of SA	35-44	Year 9	F	559
Rest of SA	35-44	Year 9	M	946
Rest of SA	35-44	Year 10	F	2468
Rest of SA	35-44	Year 10	M	4079
Rest of SA	35-44	Year 11	F	3368
Rest of SA	35-44	Year 11	M	4271
Rest of SA	35-44	Year 12	F	12738
Rest of SA	35-44	Year 12	M	9078
Rest of SA	45-54		F	1674
Rest of SA	45-54		M	2041
Rest of SA	45-54	Did not go to school	F	106
Rest of SA	45-54	Did not go to school	M	147
Rest of SA	45-54	Year 8 or below	F	347
Rest of SA	45-54	Year 8 or below	M	502
Rest of SA	45-54	Year 9	F	783
Rest of SA	45-54	Year 9	M	1299
Rest of SA	45-54	Year 10	F	3347
Rest of SA	45-54	Year 10	M	4840
Rest of SA	45-54	Year 11	F	5786
Rest of SA	45-54	Year 11	M	6357
Rest of SA	45-54	Year 12	F	12544
Rest of SA	45-54	Year 12	M	9296
Rest of SA	55-64		F	1862
Rest of SA	55-64		M	2261
Rest of SA	55-64	Did not go to school	F	93
Rest of SA	55-64	Did not go to school	M	144
Rest of SA	55-64	Year 8 or below	F	667
Rest of SA	55-64	Year 8 or below	M	1086
Rest of SA	55-64	Year 9	F	1623
Rest of SA	55-64	Year 9	M	2374
Rest of SA	55-64	Year 10	F	6186
Rest of SA	55-64	Year 10	M	7472
Rest of SA	55-64	Year 11	F	9083
Rest of SA	55-64	Year 11	M	8649
Rest of SA	55-64	Year 12	F	9494
Rest of SA	55-64	Year 12	M	7201
Rest of SA	65-74		F	2088
Rest of SA	65-74		M	2153
Rest of SA	65-74	Did not go to school	F	119
Rest of SA	65-74	Did not go to school	M	115
Rest of SA	65-74	Year 8 or below	F	1927
Rest of SA	65-74	Year 8 or below	M	2644
Rest of SA	65-74	Year 9	F	2181
Rest of SA	65-74	Year 9	M	2661
Rest of SA	65-74	Year 10	F	7782
Rest of SA	65-74	Year 10	M	7221
Rest of SA	65-74	Year 11	F	6172
Rest of SA	65-74	Year 11	M	5961
Rest of SA	65-74	Year 12	F	7014
Rest of SA	65-74	Year 12	M	7197
Rest of SA	75-84		F	1844
Rest of SA	75-84		M	1563
Rest of SA	75-84	Did not go to school	F	110
Rest of SA	75-84	Did not go to school	M	112
Rest of SA	75-84	Year 8 or below	F	2879
Rest of SA	75-84	Year 8 or below	M	3131
Rest of SA	75-84	Year 9	F	1894
Rest of SA	75-84	Year 9	M	1734
Rest of SA	75-84	Year 10	F	4218
Rest of SA	75-84	Year 10	M	3592
Rest of SA	75-84	Year 11	F	1950
Rest of SA	75-84	Year 11	M	1792
Rest of SA	75-84	Year 12	F	2960
Rest of SA	75-84	Year 12	M	3248
Rest of SA	85+		F	1076
Rest of SA	85+		M	621
Rest of SA	85+	Did not go to school	F	66
Rest of SA	85+	Did not go to school	M	53
Rest of SA	85+	Year 8 or below	F	2064
Rest of SA	85+	Year 8 or below	M	1357
Rest of SA	85+	Year 9	F	774
Rest of SA	85+	Year 9	M	537
Rest of SA	85+	Year 10	F	1241
Rest of SA	85+	Year 10	M	836
Rest of SA	85+	Year 11	F	502
Rest of SA	85+	Year 11	M	359
Rest of SA	85+	Year 12	F	841
Rest of SA	85+	Year 12	M	724
No usual address (WA)	15-19		F	65
No usual address (WA)	15-19		M	40
No usual address (WA)	15-19	Year 8 or below	F	3
No usual address (WA)	15-19	Year 8 or below	M	5
No usual address (WA)	15-19	Year 9	F	4
No usual address (WA)	15-19	Year 9	M	3
No usual address (WA)	15-19	Year 10	F	15
No usual address (WA)	15-19	Year 10	M	23
No usual address (WA)	15-19	Year 11	F	6
No usual address (WA)	15-19	Year 11	M	9
No usual address (WA)	15-19	Year 12	F	28
No usual address (WA)	15-19	Year 12	M	16
No usual address (WA)	20-24		F	106
No usual address (WA)	20-24		M	133
No usual address (WA)	20-24	Did not go to school	F	3
No usual address (WA)	20-24	Year 8 or below	M	4
No usual address (WA)	20-24	Year 9	F	10
No usual address (WA)	20-24	Year 9	M	5
No usual address (WA)	20-24	Year 10	F	16
No usual address (WA)	20-24	Year 10	M	36
No usual address (WA)	20-24	Year 11	F	17
No usual address (WA)	20-24	Year 11	M	21
No usual address (WA)	20-24	Year 12	F	113
No usual address (WA)	20-24	Year 12	M	105
No usual address (WA)	25-34		F	263
No usual address (WA)	25-34		M	398
No usual address (WA)	25-34	Did not go to school	F	3
No usual address (WA)	25-34	Did not go to school	M	3
No usual address (WA)	25-34	Year 8 or below	M	8
No usual address (WA)	25-34	Year 9	F	8
No usual address (WA)	25-34	Year 9	M	16
No usual address (WA)	25-34	Year 10	F	46
No usual address (WA)	25-34	Year 10	M	81
No usual address (WA)	25-34	Year 11	F	32
No usual address (WA)	25-34	Year 11	M	41
No usual address (WA)	25-34	Year 12	F	339
No usual address (WA)	25-34	Year 12	M	277
No usual address (WA)	35-44		F	281
No usual address (WA)	35-44		M	529
No usual address (WA)	35-44	Did not go to school	F	3
No usual address (WA)	35-44	Did not go to school	M	6
No usual address (WA)	35-44	Year 8 or below	F	5
No usual address (WA)	35-44	Year 8 or below	M	5
No usual address (WA)	35-44	Year 9	F	14
No usual address (WA)	35-44	Year 9	M	17
No usual address (WA)	35-44	Year 10	F	49
No usual address (WA)	35-44	Year 10	M	108
No usual address (WA)	35-44	Year 11	F	34
No usual address (WA)	35-44	Year 11	M	47
No usual address (WA)	35-44	Year 12	F	226
No usual address (WA)	35-44	Year 12	M	218
No usual address (WA)	45-54		F	227
No usual address (WA)	45-54		M	508
No usual address (WA)	45-54	Year 8 or below	F	3
No usual address (WA)	45-54	Year 8 or below	M	8
No usual address (WA)	45-54	Year 9	F	13
No usual address (WA)	45-54	Year 9	M	19
No usual address (WA)	45-54	Year 10	F	61
No usual address (WA)	45-54	Year 10	M	110
No usual address (WA)	45-54	Year 11	F	42
No usual address (WA)	45-54	Year 11	M	42
No usual address (WA)	45-54	Year 12	F	118
No usual address (WA)	45-54	Year 12	M	148
No usual address (WA)	55-64		F	158
No usual address (WA)	55-64		M	336
No usual address (WA)	55-64	Did not go to school	F	3
No usual address (WA)	55-64	Year 8 or below	M	11
No usual address (WA)	55-64	Year 9	F	12
No usual address (WA)	55-64	Year 9	M	26
No usual address (WA)	55-64	Year 10	F	117
No usual address (WA)	55-64	Year 10	M	140
No usual address (WA)	55-64	Year 11	F	56
No usual address (WA)	55-64	Year 11	M	40
No usual address (WA)	55-64	Year 12	F	135
No usual address (WA)	55-64	Year 12	M	112
No usual address (WA)	65-74		F	94
No usual address (WA)	65-74		M	154
No usual address (WA)	65-74	Did not go to school	M	4
No usual address (WA)	65-74	Year 8 or below	F	14
No usual address (WA)	65-74	Year 8 or below	M	25
No usual address (WA)	65-74	Year 9	F	25
No usual address (WA)	65-74	Year 9	M	40
No usual address (WA)	65-74	Year 10	F	98
No usual address (WA)	65-74	Year 10	M	96
No usual address (WA)	65-74	Year 11	F	19
No usual address (WA)	65-74	Year 11	M	29
No usual address (WA)	65-74	Year 12	F	70
No usual address (WA)	65-74	Year 12	M	99
No usual address (WA)	75-84		F	21
No usual address (WA)	75-84		M	48
No usual address (WA)	75-84	Year 8 or below	F	4
No usual address (WA)	75-84	Year 8 or below	M	15
No usual address (WA)	75-84	Year 10	F	9
No usual address (WA)	75-84	Year 10	M	24
No usual address (WA)	75-84	Year 11	M	8
No usual address (WA)	75-84	Year 12	F	4
No usual address (WA)	75-84	Year 12	M	22
No usual address (WA)	85+		F	12
No usual address (WA)	85+		M	10
No usual address (WA)	85+	Year 8 or below	F	7
No usual address (WA)	85+	Year 12	M	3
Migratory - Offshore - Shipping (WA)	15-19		M	7
Migratory - Offshore - Shipping (WA)	20-24		F	5
Migratory - Offshore - Shipping (WA)	20-24		M	13
Migratory - Offshore - Shipping (WA)	20-24	Year 12	F	9
Migratory - Offshore - Shipping (WA)	20-24	Year 12	M	9
Migratory - Offshore - Shipping (WA)	25-34		F	3
Migratory - Offshore - Shipping (WA)	25-34		M	44
Migratory - Offshore - Shipping (WA)	25-34	Year 9	M	6
Migratory - Offshore - Shipping (WA)	25-34	Year 10	M	8
Migratory - Offshore - Shipping (WA)	25-34	Year 11	M	8
Migratory - Offshore - Shipping (WA)	25-34	Year 12	F	8
Migratory - Offshore - Shipping (WA)	25-34	Year 12	M	34
Migratory - Offshore - Shipping (WA)	35-44		F	3
Migratory - Offshore - Shipping (WA)	35-44		M	72
Migratory - Offshore - Shipping (WA)	35-44	Year 10	M	27
Migratory - Offshore - Shipping (WA)	35-44	Year 11	M	16
Migratory - Offshore - Shipping (WA)	35-44	Year 12	F	9
Migratory - Offshore - Shipping (WA)	35-44	Year 12	M	47
Migratory - Offshore - Shipping (WA)	45-54		F	8
Migratory - Offshore - Shipping (WA)	45-54		M	45
Migratory - Offshore - Shipping (WA)	45-54	Year 10	M	15
Migratory - Offshore - Shipping (WA)	45-54	Year 11	M	12
Migratory - Offshore - Shipping (WA)	45-54	Year 12	F	6
Migratory - Offshore - Shipping (WA)	45-54	Year 12	M	28
Migratory - Offshore - Shipping (WA)	55-64		M	20
Migratory - Offshore - Shipping (WA)	55-64	Year 9	M	3
Migratory - Offshore - Shipping (WA)	55-64	Year 10	M	10
Migratory - Offshore - Shipping (WA)	55-64	Year 11	M	3
Migratory - Offshore - Shipping (WA)	55-64	Year 12	M	19
Migratory - Offshore - Shipping (WA)	65-74		M	4
Migratory - Offshore - Shipping (WA)	65-74	Year 12	F	5
Migratory - Offshore - Shipping (WA)	65-74	Year 12	M	6
Greater Perth	15-19		F	2118
Greater Perth	15-19		M	2282
Greater Perth	15-19	Did not go to school	F	50
Greater Perth	15-19	Did not go to school	M	54
Greater Perth	15-19	Year 8 or below	F	211
Greater Perth	15-19	Year 8 or below	M	257
Greater Perth	15-19	Year 9	F	749
Greater Perth	15-19	Year 9	M	1017
Greater Perth	15-19	Year 10	F	2649
Greater Perth	15-19	Year 10	M	3583
Greater Perth	15-19	Year 11	F	1818
Greater Perth	15-19	Year 11	M	2830
Greater Perth	15-19	Year 12	F	19050
Greater Perth	15-19	Year 12	M	18193
Greater Perth	20-24		F	3049
Greater Perth	20-24		M	3728
Greater Perth	20-24	Did not go to school	F	88
Greater Perth	20-24	Did not go to school	M	148
Greater Perth	20-24	Year 8 or below	F	189
Greater Perth	20-24	Year 8 or below	M	275
Greater Perth	20-24	Year 9	F	530
Greater Perth	20-24	Year 9	M	739
Greater Perth	20-24	Year 10	F	4075
Greater Perth	20-24	Year 10	M	5532
Greater Perth	20-24	Year 11	F	3381
Greater Perth	20-24	Year 11	M	4655
Greater Perth	20-24	Year 12	F	53926
Greater Perth	20-24	Year 12	M	52083
Greater Perth	25-34		F	7864
Greater Perth	25-34		M	10482
Greater Perth	25-34	Did not go to school	F	625
Greater Perth	25-34	Did not go to school	M	713
Greater Perth	25-34	Year 8 or below	F	787
Greater Perth	25-34	Year 8 or below	M	900
Greater Perth	25-34	Year 9	F	1426
Greater Perth	25-34	Year 9	M	2095
Greater Perth	25-34	Year 10	F	13117
Greater Perth	25-34	Year 10	M	17804
Greater Perth	25-34	Year 11	F	9899
Greater Perth	25-34	Year 11	M	12830
Greater Perth	25-34	Year 12	F	120817
Greater Perth	25-34	Year 12	M	104318
Greater Perth	35-44		F	6506
Greater Perth	35-44		M	9833
Greater Perth	35-44	Did not go to school	F	999
Greater Perth	35-44	Did not go to school	M	906
Greater Perth	35-44	Year 8 or below	F	1346
Greater Perth	35-44	Year 8 or below	M	1314
Greater Perth	35-44	Year 9	F	1973
Greater Perth	35-44	Year 9	M	2646
Greater Perth	35-44	Year 10	F	14732
Greater Perth	35-44	Year 10	M	19489
Greater Perth	35-44	Year 11	F	10388
Greater Perth	35-44	Year 11	M	13207
Greater Perth	35-44	Year 12	F	119024
Greater Perth	35-44	Year 12	M	104360
Greater Perth	45-54		F	5459
Greater Perth	45-54		M	8530
Greater Perth	45-54	Did not go to school	F	1114
Greater Perth	45-54	Did not go to school	M	1061
Greater Perth	45-54	Year 8 or below	F	1836
Greater Perth	45-54	Year 8 or below	M	1581
Greater Perth	45-54	Year 9	F	2527
Greater Perth	45-54	Year 9	M	3253
Greater Perth	45-54	Year 10	F	24100
Greater Perth	45-54	Year 10	M	27350
Greater Perth	45-54	Year 11	F	13590
Greater Perth	45-54	Year 11	M	13545
Greater Perth	45-54	Year 12	F	90024
Greater Perth	45-54	Year 12	M	80403
Greater Perth	55-64		F	4993
Greater Perth	55-64		M	6813
Greater Perth	55-64	Did not go to school	F	1248
Greater Perth	55-64	Did not go to school	M	968
Greater Perth	55-64	Year 8 or below	F	2648
Greater Perth	55-64	Year 8 or below	M	2371
Greater Perth	55-64	Year 9	F	3846
Greater Perth	55-64	Year 9	M	4376
Greater Perth	55-64	Year 10	F	31159
Greater Perth	55-64	Year 10	M	32785
Greater Perth	55-64	Year 11	F	14630
Greater Perth	55-64	Year 11	M	11343
Greater Perth	55-64	Year 12	F	64534
Greater Perth	55-64	Year 12	M	58297
Greater Perth	65-74		F	5478
Greater Perth	65-74		M	5105
Greater Perth	65-74	Did not go to school	F	1101
Greater Perth	65-74	Did not go to school	M	809
Greater Perth	65-74	Year 8 or below	F	5012
Greater Perth	65-74	Year 8 or below	M	4197
Greater Perth	65-74	Year 9	F	5682
Greater Perth	65-74	Year 9	M	5244
Greater Perth	65-74	Year 10	F	32304
Greater Perth	65-74	Year 10	M	25681
Greater Perth	65-74	Year 11	F	8338
Greater Perth	65-74	Year 11	M	6214
Greater Perth	65-74	Year 12	F	41310
Greater Perth	65-74	Year 12	M	43343
Greater Perth	75-84		F	5577
Greater Perth	75-84		M	4275
Greater Perth	75-84	Did not go to school	F	940
Greater Perth	75-84	Did not go to school	M	633
Greater Perth	75-84	Year 8 or below	F	6166
Greater Perth	75-84	Year 8 or below	M	5253
Greater Perth	75-84	Year 9	F	4906
Greater Perth	75-84	Year 9	M	4126
Greater Perth	75-84	Year 10	F	16136
Greater Perth	75-84	Year 10	M	11810
Greater Perth	75-84	Year 11	F	3442
Greater Perth	75-84	Year 11	M	2756
Greater Perth	75-84	Year 12	F	17776
Greater Perth	75-84	Year 12	M	19211
Greater Perth	85+		F	4786
Greater Perth	85+		M	2594
Greater Perth	85+	Did not go to school	F	798
Greater Perth	85+	Did not go to school	M	360
Greater Perth	85+	Year 8 or below	F	4378
Greater Perth	85+	Year 8 or below	M	2754
Greater Perth	85+	Year 9	F	2597
Greater Perth	85+	Year 9	M	1580
Greater Perth	85+	Year 10	F	5792
Greater Perth	85+	Year 10	M	3078
Greater Perth	85+	Year 11	F	972
Greater Perth	85+	Year 11	M	600
Greater Perth	85+	Year 12	F	5696
Greater Perth	85+	Year 12	M	4823
Rest of WA	15-19		F	1218
Rest of WA	15-19		M	1425
Rest of WA	15-19	Did not go to school	F	17
Rest of WA	15-19	Did not go to school	M	26
Rest of WA	15-19	Year 8 or below	F	108
Rest of WA	15-19	Year 8 or below	M	145
Rest of WA	15-19	Year 9	F	336
Rest of WA	15-19	Year 9	M	433
Rest of WA	15-19	Year 10	F	1083
Rest of WA	15-19	Year 10	M	1700
Rest of WA	15-19	Year 11	F	769
Rest of WA	15-19	Year 11	M	1305
Rest of WA	15-19	Year 12	F	3145
Rest of WA	15-19	Year 12	M	2964
Rest of WA	20-24		F	1331
Rest of WA	20-24		M	1754
Rest of WA	20-24	Did not go to school	F	27
Rest of WA	20-24	Did not go to school	M	34
Rest of WA	20-24	Year 8 or below	F	89
Rest of WA	20-24	Year 8 or below	M	119
Rest of WA	20-24	Year 9	F	234
Rest of WA	20-24	Year 9	M	304
Rest of WA	20-24	Year 10	F	1517
Rest of WA	20-24	Year 10	M	2146
Rest of WA	20-24	Year 11	F	1087
Rest of WA	20-24	Year 11	M	1732
Rest of WA	20-24	Year 12	F	7782
Rest of WA	20-24	Year 12	M	7416
Rest of WA	25-34		F	3540
Rest of WA	25-34		M	5011
Rest of WA	25-34	Did not go to school	F	93
Rest of WA	25-34	Did not go to school	M	144
Rest of WA	25-34	Year 8 or below	F	221
Rest of WA	25-34	Year 8 or below	M	346
Rest of WA	25-34	Year 9	F	538
Rest of WA	25-34	Year 9	M	853
Rest of WA	25-34	Year 10	F	4429
Rest of WA	25-34	Year 10	M	6771
Rest of WA	25-34	Year 11	F	3343
Rest of WA	25-34	Year 11	M	4165
Rest of WA	25-34	Year 12	F	20864
Rest of WA	25-34	Year 12	M	16465
Rest of WA	35-44		F	3394
Rest of WA	35-44		M	4920
Rest of WA	35-44	Did not go to school	F	94
Rest of WA	35-44	Did not go to school	M	159
Rest of WA	35-44	Year 8 or below	F	295
Rest of WA	35-44	Year 8 or below	M	395
Rest of WA	35-44	Year 9	F	672
Rest of WA	35-44	Year 9	M	1074
Rest of WA	35-44	Year 10	F	5548
Rest of WA	35-44	Year 10	M	7905
Rest of WA	35-44	Year 11	F	3750
Rest of WA	35-44	Year 11	M	4490
Rest of WA	35-44	Year 12	F	21291
Rest of WA	35-44	Year 12	M	16811
Rest of WA	45-54		F	3276
Rest of WA	45-54		M	4977
Rest of WA	45-54	Did not go to school	F	138
Rest of WA	45-54	Did not go to school	M	194
Rest of WA	45-54	Year 8 or below	F	420
Rest of WA	45-54	Year 8 or below	M	615
Rest of WA	45-54	Year 9	F	874
Rest of WA	45-54	Year 9	M	1421
Rest of WA	45-54	Year 10	F	8538
Rest of WA	45-54	Year 10	M	10660
Rest of WA	45-54	Year 11	F	4628
Rest of WA	45-54	Year 11	M	4728
Rest of WA	45-54	Year 12	F	17393
Rest of WA	45-54	Year 12	M	14362
Rest of WA	55-64		F	3111
Rest of WA	55-64		M	4387
Rest of WA	55-64	Did not go to school	F	138
Rest of WA	55-64	Did not go to school	M	194
Rest of WA	55-64	Year 8 or below	F	693
Rest of WA	55-64	Year 8 or below	M	985
Rest of WA	55-64	Year 9	F	1395
Rest of WA	55-64	Year 9	M	2154
Rest of WA	55-64	Year 10	F	11031
Rest of WA	55-64	Year 10	M	13763
Rest of WA	55-64	Year 11	F	5194
Rest of WA	55-64	Year 11	M	3871
Rest of WA	55-64	Year 12	F	13637
Rest of WA	55-64	Year 12	M	11488
Rest of WA	65-74		F	2574
Rest of WA	65-74		M	3015
Rest of WA	65-74	Did not go to school	F	165
Rest of WA	65-74	Did not go to school	M	150
Rest of WA	65-74	Year 8 or below	F	1282
Rest of WA	65-74	Year 8 or below	M	1872
Rest of WA	65-74	Year 9	F	1897
Rest of WA	65-74	Year 9	M	2521
Rest of WA	65-74	Year 10	F	10120
Rest of WA	65-74	Year 10	M	10284
Rest of WA	65-74	Year 11	F	2855
Rest of WA	65-74	Year 11	M	2171
Rest of WA	65-74	Year 12	F	8581
Rest of WA	65-74	Year 12	M	9136
Rest of WA	75-84		F	1903
Rest of WA	75-84		M	1766
Rest of WA	75-84	Did not go to school	F	147
Rest of WA	75-84	Did not go to school	M	156
Rest of WA	75-84	Year 8 or below	F	1738
Rest of WA	75-84	Year 8 or below	M	2038
Rest of WA	75-84	Year 9	F	1511
Rest of WA	75-84	Year 9	M	1622
Rest of WA	75-84	Year 10	F	4254
Rest of WA	75-84	Year 10	M	3929
Rest of WA	75-84	Year 11	F	959
Rest of WA	75-84	Year 11	M	824
Rest of WA	75-84	Year 12	F	3491
Rest of WA	75-84	Year 12	M	3525
Rest of WA	85+		F	1101
Rest of WA	85+		M	662
Rest of WA	85+	Did not go to school	F	110
Rest of WA	85+	Did not go to school	M	87
Rest of WA	85+	Year 8 or below	F	1085
Rest of WA	85+	Year 8 or below	M	945
Rest of WA	85+	Year 9	F	644
Rest of WA	85+	Year 9	M	458
Rest of WA	85+	Year 10	F	1269
Rest of WA	85+	Year 10	M	752
Rest of WA	85+	Year 11	F	210
Rest of WA	85+	Year 11	M	165
Rest of WA	85+	Year 12	F	970
Rest of WA	85+	Year 12	M	774
No usual address (Tas.)	15-19		F	10
No usual address (Tas.)	15-19		M	9
No usual address (Tas.)	15-19	Year 8 or below	F	4
No usual address (Tas.)	15-19	Year 8 or below	M	7
No usual address (Tas.)	15-19	Year 9	M	4
No usual address (Tas.)	15-19	Year 10	F	8
No usual address (Tas.)	15-19	Year 10	M	8
No usual address (Tas.)	15-19	Year 11	F	4
No usual address (Tas.)	15-19	Year 11	M	6
No usual address (Tas.)	15-19	Year 12	F	5
No usual address (Tas.)	15-19	Year 12	M	7
No usual address (Tas.)	20-24		F	10
No usual address (Tas.)	20-24		M	8
No usual address (Tas.)	20-24	Year 8 or below	M	4
No usual address (Tas.)	20-24	Year 10	F	12
No usual address (Tas.)	20-24	Year 10	M	21
No usual address (Tas.)	20-24	Year 11	F	4
No usual address (Tas.)	20-24	Year 11	M	8
No usual address (Tas.)	20-24	Year 12	F	29
No usual address (Tas.)	20-24	Year 12	M	26
No usual address (Tas.)	25-34		F	11
No usual address (Tas.)	25-34		M	40
No usual address (Tas.)	25-34	Year 9	M	7
No usual address (Tas.)	25-34	Year 10	F	15
No usual address (Tas.)	25-34	Year 10	M	33
No usual address (Tas.)	25-34	Year 11	F	3
No usual address (Tas.)	25-34	Year 11	M	16
