GCCSA_NAME21	Age5yr	Indigenous	Sex	persons
Greater Melbourne	15-19	1	F	1424
Greater Melbourne	15-19	1	M	1523
Greater Melbourne	20-24		F	6524
Greater Melbourne	20-24		M	7450
Greater Melbourne	20-24	0	F	151903
Greater Melbourne	20-24	0	M	159339
Greater Melbourne	20-24	1	F	1659
Greater Melbourne	20-24	1	M	1662
Greater Melbourne	25-29		F	8919
Greater Melbourne	25-29		M	9815
Greater Melbourne	25-29	0	F	179525
Greater Melbourne	25-29	0	M	181784
Greater Melbourne	25-29	1	F	1478
Greater Melbourne	25-29	1	M	1615
Greater Melbourne	30-34		F	8824
Greater Melbourne	30-34		M	8904
Greater Melbourne	30-34	0	F	198093
Greater Melbourne	30-34	0	M	187174
Greater Melbourne	30-34	1	F	1258
Greater Melbourne	30-34	1	M	1309
Greater Melbourne	35-39		F	8008
Greater Melbourne	35-39		M	8258
Greater Melbourne	35-39	0	F	192009
Greater Melbourne	35-39	0	M	185525
Greater Melbourne	35-39	1	F	957
Greater Melbourne	35-39	1	M	1045
Greater Melbourne	40-44		F	6270
Greater Melbourne	40-44		M	7025
Greater Melbourne	40-44	0	F	163083
Greater Melbourne	40-44	0	M	161167
Greater Melbourne	40-44	1	F	878
Greater Melbourne	40-44	1	M	875
Greater Melbourne	45-49		F	5823
Greater Melbourne	45-49		M	6278
Greater Melbourne	45-49	0	F	157121
Greater Melbourne	45-49	0	M	149400
Greater Melbourne	45-49	1	F	874
Greater Melbourne	45-49	1	M	862
Greater Melbourne	50-54		F	5268
Greater Melbourne	50-54		M	5843
Greater Melbourne	50-54	0	F	152846
Greater Melbourne	50-54	0	M	143096
Greater Melbourne	50-54	1	F	827
Greater Melbourne	50-54	1	M	868
Greater Melbourne	55-59		F	4655
Greater Melbourne	55-59		M	5237
Greater Melbourne	55-59	0	F	137068
Greater Melbourne	55-59	0	M	129719
Greater Melbourne	55-59	1	F	706
Greater Melbourne	55-59	1	M	594
Greater Melbourne	60-64		F	4207
Greater Melbourne	60-64		M	4371
Greater Melbourne	60-64	0	F	126243
Greater Melbourne	60-64	0	M	116182
Greater Melbourne	60-64	1	F	485
Greater Melbourne	60-64	1	M	516
Greater Melbourne	65+		F	17043
Greater Melbourne	65+		M	14180
Greater Melbourne	65+	0	F	385930
Greater Melbourne	65+	0	M	321021
Greater Melbourne	65+	1	F	991
Greater Melbourne	65+	1	M	880
Rest of Vic.	0-4		F	2137
Rest of Vic.	0-4		M	2261
Rest of Vic.	0-4	0	F	37698
Rest of Vic.	0-4	0	M	39120
Rest of Vic.	0-4	1	F	1807
Rest of Vic.	0-4	1	M	1812
Rest of Vic.	5-9		F	2785
Rest of Vic.	5-9		M	3055
Rest of Vic.	5-9	0	F	41026
Rest of Vic.	5-9	0	M	43512
Rest of Vic.	5-9	1	F	1879
Rest of Vic.	5-9	1	M	1995
Rest of Vic.	10-14		F	2863
Rest of Vic.	10-14		M	3108
Rest of Vic.	10-14	0	F	42489
Rest of Vic.	10-14	0	M	45378
Rest of Vic.	10-14	1	F	1836
Rest of Vic.	10-14	1	M	1968
Rest of Vic.	15-19		F	2549
Rest of Vic.	15-19		M	2634
Rest of Vic.	15-19	0	F	38545
Rest of Vic.	15-19	0	M	41261
Rest of Vic.	15-19	1	F	1527
Rest of Vic.	15-19	1	M	1521
Rest of Vic.	20-24		F	2226
Rest of Vic.	20-24		M	2525
Rest of Vic.	20-24	0	F	35879
Rest of Vic.	20-24	0	M	37924
Rest of Vic.	20-24	1	F	1289
Rest of Vic.	20-24	1	M	1288
Rest of Vic.	25-29		F	2649
Rest of Vic.	25-29		M	2706
Rest of Vic.	25-29	0	F	41855
Rest of Vic.	25-29	0	M	41919
Rest of Vic.	25-29	1	F	1174
Rest of Vic.	25-29	1	M	1171
Rest of Vic.	30-34		F	2553
Rest of Vic.	30-34		M	2645
Rest of Vic.	30-34	0	F	44256
Rest of Vic.	30-34	0	M	42037
Rest of Vic.	30-34	1	F	1044
Rest of Vic.	30-34	1	M	978
Rest of Vic.	35-39		F	2818
Rest of Vic.	35-39		M	2691
Rest of Vic.	35-39	0	F	44575
Rest of Vic.	35-39	0	M	41412
Rest of Vic.	35-39	1	F	870
Rest of Vic.	35-39	1	M	825
Rest of Vic.	40-44		F	2597
Rest of Vic.	40-44		M	2611
Rest of Vic.	40-44	0	F	42446
Rest of Vic.	40-44	0	M	39568
Rest of Vic.	40-44	1	F	784
Rest of Vic.	40-44	1	M	686
Rest of Vic.	45-49		F	2671
Rest of Vic.	45-49		M	2827
Rest of Vic.	45-49	0	F	45720
Rest of Vic.	45-49	0	M	42721
Rest of Vic.	45-49	1	F	779
Rest of Vic.	45-49	1	M	717
Rest of Vic.	50-54		F	2632
Rest of Vic.	50-54		M	2923
Rest of Vic.	50-54	0	F	48671
Rest of Vic.	50-54	0	M	45137
Rest of Vic.	50-54	1	F	842
Rest of Vic.	50-54	1	M	742
Rest of Vic.	55-59		F	2736
Rest of Vic.	55-59		M	2985
Rest of Vic.	55-59	0	F	51188
Rest of Vic.	55-59	0	M	47042
Rest of Vic.	55-59	1	F	725
Rest of Vic.	55-59	1	M	693
Rest of Vic.	60-64		F	2812
Rest of Vic.	60-64		M	3040
Rest of Vic.	60-64	0	F	53425
Rest of Vic.	60-64	0	M	49633
Rest of Vic.	60-64	1	F	646
Rest of Vic.	60-64	1	M	563
Rest of Vic.	65+		F	10778
Rest of Vic.	65+		M	10161
Rest of Vic.	65+	0	F	172722
Rest of Vic.	65+	0	M	156258
Rest of Vic.	65+	1	F	1094
Rest of Vic.	65+	1	M	979
No usual address (Qld)	0-4		F	35
No usual address (Qld)	0-4		M	34
No usual address (Qld)	0-4	0	F	155
No usual address (Qld)	0-4	0	M	197
No usual address (Qld)	0-4	1	F	43
No usual address (Qld)	0-4	1	M	52
No usual address (Qld)	5-9		F	25
No usual address (Qld)	5-9		M	27
No usual address (Qld)	5-9	0	F	177
No usual address (Qld)	5-9	0	M	206
No usual address (Qld)	5-9	1	F	44
No usual address (Qld)	5-9	1	M	32
No usual address (Qld)	10-14		F	27
No usual address (Qld)	10-14		M	24
No usual address (Qld)	10-14	0	F	143
No usual address (Qld)	10-14	0	M	155
No usual address (Qld)	10-14	1	F	33
No usual address (Qld)	10-14	1	M	34
No usual address (Qld)	15-19		F	40
No usual address (Qld)	15-19		M	40
No usual address (Qld)	15-19	0	F	205
No usual address (Qld)	15-19	0	M	177
No usual address (Qld)	15-19	1	F	43
No usual address (Qld)	15-19	1	M	55
No usual address (Qld)	20-24		F	89
