GCCSA_NAME21	Age5yr	Indigenous	persons
No usual address (NT)	0-4		20
No usual address (NT)	0-4	0	78
No usual address (NT)	0-4	1	75
No usual address (NT)	5-9		14
No usual address (NT)	5-9	0	101
No usual address (NT)	5-9	1	58
No usual address (NT)	10-14		10
No usual address (NT)	10-14	0	61
No usual address (NT)	10-14	1	42
No usual address (NT)	15-19		24
No usual address (NT)	15-19	0	25
No usual address (NT)	15-19	1	52
No usual address (NT)	20-24		46
No usual address (NT)	20-24	0	61
No usual address (NT)	20-24	1	81
No usual address (NT)	25-29		73
No usual address (NT)	25-29	0	168
No usual address (NT)	25-29	1	86
No usual address (NT)	30-34		60
No usual address (NT)	30-34	0	159
No usual address (NT)	30-34	1	112
No usual address (NT)	35-39		53
No usual address (NT)	35-39	0	141
No usual address (NT)	35-39	1	117
No usual address (NT)	40-44		37
No usual address (NT)	40-44	0	118
No usual address (NT)	40-44	1	116
No usual address (NT)	45-49		52
No usual address (NT)	45-49	0	90
No usual address (NT)	45-49	1	155
No usual address (NT)	50-54		43
No usual address (NT)	50-54	0	113
No usual address (NT)	50-54	1	139
No usual address (NT)	55-59		56
No usual address (NT)	55-59	0	121
No usual address (NT)	55-59	1	122
No usual address (NT)	60-64		61
No usual address (NT)	60-64	0	155
No usual address (NT)	60-64	1	73
No usual address (NT)	65+		59
No usual address (NT)	65+	0	252
No usual address (NT)	65+	1	56
Migratory - Offshore - Shipping (NT)	15-19	0	3
Migratory - Offshore - Shipping (NT)	20-24	0	6
Migratory - Offshore - Shipping (NT)	25-29	0	4
Migratory - Offshore - Shipping (NT)	25-29	1	3
Migratory - Offshore - Shipping (NT)	30-34		6
Migratory - Offshore - Shipping (NT)	30-34	0	12
Migratory - Offshore - Shipping (NT)	35-39	0	9
Migratory - Offshore - Shipping (NT)	40-44		3
Migratory - Offshore - Shipping (NT)	40-44	0	4
Migratory - Offshore - Shipping (NT)	45-49		6
Migratory - Offshore - Shipping (NT)	45-49	0	3
Migratory - Offshore - Shipping (NT)	50-54	0	5
Migratory - Offshore - Shipping (NT)	55-59	0	4
Migratory - Offshore - Shipping (NT)	60-64		10
Migratory - Offshore - Shipping (NT)	60-64	0	8
Greater Darwin	0-4		639
Greater Darwin	0-4	0	7444
Greater Darwin	0-4	1	1470
Greater Darwin	5-9		803
Greater Darwin	5-9	0	7454
Greater Darwin	5-9	1	1480
Greater Darwin	10-14		689
Greater Darwin	10-14	0	6785
Greater Darwin	10-14	1	1533
Greater Darwin	15-19		568
Greater Darwin	15-19	0	5754
Greater Darwin	15-19	1	1329
Greater Darwin	20-24		780
Greater Darwin	20-24	0	7030
Greater Darwin	20-24	1	1241
Greater Darwin	25-29		1061
Greater Darwin	25-29	0	10254
Greater Darwin	25-29	1	1270
Greater Darwin	30-34		1108
Greater Darwin	30-34	0	11166
Greater Darwin	30-34	1	1095
Greater Darwin	35-39		937
Greater Darwin	35-39	0	9986
Greater Darwin	35-39	1	924
Greater Darwin	40-44		846
Greater Darwin	40-44	0	8564
Greater Darwin	40-44	1	845
Greater Darwin	45-49		820
Greater Darwin	45-49	0	7702
Greater Darwin	45-49	1	822
Greater Darwin	50-54		722
Greater Darwin	50-54	0	7599
Greater Darwin	50-54	1	744
Greater Darwin	55-59		635
Greater Darwin	55-59	0	6694
Greater Darwin	55-59	1	597
Greater Darwin	60-64		502
Greater Darwin	60-64	0	5762
Greater Darwin	60-64	1	452
Greater Darwin	65+		1039
Greater Darwin	65+	0	12034
Greater Darwin	65+	1	746
Rest of NT	0-4		345
Rest of NT	0-4	0	2332
Rest of NT	0-4	1	3826
Rest of NT	5-9		398
Rest of NT	5-9	0	2290
Rest of NT	5-9	1	4255
Rest of NT	10-14		380
Rest of NT	10-14	0	1888
Rest of NT	10-14	1	4442
Rest of NT	15-19		375
Rest of NT	15-19	0	1540
Rest of NT	15-19	1	4511
Rest of NT	20-24		486
Rest of NT	20-24	0	1848
Rest of NT	20-24	1	4221
Rest of NT	25-29		700
Rest of NT	25-29	0	3419
Rest of NT	25-29	1	3908
Rest of NT	30-34		665
Rest of NT	30-34	0	3867
Rest of NT	30-34	1	3709
Rest of NT	35-39		594
Rest of NT	35-39	0	3338
Rest of NT	35-39	1	3307
Rest of NT	40-44		505
Rest of NT	40-44	0	2511
Rest of NT	40-44	1	2866
Rest of NT	45-49		480
Rest of NT	45-49	0	2387
Rest of NT	45-49	1	2540
Rest of NT	50-54		505
Rest of NT	50-54	0	2589
Rest of NT	50-54	1	2450
Rest of NT	55-59		529
Rest of NT	55-59	0	2553
Rest of NT	55-59	1	1780
Rest of NT	60-64		377
Rest of NT	60-64	0	2330
Rest of NT	60-64	1	1432
Rest of NT	65+		669
Rest of NT	65+	0	3916
Rest of NT	65+	1	2046
No usual address (ACT)	0-4	0	11
No usual address (ACT)	0-4	1	4
No usual address (ACT)	5-9	0	6
No usual address (ACT)	10-14		3
No usual address (ACT)	10-14	0	12
No usual address (ACT)	15-19	0	53
No usual address (ACT)	15-19	1	10
No usual address (ACT)	20-24		8
No usual address (ACT)	20-24	0	66
No usual address (ACT)	20-24	1	5
No usual address (ACT)	25-29		10
No usual address (ACT)	25-29	0	58
No usual address (ACT)	25-29	1	3
No usual address (ACT)	30-34		6
No usual address (ACT)	30-34	0	35
No usual address (ACT)	35-39		7
No usual address (ACT)	35-39	0	32
No usual address (ACT)	35-39	1	3
No usual address (ACT)	40-44		13
No usual address (ACT)	40-44	0	39
No usual address (ACT)	40-44	1	4
No usual address (ACT)	45-49		8
No usual address (ACT)	45-49	0	28
No usual address (ACT)	45-49	1	5
No usual address (ACT)	50-54		5
No usual address (ACT)	50-54	0	29
No usual address (ACT)	55-59		7
No usual address (ACT)	55-59	0	20
No usual address (ACT)	55-59	1	4
No usual address (ACT)	60-64		9
No usual address (ACT)	60-64	0	32
No usual address (ACT)	60-64	1	3
No usual address (ACT)	65+		9
No usual address (ACT)	65+	0	34
Australian Capital Territory	0-4		754
Australian Capital Territory	0-4	0	25017
Australian Capital Territory	0-4	1	883
Australian Capital Territory	5-9		877
Australian Capital Territory	5-9	0	27337
Australian Capital Territory	5-9	1	944
Australian Capital Territory	10-14		795
Australian Capital Territory	10-14	0	25446
Australian Capital Territory	10-14	1	838
Australian Capital Territory	15-19		1099
Australian Capital Territory	15-19	0	24304
Australian Capital Territory	15-19	1	887
Australian Capital Territory	20-24		1635
Australian Capital Territory	20-24	0	31610
Australian Capital Territory	20-24	1	935
Australian Capital Territory	25-29		1591
Australian Capital Territory	25-29	0	36784
Australian Capital Territory	25-29	1	841
Australian Capital Territory	30-34		1476
Australian Capital Territory	30-34	0	36240
Australian Capital Territory	30-34	1	704
Australian Capital Territory	35-39		1260
Australian Capital Territory	35-39	0	35375
Australian Capital Territory	35-39	1	560
Australian Capital Territory	40-44		1025
Australian Capital Territory	40-44	0	30562
Australian Capital Territory	40-44	1	502
Australian Capital Territory	45-49		897
Australian Capital Territory	45-49	0	27902
Australian Capital Territory	45-49	1	445
Australian Capital Territory	50-54		832
Australian Capital Territory	50-54	0	25646
Australian Capital Territory	50-54	1	410
Australian Capital Territory	55-59		762
Australian Capital Territory	55-59	0	22801
Australian Capital Territory	55-59	1	329
Australian Capital Territory	60-64		643
Australian Capital Territory	60-64	0	20545
Australian Capital Territory	60-64	1	244
Australian Capital Territory	65+		2277
Australian Capital Territory	65+	0	59492
Australian Capital Territory	65+	1	386
No usual address (OT)	60-64	0	5
No usual address (OT)	60-64	1	4
Other Territories	0-4		30
Other Territories	0-4	0	202
Other Territories	0-4	1	13
Other Territories	5-9		27
Other Territories	5-9	0	252
Other Territories	5-9	1	14
Other Territories	10-14		42
Other Territories	10-14	0	231
Other Territories	10-14	1	19
Other Territories	15-19		29
Other Territories	15-19	0	153
Other Territories	15-19	1	14
Other Territories	20-24		34
Other Territories	20-24	0	167
Other Territories	20-24	1	16
Other Territories	25-29		41
Other Territories	25-29	0	223
Other Territories	25-29	1	16
Other Territories	30-34		54
Other Territories	30-34	0	236
Other Territories	30-34	1	6
Other Territories	35-39		50
Other Territories	35-39	0	289
Other Territories	35-39	1	7
Other Territories	40-44		42
Other Territories	40-44	0	242
Other Territories	40-44	1	9
Other Territories	45-49		33
Other Territories	45-49	0	257
Other Territories	45-49	1	19
Other Territories	50-54		52
Other Territories	50-54	0	282
Other Territories	50-54	1	18
Other Territories	55-59		46
Other Territories	55-59	0	330
Other Territories	55-59	1	14
Other Territories	60-64		41
Other Territories	60-64	0	320
Other Territories	60-64	1	12
Other Territories	65+		94
Other Territories	65+	0	767
Other Territories	65+	1	40
