SA2_NAME21	medianTotalHouseholdIncome
Wyndham Vale - North	96824
Wyndham Vale - South	91832
Carrum Downs	86216
Frankston	71916
Frankston North	68276
Frankston South	105976
Langwarrin	101400
Seaford (Vic.)	78000
Skye - Sandhurst	115648
Dromana	72696
Flinders	114244
Hastings - Somers	73164
Mount Eliza	132444
Mount Martha	109044
Point Nepean	74360
Rosebud - McCrae	60060
Somerville	92612
Mornington - East	78104
Mornington - West	72228
Ararat	63232
Ararat Surrounds	71968
Horsham	70044
Horsham Surrounds	81484
Nhill Region	61308
St Arnaud	51636
Stawell	61568
West Wimmera	61152
Yarriambiack	57148
Irymple	89232
Merbein	69576
Mildura Surrounds	64428
Red Cliffs	69992
Mildura - North	62920
Mildura - South	73164
Buloke	56628
Gannawarra	57928
Kerang	52312
Robinvale	70044
Swan Hill	72280
Swan Hill Surrounds	71396
Echuca	70044
Kyabram	63856
Lockington - Gunbower	74256
Rochester	60632
Rushworth	55744
Cobram	54964
Moira	70772
Numurkah	64636
Yarrawonga	59748
Mooroopna	58292
Shepparton - North	81120
Shepparton Surrounds - East	84656
Shepparton Surrounds - West	71708
Kialla	104052
Shepparton - South East	59488
Glenelg (Vic.)	64168
Hamilton (Vic.)	64844
Portland	62400
Southern Grampians	67028
Camperdown	58708
Colac	65000
Colac Surrounds	74932
Corangamite - North	61516
Corangamite - South	73112
Otway	60684
Moyne - East	78676
Moyne - West	79144
Warrnambool - North	75452
Warrnambool - South	71760
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Alexandra Hills	95524
Belmont - Gumdale	134576
Birkdale	101088
Capalaba	90376
Thorneside	77376
Wellington Point	112996
Cleveland	74360
Ormiston	99476
Redland Bay	107848
Sheldon - Mount Cotton	137124
Thornlands	115336
Victoria Point	78572
North Stradbroke Island	59644
Southern Moreton Bay Islands	39572
Brisbane Port - Lytton	71448
Manly - Lota	106652
Manly West	110084
Murarrie	125008
Tingalpa	103116
Wakerley	156312
Wynnum	97864
Wynnum West - Hemmant	96512
Bald Hills	104936
Bridgeman Downs	147992
Carseldine	104624
Everton Park	105248
McDowall	127972
Aspley	95576
Chermside	73788
Chermside West	113724
Geebung	112528
Kedron - Gordon Park	111384
Stafford	91624
Stafford Heights	108732
Wavell Heights	137176
Boondall	98124
Brisbane Airport	18200
Eagle Farm - Pinkenba	107120
Northgate - Virginia	115232
Nudgee - Banyo	119964
Nundah	91676
Bracken Ridge	102544
Brighton (Qld)	103012
Deagon	83460
Sandgate - Shorncliffe	99216
Taigum - Fitzgibbon	81536
Zillmere	74152
Camp Hill	156520
Cannon Hill	120640
Carina	107900
Carina Heights	103636
Carindale	123864
Annerley	95212
Coorparoo	109200
Fairfield - Dutton Park	106860
Greenslopes	100932
Holland Park	121212
Holland Park West	114192
Woolloongabba	96928
Yeronga	109304
Eight Mile Plains	100984
Macgregor (Qld)	91104
Mansfield (Qld)	107120
Mount Gravatt	104884
Rochedale - Burbank	135928
Upper Mount Gravatt	86528
Wishart	104884
Coopers Plains	83512
Moorooka	97032
Robertson	86528
Salisbury - Nathan	108524
Tarragindi	152256
Algester	89232
Calamvale - Stretton	100152
Pallara - Willawong	124020
Parkinson - Drewvale	114088
Rocklea - Acacia Ridge	70200
Kuraby	108108
Runcorn	90584
Sunnybank	82836
Sunnybank Hills	89700
Jindalee - Mount Ommaney	122720
Middle Park - Jamboree Heights	111332
Riverhills	107068
Seventeen Mile Rocks - Sinnamon Park	130884
Westlake	140712
Bellbowrie - Moggill	124020
Brookfield - Kenmore Hills	168428
Chapel Hill	153764
Fig Tree Pocket	197132
Kenmore	129636
Pinjarra Hills - Pullenvale	176176
Chelmer - Graceville	164944
Corinda	112736
Indooroopilly	107640
Sherwood	107796
St Lucia	91572
Taringa	99372
Enoggera	102700
Enoggera Reservoir	84448
Keperra	84916
Mitchelton	116480
Mount Coot-tha	
The Gap	133744
Upper Kedron - Ferny Grove	134420
Brisbane City	96564
Fortitude Valley	86840
Highgate Hill	100620
Kangaroo Point	107068
New Farm	107588
South Brisbane	95212
Spring Hill	97188
West End	109356
Balmoral	141960
Bulimba	149136
East Brisbane	106808
Hawthorne	156936
Morningside - Seven Hills	120796
Norman Park	151736
Albion	106704
Alderley	122044
Ascot	114816
Clayfield	100412
Grange	168636
Hamilton (Qld)	107172
Hendra	156936
Kelvin Grove - Herston	91468
Newmarket	117052
Newstead - Bowen Hills	112320
Wilston	156156
Windsor	113984
Wooloowin - Lutwyche	108472
Ashgrove	149396
Auchenflower	113360
Bardon	177164
Paddington - Milton	126152
Red Hill (Qld)	122460
Toowong	100464
Brinsmead	113880
Clifton Beach - Kewarra Beach	85176
Freshwater - Stratford	95732
Redlynch	114036
Trinity Beach - Smithfield	93600
Yorkeys Knob - Machans Beach	69004
Bentley Park	95212
Cairns City	71500
Earlville - Bayview Heights	76856
Edmonton	85436
Gordonvale - Trinity	93080
Kanimbla - Mooroobool	89076
Lamb Range	143000
Manoora	54808
Manunda	55588
Mount Sheridan	94952
Westcourt - Bungalow	60008
White Rock	72592
Whitfield - Edge Hill	87204
Woree	59904
Babinda	68640
Innisfail	57460
Johnstone	67652
Tully	61880
Wooroonooran	117000
Yarrabah	65208
Daintree	62452
Port Douglas	74932
Atherton	62816
Herberton	46800
Kuranda	70304
Malanda - Yungaburra	67392
Mareeba	66664
Balonne	70616
Chinchilla	80548
Goondiwindi	84708
Inglewood - Waggamba	58136
Miles - Wandoan	69368
Roma	88712
Roma Surrounds	74672
Tara	49140
Crows Nest - Rosalie	57668
Jondaryan	70564
Millmerran	62400
Pittsworth	73112
Wambo	73320
Clifton - Greenmount	67964
Southern Downs - East	64688
Southern Downs - West	56992
Stanthorpe	50440
Stanthorpe Surrounds	59124
Warwick	58084
Central Highlands - East	107588
Central Highlands - West	84240
Emerald	113880
Berserker	60944
Bouldercombe	74724
Emu Park	62556
Frenchville - Mount Archer	90324
Glenlee - Rockyview	126464
Gracemere	89076
Lakes Creek	71448
Mount Morgan	42276
Norman Gardens	92456
Park Avenue	66612
Parkhurst - Kawana	84552
Rockhampton - West	73216
Rockhampton City	55172
Rockhampton Surrounds - East	82628
Rockhampton Surrounds - North	87308
Rockhampton Surrounds - West	96252
Shoalwater Bay	71500
The Range - Allenstown	83200
Yeppoon	85332
Banana	87100
Biloela	97916
Agnes Water - Miriam Vale	52468
Boyne Island - Tannum Sands	101296
Callemondah	46800
Clinton - New Auckland	98280
Gladstone	63544
Gladstone Hinterland	103272
Kin Kora - Sun Valley	87464
South Trees	
Telina - Toolooa	100880
West Gladstone	69108
Broadbeach Waters	107744
Burleigh Heads	84240
Burleigh Waters	90324
Mermaid Beach - Broadbeach	85176
Mermaid Waters	91156
Miami	95212
Coolangatta	69212
Currumbin - Tugun	88192
Currumbin Waters	85072
Elanora	90688
Palm Beach	89492
Arundel	87464
Biggera Waters	68328
Coombabah	56784
Labrador	61776
Paradise Point - Hollywell	91052
Runaway Bay	71864
Guanaba - Springbrook	90272
Tamborine - Canungra	90740
Currumbin Valley - Tallebudgera	120484
Mudgeeraba - Bonogin	106704
Reedy Creek - Andrews	116428
Carrara	81120
Highland Park	86892
Nerang - Mount Nathan	81692
Pacific Pines - Gaven	108472
Worongary - Tallai	117624
Coomera	100360
Helensvale	104728
Hope Island	100152
Jacobs Well - Alberton	99684
Oxenford - Maudsland	106080
Ormeau (East) - Stapylton	102440
Ormeau (West) - Yatala	116532
Pimpama - North	98072
Pimpama - South	95628
Upper Coomera (South) - Wongawallan	122876
Upper Coomera - North	99476
Willow Vale - Pimpama (West)	104676
Clear Island Waters	84084
Merrimac	87828
Varsity Lakes	85540
Robina - East	96252
Robina - West	83876
Ashmore	82212
Molendinar	91884
Parkwood	107328
Southport - North	62036
Southport - South	70824
Benowa	99736
Bundall	101764
Main Beach	87464
Surfers Paradise - North	66352
Surfers Paradise - South	70720
Darra - Sumner	85748
Durack	67600
Inala - Richlands	60944
Oxley (Qld)	112996
Wacol	62608
Doolandella	95888
Forest Lake - Ellen Grove	98800
Boonah	71500
Esk	53092
Lake Manchester - England Creek	
Lockyer Valley - East	74100
Lowood	75140
Rosewood	82056
Brassall	73216
Bundamba	72176
Churchill - Yamanto	87256
Ipswich - Central	72592
Ipswich - East	66248
Ipswich - North	116792
Karalee - Barellan Point	129064
Karana Downs	124020
Leichhardt - One Mile	63024
North Ipswich - Tivoli	68120
Raceview	81276
Ripley	108836
Riverview	57044
Camira - Gailes	91416
Carole Park	117000
Collingwood Park - Redbank	85280
Goodna	70200
New Chum	
Redbank Plains	78832
Springfield	113152
Springfield Lakes	116012
Augustine Heights - Brookwater	146900
Bellbird Park	90792
Beaudesert	62348
Beenleigh	60060
Eagleby	56316
Edens Landing - Holmview	89284
Mount Warren Park	77792
Wolffdene - Bahrs Scrub	108004
Boronia Heights - Park Ridge	76076
Browns Plains	75920
Chambers Flat - Logan Reserve	88140
Crestmead	76544
Greenbank Military Camp	
Hillcrest	91728
Marsden	73476
Munruben - Park Ridge South	115908
Regents Park - Heritage Park	100308
Logan Village	114296
Flagstone (East) - Riverbend	114556
Flagstone (West) - New Beith	131248
Greenbank - North Maclean	107796
Jimboomba - Glenlogan	112788
Yarrabilba	83356
Bethania - Waterford	67496
Cornubia - Carbrook	120380
Loganholme - Tanah Merah	97136
Loganlea	71604
Shailer Park	115700
Waterford West	65364
Daisy Hill	105872
Kingston (Qld)	61360
Logan Central	52884
Rochedale South - Priestdale	100412
Slacks Creek	67652
Springwood	89648
Underwood	103584
Woodridge	54236
Bowen	68744
Broadsound - Nebo	114764
Clermont	97396
Collinsville	70668
Moranbah	160108
Andergrove - Beaconsfield	90064
East Mackay	89284
Eimeo - Rural View	119652
Eungella Hinterland	136448
Mackay	64428
Mackay Harbour	112892
Mount Pleasant - Glenella	115076
North Mackay	71344
Ooralea - Bakers Creek	111748
Pioneer Valley	105872
Sarina	92612
Seaforth - Calen	86372
Shoal Point - Bucasia	108420
Slade Point	79872
South Mackay	76804
Walkerston - Eton	109460
West Mackay	88088
Airlie - Whitsundays	87048
Cape Conway	
Proserpine	74412
Beachmere - Sandstone Point	60320
Bribie Island	49972
Burpengary - East	121992
Caboolture - South	66404
Elimbah	113516
Morayfield - East	77064
Wamuran	106548
Caboolture - East	68588
Caboolture - West	67600
Kilcoy	69368
Woodford - D'Aguilar	84864
Burpengary	89440
Deception Bay	63388
Morayfield	101452
Narangba	114764
Upper Caboolture	114504
Clontarf	72228
Margate - Woody Point	63700
Redcliffe	57772
Rothwell - Kippa-Ring	67652
Moreton Island	63648
Scarborough - Newport	86216
Albany Creek	117884
Cashmere	125112
Dayboro	123656
Eatons Hill	144092
The Hills District	121368
Samford Valley	145912
Murrumba Downs - Griffin	100828
Dakabin	87828
Kallangur	75712
Mango Hill	111540
North Lakes	108784
Bray Park	90272
Lawnton	77688
Petrie	96356
Strathpine - Brendale	75660
Aurukun	55588
Cape York	55276
Croydon - Etheridge	62712
Kowanyama - Pormpuraaw	57408
Northern Peninsula	69212
Tablelands	60892
Torres	104312
Torres Strait Islands	50752
Weipa	154752
Carpentaria	66508
Mount Isa	116272
Mount Isa Surrounds	96512
Northern Highlands	78104
Barcaldine - Blackall	69732
Charleville	67288
Far Central West	74984
Far South West	57720
Longreach	81172
Buderim - North	82316
Buderim - South	99944
Mountain Creek	99372
Sippy Downs	77168
Aroona - Currimundi	82732
Buddina - Minyama	89388
Caloundra - Kings Beach	58344
Golden Beach - Pelican Waters	70044
Moffat Beach - Battery Hill	78156
Parrearra - Warana	82836
Wurtulla - Birtinya	92508
Caloundra West - Baringa	97344
Meridan Plains - Little Mountain (North)	77792
Coolum Beach	88556
Marcoola - Mudjimba	78312
Maroochydore - Kuluin	71968
Mooloolaba - Alexandra Headland	81068
Noosa Heads	95836
Noosaville	72280
Sunshine Beach	94952
Tewantin	65572
Peregian Beach - Marcus Beach	91260
Peregian Springs	96928
Beerwah	79768
Caloundra Hinterland	65572
Glass House Mountains	87672
Landsborough	104208
Maroochy Hinterland	69524
Palmwoods	93340
Bli Bli	88348
Diddillibah - Rosemount	82940
Eumundi - Yandina	93392
Nambour	71916
Noosa Hinterland	77792
Cambooya - Wyreema	103064
Darling Heights	71552
Drayton - Harristown	62088
Gatton	66248
Gowrie (Qld)	104208
Highfields	109408
Lockyer Valley - West	87880
Middle Ridge	113204
Newtown (Qld)	62400
North Toowoomba - Harlaxton	64064
Rangeville	87828
Toowoomba - Central	69940
Toowoomba - East	94328
Toowoomba - West	96304
Wilsonton	58396
Ayr	65988
Burdekin	73944
Charters Towers	66664
Dalrymple	72332
Ingham	53456
Ingham Surrounds	64740
Palm Island	50804
Aitkenvale	71656
Annandale (Qld)	115180
Belgian Gardens - Pallarenda	85124
Bohle Plains	121992
Condon - Rasmussen	71760
Cranbrook	72800
Douglas	105300
Garbutt - West End	67080
Gulliver - Currajong - Vincent	72384
Heatley	65832
Hermit Park - Rosslea	70824
Hyde Park - Pimlico	67860
Kelso	84812
Kirwan - East	67288
Kirwan - West	98488
Magnetic Island	52052
Mount Louisa	105716
Mundingburra	69888
Northern Beaches	79612
Oonoonba	108472
South Townsville - Railway Estate	79248
Townsville - South	98072
Townsville City - North Ward	92716
Wulguru - Roseneath	73892
Burdell - Mount Low	117156
Deeragun - Jensen	90220
Ashfield - Kepnock	66196
Bargara - Burnett Heads	68120
Branyan - Kensington	84032
Bundaberg	50544
Bundaberg East - Kalkie	67652
Bundaberg North - Gooburrum	53456
Bundaberg Surrounds - North	63232
Bundaberg Surrounds - South	53144
Millbank - Avoca	57876
Svensson Heights - Norville	55796
Walkervale - Avenell Heights	58084
Gayndah - Mundubbera	54652
Gin Gin	49608
Kingaroy	65364
Kingaroy Surrounds - North	49400
Kingaroy Surrounds - South	70772
Monto - Eidsvold	51012
Nanango	45916
North Burnett	45448
Cooloola	41080
Gympie - North	56264
Gympie - South	64740
Gympie Surrounds	67184
Kilkivan	56576
Booral - River Heads	72904
Craignish - Dundowran Beach	81276
Pialba - Eli Waters	52728
Point Vernon	56004
Torquay - Scarness - Kawungan	52104
Urangan - Wondunna	57668
Burrum - Fraser	50752
Granville	53716
Maryborough (Qld)	50804
Maryborough Surrounds - South	49868
Tinana	65260
Migratory - Offshore - Shipping (Qld)	90948
No usual address (Qld)	
Adelaide	70980
North Adelaide	97084
Adelaide Hills	99060
Aldgate - Stirling	119444
Hahndorf - Echunga	100152
Lobethal - Woodside	87932
Mount Barker	88296
Mount Barker Surrounds	92768
Nairne	92352
Uraidla - Summertown	113412
Burnside - Wattle Park	108472
Beaumont - Glen Osmond	120952
Toorak Gardens	100308
Athelstone	100932
Paradise - Newton	74204
Rostrevor - Magill	85488
Norwood (SA)	85956
Payneham - Felixstow	76752
St Peters - Marden	97708
Nailsworth - Broadview	102284
Prospect	104988
Walkerville	106704
Goodwood - Millswood	104052
Unley - Parkside	103896
Gawler - North	92040
Gawler - South	69472
Lewiston - Two Wells	99216
Craigmore - Blakeview	83200
Davoren Park	60372
Elizabeth	43004
Elizabeth East	61776
Munno Para West - Angle Vale	85956
One Tree Hill	118404
Smithfield - Elizabeth North	48828
Virginia - Waterloo Corner	72124
Enfield - Blair Athol	74256
Windsor Gardens	82940
Northgate - Northfield	91468
Valley View - Gilles Plains	76388
Dry Creek - North	
Ingle Farm	69888
Para Hills	75088
Parafield	
Parafield Gardens	71968
Paralowie	75816
Salisbury	55692
Salisbury East	69628
Salisbury North	65260
Mawson Lakes - Globe Derby Park	99476
Pooraka - Cavan	65676
Golden Grove	87048
Greenwith	100724
Highbury - Dernancourt	99840
Hope Valley - Modbury	68328
Modbury Heights	86164
Redwood Park	94536
St Agnes - Ridgehaven	77584
Brighton (SA)	86996
Glenelg (SA)	81224
Edwardstown	75504
Hallett Cove	97552
Marino - Seaview Downs	94692
Mitchell Park	67964
Morphettville	80808
Sheidow Park - Trott Park	99944
Warradale	73892
Belair	118196
Bellevue Heights	91728
Blackwood	109928
Colonel Light Gardens	104312
Mitcham (SA)	114556
Panorama	78936
Aberfoyle Park	93964
Aldinga	68484
Christie Downs	51740
Christies Beach	63440
Clarendon	105040
Coromandel Valley	116116
Flagstaff Hill	106340
Hackham - Onkaparinga Hills	70460
Hackham West - Huntfield Heights	56160
Happy Valley	81536
Happy Valley Reservoir	71500
Lonsdale	37700
McLaren Vale	85176
Morphett Vale - East	63856
Morphett Vale - West	60476
Reynella	69368
Willunga	91260
Woodcroft	86944
Seaford - Seaford Meadows	76232
Seaford Rise - Moana	79092
Beverley	88140
Flinders Park	81276
Henley Beach	92872
Hindmarsh - Brompton	84812
Royal Park - Hendon - Albert Park	74204
Seaton - Grange	74100
West Lakes	78312
Woodville - Cheltenham	77532
Dry Creek - South	
Largs Bay - Semaphore	82368
North Haven	73528
Port Adelaide	64844
The Parks	67444
Torrens Island	38948
Adelaide Airport	
Fulham	91156
Lockleys	85020
Plympton	80652
Richmond (SA)	80860
West Beach	90792
Barossa - Angaston	74932
Light	80288
Lyndoch	95004
Mallala	71188
Nuriootpa	68952
Tanunda	75192
Clare	71136
Gilbert Valley	65364
Goyder	47684
Wakefield - Barunga West	56784
Jamestown	59540
Peterborough - Mount Remarkable	48412
Port Pirie	54288
Port Pirie Surrounds	59540
Kadina	60060
Moonta	50180
Wallaroo	47632
Yorke Peninsula - North	52156
Yorke Peninsula - South	46332
Ceduna	73112
Eyre Peninsula	68016
Kimba - Cleve - Franklin Harbour	61152
Le Hunte - Elliston	64220
Port Lincoln	67652
West Coast (SA)	59696
Western	68224
Whyalla	61776
Whyalla - North	
APY Lands	65832
Coober Pedy	39728
Quorn - Lake Gilles	54444
Outback	63128
Port Augusta	66404
Roxby Downs	163280
Goolwa - Port Elliot	50440
Kangaroo Island	58656
Strathalbyn	66404
Strathalbyn Surrounds	76908
Victor Harbor	50804
Yankalilla	56264
Grant	82264
Kingston - Robe	62400
Millicent	51376
Naracoorte	71604
Naracoorte Surrounds	84864
Penola	68328
Tatiara	76440
Wattle Range	70252
Mount Gambier - East	70096
Mount Gambier - West	62920
Barmera	64740
Berri	54028
Karoonda - Lameroo	61828
Loxton	62816
Loxton Surrounds	67600
Mannum	46852
Murray Bridge	56004
Murray Bridge Surrounds	67288
Renmark	52884
Renmark Surrounds	75868
The Coorong	56420
Waikerie	53404
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta	71240
Busselton Surrounds	94796
Margaret River	87256
Busselton - East	71812
Busselton - West	70252
Australind - Leschenault	99320
Capel	80652
College Grove - Carey Park	58344
Collie	64168
Dardanup	97916
Davenport	50232
Eaton - Pelican Point	90376
Harvey	77896
East Bunbury - Glen Iris	70616
Waroona	68224
Dalyellup	107432
Gelorup - Stratham	121784
South Bunbury - Bunbury	77324
Withers - Usher	58916
Bridgetown - Boyup Brook	63960
Donnybrook - Balingup	69264
Manjimup	66092
Pemberton	57824
Dawesville - Bouvard	74672
Falcon - Wannanup	67288
Greenfields	52208
Halls Head - Erskine	71604
Mandurah	46852
Mandurah - East	70096
Mandurah - North	96772
Mandurah - South	53768
Pinjarra	69524
City Beach	192400
Claremont (WA)	107536
Cottesloe	174252
Floreat	185640
Mosman Park - Peppermint Grove	119756
Nedlands - Dalkeith - Crawley	135720
Swanbourne - Mount Claremont	164684
Kings Park (WA)	249548
Mount Hawthorn - Leederville	136864
Mount Lawley - Inglewood	108108
North Perth	121056
Subiaco - Shenton Park	111436
Wembley - West Leederville - Glendalough	104624
East Perth	104468
Perth (North) - Highgate	98436
Perth (West) - Northbridge	102232
Bassendean - Eden Hill - Ashfield	90376
Bayswater - Embleton - Bedford	104572
Maylands	84396
Morley	82316
Noranda	84864
Chidlow	101868
Glen Forrest - Darlington	118872
Helena Valley - Koongamia	96772
Malmalling - Reservoir	71448
Mundaring	104676
Swan View - Greenmount - Midvale	75556
Avon Valley National Park	71500
Ballajura	89700
Beechboro	93132
Bullsbrook	99424
Gidgegannup	127348
Hazelmere - Guildford	109564
Lockridge - Kiara	94224
Malaga	90948
Melaleuca - Lexia	117000
Middle Swan - Herne Hill	78104
Midland - Guildford	67600
Stratton - Jane Brook	93704
The Vines	115336
Walyunga National Park	23400
Aveley	111072
Brabham - Henley Brook	111852
Ellenbrook	95888
Craigie - Beldon	95316
Currambine - Kinross	115804
Duncraig	124488
Greenwood - Warwick	98644
Heathridge - Connolly	100360
Hillarys	128180
Iluka - Burns Beach	170144
Joondalup - Edgewater	92768
Kingsley	104624
Mullaloo - Kallaroo	119184
Ocean Reef	128960
Padbury	107380
Sorrento - Marmion	128076
Woodvale	121628
Balcatta - Hamersley	84500
Balga - Mirrabooka	67236
Herdsman	
Innaloo - Doubleview	106600
Karrinyup - Gwelup - Carine	129480
Nollamara - Westminster	75868
Osborne Park Industrial	86632
Scarborough	109616
Stirling - Osborne Park	96564
Trigg - North Beach - Watermans Bay	119808
Tuart Hill - Joondanna	82576
Wembley Downs - Churchlands - Woodlands	123240
Yokine - Coolbinia - Menora	90792
Dianella - North	97812
Dianella - South	79456
Alexander Heights - Koondoola	77688
Butler - Merriwa - Ridgewood	80184
Carramar	110032
Clarkson	91572
Girrawheen	64428
Marangaroo	79716
Mindarie - Quinns Rocks - Jindalee	121836
Neerabup National Park	90948
Tapping - Ashby - Sinagra	110656
Alkimos - Eglinton	105612
Carabooda - Pinjar	110240
Two Rocks	79352
Yanchep	88244
Hocking - Pearsall	108992
Landsdale	126828
Madeley - Darch	117572
Wanneroo - Sinagra	87308
Armadale - Wungong - Brookdale	67912
Ashendon - Lesley	
Camillo - Champion Lakes	71344
Kelmscott	70408
Mount Nasura - Mount Richon - Bedfordale	99840
Roleystone	113620
Seville Grove	90428
Harrisdale	125424
Piara Waters - Forrestdale	126932
Belmont - Ascot - Redcliffe	86632
East Victoria Park - Carlisle	102648
Kewdale Commercial	
Perth Airport	
Victoria Park - Lathlain - Burswood	98592
Cloverdale	79040
Kewdale	83044
Rivervale	89596
Bentley - Wilson - St James	77064
Canning Vale - West	120952
Canning Vale Commercial	11700
Cannington - Queens Park	88140
Parkwood - Ferndale - Lynwood	80392
Riverton - Shelley - Rossmoyne	106652
Welshpool	29900
Willetton	113256
Beckenham - Kenwick - Langford	77688
Canning Vale - East	117468
Gosnells	65208
Huntingdale - Southern River	109980
Maddington - Orange Grove - Martin	73164
Thornlie	81692
Forrestfield - Wattle Grove	95628
High Wycombe	91416
Kalamunda - Maida Vale - Gooseberry Hill	96928
Lesmurdie - Bickley - Carmel	107640
Byford	108472
Mundijong	115336
Serpentine - Jarrahdale	101712
Como	93808
Manning - Waterford	111592
South Perth - Kensington	109876
Banjup	127712
Bibra Industrial	110500
Bibra Lake	
Coogee	111176
Coolbellup	82056
Hamilton Hill	72592
Henderson	23400
North Coogee	133432
South Lake - Cockburn Central	89180
Spearwood	76596
Success - Hammond Park	118196
Yangebup	99580
Beeliar - Wattleup	113256
Jandakot	120796
East Fremantle	118976
Fremantle	101504
Fremantle - South	94172
O'Connor (WA)	55224
Wellard (West) - Bertram	107536
Calista	63076
Hope Valley - Postans	90948
Kwinana Industrial	58448
Parmelia - Orelia	67236
Casuarina - Wandi	118872
Applecross - Ardross	126620
Bateman	118768
Bicton - Palmyra	95784
Booragoon	111696
Bull Creek	97760
Leeming	121160
Melville	119184
Murdoch - Kardinya	94848
Willagee	86320
Winthrop	120848
Cooloongup	63908
Port Kennedy	99892
Rockingham	59644
Rockingham Lakes	23400
Safety Bay - Shoalwater	70460
Singleton - Golden Bay - Secret Harbour	117884
Waikiki	83824
Warnbro	78104
Baldivis - North	101764
Baldivis - South	112372
Karnup	110344
Albany	64792
Albany Surrounds	80704
Bayonet Head - Lower King	72280
Denmark	58968
Gnowangerup	77168
Katanning	70044
Kojonup	72020
Little Grove - Elleker	77740
McKail - Willyung	72124
Plantagenet	61412
Stirling Range National Park	
Chittering	106288
Cunderdin	64896
Dowerin	62504
Gingin - Dandaragan	68692
Merredin	72124
Moora	82316
Mukinbudin	66872
Northam	68432
Toodyay	66144
York - Beverley	57304
Brookton	65416
Kulin	76960
Murray	85488
Narrogin	67288
Wagin	70460
Broome	115544
Derby - West Kimberley	69004
Halls Creek	56992
Kununurra	96616
Roebuck	59280
East Pilbara	60268
Newman	155740
Port Hedland	176904
South Hedland	134472
Ashburton (WA)	152724
Karratha	166088
Roebourne	155116
Esperance	77584
Esperance Surrounds	85956
Carnarvon	73632
Exmouth	89804
Boulder	104052
Kalgoorlie	123448
Kalgoorlie - North	130728
Kalgoorlie Airport	
Kambalda - Coolgardie - Norseman	84604
Leinster - Leonora	73060
Trafalgar (WA)	
Geraldton	59436
Geraldton - East	80756
Geraldton - North	99580
Geraldton - South	103064
Irwin	60736
Meekatharra	62504
Morawa	68120
Northampton - Mullewa - Greenough	66352
Migratory - Offshore - Shipping (WA)	117000
No usual address (WA)	
Bridgewater - Gagebrook	50492
Brighton - Pontville	84760
Old Beach - Otago	97500
Bellerive - Rosny	78624
Cambridge	113932
Geilston Bay - Risdon	90584
Howrah - Tranmere	92924
Lindisfarne - Rose Bay	82576
Mornington - Warrane	65416
Risdon Vale	57408
Rokeby	68692
South Arm	100568
Austins Ferry - Granton	94484
Berriedale - Chigwell	67392
Claremont (Tas.)	64532
Derwent Park - Lutana	67652
Glenorchy	59852
Montrose - Rosetta	74568
Moonah	73736
New Norfolk	61256
West Moonah	77688
Kingston - Huntingfield	80288
Kingston Beach - Blackmans Bay	92456
Margate - Snug	96356
Mount Wellington	
Taroona - Bonnet Hill	99320
Hobart	90532
Lenah Valley - Mount Stuart	99632
Mount Nelson - Dynnyrne	97396
New Town	84292
Sandy Bay	99476
South Hobart - Fern Tree	95004
West Hobart	103688
Dodges Ferry - Lewisham	71396
Sorell - Richmond	74828
Invermay	58656
Kings Meadows - Punchbowl	67496
Launceston	82212
Legana	85072
Mowbray	59176
Newnham - Mayfield	57824
Newstead	75504
Norwood (Tas.)	76076
Prospect Vale - Blackstone	71604
Ravenswood	44616
Riverside	79144
South Launceston	71396
Summerhill - Prospect	67288
Trevallyn	83928
Waverley - St Leonards	68016
West Launceston	76388
Youngtown - Relbia	74464
Beauty Point - Beaconsfield	49088
Deloraine	56836
Grindelwald - Lanena	71292
Hadspen - Carrick	82212
Westbury	62972
Dilston - Lilydale	82160
George Town	52104
Longford	63284
Northern Midlands	54392
Perth - Evandale	75764
St Helens - Scamander	43420
Flinders and Cape Barren Islands	54964
Scottsdale - Bridport	54080
Central Highlands	52884
Derwent Valley	69316
Southern Midlands	69160
Wilderness - East	58500
Bruny Island - Kettering	67392
Cygnet	56004
Geeveston - Dover	55068
Huonville - Franklin	74308
Forestier - Tasman	44876
Triabunna - Bicheno	52260
Acton - Upper Burnie	50232
Burnie - Ulverstone Surrounds	75036
Burnie - Wivenhoe	56628
Parklands - Camdale	68692
Penguin - Sulphur Creek	69992
Romaine - Havenview	69368
Somerset	57200
Ulverstone	54028
West Ulverstone	55068
Wynyard	54496
Devonport	56836
East Devonport	49400
Latrobe	61984
Miandetta - Don	81172
Port Sorell	66508
Quoiba - Spreyton	79612
Sheffield - Railton	62868
Turners Beach - Forth	82576
King Island	69160
North West	70512
Smithton	61828
Waratah	69108
West Coast (Tas.)	49816
Wilderness - West	
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin Airport	
Darwin City	111852
East Point	23400
Fannie Bay - The Gardens	114244
Larrakeyah	123344
Ludmilla - The Narrows	103376
Parap	116012
Stuart Park	118456
Woolner - Bayview - Winnellie	146952
Alawa	108316
Anula	117988
Berrimah	117000
Brinkin - Nakara	123344
Buffalo Creek	
Charles Darwin	
Coconut Grove	80548
East Arm	81848
Jingili	123292
Karama	92716
Leanyer	115596
Lyons (NT)	154180
Malak - Marrara	92248
Millner	94484
Moil	105716
Nightcliff	106652
Rapid Creek	114816
