SA2_NAME16	PrivateDwelling	Sex	persons
Port Kembla - Warrawong	1	F	4511
Port Kembla - Warrawong	1	M	4475
Windang - Primbee	0	F	129
Windang - Primbee	0	M	103
Windang - Primbee	1	F	1971
Windang - Primbee	1	M	2002
Illawarra Catchment Reserve	1	M	5
Albion Park - Macquarie Pass	0	F	255
Albion Park - Macquarie Pass	0	M	222
Albion Park - Macquarie Pass	1	F	9375
Albion Park - Macquarie Pass	1	M	9027
Albion Park Rail	0	F	228
Albion Park Rail	0	M	174
Albion Park Rail	1	F	3314
Albion Park Rail	1	M	3146
Kiama	0	F	296
Kiama	0	M	272
Kiama	1	F	4250
Kiama	1	M	3924
Kiama Downs - Minnamurra	0	F	100
Kiama Downs - Minnamurra	0	M	113
Kiama Downs - Minnamurra	1	F	2890
Kiama Downs - Minnamurra	1	M	2828
Kiama Hinterland - Gerringong	0	F	341
Kiama Hinterland - Gerringong	0	M	297
Kiama Hinterland - Gerringong	1	F	3854
Kiama Hinterland - Gerringong	1	M	3660
Shellharbour - Flinders	0	F	247
Shellharbour - Flinders	0	M	399
Shellharbour - Flinders	1	F	9466
Shellharbour - Flinders	1	M	9089
Shellharbour - Oak Flats	0	F	337
Shellharbour - Oak Flats	0	M	283
Shellharbour - Oak Flats	1	F	5192
Shellharbour - Oak Flats	1	M	4813
Warilla	0	F	581
Warilla	0	M	558
Warilla	1	F	9853
Warilla	1	M	9300
Balgownie - Fairy Meadow	0	F	562
Balgownie - Fairy Meadow	0	M	576
Balgownie - Fairy Meadow	1	F	10242
Balgownie - Fairy Meadow	1	M	9919
Corrimal - Tarrawanna - Bellambi	0	F	367
Corrimal - Tarrawanna - Bellambi	0	M	318
Corrimal - Tarrawanna - Bellambi	1	F	7913
Corrimal - Tarrawanna - Bellambi	1	M	7351
Figtree - Keiraville	0	F	950
Figtree - Keiraville	0	M	793
Figtree - Keiraville	1	F	10472
Figtree - Keiraville	1	M	10377
Helensburgh	0	F	154
Helensburgh	0	M	177
Helensburgh	1	F	4360
Helensburgh	1	M	4355
Thirroul - Austinmer - Coalcliff	0	F	213
Thirroul - Austinmer - Coalcliff	0	M	196
Thirroul - Austinmer - Coalcliff	1	F	5774
Thirroul - Austinmer - Coalcliff	1	M	5650
Woonona - Bulli - Russell Vale	0	F	513
Woonona - Bulli - Russell Vale	0	M	425
Woonona - Bulli - Russell Vale	1	F	10169
Woonona - Bulli - Russell Vale	1	M	9469
Wollongong - East	0	F	564
Wollongong - East	0	M	622
Wollongong - East	1	F	7523
Wollongong - East	1	M	7228
Wollongong - West	0	F	715
Wollongong - West	0	M	657
Wollongong - West	1	F	7646
Wollongong - West	1	M	7844
Bulahdelah - Stroud	0	F	306
Bulahdelah - Stroud	0	M	271
Bulahdelah - Stroud	1	F	2341
Bulahdelah - Stroud	1	M	2371
Forster	0	F	648
Forster	0	M	562
Forster	1	F	7205
Forster	1	M	6408
Forster-Tuncurry Surrounds	0	F	464
Forster-Tuncurry Surrounds	0	M	511
Forster-Tuncurry Surrounds	1	F	3137
Forster-Tuncurry Surrounds	1	M	3206
Tuncurry	0	F	367
Tuncurry	0	M	275
Tuncurry	1	F	3036
Tuncurry	1	M	2761
Kempsey	0	F	861
Kempsey	0	M	1435
Kempsey	1	F	6953
Kempsey	1	M	6444
Kempsey Surrounds	0	F	504
Kempsey Surrounds	0	M	522
Kempsey Surrounds	1	F	4258
Kempsey Surrounds	1	M	4374
Macksville - Scotts Head	0	F	289
Macksville - Scotts Head	0	M	273
Macksville - Scotts Head	1	F	2446
Macksville - Scotts Head	1	M	2327
Nambucca Heads	0	F	450
Nambucca Heads	0	M	461
Nambucca Heads	1	F	3325
Nambucca Heads	1	M	3060
Nambucca Heads Surrounds	0	F	333
Nambucca Heads Surrounds	0	M	308
Nambucca Heads Surrounds	1	F	3807
Nambucca Heads Surrounds	1	M	3693
South West Rocks	0	F	377
South West Rocks	0	M	374
South West Rocks	1	F	2669
South West Rocks	1	M	2562
Lord Howe Island	0	F	52
Lord Howe Island	0	M	53
Lord Howe Island	1	F	180
Lord Howe Island	1	M	176
Laurieton - Bonny Hills	0	F	529
Laurieton - Bonny Hills	0	M	497
Laurieton - Bonny Hills	1	F	8987
Laurieton - Bonny Hills	1	M	8441
Port Macquarie - West	0	F	1054
Port Macquarie - West	0	M	840
Port Macquarie - West	1	F	10338
Port Macquarie - West	1	M	9065
Port Macquarie Surrounds	0	F	196
Port Macquarie Surrounds	0	M	237
Port Macquarie Surrounds	1	F	2333
Port Macquarie Surrounds	1	M	2484
Wauchope	0	F	321
Wauchope	0	M	305
Wauchope	1	F	6289
Wauchope	1	M	5782
Port Macquarie - East	0	F	583
Port Macquarie - East	0	M	706
Port Macquarie - East	1	F	5740
Port Macquarie - East	1	M	5391
Port Macquarie - South	0	F	481
Port Macquarie - South	0	M	323
Port Macquarie - South	1	F	8624
Port Macquarie - South	1	M	7791
Gloucester	0	F	219
Gloucester	0	M	238
Gloucester	1	F	2520
Gloucester	1	M	2410
Old Bar - Manning Point - Red Head	0	F	362
Old Bar - Manning Point - Red Head	0	M	382
Old Bar - Manning Point - Red Head	1	F	6016
Old Bar - Manning Point - Red Head	1	M	5648
Taree	0	F	1155
Taree	0	M	1086
Taree	1	F	9969
Taree	1	M	9098
Taree Surrounds	0	F	465
Taree Surrounds	0	M	490
Taree Surrounds	1	F	6040
Taree Surrounds	1	M	6083
Wingham	0	F	175
Wingham	0	M	164
Wingham	1	F	2596
Wingham	1	M	2438
Albury - East	0	F	550
Albury - East	0	M	459
Albury - East	1	F	8626
Albury - East	1	M	8124
Albury - North	0	F	440
Albury - North	0	M	411
Albury - North	1	F	4974
Albury - North	1	M	4577
Albury - South	0	F	623
Albury - South	0	M	611
Albury - South	1	F	4876
Albury - South	1	M	4505
Albury Surrounds	0	F	532
Albury Surrounds	0	M	553
Albury Surrounds	1	F	5584
Albury Surrounds	1	M	5679
Lavington	0	F	485
Lavington	0	M	456
Lavington	1	F	7575
Lavington	1	M	7010
Hay	0	F	198
Hay	0	M	221
Hay	1	F	1249
Hay	1	M	1227
Wentworth - Buronga	0	F	460
Wentworth - Buronga	0	M	485
Wentworth - Buronga	1	F	2759
Wentworth - Buronga	1	M	2861
Wentworth-Balranald Region	0	F	326
Wentworth-Balranald Region	0	M	618
Wentworth-Balranald Region	1	F	1430
Wentworth-Balranald Region	1	M	1536
Corowa	0	F	191
Corowa	0	M	196
Corowa	1	F	2633
