SA2_NAME21	medianTotalPersonalIncome
Truganina - South West	41808
Wyndham Vale - North	44408
Wyndham Vale - South	39000
Carrum Downs	42484
Frankston	39780
Frankston North	34580
Frankston South	44824
Langwarrin	45136
Seaford (Vic.)	42068
Skye - Sandhurst	47840
Dromana	36920
Flinders	52104
Hastings - Somers	39052
Mount Eliza	50232
Mount Martha	43992
Point Nepean	39052
Rosebud - McCrae	32292
Somerville	41444
Mornington - East	36920
Mornington - West	40560
Ararat	35412
Ararat Surrounds	37336
Horsham	39832
Horsham Surrounds	41912
Nhill Region	34216
St Arnaud	31044
Stawell	35100
West Wimmera	36296
Yarriambiack	32448
Irymple	40872
Merbein	34684
Mildura Surrounds	36348
Red Cliffs	35360
Mildura - North	34476
Mildura - South	36452
Buloke	32136
Gannawarra	31252
Kerang	29796
Robinvale	32136
Swan Hill	39208
Swan Hill Surrounds	36712
Echuca	37076
Kyabram	34008
Lockington - Gunbower	36972
Rochester	31512
Rushworth	29536
Cobram	31512
Moira	34632
Numurkah	33072
Yarrawonga	32500
Mooroopna	32968
Shepparton - North	40768
Shepparton Surrounds - East	40040
Shepparton Surrounds - West	36452
Kialla	43940
Shepparton - South East	31200
Glenelg (Vic.)	33904
Hamilton (Vic.)	36036
Portland	32812
Southern Grampians	36972
Camperdown	32916
Colac	36452
Colac Surrounds	38064
Corangamite - North	34684
Corangamite - South	38168
Otway	35412
Moyne - East	39988
Moyne - West	39416
Warrnambool - North	39520
Warrnambool - South	39572
Migratory - Offshore - Shipping (Vic.)	114400
No usual address (Vic.)	
Alexandra Hills	42900
Belmont - Gumdale	49452
Birkdale	42744
Capalaba	41756
Thorneside	43004
Wellington Point	45552
Cleveland	38792
Ormiston	42172
Redland Bay	44044
Sheldon - Mount Cotton	54600
Thornlands	47840
Victoria Point	36556
North Stradbroke Island	33488
Southern Moreton Bay Islands	23660
Brisbane Port - Lytton	58448
Manly - Lota	48256
Manly West	47788
Murarrie	57824
Tingalpa	49244
Wakerley	63440
Wynnum	47424
Wynnum West - Hemmant	44616
Bald Hills	45500
Bridgeman Downs	56212
Carseldine	44460
Everton Park	54184
McDowall	54912
Aspley	44252
Chermside	43888
Chermside West	47788
Geebung	49712
Kedron - Gordon Park	58968
Stafford	50336
Stafford Heights	46644
Wavell Heights	60008
Boondall	43368
Brisbane Airport	50232
Eagle Farm - Pinkenba	65988
Northgate - Virginia	54132
Nudgee - Banyo	52676
Nundah	55016
Bracken Ridge	43368
Brighton (Qld)	47320
Deagon	43212
Sandgate - Shorncliffe	42380
Taigum - Fitzgibbon	40716
Zillmere	40976
Camp Hill	67496
Cannon Hill	59072
Carina	53092
Carina Heights	50804
Carindale	47320
Annerley	49920
Coorparoo	58708
Fairfield - Dutton Park	47528
Greenslopes	55744
Holland Park	53612
Holland Park West	55484
Woolloongabba	45136
Yeronga	56316
Eight Mile Plains	40404
Macgregor (Qld)	32968
Mansfield (Qld)	40612
Mount Gravatt	49296
Rochedale - Burbank	51220
Upper Mount Gravatt	38792
Wishart	40768
Coopers Plains	37544
Moorooka	50648
Robertson	34320
Salisbury - Nathan	46956
Tarragindi	60684
Algester	39104
Calamvale - Stretton	39988
Pallara - Willawong	51376
Parkinson - Drewvale	43576
Rocklea - Acacia Ridge	34268
Kuraby	37752
Runcorn	38376
Sunnybank	32760
Sunnybank Hills	34840
Jindalee - Mount Ommaney	48048
Middle Park - Jamboree Heights	45344
Riverhills	50648
Seventeen Mile Rocks - Sinnamon Park	50336
Westlake	52416
Bellbowrie - Moggill	48620
Brookfield - Kenmore Hills	55068
Chapel Hill	56368
Fig Tree Pocket	62660
Kenmore	53664
Pinjarra Hills - Pullenvale	57876
Chelmer - Graceville	64012
Corinda	51220
Indooroopilly	47944
Sherwood	55068
St Lucia	28496
Taringa	50908
Enoggera	58812
Enoggera Reservoir	29848
Keperra	41340
Mitchelton	54028
Mount Coot-tha	
The Gap	53872
Upper Kedron - Ferny Grove	55276
Brisbane City	47580
Fortitude Valley	55068
Highgate Hill	48724
Kangaroo Point	60840
New Farm	63440
South Brisbane	46176
Spring Hill	48464
West End	58656
Balmoral	67600
Bulimba	72904
East Brisbane	54236
Hawthorne	70304
Morningside - Seven Hills	62088
Norman Park	68588
Albion	60372
Alderley	62192
Ascot	61256
Clayfield	57148
Grange	68744
Hamilton (Qld)	62296
Hendra	63128
Kelvin Grove - Herston	40768
Newmarket	53976
Newstead - Bowen Hills	73060
Wilston	65156
Windsor	59176
Wooloowin - Lutwyche	57460
Ashgrove	59956
Auchenflower	55692
Bardon	69368
Paddington - Milton	64896
Red Hill (Qld)	58344
Toowong	50544
Brinsmead	50908
Clifton Beach - Kewarra Beach	42536
Freshwater - Stratford	53352
Redlynch	50388
Trinity Beach - Smithfield	44668
Yorkeys Knob - Machans Beach	41132
Bentley Park	42692
Cairns City	43576
Earlville - Bayview Heights	41028
Edmonton	41340
Gordonvale - Trinity	43732
Kanimbla - Mooroobool	40664
Lamb Range	77948
Manoora	32708
Manunda	33696
Mount Sheridan	44564
Westcourt - Bungalow	35204
White Rock	36088
Whitfield - Edge Hill	47580
Woree	35308
Babinda	34840
Innisfail	32292
Johnstone	35048
Tully	33488
Wooroonooran	58500
Yarrabah	17524
Daintree	33696
Port Douglas	42848
Atherton	34736
Herberton	25116
Kuranda	32344
Malanda - Yungaburra	34372
Mareeba	35828
Balonne	40560
Chinchilla	41288
Goondiwindi	44668
Inglewood - Waggamba	30784
Miles - Wandoan	40248
Roma	49764
Roma Surrounds	40040
Tara	25688
Crows Nest - Rosalie	28444
Jondaryan	37024
Millmerran	32240
Pittsworth	36036
Wambo	37700
Clifton - Greenmount	33384
Southern Downs - East	31408
Southern Downs - West	28704
Stanthorpe	29328
Stanthorpe Surrounds	29172
Warwick	32136
Central Highlands - East	50388
Central Highlands - West	45864
Emerald	53716
Berserker	35152
Bouldercombe	33488
Emu Park	32136
Frenchville - Mount Archer	45968
Glenlee - Rockyview	51116
Gracemere	40508
Lakes Creek	38168
Mount Morgan	24076
Norman Gardens	43524
Park Avenue	36244
Parkhurst - Kawana	42952
Rockhampton - West	40248
Rockhampton City	31876
Rockhampton Surrounds - East	37544
Rockhampton Surrounds - North	38480
Rockhampton Surrounds - West	43472
Shoalwater Bay	37700
The Range - Allenstown	40768
Yeppoon	40872
Banana	43420
Biloela	46228
Agnes Water - Miriam Vale	26364
Boyne Island - Tannum Sands	44460
Callemondah	24856
Clinton - New Auckland	43056
Gladstone	35776
Gladstone Hinterland	41652
Kin Kora - Sun Valley	42016
South Trees	
Telina - Toolooa	45240
West Gladstone	36348
Broadbeach Waters	46228
Burleigh Heads	45916
Burleigh Waters	41756
Mermaid Beach - Broadbeach	49400
Mermaid Waters	42484
Miami	47788
Coolangatta	40820
Currumbin - Tugun	44564
Currumbin Waters	38636
Elanora	38376
Palm Beach	45396
Arundel	37180
Biggera Waters	37284
Coombabah	31460
Labrador	34008
Paradise Point - Hollywell	43784
Runaway Bay	37804
Guanaba - Springbrook	39728
Tamborine - Canungra	37908
Currumbin Valley - Tallebudgera	40508
Mudgeeraba - Bonogin	41080
Reedy Creek - Andrews	45552
Carrara	40040
Highland Park	38012
Nerang - Mount Nathan	38532
Pacific Pines - Gaven	42900
Worongary - Tallai	41340
Coomera	43368
Helensvale	41080
Hope Island	44824
Jacobs Well - Alberton	42848
Oxenford - Maudsland	43888
Ormeau (East) - Stapylton	44408
Ormeau (West) - Yatala	46956
Pimpama - North	43420
Pimpama - South	44252
Upper Coomera (South) - Wongawallan	46956
Upper Coomera - North	41964
Willow Vale - Pimpama (West)	46748
Clear Island Waters	38064
Merrimac	40976
Varsity Lakes	40976
Robina - East	39312
Robina - West	41652
Ashmore	38480
Molendinar	36556
Parkwood	38272
Southport - North	33904
Southport - South	35360
Benowa	40352
Bundall	46904
Main Beach	48776
Surfers Paradise - North	40144
Surfers Paradise - South	40404
Darra - Sumner	38064
Durack	31408
Inala - Richlands	26000
Oxley (Qld)	50908
Wacol	25220
Doolandella	42120
Forest Lake - Ellen Grove	41860
Boonah	34164
Esk	26468
Lake Manchester - England Creek	
Lockyer Valley - East	32604
Lowood	33540
Rosewood	39468
Brassall	37388
Bundamba	36556
Churchill - Yamanto	40872
Ipswich - Central	35776
Ipswich - East	35516
Ipswich - North	47632
Karalee - Barellan Point	52988
Karana Downs	50024
Leichhardt - One Mile	32240
North Ipswich - Tivoli	34320
Raceview	39728
Ripley	54808
Riverview	25844
Camira - Gailes	39520
Carole Park	55224
Collingwood Park - Redbank	40404
Goodna	33124
New Chum	11700
Redbank Plains	38844
Springfield	47788
Springfield Lakes	52728
Augustine Heights - Brookwater	61308
Bellbird Park	43784
Beaudesert	31460
Beenleigh	33384
Eagleby	30472
Edens Landing - Holmview	42328
Mount Warren Park	38220
Wolffdene - Bahrs Scrub	47840
Boronia Heights - Park Ridge	38480
Browns Plains	36400
Chambers Flat - Logan Reserve	41236
Crestmead	35828
Greenbank Military Camp	
Hillcrest	41340
Marsden	32916
Munruben - Park Ridge South	40040
Regents Park - Heritage Park	41340
Logan Village	40352
Flagstone (East) - Riverbend	44668
Flagstone (West) - New Beith	52052
Greenbank - North Maclean	41340
Jimboomba - Glenlogan	42848
Yarrabilba	42536
Bethania - Waterford	35464
Cornubia - Carbrook	46384
Loganholme - Tanah Merah	42952
Loganlea	31616
Shailer Park	47944
Waterford West	32552
Daisy Hill	45864
Kingston (Qld)	27092
Logan Central	24752
Rochedale South - Priestdale	43732
Slacks Creek	32344
Springwood	40976
Underwood	41756
Woodridge	26520
Bowen	36972
Broadsound - Nebo	64532
Clermont	53612
Collinsville	37128
Moranbah	80756
Andergrove - Beaconsfield	42952
East Mackay	47736
Eimeo - Rural View	53196
Eungella Hinterland	84500
Mackay	43420
Mackay Harbour	59332
Mount Pleasant - Glenella	49608
North Mackay	40820
Ooralea - Bakers Creek	49192
Pioneer Valley	45240
Sarina	39884
Seaforth - Calen	38688
Shoal Point - Bucasia	48880
Slade Point	40612
South Mackay	41132
Walkerston - Eton	46852
West Mackay	43784
Airlie - Whitsundays	46696
Cape Conway	
Proserpine	37544
Beachmere - Sandstone Point	29640
Bribie Island	27508
Burpengary - East	47632
Caboolture - South	33124
Elimbah	41028
Morayfield - East	38012
Wamuran	39884
Caboolture - East	34060
Caboolture - West	32188
Kilcoy	35880
Woodford - D'Aguilar	36140
Burpengary	40300
Deception Bay	31824
Morayfield	41184
Narangba	46228
Upper Caboolture	43056
Clontarf	36660
Margate - Woody Point	36244
Redcliffe	32500
Rothwell - Kippa-Ring	32968
Moreton Island	42900
Scarborough - Newport	41808
Albany Creek	49608
Cashmere	52156
Dayboro	46592
Eatons Hill	54444
The Hills District	53196
Samford Valley	50856
Murrumba Downs - Griffin	48256
Dakabin	45604
Kallangur	38168
Mango Hill	49868
North Lakes	46020
Bray Park	39260
Lawnton	41184
Petrie	42172
Strathpine - Brendale	38272
Aurukun	17212
Cape York	27040
Croydon - Etheridge	39676
Kowanyama - Pormpuraaw	17940
Northern Peninsula	31408
Tablelands	31772
Torres	45604
Torres Strait Islands	21372
Weipa	81016
Carpentaria	25116
Mount Isa	60216
Mount Isa Surrounds	60944
Northern Highlands	47528
Barcaldine - Blackall	42016
Charleville	41496
Far Central West	49244
Far South West	35360
Longreach	48776
Buderim - North	39572
Buderim - South	43368
Mountain Creek	44564
Sippy Downs	34788
Aroona - Currimundi	37700
Buddina - Minyama	43316
Caloundra - Kings Beach	34736
Golden Beach - Pelican Waters	34528
Moffat Beach - Battery Hill	38428
Parrearra - Warana	40612
Wurtulla - Birtinya	42848
Caloundra West - Baringa	44408
Meridan Plains - Little Mountain (North)	37232
Coolum Beach	41288
Marcoola - Mudjimba	39260
Maroochydore - Kuluin	39728
Mooloolaba - Alexandra Headland	44772
Noosa Heads	47268
Noosaville	38896
Sunshine Beach	45136
Tewantin	32916
Peregian Beach - Marcus Beach	45396
Peregian Springs	42796
Beerwah	35828
Caloundra Hinterland	32760
Glass House Mountains	38324
Landsborough	42796
Maroochy Hinterland	33852
Palmwoods	38168
Bli Bli	39624
Diddillibah - Rosemount	36764
Eumundi - Yandina	39364
Nambour	35256
Noosa Hinterland	35048
Cambooya - Wyreema	46332
Darling Heights	37700
Drayton - Harristown	33748
Gatton	34372
Gowrie (Qld)	45188
Highfields	45188
Lockyer Valley - West	38324
Middle Ridge	47164
Newtown (Qld)	35776
North Toowoomba - Harlaxton	34996
Rangeville	43368
Toowoomba - Central	38636
Toowoomba - East	47580
Toowoomba - West	44564
Wilsonton	32292
Ayr	36972
Burdekin	38272
Charters Towers	33384
Dalrymple	37440
Ingham	31512
Ingham Surrounds	35048
Palm Island	19760
Aitkenvale	38480
Annandale (Qld)	52884
Belgian Gardens - Pallarenda	47320
Bohle Plains	55640
Condon - Rasmussen	36140
Cranbrook	36556
Douglas	40612
Garbutt - West End	42640
Gulliver - Currajong - Vincent	39208
Heatley	34424
Hermit Park - Rosslea	45760
Hyde Park - Pimlico	41860
Kelso	40456
Kirwan - East	35100
Kirwan - West	46280
Magnetic Island	32552
Mount Louisa	49244
Mundingburra	37804
Northern Beaches	39104
Oonoonba	57044
South Townsville - Railway Estate	46488
Townsville - South	45552
Townsville City - North Ward	57980
Wulguru - Roseneath	38428
Burdell - Mount Low	55172
Deeragun - Jensen	44148
Ashfield - Kepnock	34164
Bargara - Burnett Heads	33592
Branyan - Kensington	37180
Bundaberg	31512
Bundaberg East - Kalkie	34372
Bundaberg North - Gooburrum	29588
Bundaberg Surrounds - North	29692
Bundaberg Surrounds - South	27144
Millbank - Avoca	30316
Svensson Heights - Norville	29952
Walkervale - Avenell Heights	30212
Gayndah - Mundubbera	30004
Gin Gin	24284
Kingaroy	34632
Kingaroy Surrounds - North	25480
Kingaroy Surrounds - South	33072
Monto - Eidsvold	26780
Nanango	24128
North Burnett	23400
Cooloola	23972
Gympie - North	29744
Gympie - South	31616
Gympie Surrounds	30056
Kilkivan	26364
Booral - River Heads	31564
Craignish - Dundowran Beach	34528
Pialba - Eli Waters	27820
Point Vernon	27768
Torquay - Scarness - Kawungan	27924
Urangan - Wondunna	29484
Burrum - Fraser	25376
Granville	26104
Maryborough (Qld)	26884
Maryborough Surrounds - South	24492
Tinana	30212
Migratory - Offshore - Shipping (Qld)	62192
No usual address (Qld)	
Adelaide	37752
North Adelaide	50128
Adelaide Hills	41184
Aldgate - Stirling	51636
Hahndorf - Echunga	41808
Lobethal - Woodside	41340
Mount Barker	42900
Mount Barker Surrounds	42640
Nairne	44668
Uraidla - Summertown	46956
Burnside - Wattle Park	49764
Beaumont - Glen Osmond	51168
Toorak Gardens	50804
Athelstone	43108
Paradise - Newton	37492
Rostrevor - Magill	40144
Norwood (SA)	48516
Payneham - Felixstow	40040
St Peters - Marden	49608
Nailsworth - Broadview	50284
Prospect	50024
Walkerville	52052
Goodwood - Millswood	51948
Unley - Parkside	50336
Gawler - North	41600
Gawler - South	36244
Lewiston - Two Wells	41132
Craigmore - Blakeview	39312
Davoren Park	31148
Elizabeth	23920
Elizabeth East	30108
Munno Para West - Angle Vale	43004
One Tree Hill	43836
Smithfield - Elizabeth North	25584
Virginia - Waterloo Corner	36868
Enfield - Blair Athol	35048
Windsor Gardens	40456
Northgate - Northfield	42848
Valley View - Gilles Plains	35880
Dry Creek - North	
Ingle Farm	33852
Para Hills	36244
Parafield	14248
Parafield Gardens	30420
Paralowie	35100
Salisbury	27560
Salisbury East	34060
Salisbury North	32032
Mawson Lakes - Globe Derby Park	46592
Pooraka - Cavan	31096
Golden Grove	41340
Greenwith	45136
Highbury - Dernancourt	43472
Hope Valley - Modbury	35256
Modbury Heights	40924
Redwood Park	43368
St Agnes - Ridgehaven	38948
Brighton (SA)	43472
Glenelg (SA)	48100
Edwardstown	40716
Hallett Cove	43680
Marino - Seaview Downs	43888
Mitchell Park	34736
Morphettville	40924
Sheidow Park - Trott Park	44772
Warradale	38792
Belair	50856
Bellevue Heights	36296
Blackwood	49608
Colonel Light Gardens	47320
Mitcham (SA)	51272
Panorama	39468
Aberfoyle Park	41236
Aldinga	35048
Christie Downs	28808
Christies Beach	34112
Clarendon	43212
Coromandel Valley	50856
Flagstaff Hill	43524
Hackham - Onkaparinga Hills	34736
Hackham West - Huntfield Heights	29016
Happy Valley	40456
Happy Valley Reservoir	40248
Lonsdale	28600
McLaren Vale	40352
Morphett Vale - East	34372
Morphett Vale - West	31824
Reynella	36608
Willunga	39988
Woodcroft	40196
Seaford - Seaford Meadows	39260
Seaford Rise - Moana	38376
Beverley	44044
Flinders Park	39468
Henley Beach	46072
Hindmarsh - Brompton	42536
Royal Park - Hendon - Albert Park	38376
Seaton - Grange	38844
West Lakes	40092
Woodville - Cheltenham	37752
Dry Creek - South	
Largs Bay - Semaphore	44616
North Haven	37440
Port Adelaide	34892
The Parks	29432
Torrens Island	23400
Adelaide Airport	4810000
Fulham	42224
Lockleys	43004
Plympton	41288
Richmond (SA)	40248
West Beach	46592
Barossa - Angaston	38324
Light	37908
Lyndoch	42328
Mallala	35464
Nuriootpa	36452
Tanunda	40196
Clare	39052
Gilbert Valley	34268
Goyder	25844
Wakefield - Barunga West	31148
Jamestown	33280
Peterborough - Mount Remarkable	27768
Port Pirie	29640
Port Pirie Surrounds	29744
Kadina	31148
Moonta	27872
Wallaroo	27092
Yorke Peninsula - North	28860
Yorke Peninsula - South	27352
Ceduna	40976
Eyre Peninsula	37180
Kimba - Cleve - Franklin Harbour	35724
Le Hunte - Elliston	38168
Port Lincoln	38272
West Coast (SA)	33124
Western	27924
Whyalla	33332
Whyalla - North	
APY Lands	16848
Coober Pedy	25896
Quorn - Lake Gilles	33436
Outback	46020
Port Augusta	36244
Roxby Downs	92924
Goolwa - Port Elliot	28652
Kangaroo Island	34944
Strathalbyn	33696
Strathalbyn Surrounds	36296
Victor Harbor	28340
Yankalilla	29744
Grant	41028
Kingston - Robe	36452
Millicent	29016
Naracoorte	39416
Naracoorte Surrounds	45448
Penola	38324
Tatiara	42484
Wattle Range	35880
Mount Gambier - East	38272
Mount Gambier - West	35880
Barmera	33852
Berri	31720
Karoonda - Lameroo	33384
Loxton	35256
Loxton Surrounds	35932
Mannum	26260
Murray Bridge	30992
Murray Bridge Surrounds	33384
Renmark	31304
Renmark Surrounds	38948
The Coorong	31408
Waikerie	30836
Migratory - Offshore - Shipping (SA)	94224
No usual address (SA)	
Augusta	36660
Busselton Surrounds	45760
Margaret River	44252
Busselton - East	37284
Busselton - West	36452
Australind - Leschenault	41496
Capel	38532
College Grove - Carey Park	32188
Collie	30732
Dardanup	43160
Davenport	55224
Eaton - Pelican Point	40248
Harvey	37648
East Bunbury - Glen Iris	37596
Waroona	32240
Dalyellup	46020
Gelorup - Stratham	44980
South Bunbury - Bunbury	43160
Withers - Usher	31096
Bridgetown - Boyup Brook	33228
Donnybrook - Balingup	34216
Manjimup	36296
Pemberton	32552
Dawesville - Bouvard	33124
Falcon - Wannanup	33644
Greenfields	28080
Halls Head - Erskine	34424
Mandurah	29796
Mandurah - East	33228
Mandurah - North	40144
Mandurah - South	28236
Pinjarra	31720
City Beach	63856
Claremont (WA)	57980
Cottesloe	75816
Floreat	63180
Mosman Park - Peppermint Grove	56108
Nedlands - Dalkeith - Crawley	47840
Swanbourne - Mount Claremont	61256
Kings Park (WA)	111800
Mount Hawthorn - Leederville	66560
Mount Lawley - Inglewood	58136
North Perth	59748
Subiaco - Shenton Park	62556
Wembley - West Leederville - Glendalough	54860
East Perth	61100
Perth (North) - Highgate	60112
Perth (West) - Northbridge	61152
Bassendean - Eden Hill - Ashfield	45344
Bayswater - Embleton - Bedford	50128
Maylands	54600
Morley	38324
Noranda	37180
Chidlow	41964
Glen Forrest - Darlington	47580
Helena Valley - Koongamia	43160
Malmalling - Reservoir	22048
Mundaring	42640
Swan View - Greenmount - Midvale	38480
Avon Valley National Park	39624
Ballajura	37180
Beechboro	40456
Bullsbrook	45188
Gidgegannup	47684
Hazelmere - Guildford	52884
Lockridge - Kiara	43004
Malaga	70200
Melaleuca - Lexia	64948
Middle Swan - Herne Hill	38064
Midland - Guildford	38948
Stratton - Jane Brook	43004
The Vines	48880
Walyunga National Park	23400
Aveley	53456
Brabham - Henley Brook	52260
Ellenbrook	42380
Craigie - Beldon	46748
Currambine - Kinross	46904
Duncraig	49452
Greenwood - Warwick	44200
Heathridge - Connolly	46644
Hillarys	51116
Iluka - Burns Beach	55068
Joondalup - Edgewater	43160
Kingsley	42900
Mullaloo - Kallaroo	47632
Ocean Reef	47112
Padbury	47736
Sorrento - Marmion	51012
Woodvale	46852
Balcatta - Hamersley	43160
Balga - Mirrabooka	32708
Herdsman	46800
Innaloo - Doubleview	58552
Karrinyup - Gwelup - Carine	50804
Nollamara - Westminster	42276
Osborne Park Industrial	62972
Scarborough	64064
Stirling - Osborne Park	46228
Trigg - North Beach - Watermans Bay	55328
Tuart Hill - Joondanna	51532
Wembley Downs - Churchlands - Woodlands	51480
Yokine - Coolbinia - Menora	48412
Dianella - North	38480
Dianella - South	42484
Alexander Heights - Koondoola	32656
Butler - Merriwa - Ridgewood	37960
Carramar	47840
Clarkson	43056
Girrawheen	30264
Marangaroo	34372
Mindarie - Quinns Rocks - Jindalee	47944
Neerabup National Park	29848
Tapping - Ashby - Sinagra	45760
Alkimos - Eglinton	51116
Carabooda - Pinjar	40924
Two Rocks	37232
Yanchep	39624
Hocking - Pearsall	47736
Landsdale	49660
Madeley - Darch	44408
Wanneroo - Sinagra	40612
Armadale - Wungong - Brookdale	34840
Ashendon - Lesley	
Camillo - Champion Lakes	33644
Kelmscott	35412
Mount Nasura - Mount Richon - Bedfordale	41964
Roleystone	45240
Seville Grove	40300
Harrisdale	55536
Piara Waters - Forrestdale	57460
Belmont - Ascot - Redcliffe	45708
East Victoria Park - Carlisle	52728
Kewdale Commercial	169000
Perth Airport	
Victoria Park - Lathlain - Burswood	54964
Cloverdale	42224
Kewdale	41444
Rivervale	52780
Bentley - Wilson - St James	36972
Canning Vale - West	42276
Canning Vale Commercial	18148
Cannington - Queens Park	40924
Parkwood - Ferndale - Lynwood	38376
Riverton - Shelley - Rossmoyne	41132
Welshpool	37648
Willetton	39260
Beckenham - Kenwick - Langford	36920
Canning Vale - East	43524
Gosnells	33020
Huntingdale - Southern River	43784
Maddington - Orange Grove - Martin	34788
Thornlie	35464
Forrestfield - Wattle Grove	44460
High Wycombe	43628
Kalamunda - Maida Vale - Gooseberry Hill	43004
Lesmurdie - Bickley - Carmel	41912
Byford	49348
Mundijong	45084
Serpentine - Jarrahdale	40768
Como	52520
Manning - Waterford	41860
South Perth - Kensington	58812
Banjup	53820
Bibra Industrial	71448
Bibra Lake	
Coogee	46592
Coolbellup	41340
Hamilton Hill	39780
Henderson	97500
North Coogee	64376
South Lake - Cockburn Central	43576
Spearwood	39676
Success - Hammond Park	55328
Yangebup	45708
Beeliar - Wattleup	52052
Jandakot	47320
East Fremantle	55900
Fremantle	55068
Fremantle - South	45448
O'Connor (WA)	55224
Wellard (West) - Bertram	48984
Calista	30888
Hope Valley - Postans	45760
Kwinana Industrial	23400
Parmelia - Orelia	32864
Casuarina - Wandi	54392
Applecross - Ardross	57720
Bateman	44304
Bicton - Palmyra	51688
Booragoon	49608
Bull Creek	39312
Leeming	47164
Melville	51740
Murdoch - Kardinya	38480
Willagee	43108
Winthrop	39624
Cooloongup	30992
Port Kennedy	39260
Rockingham	35984
Rockingham Lakes	14248
Safety Bay - Shoalwater	36140
Singleton - Golden Bay - Secret Harbour	48776
Waikiki	38480
Warnbro	35620
Baldivis - North	49296
Baldivis - South	48776
Karnup	46540
Albany	36816
Albany Surrounds	38376
Bayonet Head - Lower King	37128
Denmark	32760
Gnowangerup	48412
Katanning	37128
Kojonup	43108
Little Grove - Elleker	37492
McKail - Willyung	36244
Plantagenet	32552
Stirling Range National Park	
Chittering	41496
Cunderdin	33176
Dowerin	38376
Gingin - Dandaragan	35568
Merredin	41392
Moora	46384
Mukinbudin	44356
Northam	34320
Toodyay	32448
York - Beverley	30784
Brookton	36036
Kulin	46644
Murray	40248
Narrogin	37752
Wagin	40508
Broome	60528
Derby - West Kimberley	23972
Halls Creek	18824
Kununurra	52832
Roebuck	24492
East Pilbara	93652
Newman	84448
Port Hedland	95732
South Hedland	73580
Ashburton (WA)	96980
Karratha	81640
Roebourne	74100
Esperance	40820
Esperance Surrounds	49920
Carnarvon	40664
Exmouth	47060
Boulder	52728
Kalgoorlie	62816
Kalgoorlie - North	71188
Kalgoorlie Airport	
Kambalda - Coolgardie - Norseman	46436
Leinster - Leonora	46800
Trafalgar (WA)	
Geraldton	34632
Geraldton - East	37492
Geraldton - North	45292
Geraldton - South	49244
Irwin	32552
Meekatharra	53248
Morawa	39936
Northampton - Mullewa - Greenough	34528
Migratory - Offshore - Shipping (WA)	110396
No usual address (WA)	
Bridgewater - Gagebrook	26988
Brighton - Pontville	43316
Old Beach - Otago	45916
Bellerive - Rosny	43524
Cambridge	51116
Geilston Bay - Risdon	46072
Howrah - Tranmere	46280
Lindisfarne - Rose Bay	43264
Mornington - Warrane	33072
Risdon Vale	30628
Rokeby	37856
South Arm	47632
Austins Ferry - Granton	41964
Berriedale - Chigwell	36140
Claremont (Tas.)	35100
Derwent Park - Lutana	35360
Glenorchy	32136
Montrose - Rosetta	38168
Moonah	38116
New Norfolk	31252
West Moonah	37752
Kingston - Huntingfield	39364
Kingston Beach - Blackmans Bay	45864
Margate - Snug	42276
Mount Wellington	
Taroona - Bonnet Hill	45500
Hobart	43940
Lenah Valley - Mount Stuart	48984
Mount Nelson - Dynnyrne	41912
New Town	41600
Sandy Bay	46124
South Hobart - Fern Tree	46904
West Hobart	51740
Dodges Ferry - Lewisham	37492
Sorell - Richmond	38376
Invermay	32552
Kings Meadows - Punchbowl	37388
Launceston	46488
Legana	40196
Mowbray	30316
Newnham - Mayfield	29900
Newstead	40716
Norwood (Tas.)	36348
Prospect Vale - Blackstone	38376
Ravenswood	25792
Riverside	40352
South Launceston	39832
Summerhill - Prospect	38844
Trevallyn	43940
Waverley - St Leonards	34892
West Launceston	41184
Youngtown - Relbia	38844
Beauty Point - Beaconsfield	25844
Deloraine	29952
Grindelwald - Lanena	33436
Hadspen - Carrick	40872
Westbury	32084
Dilston - Lilydale	37960
George Town	27040
Longford	34580
Northern Midlands	31772
Perth - Evandale	38584
St Helens - Scamander	25220
Flinders and Cape Barren Islands	35256
Scottsdale - Bridport	30264
Central Highlands	29484
Derwent Valley	33332
Southern Midlands	34372
Wilderness - East	77948
Bruny Island - Kettering	33644
Cygnet	28652
Geeveston - Dover	28236
Huonville - Franklin	35412
Forestier - Tasman	26468
Triabunna - Bicheno	30940
Acton - Upper Burnie	30836
Burnie - Ulverstone Surrounds	35828
Burnie - Wivenhoe	32708
Parklands - Camdale	35516
Penguin - Sulphur Creek	34996
Romaine - Havenview	36400
Somerset	31304
Ulverstone	31616
West Ulverstone	28132
Wynyard	31148
Devonport	32188
East Devonport	27820
Latrobe	32968
Miandetta - Don	39520
Port Sorell	33696
Quoiba - Spreyton	39676
Sheffield - Railton	31408
Turners Beach - Forth	39676
King Island	43940
North West	35880
Smithton	33904
Waratah	32292
West Coast (Tas.)	28496
Wilderness - West	23400
Migratory - Offshore - Shipping (Tas.)	116948
No usual address (Tas.)	
Darwin Airport	60632
Darwin City	64272
East Point	23400
Fannie Bay - The Gardens	68120
Larrakeyah	67444
Ludmilla - The Narrows	50232
Parap	66612
Stuart Park	64324
Woolner - Bayview - Winnellie	75556
Alawa	47580
Anula	53768
Berrimah	52780
Brinkin - Nakara	49764
Buffalo Creek	
Charles Darwin	20748
Coconut Grove	47476
East Arm	59540
Jingili	54184
Karama	43576
Leanyer	57252
Lyons (NT)	70512
Malak - Marrara	48776
Millner	49764
