SA2_NAME21	FamilyHousehold	IncomeHousehold.max	households
Eurobodalla Hinterland	1	131250	131
Eurobodalla Hinterland	1	157500	70
Eurobodalla Hinterland	1	183750	49
Eurobodalla Hinterland	1	210000	23
Eurobodalla Hinterland	1	Inf	66
Merimbula - Tura Beach	0		62
Merimbula - Tura Beach	0	0	47
Merimbula - Tura Beach	0	7875	20
Merimbula - Tura Beach	0	15750	54
Merimbula - Tura Beach	0	21000	112
Merimbula - Tura Beach	0	26250	336
Merimbula - Tura Beach	0	34125	247
Merimbula - Tura Beach	0	42000	155
Merimbula - Tura Beach	0	52500	149
Merimbula - Tura Beach	0	65625	169
Merimbula - Tura Beach	0	78750	77
Merimbula - Tura Beach	0	91875	79
Merimbula - Tura Beach	0	105000	58
Merimbula - Tura Beach	0	131250	76
Merimbula - Tura Beach	0	157500	3
Merimbula - Tura Beach	0	183750	12
Merimbula - Tura Beach	0	Inf	28
Merimbula - Tura Beach	1		239
Merimbula - Tura Beach	1	0	27
Merimbula - Tura Beach	1	7875	21
Merimbula - Tura Beach	1	15750	18
Merimbula - Tura Beach	1	21000	13
Merimbula - Tura Beach	1	26250	41
Merimbula - Tura Beach	1	34125	71
Merimbula - Tura Beach	1	42000	284
Merimbula - Tura Beach	1	52500	239
Merimbula - Tura Beach	1	65625	283
Merimbula - Tura Beach	1	78750	315
Merimbula - Tura Beach	1	91875	198
Merimbula - Tura Beach	1	105000	211
Merimbula - Tura Beach	1	131250	394
Merimbula - Tura Beach	1	157500	273
Merimbula - Tura Beach	1	183750	194
Merimbula - Tura Beach	1	210000	103
Merimbula - Tura Beach	1	Inf	226
Moruya - Tuross Head	0		77
Moruya - Tuross Head	0	0	36
Moruya - Tuross Head	0	7875	20
Moruya - Tuross Head	0	15750	33
Moruya - Tuross Head	0	21000	86
Moruya - Tuross Head	0	26250	271
Moruya - Tuross Head	0	34125	157
Moruya - Tuross Head	0	42000	91
Moruya - Tuross Head	0	52500	108
Moruya - Tuross Head	0	65625	104
Moruya - Tuross Head	0	78750	56
Moruya - Tuross Head	0	91875	36
Moruya - Tuross Head	0	105000	34
Moruya - Tuross Head	0	131250	36
Moruya - Tuross Head	0	157500	3
Moruya - Tuross Head	0	183750	10
Moruya - Tuross Head	0	Inf	11
Moruya - Tuross Head	1		175
Moruya - Tuross Head	1	0	17
Moruya - Tuross Head	1	7875	16
Moruya - Tuross Head	1	15750	11
Moruya - Tuross Head	1	21000	20
Moruya - Tuross Head	1	26250	55
Moruya - Tuross Head	1	34125	59
Moruya - Tuross Head	1	42000	296
Moruya - Tuross Head	1	52500	188
Moruya - Tuross Head	1	65625	218
Moruya - Tuross Head	1	78750	244
Moruya - Tuross Head	1	91875	152
Moruya - Tuross Head	1	105000	163
Moruya - Tuross Head	1	131250	290
Moruya - Tuross Head	1	157500	179
Moruya - Tuross Head	1	183750	128
Moruya - Tuross Head	1	210000	68
Moruya - Tuross Head	1	Inf	131
Narooma - Bermagui	0		73
Narooma - Bermagui	0	0	30
Narooma - Bermagui	0	7875	22
Narooma - Bermagui	0	15750	56
Narooma - Bermagui	0	21000	119
Narooma - Bermagui	0	26250	363
Narooma - Bermagui	0	34125	242
Narooma - Bermagui	0	42000	147
Narooma - Bermagui	0	52500	136
Narooma - Bermagui	0	65625	100
Narooma - Bermagui	0	78750	65
Narooma - Bermagui	0	91875	61
Narooma - Bermagui	0	105000	24
Narooma - Bermagui	0	131250	39
Narooma - Bermagui	0	183750	12
Narooma - Bermagui	0	Inf	25
Narooma - Bermagui	1		226
Narooma - Bermagui	1	0	38
Narooma - Bermagui	1	7875	30
Narooma - Bermagui	1	15750	14
Narooma - Bermagui	1	21000	20
Narooma - Bermagui	1	26250	80
Narooma - Bermagui	1	34125	63
Narooma - Bermagui	1	42000	314
Narooma - Bermagui	1	52500	262
Narooma - Bermagui	1	65625	270
Narooma - Bermagui	1	78750	297
Narooma - Bermagui	1	91875	172
Narooma - Bermagui	1	105000	165
Narooma - Bermagui	1	131250	286
Narooma - Bermagui	1	157500	190
Narooma - Bermagui	1	183750	94
Narooma - Bermagui	1	210000	64
Narooma - Bermagui	1	Inf	122
