SA3_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Lithgow - Mudgee	1	0	65625	615
Lithgow - Mudgee	1	0	78750	775
Lithgow - Mudgee	1	0	91875	532
Lithgow - Mudgee	1	0	105000	603
Lithgow - Mudgee	1	0	131250	1347
Lithgow - Mudgee	1	0	157500	1022
Lithgow - Mudgee	1	0	183750	790
Lithgow - Mudgee	1	0	210000	457
Lithgow - Mudgee	1	0	Inf	1217
Lithgow - Mudgee	1	1	7875	5
Lithgow - Mudgee	1	1	15750	5
Lithgow - Mudgee	1	1	21000	5
Lithgow - Mudgee	1	1	26250	21
Lithgow - Mudgee	1	1	34125	27
Lithgow - Mudgee	1	1	42000	84
Orange				8
Orange			0	3
Orange			15750	5
Orange			26250	6
Orange			34125	8
Orange			42000	10
Orange			52500	26
Orange			65625	18
Orange			78750	31
Orange			91875	17
Orange			105000	18
Orange			131250	20
Orange			157500	11
Orange			183750	3
Orange			210000	8
Orange			Inf	9
Orange	0			223
Orange	0		0	30
Orange	0		7875	16
Orange	0		15750	30
Orange	0		21000	61
Orange	0		26250	97
Orange	0		34125	203
Orange	0		42000	260
Orange	0		52500	279
Orange	0		65625	303
Orange	0		78750	264
Orange	0		91875	202
Orange	0		105000	156
Orange	0		131250	247
Orange	0		157500	97
Orange	0		183750	67
Orange	0		210000	20
Orange	0		Inf	57
Orange	1	0		1070
Orange	1	0	0	114
Orange	1	0	7875	42
Orange	1	0	15750	25
Orange	1	0	21000	33
Orange	1	0	26250	152
Orange	1	0	34125	101
Orange	1	0	42000	634
Orange	1	0	52500	551
Orange	1	0	65625	681
Orange	1	0	78750	882
Orange	1	0	91875	705
Orange	1	0	105000	779
Orange	1	0	131250	1793
Orange	1	0	157500	1526
Orange	1	0	183750	1204
Orange	1	0	210000	836
Orange	1	0	Inf	1951
Orange	1	1	15750	9
Orange	1	1	21000	11
Orange	1	1	26250	10
Orange	1	1	34125	25
Orange	1	1	42000	71
Clarence Valley				7
Clarence Valley			0	5
Clarence Valley			26250	6
Clarence Valley			34125	10
Clarence Valley			42000	25
Clarence Valley			52500	54
Clarence Valley			65625	37
Clarence Valley			78750	27
Clarence Valley			91875	14
Clarence Valley			105000	15
Clarence Valley			131250	13
Clarence Valley			157500	3
Clarence Valley			183750	4
Clarence Valley			Inf	4
Clarence Valley	0			269
Clarence Valley	0		0	39
Clarence Valley	0		7875	15
Clarence Valley	0		15750	28
Clarence Valley	0		21000	86
Clarence Valley	0		26250	141
Clarence Valley	0		34125	226
Clarence Valley	0		42000	285
Clarence Valley	0		52500	344
Clarence Valley	0		65625	367
Clarence Valley	0		78750	247
Clarence Valley	0		91875	152
Clarence Valley	0		105000	122
Clarence Valley	0		131250	144
Clarence Valley	0		157500	58
Clarence Valley	0		183750	29
Clarence Valley	0		210000	17
Clarence Valley	0		Inf	34
Clarence Valley	1	0		959
Clarence Valley	1	0	0	141
Clarence Valley	1	0	7875	74
Clarence Valley	1	0	15750	42
Clarence Valley	1	0	21000	46
Clarence Valley	1	0	26250	237
Clarence Valley	1	0	34125	161
Clarence Valley	1	0	42000	1267
Clarence Valley	1	0	52500	901
Clarence Valley	1	0	65625	1052
Clarence Valley	1	0	78750	1152
Clarence Valley	1	0	91875	756
Clarence Valley	1	0	105000	787
Clarence Valley	1	0	131250	1434
Clarence Valley	1	0	157500	917
Clarence Valley	1	0	183750	615
