SED_NAME21	MotorVehicles.min	occupied_private_dwellings
Oakleigh (Southern Metropolitan)	2	9208
Oakleigh (Southern Metropolitan)	3	2166
Oakleigh (Southern Metropolitan)	4	1042
Ovens Valley (Northern Victoria)		572
Ovens Valley (Northern Victoria)	0	1091
Ovens Valley (Northern Victoria)	1	7670
Ovens Valley (Northern Victoria)	2	8859
Ovens Valley (Northern Victoria)	3	3255
Ovens Valley (Northern Victoria)	4	2120
Pascoe Vale (Northern Metropolitan)		399
Pascoe Vale (Northern Metropolitan)	0	2875
Pascoe Vale (Northern Metropolitan)	1	13311
Pascoe Vale (Northern Metropolitan)	2	9811
Pascoe Vale (Northern Metropolitan)	3	2435
Pascoe Vale (Northern Metropolitan)	4	1215
Polwarth (Western Victoria)		462
Polwarth (Western Victoria)	0	876
Polwarth (Western Victoria)	1	7085
Polwarth (Western Victoria)	2	9372
Polwarth (Western Victoria)	3	3952
Polwarth (Western Victoria)	4	2843
Prahran (Southern Metropolitan)		490
Prahran (Southern Metropolitan)	0	8618
Prahran (Southern Metropolitan)	1	20343
Prahran (Southern Metropolitan)	2	6421
Prahran (Southern Metropolitan)	3	1035
Prahran (Southern Metropolitan)	4	414
Preston (Northern Metropolitan)		475
Preston (Northern Metropolitan)	0	3314
Preston (Northern Metropolitan)	1	12658
Preston (Northern Metropolitan)	2	8160
Preston (Northern Metropolitan)	3	2064
Preston (Northern Metropolitan)	4	1026
Richmond (Northern Metropolitan)		431
Richmond (Northern Metropolitan)	0	7218
Richmond (Northern Metropolitan)	1	18501
Richmond (Northern Metropolitan)	2	6834
Richmond (Northern Metropolitan)	3	1250
Richmond (Northern Metropolitan)	4	372
Ringwood (Eastern Metropolitan)		284
Ringwood (Eastern Metropolitan)	0	1575
Ringwood (Eastern Metropolitan)	1	10154
Ringwood (Eastern Metropolitan)	2	9528
Ringwood (Eastern Metropolitan)	3	2291
Ringwood (Eastern Metropolitan)	4	1231
Ripon (Western Victoria)		530
Ripon (Western Victoria)	0	1213
Ripon (Western Victoria)	1	8619
Ripon (Western Victoria)	2	9718
Ripon (Western Victoria)	3	4060
Ripon (Western Victoria)	4	2773
Rowville (South-Eastern Metropolitan)		147
Rowville (South-Eastern Metropolitan)	0	396
Rowville (South-Eastern Metropolitan)	1	4486
Rowville (South-Eastern Metropolitan)	2	8323
Rowville (South-Eastern Metropolitan)	3	3239
Rowville (South-Eastern Metropolitan)	4	2151
Sandringham (Southern Metropolitan)		240
Sandringham (Southern Metropolitan)	0	1462
Sandringham (Southern Metropolitan)	1	10132
Sandringham (Southern Metropolitan)	2	9985
Sandringham (Southern Metropolitan)	3	2373
Sandringham (Southern Metropolitan)	4	1146
Shepparton (Northern Victoria)		578
Shepparton (Northern Victoria)	0	1352
Shepparton (Northern Victoria)	1	8947
Shepparton (Northern Victoria)	2	9988
Shepparton (Northern Victoria)	3	3996
Shepparton (Northern Victoria)	4	2442
South Barwon (Western Victoria)		315
South Barwon (Western Victoria)	0	860
South Barwon (Western Victoria)	1	9480
South Barwon (Western Victoria)	2	15021
South Barwon (Western Victoria)	3	4321
South Barwon (Western Victoria)	4	2438
South-West Coast (Western Victoria)		421
South-West Coast (Western Victoria)	0	1198
South-West Coast (Western Victoria)	1	8447
South-West Coast (Western Victoria)	2	9950
South-West Coast (Western Victoria)	3	3611
South-West Coast (Western Victoria)	4	2125
St Albans (Western Metropolitan)		598
St Albans (Western Metropolitan)	0	2422
St Albans (Western Metropolitan)	1	9576
St Albans (Western Metropolitan)	2	8168
St Albans (Western Metropolitan)	3	3068
St Albans (Western Metropolitan)	4	1497
Sunbury (Western Metropolitan)		273
Sunbury (Western Metropolitan)	0	979
Sunbury (Western Metropolitan)	1	7779
Sunbury (Western Metropolitan)	2	9956
Sunbury (Western Metropolitan)	3	3436
Sunbury (Western Metropolitan)	4	2006
Sydenham (Western Metropolitan)		319
Sydenham (Western Metropolitan)	0	701
Sydenham (Western Metropolitan)	1	6192
Sydenham (Western Metropolitan)	2	10357
Sydenham (Western Metropolitan)	3	4426
Sydenham (Western Metropolitan)	4	2888
Tarneit (Western Metropolitan)		705
Tarneit (Western Metropolitan)	0	1149
Tarneit (Western Metropolitan)	1	13064
Tarneit (Western Metropolitan)	2	16861
Tarneit (Western Metropolitan)	3	4877
Tarneit (Western Metropolitan)	4	2439
Thomastown (Northern Metropolitan)		462
Thomastown (Northern Metropolitan)	0	1781
Thomastown (Northern Metropolitan)	1	9559
Thomastown (Northern Metropolitan)	2	10779
Thomastown (Northern Metropolitan)	3	3245
Thomastown (Northern Metropolitan)	4	1574
Warrandyte (Eastern Metropolitan)		172
Warrandyte (Eastern Metropolitan)	0	649
Warrandyte (Eastern Metropolitan)	1	6008
Warrandyte (Eastern Metropolitan)	2	9090
Warrandyte (Eastern Metropolitan)	3	3231
Warrandyte (Eastern Metropolitan)	4	2255
Wendouree (Western Victoria)		335
Wendouree (Western Victoria)	0	1663
Wendouree (Western Victoria)	1	9894
Wendouree (Western Victoria)	2	9270
Wendouree (Western Victoria)	3	2693
Wendouree (Western Victoria)	4	1363
Werribee (Western Metropolitan)		463
Werribee (Western Metropolitan)	0	1630
Werribee (Western Metropolitan)	1	11733
Werribee (Western Metropolitan)	2	11630
Werribee (Western Metropolitan)	3	3372
Werribee (Western Metropolitan)	4	1761
Williamstown (Western Metropolitan)		316
Williamstown (Western Metropolitan)	0	2397
Williamstown (Western Metropolitan)	1	12033
Williamstown (Western Metropolitan)	2	10328
Williamstown (Western Metropolitan)	3	2276
Williamstown (Western Metropolitan)	4	934
Yan Yean (Northern Victoria)		355
Yan Yean (Northern Victoria)	0	590
Yan Yean (Northern Victoria)	1	8493
Yan Yean (Northern Victoria)	2	15054
Yan Yean (Northern Victoria)	3	5227
Yan Yean (Northern Victoria)	4	3367
Yuroke (Northern Metropolitan)		601
Yuroke (Northern Metropolitan)	0	1007
Yuroke (Northern Metropolitan)	1	10452
Yuroke (Northern Metropolitan)	2	16826
Yuroke (Northern Metropolitan)	3	5810
Yuroke (Northern Metropolitan)	4	3397
Algester		259
Algester	0	711
Algester	1	6277
Algester	2	8815
Algester	3	2927
Algester	4	1471
Aspley		200
Aspley	0	1025
Aspley	1	6226
Aspley	2	8321
Aspley	3	2513
Aspley	4	1379
Bancroft		273
Bancroft	0	826
Bancroft	1	7223
Bancroft	2	7940
Bancroft	3	2728
Bancroft	4	1552
Barron River		251
Barron River	0	645
Barron River	1	7322
Barron River	2	8657
Barron River	3	2699
Barron River	4	1277
Bonney		387
Bonney	0	1535
Bonney	1	10159
Bonney	2	7554
Bonney	3	2056
Bonney	4	976
Broadwater		251
Broadwater	0	730
Broadwater	1	7210
Broadwater	2	7897
Broadwater	3	2433
Broadwater	4	1189
Buderim		242
Buderim	0	793
Buderim	1	6738
Buderim	2	8214
Buderim	3	2704
Buderim	4	1393
Bulimba		241
Bulimba	0	1165
Bulimba	1	8678
Bulimba	2	8688
Bulimba	3	2229
Bulimba	4	1086
Bundaberg		345
Bundaberg	0	1688
Bundaberg	1	8115
Bundaberg	2	6430
Bundaberg	3	2216
Bundaberg	4	1118
Bundamba		418
Bundamba	0	1182
Bundamba	1	8318
Bundamba	2	9028
Bundamba	3	2928
Bundamba	4	1386
Burdekin		440
Burdekin	0	754
Burdekin	1	5715
Burdekin	2	7347
Burdekin	3	2767
Burdekin	4	1680
Burleigh		264
Burleigh	0	948
Burleigh	1	7267
Burleigh	2	7682
Burleigh	3	2241
Burleigh	4	1101
Burnett		427
Burnett	0	499
Burnett	1	6184
Burnett	2	7480
Burnett	3	2801
Burnett	4	1674
Cairns		526
Cairns	0	2431
Cairns	1	9528
Cairns	2	6797
Cairns	3	1950
Cairns	4	924
Callide		517
Callide	0	679
Callide	1	5400
Callide	2	6633
Callide	3	2933
Callide	4	1989
Caloundra		283
Caloundra	0	965
Caloundra	1	7842
Caloundra	2	8325
Caloundra	3	2580
Caloundra	4	1468
Capalaba		182
Capalaba	0	781
Capalaba	1	5853
Capalaba	2	7548
Capalaba	3	2808
Capalaba	4	1709
Chatsworth		178
Chatsworth	0	701
Chatsworth	1	5642
Chatsworth	2	7903
Chatsworth	3	2475
Chatsworth	4	1418
Clayfield		282
Clayfield	0	2069
Clayfield	1	11378
Clayfield	2	8144
Clayfield	3	1901
Clayfield	4	937
Condamine		270
Condamine	0	361
Condamine	1	4575
Condamine	2	7724
Condamine	3	3551
Condamine	4	2537
Cook		596
Cook	0	2222
Cook	1	5928
Cook	2	5246
Cook	3	1864
Cook	4	1037
Coomera		357
Coomera	0	360
Coomera	1	6760
Coomera	2	12191
Coomera	3	4421
Coomera	4	2416
Cooper		173
Cooper	0	1129
Cooper	1	7263
Cooper	2	7425
Cooper	3	2218
Cooper	4	1052
Currumbin		255
Currumbin	0	809
Currumbin	1	6016
Currumbin	2	6887
Currumbin	3	2339
Currumbin	4	1427
Everton		154
Everton	0	748
Everton	1	5902
Everton	2	8141
Everton	3	2828
Everton	4	1558
Ferny Grove		136
Ferny Grove	0	953
Ferny Grove	1	6266
Ferny Grove	2	7930
Ferny Grove	3	2242
Ferny Grove	4	1061
Gaven		268
Gaven	0	702
Gaven	1	5532
Gaven	2	7136
Gaven	3	2739
Gaven	4	1617
Gladstone		250
Gladstone	0	871
Gladstone	1	6217
Gladstone	2	7155
Gladstone	3	2667
Gladstone	4	1337
Glass House		221
Glass House	0	275
Glass House	1	4172
Glass House	2	6588
Glass House	3	3094
Glass House	4	2427
Greenslopes		220
Greenslopes	0	1764
Greenslopes	1	8908
Greenslopes	2	7723
Greenslopes	3	2016
Greenslopes	4	914
Gregory		337
Gregory	0	677
Gregory	1	4353
Gregory	2	4713
Gregory	3	2060
Gregory	4	1385
Gympie		379
Gympie	0	839
Gympie	1	7011
Gympie	2	7808
Gympie	3	3022
Gympie	4	1847
Hervey Bay		390
Hervey Bay	0	1432
Hervey Bay	1	9553
Hervey Bay	2	7294
Hervey Bay	3	2297
Hervey Bay	4	1126
Hill		561
Hill	0	1039
Hill	1	7346
Hill	2	7807
Hill	3	2813
Hill	4	1471
Hinchinbrook		322
Hinchinbrook	0	451
Hinchinbrook	1	5030
Hinchinbrook	2	7940
Hinchinbrook	3	2933
Hinchinbrook	4	1562
Inala		374
Inala	0	1476
Inala	1	7539
Inala	2	7571
Inala	3	2521
Inala	4	1153
Ipswich		260
Ipswich	0	1444
Ipswich	1	6816
Ipswich	2	6838
Ipswich	3	2334
Ipswich	4	1182
Ipswich West		273
Ipswich West	0	921
Ipswich West	1	6003
Ipswich West	2	6883
Ipswich West	3	2844
Ipswich West	4	1895
Jordan		238
Jordan	0	364
Jordan	1	5442
Jordan	2	9706
Jordan	3	3545
Jordan	4	2161
Kawana		235
Kawana	0	781
Kawana	1	7252
Kawana	2	7599
Kawana	3	2462
Kawana	4	1282
Keppel		329
Keppel	0	729
Keppel	1	6099
Keppel	2	7743
Keppel	3	2775
Keppel	4	1532
Kurwongbah		207
Kurwongbah	0	641
Kurwongbah	1	5565
Kurwongbah	2	7936
Kurwongbah	3	3050
Kurwongbah	4	1945
Lockyer		393
Lockyer	0	475
Lockyer	1	4757
Lockyer	2	6920
Lockyer	3	3290
Lockyer	4	2349
Logan		351
Logan	0	510
Logan	1	5530
Logan	2	7868
Logan	3	3547
Logan	4	3037
Lytton		238
Lytton	0	1232
Lytton	1	7260
Lytton	2	8040
Lytton	3	2503
Lytton	4	1228
Macalister		387
Macalister	0	1143
Macalister	1	7343
Macalister	2	7926
Macalister	3	2868
Macalister	4	1698
Mackay		483
Mackay	0	1341
Mackay	1	7677
Mackay	2	7619
Mackay	3	2625
Mackay	4	1342
Maiwar		185
Maiwar	0	2349
Maiwar	1	10880
Maiwar	2	7587
Maiwar	3	1960
Maiwar	4	872
Mansfield		215
Mansfield	0	1188
Mansfield	1	6588
Mansfield	2	8115
Mansfield	3	2438
Mansfield	4	1259
Maroochydore		306
Maroochydore	0	1124
Maroochydore	1	8813
Maroochydore	2	7512
Maroochydore	3	2112
Maroochydore	4	1010
Maryborough		398
Maryborough	0	1083
Maryborough	1	7006
Maryborough	2	7507
Maryborough	3	2724
Maryborough	4	1686
McConnel		521
McConnel	0	7371
McConnel	1	17186
McConnel	2	5800
McConnel	3	949
McConnel	4	393
Mermaid Beach		295
Mermaid Beach	0	988
Mermaid Beach	1	7655
Mermaid Beach	2	8212
Mermaid Beach	3	2291
Mermaid Beach	4	1125
Miller		165
Miller	0	1382
Miller	1	7532
Miller	2	7143
Miller	3	1924
Miller	4	953
Mirani		367
Mirani	0	387
Mirani	1	4146
Mirani	2	6591
Mirani	3	3137
Mirani	4	2044
Moggill		113
Moggill	0	347
Moggill	1	4313
Moggill	2	7827
Moggill	3	2666
Moggill	4	1553
Morayfield		327
Morayfield	0	1367
Morayfield	1	7532
Morayfield	2	7036
Morayfield	3	2618
Morayfield	4	1724
Mount Ommaney		164
Mount Ommaney	0	738
Mount Ommaney	1	6070
Mount Ommaney	2	7931
Mount Ommaney	3	2387
Mount Ommaney	4	1080
Mudgeeraba		223
Mudgeeraba	0	447
Mudgeeraba	1	5699
Mudgeeraba	2	8413
Mudgeeraba	3	3138
Mudgeeraba	4	1968
Mulgrave		315
Mulgrave	0	890
Mulgrave	1	5836
Mulgrave	2	7558
Mulgrave	3	2555
Mulgrave	4	1329
Mundingburra		265
Mundingburra	0	977
Mundingburra	1	6169
Mundingburra	2	6898
Mundingburra	3	2271
Mundingburra	4	1062
Murrumba		272
Murrumba	0	1037
Murrumba	1	8957
Murrumba	2	9932
Murrumba	3	2970
Murrumba	4	1297
Nanango		457
Nanango	0	892
Nanango	1	6674
Nanango	2	7062
Nanango	3	3075
Nanango	4	1822
Nicklin		292
Nicklin	0	789
Nicklin	1	5696
Nicklin	2	7007
Nicklin	3	2675
Nicklin	4	1867
Ninderry		243
Ninderry	0	432
Ninderry	1	6078
Ninderry	2	8491
Ninderry	3	3010
Ninderry	4	1770
Noosa		267
Noosa	0	683
Noosa	1	6675
Noosa	2	7563
Noosa	3	2539
Noosa	4	1395
Nudgee		271
Nudgee	0	1902
Nudgee	1	9275
Nudgee	2	7965
Nudgee	3	2129
Nudgee	4	957
Oodgeroo		180
Oodgeroo	0	872
Oodgeroo	1	5551
Oodgeroo	2	6560
Oodgeroo	3	2362
Oodgeroo	4	1376
Pine Rivers		172
Pine Rivers	0	548
Pine Rivers	1	4981
Pine Rivers	2	7832
Pine Rivers	3	3171
Pine Rivers	4	2185
Pumicestone		324
Pumicestone	0	922
Pumicestone	1	8494
Pumicestone	2	7314
Pumicestone	3	2523
Pumicestone	4	1560
Redcliffe		354
Redcliffe	0	1936
Redcliffe	1	9131
Redcliffe	2	7386
Redcliffe	3	2332
Redcliffe	4	1186
Redlands		271
Redlands	0	983
Redlands	1	6535
Redlands	2	7822
Redlands	3	2955
Redlands	4	1641
Rockhampton		334
Rockhampton	0	1553
Rockhampton	1	7587
Rockhampton	2	6899
Rockhampton	3	2400
Rockhampton	4	1193
Sandgate		417
Sandgate	0	1128
Sandgate	1	7477
Sandgate	2	7845
Sandgate	3	2276
Sandgate	4	1197
Scenic Rim		297
Scenic Rim	0	460
Scenic Rim	1	5075
Scenic Rim	2	7173
Scenic Rim	3	3421
Scenic Rim	4	2639
South Brisbane		429
South Brisbane	0	4249
South Brisbane	1	14635
South Brisbane	2	6356
South Brisbane	3	1384
South Brisbane	4	661
Southern Downs		378
Southern Downs	0	895
Southern Downs	1	6293
Southern Downs	2	6878
Southern Downs	3	2760
Southern Downs	4	1768
Southport		356
Southport	0	1912
Southport	1	9484
Southport	2	7029
Southport	3	2204
Southport	4	1080
Springwood		173
Springwood	0	474
Springwood	1	4980
Springwood	2	7855
Springwood	3	2999
Springwood	4	1711
Stafford		251
Stafford	0	2085
Stafford	1	9337
Stafford	2	8000
Stafford	3	2119
Stafford	4	925
Stretton		244
Stretton	0	681
Stretton	1	5840
Stretton	2	7809
Stretton	3	2740
Stretton	4	1367
Surfers Paradise		464
Surfers Paradise	0	2125
Surfers Paradise	1	10455
Surfers Paradise	2	6974
Surfers Paradise	3	1824
Surfers Paradise	4	1038
Theodore		219
Theodore	0	434
Theodore	1	5208
Theodore	2	8351
Theodore	3	3216
Theodore	4	1980
Thuringowa		238
Thuringowa	0	917
Thuringowa	1	6216
Thuringowa	2	7238
Thuringowa	3	2560
Thuringowa	4	1206
Toohey		325
Toohey	0	1432
Toohey	1	7371
Toohey	2	7358
Toohey	3	2353
Toohey	4	1240
Toowoomba North		292
Toowoomba North	0	1486
Toowoomba North	1	8352
Toowoomba North	2	7548
Toowoomba North	3	2343
Toowoomba North	4	1211
Toowoomba South		256
Toowoomba South	0	1540
Toowoomba South	1	9088
Toowoomba South	2	8127
Toowoomba South	3	2260
Toowoomba South	4	952
Townsville		382
Townsville	0	1868
Townsville	1	8531
Townsville	2	6947
Townsville	3	1881
Townsville	4	871
Traeger		561
Traeger	0	1157
Traeger	1	4811
Traeger	2	4844
Traeger	3	1729
Traeger	4	1124
Warrego		316
Warrego	0	811
Warrego	1	5081
Warrego	2	5504
Warrego	3	2355
Warrego	4	1546
Waterford		478
Waterford	0	1353
Waterford	1	7351
Waterford	2	7322
Waterford	3	2513
Waterford	4	1441
Whitsunday		290
Whitsunday	0	607
Whitsunday	1	5349
Whitsunday	2	7322
Whitsunday	3	2866
Whitsunday	4	1547
Woodridge		470
Woodridge	0	1679
Woodridge	1	7529
Woodridge	2	7523
Woodridge	3	2899
Woodridge	4	1461
Adelaide		233
Adelaide	0	4111
Adelaide	1	8362
Adelaide	2	4493
Adelaide	3	1108
Adelaide	4	570
Badcoe		184
Badcoe	0	1770
Badcoe	1	7222
Badcoe	2	5476
Badcoe	3	1513
Badcoe	4	717
Black		81
Black	0	394
Black	1	4066
Black	2	5843
Black	3	1945
Black	4	970
Bragg		99
Bragg	0	780
Bragg	1	5155
Bragg	2	5749
Bragg	3	1756
Bragg	4	882
Chaffey		287
Chaffey	0	797
Chaffey	1	4700
Chaffey	2	5262
Chaffey	3	2265
Chaffey	4	1425
Cheltenham		190
Cheltenham	0	1446
Cheltenham	1	6091
Cheltenham	2	5344
Cheltenham	3	1677
Cheltenham	4	826
Colton		124
Colton	0	924
Colton	1	5156
Colton	2	5706
Colton	3	1778
Colton	4	988
Croydon		252
Croydon	0	1938
Croydon	1	6495
Croydon	2	5231
Croydon	3	1608
Croydon	4	769
Davenport		84
Davenport	0	390
Davenport	1	3911
Davenport	2	5758
Davenport	3	2057
Davenport	4	1157
Dunstan		141
Dunstan	0	1599
Dunstan	1	7142
Dunstan	2	5311
Dunstan	3	1393
Dunstan	4	715
Elder		189
Elder	0	1348
Elder	1	6095
Elder	2	5576
Elder	3	1655
Elder	4	813
Elizabeth		278
Elizabeth	0	1594
Elizabeth	1	5441
Elizabeth	2	4790
Elizabeth	3	1622
Elizabeth	4	817
Enfield		209
Enfield	0	1200
Enfield	1	5926
Enfield	2	6092
Enfield	3	1760
Enfield	4	864
Finniss		185
Finniss	0	661
Finniss	1	6142
Finniss	2	5242
Finniss	3	1656
Finniss	4	915
Flinders		319
Flinders	0	747
Flinders	1	4293
Flinders	2	5164
Flinders	3	2015
Flinders	4	1192
Florey		219
Florey	0	988
Florey	1	5612
Florey	2	5271
Florey	3	1728
Florey	4	810
Frome		196
Frome	0	432
Frome	1	3887
Frome	2	5372
Frome	3	2548
Frome	4	1960
Gibson		193
Gibson	0	1495
Gibson	1	6533
Gibson	2	5536
Gibson	3	1445
Gibson	4	705
Giles		356
Giles	0	1554
Giles	1	5141
Giles	2	4519
Giles	3	1645
Giles	4	901
Hammond		239
Hammond	0	753
Hammond	1	4759
Hammond	2	5033
Hammond	3	2164
Hammond	4	1510
Hartley		168
Hartley	0	1406
Hartley	1	6360
Hartley	2	5488
Hartley	3	1555
Hartley	4	845
Heysen		114
Heysen	0	200
Heysen	1	2778
Heysen	2	5362
Heysen	3	2357
Heysen	4	1702
Hurtle Vale		154
Hurtle Vale	0	769
Hurtle Vale	1	4771
Hurtle Vale	2	5040
Hurtle Vale	3	1761
Hurtle Vale	4	1042
Kaurna		176
Kaurna	0	1097
Kaurna	1	5988
Kaurna	2	5833
Kaurna	3	1760
Kaurna	4	869
Kavel		144
Kavel	0	508
Kavel	1	4371
Kavel	2	5839
Kavel	3	2066
Kavel	4	1280
King		123
King	0	515
King	1	4189
King	2	5329
King	3	1989
King	4	1291
Lee		189
Lee	0	1092
Lee	1	5438
Lee	2	5032
Lee	3	1490
Lee	4	740
Light		196
Light	0	888
Light	1	4843
Light	2	5070
Light	3	1844
Light	4	1114
Mackillop		284
Mackillop	0	605
Mackillop	1	4521
Mackillop	2	5654
Mackillop	3	2459
Mackillop	4	1638
Mawson		183
Mawson	0	458
Mawson	1	4896
Mawson	2	5716
Mawson	3	2049
Mawson	4	1201
Morialta		121
Morialta	0	587
Morialta	1	4452
Morialta	2	5726
Morialta	3	1849
Morialta	4	1130
Morphett		168
Morphett	0	1406
Morphett	1	6445
Morphett	2	5166
Morphett	3	1339
Morphett	4	612
Mount Gambier		200
Mount Gambier	0	848
Mount Gambier	1	4587
Mount Gambier	2	4924
Mount Gambier	3	1915
Mount Gambier	4	1243
Narungga		255
Narungga	0	579
Narungga	1	4759
Narungga	2	5093
Narungga	3	1806
Narungga	4	1151
Newland		150
Newland	0	854
Newland	1	5183
Newland	2	5331
Newland	3	1751
Newland	4	948
Playford		177
Playford	0	776
Playford	1	4660
Playford	2	5407
Playford	3	1940
Playford	4	1031
Port Adelaide		172
Port Adelaide	0	1319
Port Adelaide	1	5934
Port Adelaide	2	5281
Port Adelaide	3	1590
Port Adelaide	4	834
Ramsay		276
Ramsay	0	1627
Ramsay	1	5921
Ramsay	2	4945
Ramsay	3	1711
Ramsay	4	889
Reynell		188
Reynell	0	1095
Reynell	1	5829
Reynell	2	5190
Reynell	3	1579
Reynell	4	774
Schubert		152
Schubert	0	320
Schubert	1	3561
Schubert	2	5372
Schubert	3	2547
Schubert	4	2039
Stuart		315
Stuart	0	1242
Stuart	1	4970
Stuart	2	4455
Stuart	3	1827
Stuart	4	1131
Taylor		284
Taylor	0	1187
Taylor	1	5329
Taylor	2	5087
Taylor	3	1689
Taylor	4	1021
Torrens		200
Torrens	0	1251
Torrens	1	6277
Torrens	2	6167
Torrens	3	1770
Torrens	4	784
Unley		120
Unley	0	1089
Unley	1	5875
Unley	2	5489
Unley	3	1539
Unley	4	749
Waite		93
Waite	0	407
Waite	1	3989
Waite	2	5993
Waite	3	1993
Waite	4	1140
West Torrens		163
West Torrens	0	1500
West Torrens	1	5961
West Torrens	2	5000
West Torrens	3	1523
West Torrens	4	792
Wright		108
Wright	0	643
Wright	1	4513
Wright	2	5431
Wright	3	1919
Wright	4	1059
Albany (South West)		220
Albany (South West)	0	661
Albany (South West)	1	4869
Albany (South West)	2	5539
Albany (South West)	3	2117
Albany (South West)	4	1327
Armadale (East Metropolitan)		304
Armadale (East Metropolitan)	0	1164
Armadale (East Metropolitan)	1	6754
Armadale (East Metropolitan)	2	6835
Armadale (East Metropolitan)	3	2276
Armadale (East Metropolitan)	4	1245
Balcatta (North Metropolitan)		242
Balcatta (North Metropolitan)	0	1300
Balcatta (North Metropolitan)	1	8301
Balcatta (North Metropolitan)	2	6873
Balcatta (North Metropolitan)	3	1685
Balcatta (North Metropolitan)	4	816
Baldivis (South Metropolitan)		237
Baldivis (South Metropolitan)	0	502
Baldivis (South Metropolitan)	1	6234
Baldivis (South Metropolitan)	2	8332
Baldivis (South Metropolitan)	3	2570
Baldivis (South Metropolitan)	4	1239
Bassendean (East Metropolitan)		232
Bassendean (East Metropolitan)	0	835
Bassendean (East Metropolitan)	1	5374
Bassendean (East Metropolitan)	2	6173
Bassendean (East Metropolitan)	3	2176
Bassendean (East Metropolitan)	4	1158
Bateman (South Metropolitan)		139
Bateman (South Metropolitan)	0	570
Bateman (South Metropolitan)	1	5184
Bateman (South Metropolitan)	2	6903
Bateman (South Metropolitan)	3	2216
Bateman (South Metropolitan)	4	1176
Belmont (East Metropolitan)		305
Belmont (East Metropolitan)	0	1350
Belmont (East Metropolitan)	1	7956
Belmont (East Metropolitan)	2	6957
Belmont (East Metropolitan)	3	1938
Belmont (East Metropolitan)	4	893
Bicton (South Metropolitan)		152
Bicton (South Metropolitan)	0	761
Bicton (South Metropolitan)	1	5533
Bicton (South Metropolitan)	2	6211
Bicton (South Metropolitan)	3	1702
Bicton (South Metropolitan)	4	920
Bunbury (South West)		287
Bunbury (South West)	0	941
Bunbury (South West)	1	6364
Bunbury (South West)	2	6475
Bunbury (South West)	3	2071
Bunbury (South West)	4	968
Burns Beach (North Metropolitan)		157
Burns Beach (North Metropolitan)	0	428
Burns Beach (North Metropolitan)	1	4605
Burns Beach (North Metropolitan)	2	6764
Burns Beach (North Metropolitan)	3	2479
Burns Beach (North Metropolitan)	4	1305
Butler (North Metropolitan)		252
Butler (North Metropolitan)	0	677
Butler (North Metropolitan)	1	7253
Butler (North Metropolitan)	2	7916
Butler (North Metropolitan)	3	2324
Butler (North Metropolitan)	4	1117
Cannington (South Metropolitan)		309
Cannington (South Metropolitan)	0	1010
Cannington (South Metropolitan)	1	7079
Cannington (South Metropolitan)	2	7278
Cannington (South Metropolitan)	3	2326
Cannington (South Metropolitan)	4	1189
Carine (North Metropolitan)		154
Carine (North Metropolitan)	0	316
Carine (North Metropolitan)	1	3744
Carine (North Metropolitan)	2	7192
Carine (North Metropolitan)	3	2257
Carine (North Metropolitan)	4	1252
Central Wheatbelt (Agricultural)		287
Central Wheatbelt (Agricultural)	0	541
Central Wheatbelt (Agricultural)	1	4100
Central Wheatbelt (Agricultural)	2	4870
Central Wheatbelt (Agricultural)	3	2264
Central Wheatbelt (Agricultural)	4	1736
Churchlands (North Metropolitan)		142
Churchlands (North Metropolitan)	0	776
Churchlands (North Metropolitan)	1	5717
Churchlands (North Metropolitan)	2	6767
Churchlands (North Metropolitan)	3	1907
Churchlands (North Metropolitan)	4	979
Cockburn (South Metropolitan)		158
Cockburn (South Metropolitan)	0	512
Cockburn (South Metropolitan)	1	5172
Cockburn (South Metropolitan)	2	7308
Cockburn (South Metropolitan)	3	2537
Cockburn (South Metropolitan)	4	1310
Collie-Preston (South West)		240
Collie-Preston (South West)	0	436
Collie-Preston (South West)	1	4603
Collie-Preston (South West)	2	6502
Collie-Preston (South West)	3	2795
Collie-Preston (South West)	4	1646
Cottesloe (North Metropolitan)		150
Cottesloe (North Metropolitan)	0	926
Cottesloe (North Metropolitan)	1	5885
Cottesloe (North Metropolitan)	2	6598
Cottesloe (North Metropolitan)	3	2010
Cottesloe (North Metropolitan)	4	1055
Darling Range (East Metropolitan)		185
Darling Range (East Metropolitan)	0	203
Darling Range (East Metropolitan)	1	3288
Darling Range (East Metropolitan)	2	6434
Darling Range (East Metropolitan)	3	3062
Darling Range (East Metropolitan)	4	2478
Dawesville (South West)		218
Dawesville (South West)	0	532
Dawesville (South West)	1	6107
Dawesville (South West)	2	6586
Dawesville (South West)	3	2118
Dawesville (South West)	4	1052
Forrestfield (East Metropolitan)		220
Forrestfield (East Metropolitan)	0	479
Forrestfield (East Metropolitan)	1	4683
Forrestfield (East Metropolitan)	2	6099
Forrestfield (East Metropolitan)	3	2338
Forrestfield (East Metropolitan)	4	1498
Fremantle (South Metropolitan)		261
Fremantle (South Metropolitan)	0	1506
Fremantle (South Metropolitan)	1	7450
Fremantle (South Metropolitan)	2	6447
Fremantle (South Metropolitan)	3	1705
Fremantle (South Metropolitan)	4	800
Geraldton (Agricultural)		230
Geraldton (Agricultural)	0	669
Geraldton (Agricultural)	1	4804
Geraldton (Agricultural)	2	5406
Geraldton (Agricultural)	3	1967
Geraldton (Agricultural)	4	1071
Hillarys (North Metropolitan)		113
