SA4_NAME16	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Richmond - Tweed	(Other)	Improvised home, tent sleepers	Couple family with children	3
Richmond - Tweed	(Other)	Improvised home, tent sleepers	Couple family with no children	9
Richmond - Tweed	(Other)	Improvised home, tent sleepers	Group household	4
Richmond - Tweed	(Other)	Improvised home, tent sleepers	Lone-person household	35
Richmond - Tweed	(Other)	Improvised home, tent sleepers	One parent family with children	3
Richmond - Tweed	Flat/apartment		Couple family with children	49
Richmond - Tweed	Flat/apartment		Couple family with no children	90
Richmond - Tweed	Flat/apartment		Group household	16
Richmond - Tweed	Flat/apartment		Lone-person household	154
Richmond - Tweed	Flat/apartment		One parent family with children	35
Richmond - Tweed	Flat/apartment	1 or 2 storey block	Couple family with children	283
Richmond - Tweed	Flat/apartment	1 or 2 storey block	Couple family with no children	703
Richmond - Tweed	Flat/apartment	1 or 2 storey block	Group household	232
Richmond - Tweed	Flat/apartment	1 or 2 storey block	Lone-person household	2478
Richmond - Tweed	Flat/apartment	1 or 2 storey block	One parent family with children	510
Richmond - Tweed	Flat/apartment	1 or 2 storey block	Other family	47
Richmond - Tweed	Flat/apartment	3 storey block	Couple family with children	172
Richmond - Tweed	Flat/apartment	3 storey block	Couple family with no children	495
Richmond - Tweed	Flat/apartment	3 storey block	Group household	105
Richmond - Tweed	Flat/apartment	3 storey block	Lone-person household	916
Richmond - Tweed	Flat/apartment	3 storey block	One parent family with children	210
Richmond - Tweed	Flat/apartment	3 storey block	Other family	14
Richmond - Tweed	Flat/apartment	4-8 storey block	Couple family with children	43
Richmond - Tweed	Flat/apartment	4-8 storey block	Couple family with no children	279
Richmond - Tweed	Flat/apartment	4-8 storey block	Group household	27
Richmond - Tweed	Flat/apartment	4-8 storey block	Lone-person household	303
Richmond - Tweed	Flat/apartment	4-8 storey block	One parent family with children	40
Richmond - Tweed	Flat/apartment	4-8 storey block	Other family	4
Richmond - Tweed	Flat/apartment	9 or more storey block	Couple family with children	40
Richmond - Tweed	Flat/apartment	9 or more storey block	Couple family with no children	223
Richmond - Tweed	Flat/apartment	9 or more storey block	Group household	22
Richmond - Tweed	Flat/apartment	9 or more storey block	Lone-person household	229
Richmond - Tweed	Flat/apartment	9 or more storey block	One parent family with children	28
Richmond - Tweed	Flat/apartment	9 or more storey block	Other family	3
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	911
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	1445
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.		Group household	391
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	2210
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	931
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.		Other family	63
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	961
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	2068
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	375
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	4234
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	1112
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	93
Richmond - Tweed	Separate house		Couple family with children	21400
Richmond - Tweed	Separate house		Couple family with no children	22879
Richmond - Tweed	Separate house		Group household	3093
Richmond - Tweed	Separate house		Lone-person household	16432
Richmond - Tweed	Separate house		One parent family with children	9099
Richmond - Tweed	Separate house		Other family	694
Riverina			Couple family with children	57
Riverina			Couple family with no children	58
Riverina			Group household	8
Riverina			Lone-person household	91
Riverina			One parent family with children	10
Riverina			Other family	3
Riverina	(Other)	Cabin household	Couple family with children	6
Riverina	(Other)	Cabin household	Couple family with no children	13
Riverina	(Other)	Cabin household	Group household	4
Riverina	(Other)	Cabin household	Lone-person household	41
Riverina	(Other)	Cabin household	One parent family with children	5
Riverina	(Other)	Caravan	Couple family with children	6
Riverina	(Other)	Caravan	Couple family with no children	13
Riverina	(Other)	Caravan	Lone-person household	55
Riverina	(Other)	House or flat attached to a shop, office, etc	Couple family with children	35
Riverina	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	60
Riverina	(Other)	House or flat attached to a shop, office, etc	Group household	25
Riverina	(Other)	House or flat attached to a shop, office, etc	Lone-person household	90
Riverina	(Other)	House or flat attached to a shop, office, etc	One parent family with children	11
Riverina	(Other)	Improvised home, tent sleepers	Couple family with children	4
Riverina	(Other)	Improvised home, tent sleepers	Group household	4
Riverina	(Other)	Improvised home, tent sleepers	Lone-person household	12
Riverina	Flat/apartment		Couple family with children	9
Riverina	Flat/apartment		Couple family with no children	10
Riverina	Flat/apartment		Lone-person household	21
Riverina	Flat/apartment	1 or 2 storey block	Couple family with children	400
Riverina	Flat/apartment	1 or 2 storey block	Couple family with no children	563
Riverina	Flat/apartment	1 or 2 storey block	Group household	186
Riverina	Flat/apartment	1 or 2 storey block	Lone-person household	2167
Riverina	Flat/apartment	1 or 2 storey block	One parent family with children	272
Riverina	Flat/apartment	1 or 2 storey block	Other family	47
Riverina	Flat/apartment	3 storey block	Couple family with children	7
Riverina	Flat/apartment	3 storey block	Couple family with no children	26
Riverina	Flat/apartment	3 storey block	Group household	9
Riverina	Flat/apartment	3 storey block	Lone-person household	118
Riverina	Flat/apartment	4-8 storey block	Couple family with no children	11
Riverina	Flat/apartment	4-8 storey block	Lone-person household	30
Riverina	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	31
Riverina	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	66
Riverina	Semi-detached, row/terrace house, townhouse etc.		Group household	22
Riverina	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	196
Riverina	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	28
Riverina	Semi-detached, row/terrace house, townhouse etc.		Other family	3
Riverina	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	172
Riverina	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	412
Riverina	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	77
Riverina	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1369
Riverina	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	162
Riverina	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	17
Riverina	Separate house		Couple family with children	16154
Riverina	Separate house		Couple family with no children	15711
Riverina	Separate house		Group household	1433
Riverina	Separate house		Lone-person household	12517
Riverina	Separate house		One parent family with children	6156
Riverina	Separate house		Other family	525
Southern Highlands and Shoalhaven			Couple family with children	23
Southern Highlands and Shoalhaven			Couple family with no children	57
Southern Highlands and Shoalhaven			Group household	8
Southern Highlands and Shoalhaven			Lone-person household	190
Southern Highlands and Shoalhaven			One parent family with children	4
Southern Highlands and Shoalhaven	(Other)	Cabin household	Couple family with children	17
Southern Highlands and Shoalhaven	(Other)	Cabin household	Couple family with no children	230
Southern Highlands and Shoalhaven	(Other)	Cabin household	Group household	15
Southern Highlands and Shoalhaven	(Other)	Cabin household	Lone-person household	439
Southern Highlands and Shoalhaven	(Other)	Cabin household	One parent family with children	18
Southern Highlands and Shoalhaven	(Other)	Cabin household	Other family	4
Southern Highlands and Shoalhaven	(Other)	Caravan	Couple family with children	8
Southern Highlands and Shoalhaven	(Other)	Caravan	Couple family with no children	29
Southern Highlands and Shoalhaven	(Other)	Caravan	Group household	5
Southern Highlands and Shoalhaven	(Other)	Caravan	Lone-person household	98
Southern Highlands and Shoalhaven	(Other)	Caravan	One parent family with children	3
Southern Highlands and Shoalhaven	(Other)	House or flat attached to a shop, office, etc	Couple family with children	21
Southern Highlands and Shoalhaven	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	28
Southern Highlands and Shoalhaven	(Other)	House or flat attached to a shop, office, etc	Group household	10
Southern Highlands and Shoalhaven	(Other)	House or flat attached to a shop, office, etc	Lone-person household	41
Southern Highlands and Shoalhaven	(Other)	House or flat attached to a shop, office, etc	One parent family with children	7
Southern Highlands and Shoalhaven	(Other)	House or flat attached to a shop, office, etc	Other family	4
Southern Highlands and Shoalhaven	(Other)	Improvised home, tent sleepers	Couple family with no children	3
Southern Highlands and Shoalhaven	(Other)	Improvised home, tent sleepers	Group household	4
Southern Highlands and Shoalhaven	(Other)	Improvised home, tent sleepers	Lone-person household	10
Southern Highlands and Shoalhaven	(Other)	Improvised home, tent sleepers	One parent family with children	3
Southern Highlands and Shoalhaven	Flat/apartment		Couple family with children	23
Southern Highlands and Shoalhaven	Flat/apartment		Couple family with no children	52
Southern Highlands and Shoalhaven	Flat/apartment		Group household	9
Southern Highlands and Shoalhaven	Flat/apartment		Lone-person household	68
Southern Highlands and Shoalhaven	Flat/apartment		One parent family with children	19
Southern Highlands and Shoalhaven	Flat/apartment	1 or 2 storey block	Couple family with children	103
Southern Highlands and Shoalhaven	Flat/apartment	1 or 2 storey block	Couple family with no children	177
Southern Highlands and Shoalhaven	Flat/apartment	1 or 2 storey block	Group household	47
Southern Highlands and Shoalhaven	Flat/apartment	1 or 2 storey block	Lone-person household	678
Southern Highlands and Shoalhaven	Flat/apartment	1 or 2 storey block	One parent family with children	81
Southern Highlands and Shoalhaven	Flat/apartment	1 or 2 storey block	Other family	6
Southern Highlands and Shoalhaven	Flat/apartment	3 storey block	Couple family with children	3
Southern Highlands and Shoalhaven	Flat/apartment	3 storey block	Couple family with no children	13
Southern Highlands and Shoalhaven	Flat/apartment	3 storey block	Group household	5
Southern Highlands and Shoalhaven	Flat/apartment	3 storey block	Lone-person household	27
Southern Highlands and Shoalhaven	Flat/apartment	4-8 storey block	Lone-person household	3
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	86
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	306
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.		Group household	36
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	611
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	129
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.		Other family	17
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	211
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	947
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	120
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1972
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	290
Southern Highlands and Shoalhaven	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	31
Southern Highlands and Shoalhaven	Separate house		Couple family with children	14696
Southern Highlands and Shoalhaven	Separate house		Couple family with no children	19542
Southern Highlands and Shoalhaven	Separate house		Group household	1348
Southern Highlands and Shoalhaven	Separate house		Lone-person household	13285
Southern Highlands and Shoalhaven	Separate house		One parent family with children	6088
Southern Highlands and Shoalhaven	Separate house		Other family	469
Sydney - Baulkham Hills and Hawkesbury			Couple family with children	50
Sydney - Baulkham Hills and Hawkesbury			Couple family with no children	42
Sydney - Baulkham Hills and Hawkesbury			Group household	3
Sydney - Baulkham Hills and Hawkesbury			Lone-person household	65
Sydney - Baulkham Hills and Hawkesbury			One parent family with children	11
Sydney - Baulkham Hills and Hawkesbury	(Other)	Cabin household	Couple family with children	4
Sydney - Baulkham Hills and Hawkesbury	(Other)	Cabin household	Couple family with no children	15
Sydney - Baulkham Hills and Hawkesbury	(Other)	Cabin household	Group household	9
Sydney - Baulkham Hills and Hawkesbury	(Other)	Cabin household	Lone-person household	65
Sydney - Baulkham Hills and Hawkesbury	(Other)	Cabin household	One parent family with children	10
Sydney - Baulkham Hills and Hawkesbury	(Other)	Caravan	Couple family with children	8
Sydney - Baulkham Hills and Hawkesbury	(Other)	Caravan	Couple family with no children	17
Sydney - Baulkham Hills and Hawkesbury	(Other)	Caravan	Lone-person household	23
Sydney - Baulkham Hills and Hawkesbury	(Other)	House or flat attached to a shop, office, etc	Couple family with children	15
Sydney - Baulkham Hills and Hawkesbury	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	6
Sydney - Baulkham Hills and Hawkesbury	(Other)	House or flat attached to a shop, office, etc	Lone-person household	5
Sydney - Baulkham Hills and Hawkesbury	(Other)	House or flat attached to a shop, office, etc	One parent family with children	4
Sydney - Baulkham Hills and Hawkesbury	(Other)	Improvised home, tent sleepers	Lone-person household	3
Sydney - Baulkham Hills and Hawkesbury	(Other)	Improvised home, tent sleepers	One parent family with children	3
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment		Couple family with children	96
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment		Couple family with no children	66
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment		Group household	6
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment		Lone-person household	86
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment		One parent family with children	22
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	1 or 2 storey block	Couple family with children	192
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	1 or 2 storey block	Couple family with no children	268
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	1 or 2 storey block	Group household	27
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	1 or 2 storey block	Lone-person household	741
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	1 or 2 storey block	One parent family with children	100
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	1 or 2 storey block	Other family	10
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	3 storey block	Couple family with children	325
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	3 storey block	Couple family with no children	315
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	3 storey block	Group household	28
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	3 storey block	Lone-person household	349
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	3 storey block	One parent family with children	137
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	3 storey block	Other family	20
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	4-8 storey block	Couple family with children	614
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	4-8 storey block	Couple family with no children	879
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	4-8 storey block	Group household	94
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	4-8 storey block	Lone-person household	852
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	4-8 storey block	One parent family with children	239
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	4-8 storey block	Other family	34
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	9 or more storey block	Couple family with children	242
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	9 or more storey block	Couple family with no children	330
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	9 or more storey block	Group household	56
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	9 or more storey block	Lone-person household	280
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	9 or more storey block	One parent family with children	93
Sydney - Baulkham Hills and Hawkesbury	Flat/apartment	9 or more storey block	Other family	20
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	2669
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	1104
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.		Group household	94
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	1109
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	665
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.		Other family	43
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	206
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	377
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	12
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	622
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	73
Sydney - Baulkham Hills and Hawkesbury	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	4
Sydney - Baulkham Hills and Hawkesbury	Separate house		Couple family with children	38044
Sydney - Baulkham Hills and Hawkesbury	Separate house		Couple family with no children	17101
Sydney - Baulkham Hills and Hawkesbury	Separate house		Group household	798
Sydney - Baulkham Hills and Hawkesbury	Separate house		Lone-person household	6806
Sydney - Baulkham Hills and Hawkesbury	Separate house		One parent family with children	5858
Sydney - Baulkham Hills and Hawkesbury	Separate house		Other family	410
Sydney - Blacktown			Couple family with children	87
Sydney - Blacktown			Couple family with no children	46
Sydney - Blacktown			Group household	5
Sydney - Blacktown			Lone-person household	59
Sydney - Blacktown			One parent family with children	12
Sydney - Blacktown	(Other)	Cabin household	Lone-person household	4
Sydney - Blacktown	(Other)	House or flat attached to a shop, office, etc	Couple family with children	38
Sydney - Blacktown	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	17
Sydney - Blacktown	(Other)	House or flat attached to a shop, office, etc	Group household	4
Sydney - Blacktown	(Other)	House or flat attached to a shop, office, etc	Lone-person household	15
Sydney - Blacktown	(Other)	House or flat attached to a shop, office, etc	One parent family with children	10
Sydney - Blacktown	(Other)	Improvised home, tent sleepers	Couple family with children	4
Sydney - Blacktown	(Other)	Improvised home, tent sleepers	Couple family with no children	3
Sydney - Blacktown	(Other)	Improvised home, tent sleepers	Lone-person household	3
Sydney - Blacktown	Flat/apartment		Couple family with children	211
Sydney - Blacktown	Flat/apartment		Couple family with no children	170
Sydney - Blacktown	Flat/apartment		Group household	45
Sydney - Blacktown	Flat/apartment		Lone-person household	193
Sydney - Blacktown	Flat/apartment		One parent family with children	76
Sydney - Blacktown	Flat/apartment		Other family	14
Sydney - Blacktown	Flat/apartment	1 or 2 storey block	Couple family with children	138
Sydney - Blacktown	Flat/apartment	1 or 2 storey block	Couple family with no children	130
Sydney - Blacktown	Flat/apartment	1 or 2 storey block	Group household	36
Sydney - Blacktown	Flat/apartment	1 or 2 storey block	Lone-person household	749
Sydney - Blacktown	Flat/apartment	1 or 2 storey block	One parent family with children	80
Sydney - Blacktown	Flat/apartment	1 or 2 storey block	Other family	7
Sydney - Blacktown	Flat/apartment	3 storey block	Couple family with children	118
Sydney - Blacktown	Flat/apartment	3 storey block	Couple family with no children	75
Sydney - Blacktown	Flat/apartment	3 storey block	Group household	26
Sydney - Blacktown	Flat/apartment	3 storey block	Lone-person household	285
Sydney - Blacktown	Flat/apartment	3 storey block	One parent family with children	60
Sydney - Blacktown	Flat/apartment	3 storey block	Other family	12
Sydney - Blacktown	Flat/apartment	4-8 storey block	Couple family with children	1855
Sydney - Blacktown	Flat/apartment	4-8 storey block	Couple family with no children	1510
Sydney - Blacktown	Flat/apartment	4-8 storey block	Group household	377
Sydney - Blacktown	Flat/apartment	4-8 storey block	Lone-person household	1777
Sydney - Blacktown	Flat/apartment	4-8 storey block	One parent family with children	621
Sydney - Blacktown	Flat/apartment	4-8 storey block	Other family	133
Sydney - Blacktown	Flat/apartment	9 or more storey block	Couple family with children	66
Sydney - Blacktown	Flat/apartment	9 or more storey block	Couple family with no children	68
Sydney - Blacktown	Flat/apartment	9 or more storey block	Group household	22
Sydney - Blacktown	Flat/apartment	9 or more storey block	Lone-person household	43
Sydney - Blacktown	Flat/apartment	9 or more storey block	One parent family with children	21
Sydney - Blacktown	Flat/apartment	9 or more storey block	Other family	13
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	4902
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	1560
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.		Group household	310
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	1846
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	1632
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.		Other family	133
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	1457
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	810
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	126
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1309
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	557
Sydney - Blacktown	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	64
Sydney - Blacktown	Separate house		Couple family with children	49252
Sydney - Blacktown	Separate house		Couple family with no children	19262
Sydney - Blacktown	Separate house		Group household	2329
Sydney - Blacktown	Separate house		Lone-person household	13218
Sydney - Blacktown	Separate house		One parent family with children	13379
Sydney - Blacktown	Separate house		Other family	1372
Sydney - City and Inner South			Couple family with children	50
Sydney - City and Inner South			Couple family with no children	111
Sydney - City and Inner South			Group household	43
Sydney - City and Inner South			Lone-person household	331
Sydney - City and Inner South			One parent family with children	18
Sydney - City and Inner South			Other family	8
Sydney - City and Inner South	(Other)	House or flat attached to a shop, office, etc	Couple family with children	130
Sydney - City and Inner South	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	267
Sydney - City and Inner South	(Other)	House or flat attached to a shop, office, etc	Group household	253
Sydney - City and Inner South	(Other)	House or flat attached to a shop, office, etc	Lone-person household	509
Sydney - City and Inner South	(Other)	House or flat attached to a shop, office, etc	One parent family with children	80
Sydney - City and Inner South	(Other)	House or flat attached to a shop, office, etc	Other family	32
Sydney - City and Inner South	Flat/apartment		Couple family with children	41
Sydney - City and Inner South	Flat/apartment		Couple family with no children	80
Sydney - City and Inner South	Flat/apartment		Group household	33
Sydney - City and Inner South	Flat/apartment		Lone-person household	130
Sydney - City and Inner South	Flat/apartment		One parent family with children	24
Sydney - City and Inner South	Flat/apartment		Other family	4
Sydney - City and Inner South	Flat/apartment	1 or 2 storey block	Couple family with children	913
Sydney - City and Inner South	Flat/apartment	1 or 2 storey block	Couple family with no children	1651
Sydney - City and Inner South	Flat/apartment	1 or 2 storey block	Group household	710
Sydney - City and Inner South	Flat/apartment	1 or 2 storey block	Lone-person household	3605
Sydney - City and Inner South	Flat/apartment	1 or 2 storey block	One parent family with children	501
Sydney - City and Inner South	Flat/apartment	1 or 2 storey block	Other family	112
Sydney - City and Inner South	Flat/apartment	3 storey block	Couple family with children	1629
Sydney - City and Inner South	Flat/apartment	3 storey block	Couple family with no children	3707
Sydney - City and Inner South	Flat/apartment	3 storey block	Group household	1284
Sydney - City and Inner South	Flat/apartment	3 storey block	Lone-person household	7202
Sydney - City and Inner South	Flat/apartment	3 storey block	One parent family with children	1018
Sydney - City and Inner South	Flat/apartment	3 storey block	Other family	185
Sydney - City and Inner South	Flat/apartment	4-8 storey block	Couple family with children	4084
Sydney - City and Inner South	Flat/apartment	4-8 storey block	Couple family with no children	11912
Sydney - City and Inner South	Flat/apartment	4-8 storey block	Group household	3562
Sydney - City and Inner South	Flat/apartment	4-8 storey block	Lone-person household	15875
Sydney - City and Inner South	Flat/apartment	4-8 storey block	One parent family with children	1530
Sydney - City and Inner South	Flat/apartment	4-8 storey block	Other family	496
Sydney - City and Inner South	Flat/apartment	9 or more storey block	Couple family with children	3857
Sydney - City and Inner South	Flat/apartment	9 or more storey block	Couple family with no children	13111
Sydney - City and Inner South	Flat/apartment	9 or more storey block	Group household	4971
Sydney - City and Inner South	Flat/apartment	9 or more storey block	Lone-person household	15828
Sydney - City and Inner South	Flat/apartment	9 or more storey block	One parent family with children	1489
Sydney - City and Inner South	Flat/apartment	9 or more storey block	Other family	780
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	4026
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	4732
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.		Group household	2781
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	4553
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	1513
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.		Other family	233
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	2520
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	3030
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	1015
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	2593
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	849
Sydney - City and Inner South	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	158
Sydney - City and Inner South	Separate house		Couple family with children	5656
Sydney - City and Inner South	Separate house		Couple family with no children	3477
Sydney - City and Inner South	Separate house		Group household	1010
Sydney - City and Inner South	Separate house		Lone-person household	2360
Sydney - City and Inner South	Separate house		One parent family with children	1702
Sydney - City and Inner South	Separate house		Other family	247
Sydney - Eastern Suburbs			Couple family with children	26
Sydney - Eastern Suburbs			Couple family with no children	33
Sydney - Eastern Suburbs			Group household	18
Sydney - Eastern Suburbs			Lone-person household	91
Sydney - Eastern Suburbs			One parent family with children	6
Sydney - Eastern Suburbs	(Other)	House or flat attached to a shop, office, etc	Couple family with children	142
Sydney - Eastern Suburbs	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	294
Sydney - Eastern Suburbs	(Other)	House or flat attached to a shop, office, etc	Group household	136
Sydney - Eastern Suburbs	(Other)	House or flat attached to a shop, office, etc	Lone-person household	444
Sydney - Eastern Suburbs	(Other)	House or flat attached to a shop, office, etc	One parent family with children	71
Sydney - Eastern Suburbs	(Other)	House or flat attached to a shop, office, etc	Other family	13
Sydney - Eastern Suburbs	Flat/apartment		Couple family with children	68
Sydney - Eastern Suburbs	Flat/apartment		Couple family with no children	59
Sydney - Eastern Suburbs	Flat/apartment		Group household	20
Sydney - Eastern Suburbs	Flat/apartment		Lone-person household	75
Sydney - Eastern Suburbs	Flat/apartment		One parent family with children	24
Sydney - Eastern Suburbs	Flat/apartment		Other family	3
Sydney - Eastern Suburbs	Flat/apartment	1 or 2 storey block	Couple family with children	1948
Sydney - Eastern Suburbs	Flat/apartment	1 or 2 storey block	Couple family with no children	2743
Sydney - Eastern Suburbs	Flat/apartment	1 or 2 storey block	Group household	1205
Sydney - Eastern Suburbs	Flat/apartment	1 or 2 storey block	Lone-person household	4120
Sydney - Eastern Suburbs	Flat/apartment	1 or 2 storey block	One parent family with children	952
Sydney - Eastern Suburbs	Flat/apartment	1 or 2 storey block	Other family	146
Sydney - Eastern Suburbs	Flat/apartment	3 storey block	Couple family with children	3654
Sydney - Eastern Suburbs	Flat/apartment	3 storey block	Couple family with no children	7558
Sydney - Eastern Suburbs	Flat/apartment	3 storey block	Group household	3103
Sydney - Eastern Suburbs	Flat/apartment	3 storey block	Lone-person household	10131
Sydney - Eastern Suburbs	Flat/apartment	3 storey block	One parent family with children	1973
Sydney - Eastern Suburbs	Flat/apartment	3 storey block	Other family	354
