SA4_NAME21	AgeStudent	students
Adelaide - South	15-19	17047
Adelaide - South	20-24	9470
Adelaide - South	25+	15714
Adelaide - West	0-4	3424
Adelaide - West	5-14	23169
Adelaide - West	15-19	9792
Adelaide - West	20-24	7634
Adelaide - West	25+	11873
Barossa - Yorke - Mid North	0-4	1283
Barossa - Yorke - Mid North	5-14	12542
Barossa - Yorke - Mid North	15-19	4179
Barossa - Yorke - Mid North	20-24	1111
Barossa - Yorke - Mid North	25+	2339
South Australia - Outback	0-4	1164
South Australia - Outback	5-14	9528
South Australia - Outback	15-19	2781
South Australia - Outback	20-24	584
South Australia - Outback	25+	1898
South Australia - South East	0-4	2076
South Australia - South East	5-14	20186
South Australia - South East	15-19	6985
South Australia - South East	20-24	1564
South Australia - South East	25+	4439
No usual address (SA)	0-4	25
No usual address (SA)	5-14	200
No usual address (SA)	15-19	92
No usual address (SA)	20-24	39
No usual address (SA)	25+	94
Bunbury	0-4	2696
Bunbury	5-14	23598
Bunbury	15-19	7490
Bunbury	20-24	1443
Bunbury	25+	4810
Mandurah	0-4	1565
Mandurah	5-14	12299
Mandurah	15-19	4221
Mandurah	20-24	1350
Mandurah	25+	2781
Perth - Inner	0-4	2620
Perth - Inner	5-14	18530
Perth - Inner	15-19	9094
Perth - Inner	20-24	7670
Perth - Inner	25+	10580
Perth - North East	0-4	5112
Perth - North East	5-14	33321
Perth - North East	15-19	11918
Perth - North East	20-24	5622
Perth - North East	25+	10523
Perth - North West	0-4	10588
Perth - North West	5-14	72134
Perth - North West	15-19	27451
Perth - North West	20-24	14086
Perth - North West	25+	22123
Perth - South East	0-4	9217
Perth - South East	5-14	65263
Perth - South East	15-19	23747
Perth - South East	20-24	15499
Perth - South East	25+	23566
Perth - South West	0-4	8102
Perth - South West	5-14	55762
Perth - South West	15-19	20363
Perth - South West	20-24	10154
Perth - South West	25+	16507
Western Australia - Wheat Belt	0-4	1621
Western Australia - Wheat Belt	5-14	15017
Western Australia - Wheat Belt	15-19	4717
Western Australia - Wheat Belt	20-24	866
Western Australia - Wheat Belt	25+	2905
Western Australia - Outback (North)	0-4	1540
Western Australia - Outback (North)	5-14	11491
Western Australia - Outback (North)	15-19	2354
Western Australia - Outback (North)	20-24	489
Western Australia - Outback (North)	25+	2544
Western Australia - Outback (South)	0-4	1713
Western Australia - Outback (South)	5-14	13578
Western Australia - Outback (South)	15-19	3742
Western Australia - Outback (South)	20-24	900
Western Australia - Outback (South)	25+	3118
Migratory - Offshore - Shipping (WA)	25+	17
No usual address (WA)	0-4	34
No usual address (WA)	5-14	327
No usual address (WA)	15-19	76
No usual address (WA)	20-24	62
No usual address (WA)	25+	169
Hobart	0-4	3474
Hobart	5-14	27113
Hobart	15-19	10275
Hobart	20-24	5653
Hobart	25+	14019
Launceston and North East	0-4	1910
Launceston and North East	5-14	16276
Launceston and North East	15-19	6007
Launceston and North East	20-24	2346
Launceston and North East	25+	5630
South East	0-4	425
South East	5-14	4115
South East	15-19	1380
South East	20-24	321
South East	25+	1194
West and North West	0-4	1367
West and North West	5-14	12553
West and North West	15-19	4517
West and North West	20-24	1156
West and North West	25+	3266
No usual address (Tas.)	0-4	6
No usual address (Tas.)	5-14	68
No usual address (Tas.)	15-19	36
No usual address (Tas.)	20-24	24
No usual address (Tas.)	25+	50
Darwin	0-4	2532
Darwin	5-14	16884
Darwin	15-19	5101
Darwin	20-24	2440
Darwin	25+	8522
Northern Territory - Outback	0-4	1562
Northern Territory - Outback	5-14	11842
Northern Territory - Outback	15-19	2562
Northern Territory - Outback	20-24	482
Northern Territory - Outback	25+	2771
Migratory - Offshore - Shipping (NT)	25+	3
No usual address (NT)	0-4	11
No usual address (NT)	5-14	180
No usual address (NT)	15-19	20
No usual address (NT)	20-24	13
No usual address (NT)	25+	56
Australian Capital Territory	0-4	7872
Australian Capital Territory	5-14	53804
Australian Capital Territory	15-19	21598
Australian Capital Territory	20-24	17260
Australian Capital Territory	25+	28207
No usual address (ACT)	0-4	7
No usual address (ACT)	5-14	19
No usual address (ACT)	15-19	42
No usual address (ACT)	20-24	29
No usual address (ACT)	25+	21
Other Territories	0-4	66
Other Territories	5-14	486
Other Territories	15-19	115
Other Territories	20-24	38
Other Territories	25+	113
