SA4_NAME21	AgeStudent	Sex	students
Ipswich	0-4	F	3115
Ipswich	0-4	M	3355
Ipswich	5-14	F	24515
Ipswich	5-14	M	26091
Ipswich	15-19	F	8683
Ipswich	15-19	M	8087
Ipswich	20-24	F	3677
Ipswich	20-24	M	2626
Ipswich	25+	F	8955
Ipswich	25+	M	4684
Logan - Beaudesert	0-4	F	3040
Logan - Beaudesert	0-4	M	3208
Logan - Beaudesert	5-14	F	24170
Logan - Beaudesert	5-14	M	25164
Logan - Beaudesert	15-19	F	8277
Logan - Beaudesert	15-19	M	8116
Logan - Beaudesert	20-24	F	3326
Logan - Beaudesert	20-24	M	2507
Logan - Beaudesert	25+	F	8098
Logan - Beaudesert	25+	M	4108
Mackay - Isaac - Whitsunday	0-4	F	1260
Mackay - Isaac - Whitsunday	0-4	M	1385
Mackay - Isaac - Whitsunday	5-14	F	10811
Mackay - Isaac - Whitsunday	5-14	M	11494
Mackay - Isaac - Whitsunday	15-19	F	3323
Mackay - Isaac - Whitsunday	15-19	M	3242
Mackay - Isaac - Whitsunday	20-24	F	1029
Mackay - Isaac - Whitsunday	20-24	M	725
Mackay - Isaac - Whitsunday	25+	F	3390
Mackay - Isaac - Whitsunday	25+	M	1504
Moreton Bay - North	0-4	F	1878
Moreton Bay - North	0-4	M	2025
Moreton Bay - North	5-14	F	15270
Moreton Bay - North	5-14	M	15967
Moreton Bay - North	15-19	F	5440
Moreton Bay - North	15-19	M	5234
Moreton Bay - North	20-24	F	1900
Moreton Bay - North	20-24	M	1336
Moreton Bay - North	25+	F	5389
Moreton Bay - North	25+	M	2418
Moreton Bay - South	0-4	F	2106
Moreton Bay - South	0-4	M	2251
Moreton Bay - South	5-14	F	15107
Moreton Bay - South	5-14	M	16418
Moreton Bay - South	15-19	F	5740
Moreton Bay - South	15-19	M	5536
Moreton Bay - South	20-24	F	2320
Moreton Bay - South	20-24	M	1886
Moreton Bay - South	25+	F	5729
Moreton Bay - South	25+	M	2883
Queensland - Outback	0-4	F	568
Queensland - Outback	0-4	M	546
Queensland - Outback	5-14	F	4929
Queensland - Outback	5-14	M	5215
Queensland - Outback	15-19	F	1049
Queensland - Outback	15-19	M	1096
Queensland - Outback	20-24	F	311
Queensland - Outback	20-24	M	161
Queensland - Outback	25+	F	1289
Queensland - Outback	25+	M	619
Sunshine Coast	0-4	F	2790
Sunshine Coast	0-4	M	2972
Sunshine Coast	5-14	F	22277
Sunshine Coast	5-14	M	23478
Sunshine Coast	15-19	F	8727
Sunshine Coast	15-19	M	8232
Sunshine Coast	20-24	F	3565
Sunshine Coast	20-24	M	2524
Sunshine Coast	25+	F	9430
Sunshine Coast	25+	M	4620
Toowoomba	0-4	F	1240
Toowoomba	0-4	M	1282
Toowoomba	5-14	F	10188
Toowoomba	5-14	M	10749
Toowoomba	15-19	F	4075
Toowoomba	15-19	M	3865
Toowoomba	20-24	F	1856
Toowoomba	20-24	M	1314
Toowoomba	25+	F	4391
Toowoomba	25+	M	2636
Townsville	0-4	F	1657
Townsville	0-4	M	1882
Townsville	5-14	F	13844
Townsville	5-14	M	14555
Townsville	15-19	F	5498
Townsville	15-19	M	4854
Townsville	20-24	F	2723
Townsville	20-24	M	1761
Townsville	25+	F	5367
Townsville	25+	M	2856
Wide Bay	0-4	F	1681
Wide Bay	0-4	M	1672
Wide Bay	5-14	F	15871
Wide Bay	5-14	M	16993
Wide Bay	15-19	F	5457
Wide Bay	15-19	M	5232
Wide Bay	20-24	F	1436
Wide Bay	20-24	M	848
Wide Bay	25+	F	5190
Wide Bay	25+	M	2217
No usual address (Qld)	0-4	F	37
No usual address (Qld)	0-4	M	26
No usual address (Qld)	5-14	F	357
No usual address (Qld)	5-14	M	365
No usual address (Qld)	15-19	F	120
No usual address (Qld)	15-19	M	94
No usual address (Qld)	20-24	F	70
No usual address (Qld)	20-24	M	41
No usual address (Qld)	25+	F	233
No usual address (Qld)	25+	M	139
Adelaide - Central and Hills	0-4	F	2150
Adelaide - Central and Hills	0-4	M	2253
Adelaide - Central and Hills	5-14	F	16586
Adelaide - Central and Hills	5-14	M	17351
Adelaide - Central and Hills	15-19	F	7922
Adelaide - Central and Hills	15-19	M	7889
Adelaide - Central and Hills	20-24	F	6298
Adelaide - Central and Hills	20-24	M	5923
Adelaide - Central and Hills	25+	F	9340
Adelaide - Central and Hills	25+	M	6790
Adelaide - North	0-4	F	3398
Adelaide - North	0-4	M	3701
Adelaide - North	5-14	F	27359
Adelaide - North	5-14	M	28858
Adelaide - North	15-19	F	10196
Adelaide - North	15-19	M	10153
Adelaide - North	20-24	F	5781
Adelaide - North	20-24	M	5391
Adelaide - North	25+	F	11818
Adelaide - North	25+	M	7551
Adelaide - South	0-4	F	2688
Adelaide - South	0-4	M	2900
Adelaide - South	5-14	F	20357
Adelaide - South	5-14	M	21610
Adelaide - South	15-19	F	8584
Adelaide - South	15-19	M	8460
Adelaide - South	20-24	F	5204
Adelaide - South	20-24	M	4264
Adelaide - South	25+	F	9649
Adelaide - South	25+	M	6065
Adelaide - West	0-4	F	1662
Adelaide - West	0-4	M	1760
Adelaide - West	5-14	F	11321
Adelaide - West	5-14	M	11847
Adelaide - West	15-19	F	4903
Adelaide - West	15-19	M	4887
Adelaide - West	20-24	F	4072
Adelaide - West	20-24	M	3558
Adelaide - West	25+	F	6972
Adelaide - West	25+	M	4903
Barossa - Yorke - Mid North	0-4	F	629
Barossa - Yorke - Mid North	0-4	M	655
Barossa - Yorke - Mid North	5-14	F	6052
Barossa - Yorke - Mid North	5-14	M	6488
Barossa - Yorke - Mid North	15-19	F	2068
Barossa - Yorke - Mid North	15-19	M	2120
Barossa - Yorke - Mid North	20-24	F	699
Barossa - Yorke - Mid North	20-24	M	411
Barossa - Yorke - Mid North	25+	F	1688
Barossa - Yorke - Mid North	25+	M	655
South Australia - Outback	0-4	F	596
South Australia - Outback	0-4	M	564
South Australia - Outback	5-14	F	4671
South Australia - Outback	5-14	M	4861
South Australia - Outback	15-19	F	1373
South Australia - Outback	15-19	M	1406
South Australia - Outback	20-24	F	360
South Australia - Outback	20-24	M	222
South Australia - Outback	25+	F	1332
South Australia - Outback	25+	M	564
South Australia - South East	0-4	F	1018
South Australia - South East	0-4	M	1053
South Australia - South East	5-14	F	9876
South Australia - South East	5-14	M	10308
South Australia - South East	15-19	F	3481
South Australia - South East	15-19	M	3498
South Australia - South East	20-24	F	954
South Australia - South East	20-24	M	615
South Australia - South East	25+	F	3081
South Australia - South East	25+	M	1359
No usual address (SA)	0-4	F	13
No usual address (SA)	0-4	M	10
No usual address (SA)	5-14	F	110
No usual address (SA)	5-14	M	96
No usual address (SA)	15-19	F	61
No usual address (SA)	15-19	M	33
No usual address (SA)	20-24	F	22
No usual address (SA)	20-24	M	18
No usual address (SA)	25+	F	54
No usual address (SA)	25+	M	39
Bunbury	0-4	F	1310
Bunbury	0-4	M	1384
Bunbury	5-14	F	11374
Bunbury	5-14	M	12229
Bunbury	15-19	F	3736
Bunbury	15-19	M	3750
Bunbury	20-24	F	819
Bunbury	20-24	M	625
Bunbury	25+	F	3468
Bunbury	25+	M	1341
Mandurah	0-4	F	772
Mandurah	0-4	M	791
Mandurah	5-14	F	6118
Mandurah	5-14	M	6175
Mandurah	15-19	F	2180
