CED_NAME16	EduInstitutionType	Sex	students
Warringah	Pre-school	M	1779
Warringah	Secondary	F	5283
Warringah	Secondary	M	5581
Warringah	Technical or Further Educational Institution	F	1682
Warringah	Technical or Further Educational Institution	M	1418
Warringah	University or other tertiary	F	4528
Warringah	University or other tertiary	M	3548
Watson		F	7345
Watson		M	8171
Watson	Infants/Primary	F	7148
Watson	Infants/Primary	M	7691
Watson	Pre-school	F	1604
Watson	Pre-school	M	1763
Watson	Secondary	F	5832
Watson	Secondary	M	6123
Watson	Technical or Further Educational Institution	F	2593
Watson	Technical or Further Educational Institution	M	2725
Watson	University or other tertiary	F	5560
Watson	University or other tertiary	M	5392
Wentworth		F	5325
Wentworth		M	4635
Wentworth	Infants/Primary	F	4678
Wentworth	Infants/Primary	M	4834
Wentworth	Pre-school	F	1377
Wentworth	Pre-school	M	1444
Wentworth	Secondary	F	4037
Wentworth	Secondary	M	4035
Wentworth	Technical or Further Educational Institution	F	1763
Wentworth	Technical or Further Educational Institution	M	1296
Wentworth	University or other tertiary	F	4737
Wentworth	University or other tertiary	M	3525
Werriwa		F	6930
Werriwa		M	6513
Werriwa	Infants/Primary	F	9489
Werriwa	Infants/Primary	M	10140
Werriwa	Pre-school	F	1932
Werriwa	Pre-school	M	2117
Werriwa	Secondary	F	8058
Werriwa	Secondary	M	8404
Werriwa	Technical or Further Educational Institution	F	2512
Werriwa	Technical or Further Educational Institution	M	2158
Werriwa	University or other tertiary	F	5566
Werriwa	University or other tertiary	M	4071
Whitlam		F	4614
Whitlam		M	4305
Whitlam	Infants/Primary	F	6738
Whitlam	Infants/Primary	M	7233
Whitlam	Pre-school	F	1878
Whitlam	Pre-school	M	2043
Whitlam	Secondary	F	5583
Whitlam	Secondary	M	5573
Whitlam	Technical or Further Educational Institution	F	2423
Whitlam	Technical or Further Educational Institution	M	2056
Whitlam	University or other tertiary	F	2972
Whitlam	University or other tertiary	M	1624
No usual address (NSW)		F	1559
No usual address (NSW)		M	2273
No usual address (NSW)	Infants/Primary	F	155
No usual address (NSW)	Infants/Primary	M	143
No usual address (NSW)	Pre-school	F	31
No usual address (NSW)	Pre-school	M	37
No usual address (NSW)	Secondary	F	116
No usual address (NSW)	Secondary	M	107
No usual address (NSW)	Technical or Further Educational Institution	F	124
No usual address (NSW)	Technical or Further Educational Institution	M	78
No usual address (NSW)	University or other tertiary	F	161
No usual address (NSW)	University or other tertiary	M	95
Aston		F	3456
Aston		M	3191
Aston	Infants/Primary	F	5948
Aston	Infants/Primary	M	6464
Aston	Pre-school	F	1566
Aston	Pre-school	M	1756
Aston	Secondary	F	5073
Aston	Secondary	M	5430
Aston	Technical or Further Educational Institution	F	1910
Aston	Technical or Further Educational Institution	M	1766
Aston	University or other tertiary	F	4131
Aston	University or other tertiary	M	3214
