CED_NAME16	Age5yr	ChildrenEverBorn	females
Blaxland	20-24	2	181
Blaxland	20-24	3	24
Blaxland	20-24	4	8
Blaxland	25-29		765
Blaxland	25-29	0	4404
Blaxland	25-29	1	1164
Blaxland	25-29	2	819
Blaxland	25-29	3	326
Blaxland	25-29	4	88
Blaxland	25-29	5	19
Blaxland	25-29	6	5
Blaxland	30-34		659
Blaxland	30-34	0	2271
Blaxland	30-34	1	1381
Blaxland	30-34	2	1610
Blaxland	30-34	3	876
Blaxland	30-34	4	375
Blaxland	30-34	5	123
Blaxland	30-34	6	40
Blaxland	35-39		575
Blaxland	35-39	0	1164
Blaxland	35-39	1	959
Blaxland	35-39	2	1686
Blaxland	35-39	3	1156
Blaxland	35-39	4	569
Blaxland	35-39	5	212
Blaxland	35-39	6	119
Blaxland	40-44		482
Blaxland	40-44	0	739
Blaxland	40-44	1	713
Blaxland	40-44	2	1474
Blaxland	40-44	3	1074
Blaxland	40-44	4	608
Blaxland	40-44	5	252
Blaxland	40-44	6	174
Blaxland	45-49		445
Blaxland	45-49	0	684
Blaxland	45-49	1	769
Blaxland	45-49	2	1572
Blaxland	45-49	3	959
Blaxland	45-49	4	509
Blaxland	45-49	5	245
Blaxland	45-49	6	174
Blaxland	50-54		384
Blaxland	50-54	0	668
Blaxland	50-54	1	779
Blaxland	50-54	2	1611
Blaxland	50-54	3	919
Blaxland	50-54	4	498
Blaxland	50-54	5	236
Blaxland	50-54	6	183
Blaxland	55-59		400
Blaxland	55-59	0	609
Blaxland	55-59	1	780
Blaxland	55-59	2	1578
Blaxland	55-59	3	922
Blaxland	55-59	4	480
Blaxland	55-59	5	229
Blaxland	55-59	6	193
Blaxland	60-64		345
Blaxland	60-64	0	573
Blaxland	60-64	1	765
Blaxland	60-64	2	1431
Blaxland	60-64	3	851
Blaxland	60-64	4	451
Blaxland	60-64	5	205
Blaxland	60-64	6	204
Blaxland	65-69		306
Blaxland	65-69	0	439
Blaxland	65-69	1	574
Blaxland	65-69	2	1141
Blaxland	65-69	3	727
Blaxland	65-69	4	400
Blaxland	65-69	5	176
Blaxland	65-69	6	194
Blaxland	70-74		276
Blaxland	70-74	0	315
Blaxland	70-74	1	307
Blaxland	70-74	2	906
Blaxland	70-74	3	657
Blaxland	70-74	4	336
Blaxland	70-74	5	157
Blaxland	70-74	6	159
Blaxland	75-79		219
Blaxland	75-79	0	167
Blaxland	75-79	1	216
Blaxland	75-79	2	612
Blaxland	75-79	3	478
Blaxland	75-79	4	222
Blaxland	75-79	5	124
Blaxland	75-79	6	142
Blaxland	80-84		211
Blaxland	80-84	0	107
Blaxland	80-84	1	117
Blaxland	80-84	2	443
Blaxland	80-84	3	304
Blaxland	80-84	4	190
Blaxland	80-84	5	89
Blaxland	80-84	6	176
Blaxland	85+		465
Blaxland	85+	0	124
Blaxland	85+	1	148
Blaxland	85+	2	434
Blaxland	85+	3	311
Blaxland	85+	4	215
Blaxland	85+	5	128
Blaxland	85+	6	282
Bradfield	15-19		237
Bradfield	15-19	0	5249
Bradfield	20-24		222
Bradfield	20-24	0	4271
Bradfield	20-24	1	32
Bradfield	20-24	2	3
Bradfield	25-29		184
Bradfield	25-29	0	3087
Bradfield	25-29	1	303
Bradfield	25-29	2	75
Bradfield	25-29	3	13
Bradfield	30-34		173
Bradfield	30-34	0	2211
Bradfield	30-34	1	1212
Bradfield	30-34	2	751
Bradfield	30-34	3	126
Bradfield	30-34	4	17
Bradfield	30-34	5	4
Bradfield	35-39		198
Bradfield	35-39	0	1392
Bradfield	35-39	1	1786
Bradfield	35-39	2	2466
Bradfield	35-39	3	516
Bradfield	35-39	4	85
Bradfield	35-39	5	7
Bradfield	40-44		132
Bradfield	40-44	0	953
Bradfield	40-44	1	1437
Bradfield	40-44	2	3088
Bradfield	40-44	3	975
Bradfield	40-44	4	130
Bradfield	40-44	5	21
Bradfield	40-44	6	10
Bradfield	45-49		147
Bradfield	45-49	0	765
Bradfield	45-49	1	1308
Bradfield	45-49	2	3023
Bradfield	45-49	3	1136
Bradfield	45-49	4	224
Bradfield	45-49	5	29
Bradfield	45-49	6	14
Bradfield	50-54		142
Bradfield	50-54	0	726
Bradfield	50-54	1	1086
Bradfield	50-54	2	2789
Bradfield	50-54	3	1285
Bradfield	50-54	4	290
Bradfield	50-54	5	47
Bradfield	50-54	6	20
Bradfield	55-59		119
Bradfield	55-59	0	611
Bradfield	55-59	1	1000
Bradfield	55-59	2	2305
Bradfield	55-59	3	1051
Bradfield	55-59	4	251
Bradfield	55-59	5	60
Bradfield	55-59	6	17
Bradfield	60-64		113
Bradfield	60-64	0	525
Bradfield	60-64	1	974
Bradfield	60-64	2	1903
Bradfield	60-64	3	887
Bradfield	60-64	4	232
Bradfield	60-64	5	45
Bradfield	60-64	6	18
Bradfield	65-69		136
Bradfield	65-69	0	449
Bradfield	65-69	1	967
Bradfield	65-69	2	1622
Bradfield	65-69	3	795
Bradfield	65-69	4	242
