CED_NAME21	MaxSchoolingCompleted	adults
Nicholls	Did not go to school	1260
Nicholls	Year 8	8663
Nicholls	Year 9	11997
Nicholls	Year 10	26117
Nicholls	Year 11	20976
Nicholls	Year 12	50160
Scullin	Did not go to school	3362
Scullin	Year 8	9983
Scullin	Year 9	7125
Scullin	Year 10	15295
Scullin	Year 11	12851
Scullin	Year 12	80961
Wannon	Did not go to school	554
Wannon	Year 8	7321
Wannon	Year 9	10750
Wannon	Year 10	23975
Wannon	Year 11	22026
Wannon	Year 12	53908
Wills	Did not go to school	2400
Wills	Year 8	7963
Wills	Year 9	4417
Wills	Year 10	9480
Wills	Year 11	9330
Wills	Year 12	93078
No usual address (Vic.)	Did not go to school	51
No usual address (Vic.)	Year 8	240
No usual address (Vic.)	Year 9	395
No usual address (Vic.)	Year 10	919
No usual address (Vic.)	Year 11	652
No usual address (Vic.)	Year 12	2452
Migratory - Offshore - Shipping (Vic.)	Year 12	5
Blair	Did not go to school	803
Blair	Year 8	7038
Blair	Year 9	8642
Blair	Year 10	36461
Blair	Year 11	11852
Blair	Year 12	73237
Bonner	Did not go to school	670
Bonner	Year 8	4408
Bonner	Year 9	4705
Bonner	Year 10	21148
Bonner	Year 11	7898
Bonner	Year 12	86770
Bowman	Did not go to school	341
Bowman	Year 8	4766
Bowman	Year 9	6482
Bowman	Year 10	32288
Bowman	Year 11	10480
Bowman	Year 12	70355
Brisbane	Did not go to school	532
Brisbane	Year 8	2184
Brisbane	Year 9	3042
Brisbane	Year 10	13455
Brisbane	Year 11	7219
Brisbane	Year 12	124534
Capricornia	Did not go to school	482
Capricornia	Year 8	6613
Capricornia	Year 9	7122
Capricornia	Year 10	33553
Capricornia	Year 11	9929
Capricornia	Year 12	55487
Dawson	Did not go to school	483
Dawson	Year 8	6193
Dawson	Year 9	7181
Dawson	Year 10	34481
Dawson	Year 11	11019
Dawson	Year 12	59435
Dickson	Did not go to school	413
Dickson	Year 8	3758
Dickson	Year 9	5164
Dickson	Year 10	26206
Dickson	Year 11	9400
Dickson	Year 12	77313
Fadden	Did not go to school	658
Fadden	Year 8	4507
Fadden	Year 9	7968
Fadden	Year 10	34091
Fadden	Year 11	13650
Fadden	Year 12	86927
Fairfax	Did not go to school	338
Fairfax	Year 8	4019
Fairfax	Year 9	6329
Fairfax	Year 10	31204
Fairfax	Year 11	12005
Fairfax	Year 12	77190
Fisher	Did not go to school	329
Fisher	Year 8	4705
Fisher	Year 9	6898
Fisher	Year 10	33999
Fisher	Year 11	11719
Fisher	Year 12	76172
Flynn	Did not go to school	437
Flynn	Year 8	6901
Flynn	Year 9	8154
Flynn	Year 10	35247
Flynn	Year 11	10891
Flynn	Year 12	50948
Forde	Did not go to school	1241
Forde	Year 8	5491
Forde	Year 9	8395
Forde	Year 10	34119
Forde	Year 11	12951
Forde	Year 12	78105
Griffith	Did not go to school	611
Griffith	Year 8	2821
Griffith	Year 9	3325
Griffith	Year 10	14474
Griffith	Year 11	6857
Griffith	Year 12	114687
Groom	Did not go to school	1206
Groom	Year 8	7188
Groom	Year 9	6899
Groom	Year 10	31525
Groom	Year 11	9133
Groom	Year 12	65064
Herbert	Did not go to school	661
Herbert	Year 8	4892
Herbert	Year 9	6479
Herbert	Year 10	28827
Herbert	Year 11	10913
Herbert	Year 12	68614
Hinkler	Did not go to school	641
Hinkler	Year 8	8813
Hinkler	Year 9	10020
Hinkler	Year 10	40015
Hinkler	Year 11	11073
Hinkler	Year 12	51063
Kennedy	Did not go to school	924
Kennedy	Year 8	8149
Kennedy	Year 9	8267
