CED_NAME16	HomeCensusNight	Sex	persons
Migratory - Offshore - Shipping (WA)	0	M	3
Migratory - Offshore - Shipping (WA)	1	F	57
Migratory - Offshore - Shipping (WA)	1	M	455
Bass	0	F	2478
Bass	0	M	2700
Bass	1	F	53547
Bass	1	M	51244
Braddon	0	F	2823
Braddon	0	M	3205
Braddon	1	F	53311
Braddon	1	M	50220
Clark	0	F	2367
Clark	0	M	2424
Clark	1	F	54691
Clark	1	M	52266
Franklin	0	F	2570
Franklin	0	M	2590
Franklin	1	F	54662
Franklin	1	M	52013
Lyons	0	F	2673
Lyons	0	M	3121
Lyons	1	F	54057
Lyons	1	M	53203
No usual address (Tas.)	0	F	616
No usual address (Tas.)	0	M	758
Migratory - Offshore - Shipping (Tas.)	1	M	13
Lingiari	0	F	3464
Lingiari	0	M	3909
Lingiari	1	F	55674
Lingiari	1	M	57951
Solomon	0	F	2675
Solomon	0	M	3562
Solomon	1	F	52549
Solomon	1	M	51504
No usual address (NT)	0	F	1675
No usual address (NT)	0	M	1826
Migratory - Offshore - Shipping (NT)	1	F	15
Migratory - Offshore - Shipping (NT)	1	M	84
Bean	0	F	2496
Bean	0	M	2645
Bean	1	F	75035
Bean	1	M	72439
Canberra	0	F	3200
Canberra	0	M	3133
Canberra	1	F	70863
Canberra	1	M	68315
Fenner	0	F	2059
Fenner	0	M	2249
Fenner	1	F	77512
Fenner	1	M	76448
No usual address (ACT)	0	F	273
No usual address (ACT)	0	M	336
No usual address (OT)	0	F	4
No usual address (OT)	0	M	6
