CED_NAME21	Age.min	persons
Cook	71	1484
Cook	72	1380
Cook	73	1446
Cook	74	1512
Cook	75	1260
Cook	76	1232
Cook	77	1243
Cook	78	1052
Cook	79	984
Cook	80	4228
Cook	85	2929
Cook	90	1689
Cook	95	420
Cook	100	55
Cowper	0	1509
Cowper	1	1622
Cowper	2	1654
Cowper	3	1674
Cowper	4	1638
Cowper	5	1823
Cowper	6	1804
Cowper	7	1841
Cowper	8	1901
Cowper	9	2076
Cowper	10	2041
Cowper	11	2130
Cowper	12	2124
Cowper	13	2153
Cowper	14	2131
Cowper	15	2113
Cowper	16	2002
Cowper	17	2014
Cowper	18	1820
Cowper	19	1718
Cowper	20	1536
Cowper	21	1624
Cowper	22	1460
Cowper	23	1530
Cowper	24	1579
Cowper	25	1515
Cowper	26	1667
Cowper	27	1587
Cowper	28	1650
Cowper	29	1684
Cowper	30	1699
Cowper	31	1731
Cowper	32	1787
Cowper	33	1725
Cowper	34	1627
Cowper	35	1808
Cowper	36	1757
Cowper	37	1818
Cowper	38	1798
Cowper	39	1797
Cowper	40	1811
Cowper	41	1822
Cowper	42	1735
Cowper	43	1731
Cowper	44	1778
Cowper	45	1844
Cowper	46	1842
Cowper	47	1975
Cowper	48	2063
Cowper	49	2298
Cowper	50	2290
Cowper	51	2030
Cowper	52	2116
Cowper	53	2046
Cowper	54	2071
Cowper	55	2067
Cowper	56	2185
Cowper	57	2326
Cowper	58	2323
Cowper	59	2590
Cowper	60	2508
Cowper	61	2604
Cowper	62	2566
Cowper	63	2589
Cowper	64	2601
Cowper	65	2554
Cowper	66	2529
Cowper	67	2478
Cowper	68	2510
Cowper	69	2358
Cowper	70	2501
Cowper	71	2362
Cowper	72	2341
Cowper	73	2312
Cowper	74	2426
Cowper	75	2025
Cowper	76	1947
Cowper	77	1786
Cowper	78	1578
Cowper	79	1549
Cowper	80	5928
Cowper	85	3605
Cowper	90	1796
Cowper	95	558
Cowper	100	58
Cunningham	0	1784
Cunningham	1	1718
Cunningham	2	1716
Cunningham	3	1783
Cunningham	4	1768
Cunningham	5	1859
Cunningham	6	1796
Cunningham	7	1823
Cunningham	8	1851
Cunningham	9	1856
Cunningham	10	1812
Cunningham	11	1957
Cunningham	12	1850
Cunningham	13	1910
Cunningham	14	1947
Cunningham	15	1885
Cunningham	16	1746
Cunningham	17	1820
Cunningham	18	1948
Cunningham	19	2373
Cunningham	20	2477
Cunningham	21	2526
Cunningham	22	2636
Cunningham	23	2556
Cunningham	24	2444
Cunningham	25	2355
Cunningham	26	2322
Cunningham	27	2228
Cunningham	28	2178
Cunningham	29	2170
Cunningham	30	2214
Cunningham	31	2215
Cunningham	32	2098
Cunningham	33	2022
Cunningham	34	2011
Cunningham	35	2044
Cunningham	36	2089
Cunningham	37	1964
Cunningham	38	2037
Cunningham	39	1997
Cunningham	40	2009
Cunningham	41	2036
Cunningham	42	1935
Cunningham	43	1926
Cunningham	44	1991
Cunningham	45	1942
Cunningham	46	2017
Cunningham	47	2095
Cunningham	48	2167
Cunningham	49	2222
Cunningham	50	2231
Cunningham	51	1986
Cunningham	52	1973
Cunningham	53	1864
Cunningham	54	1891
Cunningham	55	1898
Cunningham	56	1918
Cunningham	57	2089
Cunningham	58	2082
Cunningham	59	2103
Cunningham	60	2097
Cunningham	61	1985
Cunningham	62	1919
Cunningham	63	1826
Cunningham	64	1829
Cunningham	65	1741
Cunningham	66	1720
Cunningham	67	1682
Cunningham	68	1567
Cunningham	69	1524
Cunningham	70	1517
Cunningham	71	1444
Cunningham	72	1467
Cunningham	73	1414
Cunningham	74	1485
Cunningham	75	1232
Cunningham	76	1307
Cunningham	77	1070
Cunningham	78	994
Cunningham	79	1001
Cunningham	80	4231
Cunningham	85	2712
Cunningham	90	1384
Cunningham	95	350
Cunningham	100	38
Dobell	0	1867
Dobell	1	1955
Dobell	2	1910
Dobell	3	1992
Dobell	4	2031
Dobell	5	2097
Dobell	6	2056
Dobell	7	2090
Dobell	8	2055
Dobell	9	2060
Dobell	10	2149
Dobell	11	2163
Dobell	12	2222
Dobell	13	2119
Dobell	14	2218
Dobell	15	2221
Dobell	16	2063
Dobell	17	1961
Dobell	18	1954
Dobell	19	1834
Dobell	20	1880
Dobell	21	1812
Dobell	22	1815
Dobell	23	1841
Dobell	24	1771
Dobell	25	1778
Dobell	26	1836
Dobell	27	1875
Dobell	28	1877
Dobell	29	1910
Dobell	30	1934
Dobell	31	1921
Dobell	32	1984
Dobell	33	1966
Dobell	34	1928
Dobell	35	2003
Dobell	36	1940
Dobell	37	2015
