STE_NAME21	Age	UsualResidence	persons
Australian Capital Territory	45-54	Visitor same SA2	46
Australian Capital Territory	55-64	Home	43147
Australian Capital Territory	55-64	Visitor from ACT	519
Australian Capital Territory	55-64	Visitor from NSW	665
Australian Capital Territory	55-64	Visitor from NT	7
Australian Capital Territory	55-64	Visitor from QLD	135
Australian Capital Territory	55-64	Visitor from SA	41
Australian Capital Territory	55-64	Visitor from TAS	29
Australian Capital Territory	55-64	Visitor from VIC	136
Australian Capital Territory	55-64	Visitor from WA	41
Australian Capital Territory	55-64	Visitor same SA2	32
Australian Capital Territory	65-74	Home	33591
Australian Capital Territory	65-74	Visitor from ACT	388
Australian Capital Territory	65-74	Visitor from NSW	565
Australian Capital Territory	65-74	Visitor from NT	3
Australian Capital Territory	65-74	Visitor from QLD	95
Australian Capital Territory	65-74	Visitor from SA	38
Australian Capital Territory	65-74	Visitor from TAS	33
Australian Capital Territory	65-74	Visitor from VIC	81
Australian Capital Territory	65-74	Visitor from WA	34
Australian Capital Territory	65-74	Visitor same SA2	64
Australian Capital Territory	75-84	Home	18422
Australian Capital Territory	75-84	Visitor from ACT	310
Australian Capital Territory	75-84	Visitor from NSW	198
Australian Capital Territory	75-84	Visitor from QLD	9
Australian Capital Territory	75-84	Visitor from SA	12
Australian Capital Territory	75-84	Visitor from TAS	9
Australian Capital Territory	75-84	Visitor from VIC	24
Australian Capital Territory	75-84	Visitor from WA	5
Australian Capital Territory	75-84	Visitor same SA2	50
Australian Capital Territory	85+	Home	6890
Australian Capital Territory	85+	Visitor from ACT	188
Australian Capital Territory	85+	Visitor from NSW	85
Australian Capital Territory	85+	Visitor from QLD	3
Australian Capital Territory	85+	Visitor from VIC	4
Australian Capital Territory	85+	Visitor from WA	3
Australian Capital Territory	85+	Visitor same SA2	19
Other Territories	0-14	Home	786
Other Territories	0-14	Visitor from ACT	3
Other Territories	0-14	Visitor from OT	8
Other Territories	0-14	Visitor from QLD	4
Other Territories	0-14	Visitor from WA	12
Other Territories	0-14	Visitor same SA2	8
Other Territories	15-24	Home	378
Other Territories	15-24	Visitor from NSW	22
Other Territories	15-24	Visitor from OT	11
Other Territories	15-24	Visitor from QLD	15
Other Territories	15-24	Visitor from VIC	17
Other Territories	15-24	Visitor from WA	34
Other Territories	15-24	Visitor same SA2	11
Other Territories	25-34	Home	556
Other Territories	25-34	Visitor from ACT	6
Other Territories	25-34	Visitor from NSW	42
Other Territories	25-34	Visitor from NT	5
Other Territories	25-34	Visitor from OT	5
Other Territories	25-34	Visitor from QLD	38
Other Territories	25-34	Visitor from SA	7
Other Territories	25-34	Visitor from TAS	3
Other Territories	25-34	Visitor from VIC	13
Other Territories	25-34	Visitor from WA	62
Other Territories	25-34	Visitor same SA2	6
Other Territories	35-44	Home	605
Other Territories	35-44	Visitor from ACT	6
Other Territories	35-44	Visitor from NSW	28
Other Territories	35-44	Visitor from QLD	7
Other Territories	35-44	Visitor from WA	40
Other Territories	35-44	Visitor same SA2	7
Other Territories	45-54	Home	625
Other Territories	45-54	Visitor from ACT	6
Other Territories	45-54	Visitor from NSW	17
Other Territories	45-54	Visitor from OT	9
Other Territories	45-54	Visitor from QLD	38
Other Territories	45-54	Visitor from SA	7
Other Territories	45-54	Visitor from VIC	6
Other Territories	45-54	Visitor from WA	51
Other Territories	45-54	Visitor same SA2	8
Other Territories	55-64	Home	719
Other Territories	55-64	Visitor from NSW	9
Other Territories	55-64	Visitor from NT	4
Other Territories	55-64	Visitor from OT	6
Other Territories	55-64	Visitor from QLD	48
Other Territories	55-64	Visitor from WA	109
Other Territories	55-64	Visitor same SA2	3
Other Territories	65-74	Home	529
Other Territories	65-74	Visitor from NSW	16
Other Territories	65-74	Visitor from OT	7
Other Territories	65-74	Visitor from QLD	37
Other Territories	65-74	Visitor from VIC	5
Other Territories	65-74	Visitor from WA	65
Other Territories	65-74	Visitor same SA2	8
Other Territories	75-84	Home	245
Other Territories	75-84	Visitor from QLD	14
Other Territories	75-84	Visitor from WA	26
Other Territories	85+	Home	61
Other Territories	85+	Visitor from OT	4
