LGA_NAME16	Age	MaritalStatus	Sex	responses
Bega Valley	45-54	Widowed	F	44
Bega Valley	45-54	Widowed	M	15
Bega Valley	55-64	Divorced	F	635
Bega Valley	55-64	Divorced	M	494
Bega Valley	55-64	Married	F	1912
Bega Valley	55-64	Married	M	1689
Bega Valley	55-64	Separated	F	152
Bega Valley	55-64	Separated	M	133
Bega Valley	55-64	Widowed	F	171
Bega Valley	55-64	Widowed	M	55
Bega Valley	65-74	Divorced	F	552
Bega Valley	65-74	Divorced	M	592
Bega Valley	65-74	Married	F	1782
Bega Valley	65-74	Married	M	2014
Bega Valley	65-74	Separated	F	106
Bega Valley	65-74	Separated	M	134
Bega Valley	65-74	Widowed	F	392
Bega Valley	65-74	Widowed	M	127
Bega Valley	75-84	Divorced	F	197
Bega Valley	75-84	Divorced	M	199
Bega Valley	75-84	Married	F	752
Bega Valley	75-84	Married	M	1035
Bega Valley	75-84	Separated	F	23
Bega Valley	75-84	Separated	M	42
Bega Valley	75-84	Widowed	F	556
Bega Valley	75-84	Widowed	M	184
Bega Valley	85+	Divorced	F	37
Bega Valley	85+	Divorced	M	34
Bega Valley	85+	Married	F	112
Bega Valley	85+	Married	M	249
Bega Valley	85+	Separated	F	3
Bega Valley	85+	Separated	M	6
Bega Valley	85+	Widowed	F	455
Bega Valley	85+	Widowed	M	165
Bellingen	20-24	Married	F	4
Bellingen	20-24	Married	M	3
Bellingen	25-34	Divorced	F	13
Bellingen	25-34	Divorced	M	3
Bellingen	25-34	Married	F	166
Bellingen	25-34	Married	M	116
Bellingen	25-34	Separated	F	17
Bellingen	25-34	Separated	M	5
Bellingen	25-34	Widowed	M	3
Bellingen	35-44	Divorced	F	43
Bellingen	35-44	Divorced	M	25
Bellingen	35-44	Married	F	317
Bellingen	35-44	Married	M	288
Bellingen	35-44	Separated	F	43
Bellingen	35-44	Separated	M	32
Bellingen	35-44	Widowed	F	4
Bellingen	45-54	Divorced	F	157
Bellingen	45-54	Divorced	M	96
Bellingen	45-54	Married	F	471
Bellingen	45-54	Married	M	387
Bellingen	45-54	Separated	F	73
Bellingen	45-54	Separated	M	44
Bellingen	45-54	Widowed	F	19
Bellingen	45-54	Widowed	M	8
Bellingen	55-64	Divorced	F	261
Bellingen	55-64	Divorced	M	187
Bellingen	55-64	Married	F	610
Bellingen	55-64	Married	M	554
Bellingen	55-64	Separated	F	65
Bellingen	55-64	Separated	M	62
Bellingen	55-64	Widowed	F	44
Bellingen	55-64	Widowed	M	22
Bellingen	65-74	Divorced	F	219
Bellingen	65-74	Divorced	M	241
Bellingen	65-74	Married	F	530
Bellingen	65-74	Married	M	618
Bellingen	65-74	Separated	F	34
Bellingen	65-74	Separated	M	45
Bellingen	65-74	Widowed	F	125
Bellingen	65-74	Widowed	M	42
Bellingen	75-84	Divorced	F	101
Bellingen	75-84	Divorced	M	77
Bellingen	75-84	Married	F	253
Bellingen	75-84	Married	M	333
Bellingen	75-84	Separated	F	13
Bellingen	75-84	Separated	M	21
Bellingen	75-84	Widowed	F	170
Bellingen	75-84	Widowed	M	57
Bellingen	85+	Divorced	F	18
Bellingen	85+	Divorced	M	20
Bellingen	85+	Married	F	33
Bellingen	85+	Married	M	76
Bellingen	85+	Separated	M	5
Bellingen	85+	Widowed	F	180
Bellingen	85+	Widowed	M	47
Berrigan	20-24	Married	F	9
Berrigan	20-24	Married	M	3
Berrigan	25-34	Divorced	F	5
Berrigan	25-34	Married	F	131
