LGA_NAME16	MaxSchoolingCompleted	adults
Greater Shepparton	Year 8	3639
Greater Shepparton	Year 9	4576
Greater Shepparton	Year 10	9847
Greater Shepparton	Year 11	8236
Greater Shepparton	Year 12	22881
Hepburn	Did not go to school	31
Hepburn	Year 8	615
Hepburn	Year 9	968
Hepburn	Year 10	2253
Hepburn	Year 11	1978
Hepburn	Year 12	7118
Hindmarsh	Did not go to school	75
Hindmarsh	Year 8	433
Hindmarsh	Year 9	465
Hindmarsh	Year 10	943
Hindmarsh	Year 11	872
Hindmarsh	Year 12	1626
Hobsons Bay	Did not go to school	1188
Hobsons Bay	Year 8	4092
Hobsons Bay	Year 9	3573
Hobsons Bay	Year 10	8048
Hobsons Bay	Year 11	7479
Hobsons Bay	Year 12	45885
Horsham	Did not go to school	60
Horsham	Year 8	1015
Horsham	Year 9	1325
Horsham	Year 10	3000
Horsham	Year 11	3274
Horsham	Year 12	6841
Hume	Did not go to school	5524
Hume	Year 8	12661
Hume	Year 9	11133
Hume	Year 10	23113
Hume	Year 11	19067
Hume	Year 12	106130
Indigo	Did not go to school	35
Indigo	Year 8	592
Indigo	Year 9	981
Indigo	Year 10	2950
Indigo	Year 11	2201
Indigo	Year 12	6567
Kingston (Vic.)	Did not go to school	1489
Kingston (Vic.)	Year 8	5765
Kingston (Vic.)	Year 9	5833
Kingston (Vic.)	Year 10	14345
Kingston (Vic.)	Year 11	14051
Kingston (Vic.)	Year 12	83604
Knox	Did not go to school	1063
Knox	Year 8	4873
Knox	Year 9	7073
Knox	Year 10	17439
Knox	Year 11	16156
Knox	Year 12	80120
Latrobe (Vic.)	Did not go to school	408
Latrobe (Vic.)	Year 8	4061
Latrobe (Vic.)	Year 9	5510
Latrobe (Vic.)	Year 10	12844
Latrobe (Vic.)	Year 11	10778
Latrobe (Vic.)	Year 12	24236
Loddon	Did not go to school	16
Loddon	Year 8	468
Loddon	Year 9	664
Loddon	Year 10	1384
Loddon	Year 11	1109
Loddon	Year 12	2116
Macedon Ranges	Did not go to school	94
Macedon Ranges	Year 8	1420
Macedon Ranges	Year 9	2510
Macedon Ranges	Year 10	5831
Macedon Ranges	Year 11	5688
Macedon Ranges	Year 12	23219
Manningham	Did not go to school	1285
Manningham	Year 8	5326
Manningham	Year 9	4271
Manningham	Year 10	8909
Manningham	Year 11	9057
Manningham	Year 12	71582
Mansfield	Did not go to school	30
Mansfield	Year 8	418
Mansfield	Year 9	659
Mansfield	Year 10	1441
Mansfield	Year 11	1363
Mansfield	Year 12	3747
Maribyrnong	Did not go to school	1435
Maribyrnong	Year 8	3158
Maribyrnong	Year 9	2282
Maribyrnong	Year 10	4986
Maribyrnong	Year 11	4568
Maribyrnong	Year 12	50958
Maroondah	Did not go to school	872
Maroondah	Year 8	3600
Maroondah	Year 9	4734
Maroondah	Year 10	11709
Maroondah	Year 11	11892
Maroondah	Year 12	57468
Melbourne	Did not go to school	1037
Melbourne	Year 8	1452
Melbourne	Year 9	1696
Melbourne	Year 10	4778
Melbourne	Year 11	6156
Melbourne	Year 12	113324
Melton	Did not go to school	1918
Melton	Year 8	6069
Melton	Year 9	7471
Melton	Year 10	19442
Melton	Year 11	14145
Melton	Year 12	78053
Mildura	Did not go to school	651
Mildura	Year 8	3393
Mildura	Year 9	4113
Mildura	Year 10	9090
Mildura	Year 11	6804
Mildura	Year 12	17825
Mitchell	Did not go to school	199
Mitchell	Year 8	1869
Mitchell	Year 9	3141
Mitchell	Year 10	7349
Mitchell	Year 11	5814
Mitchell	Year 12	18047
Moira	Did not go to school	124
Moira	Year 8	1826
Moira	Year 9	2534
Moira	Year 10	5763
Moira	Year 11	4228
Moira	Year 12	8675
Monash	Did not go to school	2073
Monash	Year 8	7049
Monash	Year 9	5686
Monash	Year 10	11702
Monash	Year 11	11329
Monash	Year 12	114824
Moonee Valley	Did not go to school	1371
Moonee Valley	Year 8	5472
Moonee Valley	Year 9	4015
Moonee Valley	Year 10	8922
Moonee Valley	Year 11	9556
Moonee Valley	Year 12	68082
Moorabool	Did not go to school	114
Moorabool	Year 8	1377
Moorabool	Year 9	2377
Moorabool	Year 10	5471
Moorabool	Year 11	4617
Moorabool	Year 12	14335
Moreland	Did not go to school	2498
Moreland	Year 8	8319
Moreland	Year 9	4787
Moreland	Year 10	10267
Moreland	Year 11	10068
Moreland	Year 12	101255
Mornington Peninsula	Did not go to school	514
Mornington Peninsula	Year 8	5579
Mornington Peninsula	Year 9	9251
Mornington Peninsula	Year 10	22885
Mornington Peninsula	Year 11	20453
Mornington Peninsula	Year 12	73310
Mount Alexander	Did not go to school	36
Mount Alexander	Year 8	662
Mount Alexander	Year 9	1030
Mount Alexander	Year 10	2969
Mount Alexander	Year 11	2274
Mount Alexander	Year 12	8889
Moyne	Did not go to school	21
Moyne	Year 8	679
Moyne	Year 9	1141
Moyne	Year 10	2525
Moyne	Year 11	2478
Moyne	Year 12	6122
Murrindindi	Did not go to school	42
Murrindindi	Year 8	538
Murrindindi	Year 9	1128
Murrindindi	Year 10	2552
Murrindindi	Year 11	2072
Murrindindi	Year 12	5360
Nillumbik	Did not go to school	128
Nillumbik	Year 8	1334
Nillumbik	Year 9	2482
Nillumbik	Year 10	6062
Nillumbik	Year 11	7017
Nillumbik	Year 12	32543
Northern Grampians	Did not go to school	59
Northern Grampians	Year 8	641
Northern Grampians	Year 9	910
Northern Grampians	Year 10	1902
Northern Grampians	Year 11	1687
Northern Grampians	Year 12	3844
Port Phillip	Did not go to school	442
Port Phillip	Year 8	1689
Port Phillip	Year 9	1830
Port Phillip	Year 10	5140
Port Phillip	Year 11	5899
Port Phillip	Year 12	68671
Pyrenees	Did not go to school	21
Pyrenees	Year 8	409
Pyrenees	Year 9	633
Pyrenees	Year 10	1546
Pyrenees	Year 11	1029
Pyrenees	Year 12	2225
Queenscliffe	Year 8	63
Queenscliffe	Year 9	105
Queenscliffe	Year 10	324
Queenscliffe	Year 11	401
Queenscliffe	Year 12	1827
South Gippsland	Did not go to school	80
South Gippsland	Year 8	1347
South Gippsland	Year 9	2105
South Gippsland	Year 10	4826
South Gippsland	Year 11	4535
South Gippsland	Year 12	10560
Southern Grampians	Did not go to school	45
Southern Grampians	Year 8	842
Southern Grampians	Year 9	1200
Southern Grampians	Year 10	2549
Southern Grampians	Year 11	2422
Southern Grampians	Year 12	5642
Stonnington	Did not go to school	481
Stonnington	Year 8	1853
Stonnington	Year 9	1777
Stonnington	Year 10	4306
Stonnington	Year 11	5368
Stonnington	Year 12	73837
Strathbogie	Did not go to school	48
Strathbogie	Year 8	571
Strathbogie	Year 9	802
Strathbogie	Year 10	1870
Strathbogie	Year 11	1541
Strathbogie	Year 12	3936
Surf Coast	Did not go to school	47
Surf Coast	Year 8	674
Surf Coast	Year 9	1290
Surf Coast	Year 10	3514
Surf Coast	Year 11	4142
Surf Coast	Year 12	18738
Swan Hill	Did not go to school	335
Swan Hill	Year 8	1206
Swan Hill	Year 9	1467
Swan Hill	Year 10	3084
Swan Hill	Year 11	2629
Swan Hill	Year 12	6887
Towong	Did not go to school	11
Towong	Year 8	279
Towong	Year 9	439
Towong	Year 10	1168
Towong	Year 11	882
Towong	Year 12	1975
Wangaratta	Did not go to school	101
Wangaratta	Year 8	1320
Wangaratta	Year 9	1994
Wangaratta	Year 10	4828
Wangaratta	Year 11	4111
Wangaratta	Year 12	10430
Warrnambool	Did not go to school	130
Warrnambool	Year 8	1597
Warrnambool	Year 9	2315
Warrnambool	Year 10	4910
Warrnambool	Year 11	4812
Warrnambool	Year 12	13459
Wellington	Did not go to school	133
Wellington	Year 8	2075
Wellington	Year 9	3344
Wellington	Year 10	8324
Wellington	Year 11	6353
Wellington	Year 12	14220
West Wimmera	Did not go to school	9
West Wimmera	Year 8	208
West Wimmera	Year 9	255
West Wimmera	Year 10	704
West Wimmera	Year 11	642
West Wimmera	Year 12	1193
Whitehorse	Did not go to school	1670
Whitehorse	Year 8	5205
Whitehorse	Year 9	5476
Whitehorse	Year 10	10939
Whitehorse	Year 11	11551
Whitehorse	Year 12	100787
Whittlesea	Did not go to school	3642
Whittlesea	Year 8	11467
Whittlesea	Year 9	9596
Whittlesea	Year 10	21160
Whittlesea	Year 11	18038
Whittlesea	Year 12	107389
Wodonga	Did not go to school	218
Wodonga	Year 8	1594
Wodonga	Year 9	2447
Wodonga	Year 10	7680
Wodonga	Year 11	5249
Wodonga	Year 12	15334
Wyndham	Did not go to school	3066
Wyndham	Year 8	7288
Wyndham	Year 9	9616
Wyndham	Year 10	23993
Wyndham	Year 11	18561
Wyndham	Year 12	141741
Yarra	Did not go to school	843
Yarra	Year 8	2094
Yarra	Year 9	1437
Yarra	Year 10	3466
Yarra	Year 11	3957
Yarra	Year 12	64182
Yarra Ranges	Did not go to school	700
Yarra Ranges	Year 8	4702
Yarra Ranges	Year 9	8580
Yarra Ranges	Year 10	21159
Yarra Ranges	Year 11	19357
Yarra Ranges	Year 12	66730
Yarriambiack	Did not go to school	38
Yarriambiack	Year 8	412
Yarriambiack	Year 9	537
Yarriambiack	Year 10	1087
Yarriambiack	Year 11	1076
Yarriambiack	Year 12	1812
Unincorporated Vic	Did not go to school	4
Unincorporated Vic	Year 8	9
Unincorporated Vic	Year 9	11
Unincorporated Vic	Year 10	52
Unincorporated Vic	Year 11	67
Unincorporated Vic	Year 12	495
No usual address (Vic.)	Did not go to school	51
No usual address (Vic.)	Year 8	240
No usual address (Vic.)	Year 9	395
No usual address (Vic.)	Year 10	919
No usual address (Vic.)	Year 11	652
No usual address (Vic.)	Year 12	2452
Migratory - Offshore - Shipping (Vic.)	Year 12	5
Aurukun	Did not go to school	6
Aurukun	Year 8	78
Aurukun	Year 9	197
Aurukun	Year 10	330
Aurukun	Year 11	41
Aurukun	Year 12	114
Balonne	Did not go to school	24
Balonne	Year 8	236
Balonne	Year 9	208
Balonne	Year 10	935
Balonne	Year 11	242
Balonne	Year 12	1432
Banana	Did not go to school	36
Banana	Year 8	740
Banana	Year 9	703
Banana	Year 10	2930
Banana	Year 11	817
Banana	Year 12	4528
Barcaldine	Did not go to school	3
Barcaldine	Year 8	185
Barcaldine	Year 9	122
Barcaldine	Year 10	605
Barcaldine	Year 11	153
Barcaldine	Year 12	961
Barcoo	Year 8	15
Barcoo	Year 9	19
Barcoo	Year 10	75
Barcoo	Year 11	15
Barcoo	Year 12	98
Blackall Tambo	Did not go to school	8
Blackall Tambo	Year 8	143
Blackall Tambo	Year 9	125
Blackall Tambo	Year 10	484
Blackall Tambo	Year 11	85
Blackall Tambo	Year 12	575
Boulia	Did not go to school	3
Boulia	Year 8	26
Boulia	Year 9	30
Boulia	Year 10	97
Boulia	Year 11	30
Boulia	Year 12	130
Brisbane	Did not go to school	7112
Brisbane	Year 8	27199
Brisbane	Year 9	28960
Brisbane	Year 10	128169
Brisbane	Year 11	53263
Brisbane	Year 12	731800
Bulloo	Did not go to school	5
Bulloo	Year 8	17
Bulloo	Year 9	33
Bulloo	Year 10	74
Bulloo	Year 11	20
Bulloo	Year 12	108
Bundaberg	Did not go to school	483
Bundaberg	Year 8	6083
Bundaberg	Year 9	6250
Bundaberg	Year 10	25232
Bundaberg	Year 11	6725
Bundaberg	Year 12	31644
Burdekin	Did not go to school	68
Burdekin	Year 8	1070
Burdekin	Year 9	908
Burdekin	Year 10	4195
Burdekin	Year 11	1129
Burdekin	Year 12	5075
Burke	Year 8	16
Burke	Year 9	14
Burke	Year 10	74
Burke	Year 11	18
Burke	Year 12	148
Cairns	Did not go to school	1002
Cairns	Year 8	4321
Cairns	Year 9	6270
Cairns	Year 10	27377
Cairns	Year 11	11704
Cairns	Year 12	71090
Carpentaria	Did not go to school	19
Carpentaria	Year 8	122
Carpentaria	Year 9	138
Carpentaria	Year 10	517
Carpentaria	Year 11	133
Carpentaria	Year 12	504
Cassowary Coast	Did not go to school	198
Cassowary Coast	Year 8	1613
Cassowary Coast	Year 9	1492
Cassowary Coast	Year 10	6542
Cassowary Coast	Year 11	2049
Cassowary Coast	Year 12	9361
Central Highlands (Qld)	Did not go to school	79
Central Highlands (Qld)	Year 8	744
Central Highlands (Qld)	Year 9	1093
Central Highlands (Qld)	Year 10	5162
Central Highlands (Qld)	Year 11	1756
Central Highlands (Qld)	Year 12	9713
Charters Towers	Did not go to school	39
Charters Towers	Year 8	700
Charters Towers	Year 9	667
Charters Towers	Year 10	2571
Charters Towers	Year 11	730
Charters Towers	Year 12	3352
Cherbourg	Year 8	86
Cherbourg	Year 9	133
Cherbourg	Year 10	211
Cherbourg	Year 11	121
Cherbourg	Year 12	185
Cloncurry	Did not go to school	22
Cloncurry	Year 8	140
Cloncurry	Year 9	161
Cloncurry	Year 10	635
Cloncurry	Year 11	210
Cloncurry	Year 12	1224
Cook	Did not go to school	30
Cook	Year 8	146
Cook	Year 9	244
Cook	Year 10	863
Cook	Year 11	320
Cook	Year 12	1391
Croydon	Year 8	21
Croydon	Year 9	7
Croydon	Year 10	69
Croydon	Year 11	20
Croydon	Year 12	61
Diamantina	Year 8	10
Diamantina	Year 9	11
Diamantina	Year 10	45
Diamantina	Year 11	26
Diamantina	Year 12	92
Doomadgee	Did not go to school	33
Doomadgee	Year 8	83
Doomadgee	Year 9	79
Doomadgee	Year 10	430
Doomadgee	Year 11	111
Doomadgee	Year 12	159
Douglas	Did not go to school	40
Douglas	Year 8	344
Douglas	Year 9	487
Douglas	Year 10	2203
Douglas	Year 11	1043
Douglas	Year 12	5019
Etheridge	Year 8	52
Etheridge	Year 9	44
Etheridge	Year 10	166
Etheridge	Year 11	39
Etheridge	Year 12	204
Flinders (Qld)	Did not go to school	4
Flinders (Qld)	Year 8	110
Flinders (Qld)	Year 9	65
Flinders (Qld)	Year 10	312
Flinders (Qld)	Year 11	73
Flinders (Qld)	Year 12	468
Fraser Coast	Did not go to school	341
Fraser Coast	Year 8	6078
Fraser Coast	Year 9	7404
Fraser Coast	Year 10	30378
Fraser Coast	Year 11	8098
Fraser Coast	Year 12	34599
Gladstone	Did not go to school	136
Gladstone	Year 8	2154
Gladstone	Year 9	3092
Gladstone	Year 10	13836
Gladstone	Year 11	4940
Gladstone	Year 12	21715
Gold Coast	Did not go to school	1877
Gold Coast	Year 8	13155
Gold Coast	Year 9	23509
Gold Coast	Year 10	103425
Gold Coast	Year 11	41969
Gold Coast	Year 12	295039
Goondiwindi	Did not go to school	35
Goondiwindi	Year 8	577
Goondiwindi	Year 9	528
Goondiwindi	Year 10	2115
Goondiwindi	Year 11	552
Goondiwindi	Year 12	3506
Gympie	Did not go to school	145
Gympie	Year 8	2765
Gympie	Year 9	3285
Gympie	Year 10	14009
Gympie	Year 11	3868
Gympie	Year 12	16741
Hinchinbrook	Did not go to school	39
Hinchinbrook	Year 8	797
Hinchinbrook	Year 9	579
Hinchinbrook	Year 10	2690
Hinchinbrook	Year 11	778
Hinchinbrook	Year 12	3473
Hope Vale	Did not go to school	7
Hope Vale	Year 8	71
Hope Vale	Year 9	57
Hope Vale	Year 10	161
Hope Vale	Year 11	93
Hope Vale	Year 12	228
Ipswich	Did not go to school	1235
Ipswich	Year 8	7473
Ipswich	Year 9	9444
Ipswich	Year 10	39612
Ipswich	Year 11	14199
Ipswich	Year 12	92368
Isaac	Did not go to school	46
Isaac	Year 8	453
Isaac	Year 9	720
Isaac	Year 10	3666
Isaac	Year 11	1230
Isaac	Year 12	6971
Kowanyama	Year 8	62
Kowanyama	Year 9	45
Kowanyama	Year 10	272
Kowanyama	Year 11	128
Kowanyama	Year 12	144
Livingstone	Did not go to school	57
Livingstone	Year 8	1568
Livingstone	Year 9	1867
Livingstone	Year 10	9260
Livingstone	Year 11	2587
Livingstone	Year 12	13984
Lockhart River	Year 8	40
Lockhart River	Year 9	45
Lockhart River	Year 10	129
Lockhart River	Year 11	82
Lockhart River	Year 12	105
Lockyer Valley	Did not go to school	253
Lockyer Valley	Year 8	2226
Lockyer Valley	Year 9	2352
Lockyer Valley	Year 10	9556
Lockyer Valley	Year 11	2515
Lockyer Valley	Year 12	13885
Logan	Did not go to school	3735
Logan	Year 8	11155
Logan	Year 9	15050
Logan	Year 10	59939
Logan	Year 11	22147
Logan	Year 12	135842
Longreach	Did not go to school	15
Longreach	Year 8	178
Longreach	Year 9	140
Longreach	Year 10	668
Longreach	Year 11	196
Longreach	Year 12	1321
Mackay	Did not go to school	280
Mackay	Year 8	4588
Mackay	Year 9	5477
Mackay	Year 10	26004
Mackay	Year 11	8239
Mackay	Year 12	42393
McKinlay	Did not go to school	3
McKinlay	Year 8	30
McKinlay	Year 9	33
McKinlay	Year 10	155
McKinlay	Year 11	29
McKinlay	Year 12	289
Mapoon	Year 8	31
Mapoon	Year 9	25
Mapoon	Year 10	83
Mapoon	Year 11	40
Mapoon	Year 12	65
Maranoa	Did not go to school	47
Maranoa	Year 8	588
Maranoa	Year 9	588
Maranoa	Year 10	2682
Maranoa	Year 11	693
Maranoa	Year 12	4228
Mareeba	Did not go to school	159
Mareeba	Year 8	1237
Mareeba	Year 9	1073
Mareeba	Year 10	5250
Mareeba	Year 11	1426
Mareeba	Year 12	7613
Moreton Bay	Did not go to school	1511
Moreton Bay	Year 8	15053
Moreton Bay	Year 9	20722
Moreton Bay	Year 10	92560
Moreton Bay	Year 11	31216
Moreton Bay	Year 12	199657
Mornington	Did not go to school	22
Mornington	Year 8	113
Mornington	Year 9	57
Mornington	Year 10	226
Mornington	Year 11	65
Mornington	Year 12	207
Mount Isa	Did not go to school	100
Mount Isa	Year 8	619
Mount Isa	Year 9	760
Mount Isa	Year 10	3114
Mount Isa	Year 11	1205
Mount Isa	Year 12	6846
Murweh	Did not go to school	19
Murweh	Year 8	296
Murweh	Year 9	199
Murweh	Year 10	858
Murweh	Year 11	204
Murweh	Year 12	1257
Napranum	Did not go to school	9
Napranum	Year 8	41
Napranum	Year 9	55
Napranum	Year 10	141
Napranum	Year 11	78
Napranum	Year 12	139
Noosa	Did not go to school	95
Noosa	Year 8	1233
Noosa	Year 9	2151
Noosa	Year 10	10421
Noosa	Year 11	4263
Noosa	Year 12	26423
North Burnett	Did not go to school	48
North Burnett	Year 8	827
North Burnett	Year 9	596
North Burnett	Year 10	2563
North Burnett	Year 11	517
North Burnett	Year 12	2866
Northern Peninsula Area	Did not go to school	10
Northern Peninsula Area	Year 8	67
Northern Peninsula Area	Year 9	63
Northern Peninsula Area	Year 10	298
Northern Peninsula Area	Year 11	315
Northern Peninsula Area	Year 12	794
Palm Island	Did not go to school	7
Palm Island	Year 8	160
Palm Island	Year 9	159
Palm Island	Year 10	388
Palm Island	Year 11	225
Palm Island	Year 12	380
Paroo	Did not go to school	12
Paroo	Year 8	138
Paroo	Year 9	102
Paroo	Year 10	384
Paroo	Year 11	99
Paroo	Year 12	466
Pormpuraaw	Did not go to school	4
Pormpuraaw	Year 8	62
Pormpuraaw	Year 9	36
Pormpuraaw	Year 10	118
Pormpuraaw	Year 11	63
Pormpuraaw	Year 12	113
Quilpie	Did not go to school	4
Quilpie	Year 8	22
Quilpie	Year 9	36
Quilpie	Year 10	160
Quilpie	Year 11	31
Quilpie	Year 12	266
Redland	Did not go to school	341
Redland	Year 8	4766
Redland	Year 9	6482
Redland	Year 10	32288
Redland	Year 11	10480
Redland	Year 12	70355
Richmond	Did not go to school	4
Richmond	Year 8	39
Richmond	Year 9	27
Richmond	Year 10	161
Richmond	Year 11	38
Richmond	Year 12	224
Rockhampton	Did not go to school	367
Rockhampton	Year 8	4034
Rockhampton	Year 9	3857
Rockhampton	Year 10	16778
Rockhampton	Year 11	4903
Rockhampton	Year 12	29337
Scenic Rim	Did not go to school	99
Scenic Rim	Year 8	1965
Scenic Rim	Year 9	2177
Scenic Rim	Year 10	9246
Scenic Rim	Year 11	2775
Scenic Rim	Year 12	16309
Somerset	Did not go to school	94
Somerset	Year 8	1306
Somerset	Year 9	1518
Somerset	Year 10	6090
Somerset	Year 11	1683
Somerset	Year 12	8023
South Burnett	Did not go to school	116
South Burnett	Year 8	2227
South Burnett	Year 9	2215
South Burnett	Year 10	8437
South Burnett	Year 11	2059
South Burnett	Year 12	9421
Southern Downs	Did not go to school	161
Southern Downs	Year 8	2020
Southern Downs	Year 9	2135
Southern Downs	Year 10	8993
Southern Downs	Year 11	2241
Southern Downs	Year 12	11755
Sunshine Coast	Did not go to school	672
Sunshine Coast	Year 8	8740
Sunshine Coast	Year 9	13270
Sunshine Coast	Year 10	65356
Sunshine Coast	Year 11	23784
Sunshine Coast	Year 12	153802
Tablelands	Did not go to school	91
Tablelands	Year 8	1209
Tablelands	Year 9	1289
Tablelands	Year 10	6029
Tablelands	Year 11	1770
Tablelands	Year 12	8897
Toowoomba	Did not go to school	1244
Toowoomba	Year 8	7982
Toowoomba	Year 9	7675
Toowoomba	Year 10	34728
Toowoomba	Year 11	9849
Toowoomba	Year 12	68738
Torres	Did not go to school	14
Torres	Year 8	105
Torres	Year 9	101
Torres	Year 10	422
Torres	Year 11	238
Torres	Year 12	1369
Torres Strait Island	Did not go to school	35
Torres Strait Island	Year 8	230
Torres Strait Island	Year 9	157
Torres Strait Island	Year 10	479
Torres Strait Island	Year 11	338
Torres Strait Island	Year 12	1314
Townsville	Did not go to school	742
Townsville	Year 8	5720
Townsville	Year 9	7558
Townsville	Year 10	34926
Townsville	Year 11	12607
Townsville	Year 12	81171
Weipa	Did not go to school	3
Weipa	Year 8	46
Weipa	Year 9	103
Weipa	Year 10	604
Weipa	Year 11	257
Weipa	Year 12	1603
Western Downs	Did not go to school	110
Western Downs	Year 8	1770
Western Downs	Year 9	1754
Western Downs	Year 10	7420
Western Downs	Year 11	1921
Western Downs	Year 12	10614
Whitsunday	Did not go to school	135
Whitsunday	Year 8	1277
Whitsunday	Year 9	1727
Whitsunday	Year 10	7878
Whitsunday	Year 11	2696
Whitsunday	Year 12	13059
Winton	Did not go to school	8
Winton	Year 8	65
Winton	Year 9	51
Winton	Year 10	249
Winton	Year 11	57
Winton	Year 12	356
Woorabinda	Year 8	52
Woorabinda	Year 9	62
Woorabinda	Year 10	263
Woorabinda	Year 11	81
Woorabinda	Year 12	160
Wujal Wujal	Year 8	14
Wujal Wujal	Year 9	25
Wujal Wujal	Year 10	47
Wujal Wujal	Year 11	37
Wujal Wujal	Year 12	57
Yarrabah	Did not go to school	7
Yarrabah	Year 8	87
Yarrabah	Year 9	171
Yarrabah	Year 10	581
Yarrabah	Year 11	341
Yarrabah	Year 12	481
No usual address (Qld)	Did not go to school	64
No usual address (Qld)	Year 8	428
No usual address (Qld)	Year 9	752
No usual address (Qld)	Year 10	2785
No usual address (Qld)	Year 11	1026
No usual address (Qld)	Year 12	4685
Migratory - Offshore - Shipping (Qld)	Year 10	15
Migratory - Offshore - Shipping (Qld)	Year 11	3
Migratory - Offshore - Shipping (Qld)	Year 12	29
Adelaide	Did not go to school	121
Adelaide	Year 8	253
Adelaide	Year 9	362
Adelaide	Year 10	1313
Adelaide	Year 11	1753
Adelaide	Year 12	17834
Adelaide Hills	Did not go to school	37
Adelaide Hills	Year 8	714
Adelaide Hills	Year 9	1243
Adelaide Hills	Year 10	4029
Adelaide Hills	Year 11	5274
Adelaide Hills	Year 12	20607
Adelaide Plains	Did not go to school	52
Adelaide Plains	Year 8	358
Adelaide Plains	Year 9	588
Adelaide Plains	Year 10	1675
Adelaide Plains	Year 11	1745
Adelaide Plains	Year 12	2962
Alexandrina	Did not go to school	56
Alexandrina	Year 8	901
Alexandrina	Year 9	1549
Alexandrina	Year 10	4797
Alexandrina	Year 11	5191
Alexandrina	Year 12	10588
Anangu Pitjantjatjara Yunkunytjatjara	Did not go to school	36
Anangu Pitjantjatjara Yunkunytjatjara	Year 8	259
Anangu Pitjantjatjara Yunkunytjatjara	Year 9	205
Anangu Pitjantjatjara Yunkunytjatjara	Year 10	419
Anangu Pitjantjatjara Yunkunytjatjara	Year 11	253
Anangu Pitjantjatjara Yunkunytjatjara	Year 12	374
Barossa	Did not go to school	46
Barossa	Year 8	985
Barossa	Year 9	1254
Barossa	Year 10	3729
Barossa	Year 11	4185
Barossa	Year 12	9437
Barunga West	Year 8	151
Barunga West	Year 9	185
Barunga West	Year 10	490
Barunga West	Year 11	490
Barunga West	Year 12	737
Berri Barmera	Did not go to school	68
Berri Barmera	Year 8	662
Berri Barmera	Year 9	692
Berri Barmera	Year 10	1792
Berri Barmera	Year 11	1734
Berri Barmera	Year 12	3277
Burnside	Did not go to school	166
Burnside	Year 8	831
Burnside	Year 9	1068
Burnside	Year 10	3033
Burnside	Year 11	3953
Burnside	Year 12	28104
Campbelltown (SA)	Did not go to school	515
Campbelltown (SA)	Year 8	2634
Campbelltown (SA)	Year 9	1609
Campbelltown (SA)	Year 10	4769
Campbelltown (SA)	Year 11	5923
Campbelltown (SA)	Year 12	28666
Ceduna	Did not go to school	11
Ceduna	Year 8	180
Ceduna	Year 9	202
Ceduna	Year 10	600
Ceduna	Year 11	531
Ceduna	Year 12	960
Charles Sturt	Did not go to school	1281
Charles Sturt	Year 8	5549
Charles Sturt	Year 9	4205
Charles Sturt	Year 10	12568
Charles Sturt	Year 11	14645
Charles Sturt	Year 12	60640
Clare and Gilbert Valleys	Did not go to school	17
Clare and Gilbert Valleys	Year 8	341
Clare and Gilbert Valleys	Year 9	450
Clare and Gilbert Valleys	Year 10	1332
Clare and Gilbert Valleys	Year 11	1664
Clare and Gilbert Valleys	Year 12	3296
Cleve	Did not go to school	3
Cleve	Year 8	86
Cleve	Year 9	81
Cleve	Year 10	237
Cleve	Year 11	303
Cleve	Year 12	557
Coober Pedy	Did not go to school	11
Coober Pedy	Year 8	100
Coober Pedy	Year 9	93
Coober Pedy	Year 10	217
Coober Pedy	Year 11	190
Coober Pedy	Year 12	468
Copper Coast	Did not go to school	29
Copper Coast	Year 8	846
Copper Coast	Year 9	1083
Copper Coast	Year 10	3007
Copper Coast	Year 11	2849
Copper Coast	Year 12	3982
Elliston	Did not go to school	4
Elliston	Year 8	47
Elliston	Year 9	54
Elliston	Year 10	153
Elliston	Year 11	156
Elliston	Year 12	320
Flinders Ranges	Year 8	90
Flinders Ranges	Year 9	104
Flinders Ranges	Year 10	265
Flinders Ranges	Year 11	309
Flinders Ranges	Year 12	470
Franklin Harbour	Year 8	55
Franklin Harbour	Year 9	73
Franklin Harbour	Year 10	236
Franklin Harbour	Year 11	247
Franklin Harbour	Year 12	347
Gawler	Did not go to school	82
Gawler	Year 8	988
Gawler	Year 9	1314
Gawler	Year 10	3949
Gawler	Year 11	4245
Gawler	Year 12	8987
Goyder	Did not go to school	7
Goyder	Year 8	222
Goyder	Year 9	298
Goyder	Year 10	714
Goyder	Year 11	719
Goyder	Year 12	1184
Grant	Did not go to school	9
Grant	Year 8	336
Grant	Year 9	463
Grant	Year 10	1674
Grant	Year 11	1504
Grant	Year 12	2493
Holdfast Bay	Did not go to school	135
Holdfast Bay	Year 8	860
Holdfast Bay	Year 9	1161
Holdfast Bay	Year 10	4193
Holdfast Bay	Year 11	4968
Holdfast Bay	Year 12	19913
Kangaroo Island	Did not go to school	8
Kangaroo Island	Year 8	152
Kangaroo Island	Year 9	251
Kangaroo Island	Year 10	728
Kangaroo Island	Year 11	747
Kangaroo Island	Year 12	1802
Karoonda East Murray	Year 8	77
Karoonda East Murray	Year 9	69
Karoonda East Murray	Year 10	169
Karoonda East Murray	Year 11	172
Karoonda East Murray	Year 12	271
Kimba	Year 8	72
Kimba	Year 9	55
Kimba	Year 10	128
Kimba	Year 11	184
Kimba	Year 12	307
Kingston (SA)	Did not go to school	5
Kingston (SA)	Year 8	161
Kingston (SA)	Year 9	146
Kingston (SA)	Year 10	408
Kingston (SA)	Year 11	454
Kingston (SA)	Year 12	678
Light	Did not go to school	8
Light	Year 8	464
Light	Year 9	710
Light	Year 10	2247
Light	Year 11	2827
