LGA_NAME16	FamilyHousehold	IncomeHousehold.max	households
Burwood	0	131250	481
Burwood	0	157500	145
Burwood	0	183750	167
Burwood	0	210000	74
Burwood	0	Inf	210
Burwood	1		571
Burwood	1	0	225
Burwood	1	7875	50
Burwood	1	15750	63
Burwood	1	21000	78
Burwood	1	26250	154
Burwood	1	34125	165
Burwood	1	42000	391
Burwood	1	52500	368
Burwood	1	65625	516
Burwood	1	78750	638
Burwood	1	91875	487
Burwood	1	105000	479
Burwood	1	131250	1189
Burwood	1	157500	815
Burwood	1	183750	757
Burwood	1	210000	528
Burwood	1	Inf	1921
Byron	0		330
Byron	0	0	129
Byron	0	7875	61
Byron	0	15750	101
Byron	0	21000	231
Byron	0	26250	628
Byron	0	34125	523
Byron	0	42000	309
Byron	0	52500	394
Byron	0	65625	400
Byron	0	78750	308
Byron	0	91875	226
Byron	0	105000	164
Byron	0	131250	301
Byron	0	157500	113
Byron	0	183750	113
Byron	0	210000	46
Byron	0	Inf	211
Byron	1		782
Byron	1	0	77
Byron	1	7875	30
Byron	1	15750	44
Byron	1	21000	50
Byron	1	26250	125
Byron	1	34125	175
Byron	1	42000	413
Byron	1	52500	408
Byron	1	65625	530
Byron	1	78750	651
Byron	1	91875	495
Byron	1	105000	562
Byron	1	131250	1078
Byron	1	157500	748
Byron	1	183750	569
Byron	1	210000	356
Byron	1	Inf	1194
Cabonne	0		79
Cabonne	0	0	47
Cabonne	0	7875	15
Cabonne	0	15750	49
Cabonne	0	21000	85
Cabonne	0	26250	258
Cabonne	0	34125	143
Cabonne	0	42000	110
Cabonne	0	52500	113
Cabonne	0	65625	115
Cabonne	0	78750	77
Cabonne	0	91875	51
Cabonne	0	105000	22
Cabonne	0	131250	60
Cabonne	0	157500	3
Cabonne	0	183750	6
Cabonne	0	Inf	17
Cabonne	1		373
Cabonne	1	0	50
Cabonne	1	7875	17
Cabonne	1	15750	15
Cabonne	1	21000	24
Cabonne	1	26250	69
Cabonne	1	34125	70
Cabonne	1	42000	264
Cabonne	1	52500	180
Cabonne	1	65625	234
Cabonne	1	78750	268
Cabonne	1	91875	201
Cabonne	1	105000	221
Cabonne	1	131250	435
Cabonne	1	157500	307
Cabonne	1	183750	275
Cabonne	1	210000	179
Cabonne	1	Inf	484
Camden	0		227
Camden	0	0	249
Camden	0	7875	56
Camden	0	15750	123
Camden	0	21000	283
Camden	0	26250	751
Camden	0	34125	478
Camden	0	42000	343
Camden	0	52500	484
Camden	0	65625	588
Camden	0	78750	460
Camden	0	91875	419
Camden	0	105000	349
Camden	0	131250	569
Camden	0	157500	61
Camden	0	183750	118
Camden	0	210000	25
Camden	0	Inf	158
Camden	1		1722
Camden	1	0	250
Camden	1	7875	72
Camden	1	15750	70
Camden	1	21000	99
Camden	1	26250	253
Camden	1	34125	349
Camden	1	42000	1027
Camden	1	52500	961
Camden	1	65625	1371
Camden	1	78750	1630
Camden	1	91875	1596
Camden	1	105000	1742
Camden	1	131250	4511
Camden	1	157500	4104
Camden	1	183750	3497
Camden	1	210000	2402
Camden	1	Inf	5761
Campbelltown (NSW)	0		626
Campbelltown (NSW)	0	0	516
Campbelltown (NSW)	0	7875	127
Campbelltown (NSW)	0	15750	473
Campbelltown (NSW)	0	21000	1013
Campbelltown (NSW)	0	26250	2198
Campbelltown (NSW)	0	34125	1145
Campbelltown (NSW)	0	42000	808
Campbelltown (NSW)	0	52500	1188
Campbelltown (NSW)	0	65625	1205
Campbelltown (NSW)	0	78750	981
Campbelltown (NSW)	0	91875	737
Campbelltown (NSW)	0	105000	544
Campbelltown (NSW)	0	131250	746
Campbelltown (NSW)	0	157500	122
Campbelltown (NSW)	0	183750	118
Campbelltown (NSW)	0	210000	32
Campbelltown (NSW)	0	Inf	157
Campbelltown (NSW)	1		2916
Campbelltown (NSW)	1	0	502
Campbelltown (NSW)	1	7875	144
Campbelltown (NSW)	1	15750	229
Campbelltown (NSW)	1	21000	306
Campbelltown (NSW)	1	26250	770
Campbelltown (NSW)	1	34125	1051
Campbelltown (NSW)	1	42000	2480
Campbelltown (NSW)	1	52500	2396
Campbelltown (NSW)	1	65625	2938
Campbelltown (NSW)	1	78750	3500
Campbelltown (NSW)	1	91875	2954
Campbelltown (NSW)	1	105000	2940
Campbelltown (NSW)	1	131250	6469
Campbelltown (NSW)	1	157500	4665
Campbelltown (NSW)	1	183750	3489
Campbelltown (NSW)	1	210000	2268
Campbelltown (NSW)	1	Inf	4626
Canada Bay	0		414
Canada Bay	0	0	461
Canada Bay	0	7875	134
Canada Bay	0	15750	234
Canada Bay	0	21000	478
Canada Bay	0	26250	945
Canada Bay	0	34125	561
Canada Bay	0	42000	507
Canada Bay	0	52500	652
Canada Bay	0	65625	789
Canada Bay	0	78750	675
Canada Bay	0	91875	658
Canada Bay	0	105000	622
Canada Bay	0	131250	1338
Canada Bay	0	157500	160
Canada Bay	0	183750	466
Canada Bay	0	210000	104
Canada Bay	0	Inf	857
Canada Bay	1		1278
Canada Bay	1	0	314
Canada Bay	1	7875	105
Canada Bay	1	15750	94
Canada Bay	1	21000	93
Canada Bay	1	26250	264
Canada Bay	1	34125	308
Canada Bay	1	42000	790
Canada Bay	1	52500	715
Canada Bay	1	65625	939
Canada Bay	1	78750	1219
Canada Bay	1	91875	941
Canada Bay	1	105000	1004
Canada Bay	1	131250	2568
Canada Bay	1	157500	2180
Canada Bay	1	183750	2157
Canada Bay	1	210000	1595
Canada Bay	1	Inf	7879
Canterbury-Bankstown	0		1535
Canterbury-Bankstown	0	0	1644
Canterbury-Bankstown	0	7875	360
Canterbury-Bankstown	0	15750	1266
Canterbury-Bankstown	0	21000	2901
Canterbury-Bankstown	0	26250	5079
Canterbury-Bankstown	0	34125	2363
Canterbury-Bankstown	0	42000	1800
Canterbury-Bankstown	0	52500	2110
Canterbury-Bankstown	0	65625	2302
Canterbury-Bankstown	0	78750	1806
Canterbury-Bankstown	0	91875	1483
Canterbury-Bankstown	0	105000	1140
Canterbury-Bankstown	0	131250	1749
Canterbury-Bankstown	0	157500	404
Canterbury-Bankstown	0	183750	449
Canterbury-Bankstown	0	210000	142
