LGA_NAME21	Age5yr	ChildrenEverBorn	females
Bayside (NSW)	55-59	2	1698
Bayside (NSW)	55-59	3	720
Bayside (NSW)	55-59	4	244
Bayside (NSW)	55-59	5	78
Bayside (NSW)	55-59	6	49
Bayside (NSW)	60-64		195
Bayside (NSW)	60-64	0	717
Bayside (NSW)	60-64	1	815
Bayside (NSW)	60-64	2	1430
Bayside (NSW)	60-64	3	683
Bayside (NSW)	60-64	4	222
Bayside (NSW)	60-64	5	77
Bayside (NSW)	60-64	6	60
Bayside (NSW)	65-69		232
Bayside (NSW)	65-69	0	535
Bayside (NSW)	65-69	1	671
Bayside (NSW)	65-69	2	1339
Bayside (NSW)	65-69	3	681
Bayside (NSW)	65-69	4	198
Bayside (NSW)	65-69	5	82
Bayside (NSW)	65-69	6	57
Bayside (NSW)	70-74		203
Bayside (NSW)	70-74	0	346
Bayside (NSW)	70-74	1	447
Bayside (NSW)	70-74	2	1256
Bayside (NSW)	70-74	3	645
Bayside (NSW)	70-74	4	243
Bayside (NSW)	70-74	5	57
Bayside (NSW)	70-74	6	45
Bayside (NSW)	75-79		232
Bayside (NSW)	75-79	0	258
Bayside (NSW)	75-79	1	339
Bayside (NSW)	75-79	2	976
Bayside (NSW)	75-79	3	501
Bayside (NSW)	75-79	4	201
Bayside (NSW)	75-79	5	66
Bayside (NSW)	75-79	6	47
Bayside (NSW)	80-84		228
Bayside (NSW)	80-84	0	158
Bayside (NSW)	80-84	1	210
Bayside (NSW)	80-84	2	745
Bayside (NSW)	80-84	3	464
Bayside (NSW)	80-84	4	171
Bayside (NSW)	80-84	5	61
Bayside (NSW)	80-84	6	80
Bayside (NSW)	85+		406
Bayside (NSW)	85+	0	174
Bayside (NSW)	85+	1	234
Bayside (NSW)	85+	2	616
Bayside (NSW)	85+	3	426
Bayside (NSW)	85+	4	199
Bayside (NSW)	85+	5	87
Bayside (NSW)	85+	6	94
Bega Valley	15-19		112
Bega Valley	15-19	0	711
Bega Valley	15-19	1	8
Bega Valley	20-24		60
Bega Valley	20-24	0	456
Bega Valley	20-24	1	62
Bega Valley	20-24	2	28
Bega Valley	20-24	4	3
Bega Valley	20-24	6	3
Bega Valley	25-29		52
Bega Valley	25-29	0	389
Bega Valley	25-29	1	128
Bega Valley	25-29	2	90
Bega Valley	25-29	3	39
Bega Valley	25-29	4	9
Bega Valley	25-29	5	3
Bega Valley	30-34		75
Bega Valley	30-34	0	262
Bega Valley	30-34	1	175
Bega Valley	30-34	2	200
Bega Valley	30-34	3	84
Bega Valley	30-34	4	25
Bega Valley	30-34	5	10
Bega Valley	30-34	6	7
Bega Valley	35-39		52
Bega Valley	35-39	0	155
Bega Valley	35-39	1	119
Bega Valley	35-39	2	310
Bega Valley	35-39	3	164
Bega Valley	35-39	4	51
Bega Valley	35-39	5	17
Bega Valley	35-39	6	15
Bega Valley	40-44		52
Bega Valley	40-44	0	143
Bega Valley	40-44	1	108
Bega Valley	40-44	2	317
Bega Valley	40-44	3	177
Bega Valley	40-44	4	57
Bega Valley	40-44	5	27
Bega Valley	40-44	6	8
Bega Valley	45-49		71
Bega Valley	45-49	0	144
Bega Valley	45-49	1	137
Bega Valley	45-49	2	367
Bega Valley	45-49	3	200
Bega Valley	45-49	4	74
Bega Valley	45-49	5	23
Bega Valley	45-49	6	14
Bega Valley	50-54		88
Bega Valley	50-54	0	201
Bega Valley	50-54	1	140
Bega Valley	50-54	2	435
Bega Valley	50-54	3	228
Bega Valley	50-54	4	102
Bega Valley	50-54	5	24
Bega Valley	50-54	6	21
Bega Valley	55-59		112
Bega Valley	55-59	0	286
Bega Valley	55-59	1	192
Bega Valley	55-59	2	518
Bega Valley	55-59	3	288
Bega Valley	55-59	4	116
Bega Valley	55-59	5	37
Bega Valley	55-59	6	9
Bega Valley	60-64		123
Bega Valley	60-64	0	313
Bega Valley	60-64	1	199
Bega Valley	60-64	2	599
Bega Valley	60-64	3	386
Bega Valley	60-64	4	154
Bega Valley	60-64	5	33
Bega Valley	60-64	6	23
Bega Valley	65-69		92
