LGA_NAME21	MotorVehicles.min	occupied_private_dwellings
Barcaldine	2	318
Barcaldine	3	154
Barcaldine	4	136
Barcoo		4
Barcoo	0	3
Barcoo	1	40
Barcoo	2	35
Barcoo	3	6
Barcoo	4	17
Blackall Tambo		17
Blackall Tambo	0	35
Blackall Tambo	1	260
Blackall Tambo	2	260
Blackall Tambo	3	108
Blackall Tambo	4	73
Boulia		8
Boulia	0	17
Boulia	1	53
Boulia	2	28
Boulia	3	9
Boulia	4	21
Brisbane		5577
Brisbane	0	37311
Brisbane	1	181962
Brisbane	2	168679
Brisbane	3	48007
Brisbane	4	23578
Bulloo	0	8
Bulloo	1	52
Bulloo	2	31
Bulloo	3	15
Bulloo	4	14
Bundaberg		778
Bundaberg	0	2173
Bundaberg	1	14125
Bundaberg	2	13655
Bundaberg	3	4958
Bundaberg	4	2780
Burdekin		158
Burdekin	0	323
Burdekin	1	2016
Burdekin	2	2434
Burdekin	3	932
Burdekin	4	532
Burke		8
Burke	0	17
Burke	1	41
Burke	2	40
Burke	3	8
Burke	4	19
Cairns		1073
Cairns	0	3794
Cairns	1	22320
Cairns	2	22637
Cairns	3	7057
Cairns	4	3434
Carpentaria		25
Carpentaria	0	69
Carpentaria	1	275
Carpentaria	2	186
Carpentaria	3	69
Carpentaria	4	44
Cassowary Coast		322
Cassowary Coast	0	625
Cassowary Coast	1	3965
Cassowary Coast	2	4024
Cassowary Coast	3	1365
Cassowary Coast	4	659
Central Highlands (Qld)		210
Central Highlands (Qld)	0	316
Central Highlands (Qld)	1	2838
Central Highlands (Qld)	2	3467
Central Highlands (Qld)	3	1525
Central Highlands (Qld)	4	929
Charters Towers		121
Charters Towers	0	222
Charters Towers	1	1424
Charters Towers	2	1415
Charters Towers	3	554
Charters Towers	4	348
Cherbourg		4
Cherbourg	0	116
Cherbourg	1	109
Cherbourg	2	61
Cherbourg	3	14
Cloncurry		59
Cloncurry	0	97
Cloncurry	1	361
Cloncurry	2	330
Cloncurry	3	127
Cloncurry	4	89
Cook		73
Cook	0	119
Cook	1	588
Cook	2	457
Cook	3	163
Cook	4	98
Croydon		10
Croydon	0	9
Croydon	1	20
Croydon	2	21
Croydon	3	10
Croydon	4	15
Diamantina		12
Diamantina	0	6
Diamantina	1	43
Diamantina	2	16
Diamantina	3	8
Diamantina	4	3
Doomadgee		4
Doomadgee	0	100
Doomadgee	1	117
Doomadgee	2	35
Doomadgee	3	11
Doomadgee	4	14
Douglas		115
Douglas	0	227
Douglas	1	1813
Douglas	2	1651
Douglas	3	511
Douglas	4	243
Etheridge		25
Etheridge	0	13
Etheridge	1	93
Etheridge	2	69
Etheridge	3	29
Etheridge	4	33
Flinders (Qld)		11
Flinders (Qld)	0	35
Flinders (Qld)	1	183
Flinders (Qld)	2	164
Flinders (Qld)	3	83
Flinders (Qld)	4	63
Fraser Coast		813
Fraser Coast	0	2540
Fraser Coast	1	17080
Fraser Coast	2	15341
Fraser Coast	3	5216
Fraser Coast	4	2927
Gladstone		387
Gladstone	0	966
Gladstone	1	7545
Gladstone	2	9092
Gladstone	3	3424
Gladstone	4	1762
Gold Coast		3343
Gold Coast	0	10990
Gold Coast	1	81442
Gold Coast	2	88327
Gold Coast	3	28906
Gold Coast	4	15909
Goondiwindi		73
Goondiwindi	0	161
Goondiwindi	1	1183
Goondiwindi	2	1404
Goondiwindi	3	577
Goondiwindi	4	353
Gympie		376
Gympie	0	839
Gympie	1	6806
Gympie	2	7614
Gympie	3	2990
Gympie	4	1832
Hinchinbrook		114
Hinchinbrook	0	235
Hinchinbrook	1	1455
Hinchinbrook	2	1650
Hinchinbrook	3	657
Hinchinbrook	4	317
Hope Vale		16
Hope Vale	0	65
Hope Vale	1	120
Hope Vale	2	59
Hope Vale	3	17
Hope Vale	4	7
Ipswich		1136
Ipswich	0	3912
Ipswich	1	26054
Ipswich	2	30603
Ipswich	3	10637
Ipswich	4	5719
Isaac		148
Isaac	0	156
Isaac	1	1826
Isaac	2	2513
Isaac	3	1008
Isaac	4	646
Kowanyama		16
Kowanyama	0	109
Kowanyama	1	77
Kowanyama	2	32
Kowanyama	3	9
Kowanyama	4	7
Livingstone		267
Livingstone	0	462
Livingstone	1	4045
Livingstone	2	5442
Livingstone	3	2215
Livingstone	4	1361
Lockhart River		10
Lockhart River	0	55
Lockhart River	1	56
Lockhart River	2	21
Lockhart River	3	8
Lockyer Valley		312
Lockyer Valley	0	377
Lockyer Valley	1	3690
Lockyer Valley	2	5324
Lockyer Valley	3	2555
Lockyer Valley	4	1875
Logan		2001
Logan	0	5355
Logan	1	34896
Logan	2	42304
Logan	3	16939
Logan	4	11147
Longreach		32
Longreach	0	83
Longreach	1	484
Longreach	2	439
Longreach	3	171
Longreach	4	134
Mackay		867
Mackay	0	1748
Mackay	1	13183
Mackay	2	16834
Mackay	3	6667
Mackay	4	3660
McKinlay		11
McKinlay	0	8
McKinlay	1	73
McKinlay	2	71
McKinlay	3	26
McKinlay	4	47
Mapoon	0	30
Mapoon	1	42
Mapoon	2	21
Mapoon	3	9
Maranoa		97
Maranoa	0	225
Maranoa	1	1426
Maranoa	2	1640
Maranoa	3	714
Maranoa	4	476
Mareeba		249
Mareeba	0	418
Mareeba	1	2476
Mareeba	2	2819
Mareeba	3	1155
Mareeba	4	720
Moreton Bay		2110
Moreton Bay	0	7738
Moreton Bay	1	57622
Moreton Bay	2	65673
Moreton Bay	3	23619
Moreton Bay	4	14264
Mornington		5
Mornington	0	117
Mornington	1	67
Mornington	2	37
Mornington	3	4
Mornington	4	7
Mount Isa		276
Mount Isa	0	470
Mount Isa	1	2100
Mount Isa	2	2390
Mount Isa	3	774
Mount Isa	4	407
Murweh		34
Murweh	0	92
Murweh	1	567
Murweh	2	495
Murweh	3	209
Murweh	4	128
Napranum		13
Napranum	0	87
Napranum	1	58
Napranum	2	38
Napranum	3	7
Noosa		316
Noosa	0	769
Noosa	1	7554
Noosa	2	8584
Noosa	3	2939
Noosa	4	1679
North Burnett		125
North Burnett	0	176
North Burnett	1	1280
North Burnett	2	1317
North Burnett	3	578
North Burnett	4	425
Northern Peninsula Area		31
Northern Peninsula Area	0	152
Northern Peninsula Area	1	266
Northern Peninsula Area	2	156
Northern Peninsula Area	3	39
Northern Peninsula Area	4	30
Palm Island		15
Palm Island	0	235
Palm Island	1	172
Palm Island	2	57
Palm Island	3	11
Palm Island	4	3
Paroo		17
Paroo	0	86
Paroo	1	259
Paroo	2	199
Paroo	3	69
Paroo	4	62
Pormpuraaw		6
Pormpuraaw	0	79
Pormpuraaw	1	39
Pormpuraaw	2	17
Pormpuraaw	3	9
Pormpuraaw	4	3
Quilpie		7
Quilpie	0	7
Quilpie	1	87
Quilpie	2	96
Quilpie	3	45
Quilpie	4	35
Redland		652
Redland	0	2654
Redland	1	18344
Redland	2	23293
Redland	3	8707
Redland	4	5106
Richmond		8
Richmond	0	7
Richmond	1	65
Richmond	2	84
Richmond	3	39
Richmond	4	37
Rockhampton		500
Rockhampton	0	1962
Rockhampton	1	10734
Rockhampton	2	10839
Rockhampton	3	3835
Rockhampton	4	2040
Scenic Rim		250
Scenic Rim	0	416
Scenic Rim	1	4436
Scenic Rim	2	5837
Scenic Rim	3	2591
Scenic Rim	4	1904
Somerset		200
Somerset	0	220
Somerset	1	2568
Somerset	2	3426
Somerset	3	1605
Somerset	4	1045
South Burnett		277
South Burnett	0	599
South Burnett	1	4436
South Burnett	2	4478
South Burnett	3	1859
South Burnett	4	1041
Southern Downs		281
Southern Downs	0	691
Southern Downs	1	4774
Southern Downs	2	5014
Southern Downs	3	1990
Southern Downs	4	1264
Sunshine Coast		1691
Sunshine Coast	0	4972
Sunshine Coast	1	44461
Sunshine Coast	2	50224
Sunshine Coast	3	16867
Sunshine Coast	4	9715
Tablelands		248
Tablelands	0	407
Tablelands	1	3430
Tablelands	2	3747
Tablelands	3	1396
Tablelands	4	758
Toowoomba		870
Toowoomba	0	3460
Toowoomba	1	22655
Toowoomba	2	24200
Toowoomba	3	8514
Toowoomba	4	4947
Torres		45
Torres	0	245
Torres	1	386
Torres	2	177
Torres	3	57
Torres	4	35
Torres Strait Island		20
Torres Strait Island	0	536
Torres Strait Island	1	335
Torres Strait Island	2	98
Torres Strait Island	3	24
Torres Strait Island	4	6
Townsville		1048
Townsville	0	3692
Townsville	1	24071
Townsville	2	27504
Townsville	3	9075
Townsville	4	4508
Weipa		38
Weipa	0	29
Weipa	1	307
Weipa	2	551
Weipa	3	218
Weipa	4	99
Western Downs		233
Western Downs	0	520
Western Downs	1	3817
Western Downs	2	4273
Western Downs	3	1903
Western Downs	4	1162
Whitsunday		273
Whitsunday	0	702
Whitsunday	1	4438
Whitsunday	2	4690
Whitsunday	3	1640
Whitsunday	4	873
Winton		22
Winton	0	27
Winton	1	153
Winton	2	123
Winton	3	53
Winton	4	51
Woorabinda		8
Woorabinda	0	125
Woorabinda	1	105
Woorabinda	2	26
Woorabinda	3	16
Woorabinda	4	3
Wujal Wujal		7
Wujal Wujal	0	32
Wujal Wujal	1	29
Wujal Wujal	2	5
Wujal Wujal	3	3
Yarrabah		15
Yarrabah	0	135
Yarrabah	1	165
Yarrabah	2	119
Yarrabah	3	27
Yarrabah	4	25
Adelaide		155
Adelaide	0	3421
Adelaide	1	5409
Adelaide	2	1717
Adelaide	3	268
Adelaide	4	137
Adelaide Hills		132
Adelaide Hills	0	242
Adelaide Hills	1	3407
Adelaide Hills	2	6249
Adelaide Hills	3	2637
Adelaide Hills	4	1872
Adelaide Plains		47
Adelaide Plains	0	73
Adelaide Plains	1	667
Adelaide Plains	2	1259
Adelaide Plains	3	716
Adelaide Plains	4	631
Alexandrina		156
Alexandrina	0	389
Alexandrina	1	4049
Alexandrina	2	4298
Alexandrina	3	1720
Alexandrina	4	1114
Anangu Pitjantjatjara Yunkunytjatjara		39
Anangu Pitjantjatjara Yunkunytjatjara	0	199
Anangu Pitjantjatjara Yunkunytjatjara	1	181
Anangu Pitjantjatjara Yunkunytjatjara	2	75
Anangu Pitjantjatjara Yunkunytjatjara	3	17
Anangu Pitjantjatjara Yunkunytjatjara	4	9
Barossa		103
Barossa	0	276
Barossa	1	2882
Barossa	2	3714
Barossa	3	1582
Barossa	4	1170
Barunga West		20
Barunga West	0	48
Barunga West	1	385
Barunga West	2	386
Barunga West	3	166
Barunga West	4	109
Berri Barmera		84
Berri Barmera	0	293
Berri Barmera	1	1444
Berri Barmera	2	1446
Berri Barmera	3	646
Berri Barmera	4	387
Burnside		111
Burnside	0	997
Burnside	1	6489
Burnside	2	6956
Burnside	3	2085
Burnside	4	1059
Campbelltown (SA)		211
Campbelltown (SA)	0	1586
Campbelltown (SA)	1	8090
Campbelltown (SA)	2	7832
Campbelltown (SA)	3	2302
Campbelltown (SA)	4	1309
Ceduna		61
Ceduna	0	100
Ceduna	1	392
Ceduna	2	470
Ceduna	3	188
Ceduna	4	116
Charles Sturt		568
Charles Sturt	0	4055
Charles Sturt	1	19088
Charles Sturt	2	17474
Charles Sturt	3	5321
Charles Sturt	4	2728
Clare and Gilbert Valleys		39
Clare and Gilbert Valleys	0	131
Clare and Gilbert Valleys	1	1128
Clare and Gilbert Valleys	2	1461
Clare and Gilbert Valleys	3	567
Clare and Gilbert Valleys	4	381
Cleve		6
Cleve	0	32
Cleve	1	188
Cleve	2	252
Cleve	3	115
Cleve	4	85
Coober Pedy		40
Coober Pedy	0	69
Coober Pedy	1	281
Coober Pedy	2	193
Coober Pedy	3	62
Coober Pedy	4	31
Copper Coast		111
Copper Coast	0	294
Copper Coast	1	2294
Copper Coast	2	2358
Copper Coast	3	754
Copper Coast	4	449
Elliston		16
Elliston	0	8
Elliston	1	99
Elliston	2	159
Elliston	3	51
Elliston	4	42
Flinders Ranges		15
Flinders Ranges	0	17
Flinders Ranges	1	220
Flinders Ranges	2	233
Flinders Ranges	3	103
Flinders Ranges	4	75
Franklin Harbour		8
Franklin Harbour	0	16
Franklin Harbour	1	144
Franklin Harbour	2	174
Franklin Harbour	3	89
Franklin Harbour	4	57
Gawler		138
Gawler	0	711
Gawler	1	3721
Gawler	2	3501
Gawler	3	1256
Gawler	4	767
Goyder		14
Goyder	0	50
Goyder	1	527
Goyder	2	593
Goyder	3	271
Goyder	4	211
Grant		48
Grant	0	30
Grant	1	492
Grant	2	1044
Grant	3	624
Grant	4	541
Holdfast Bay		182
Holdfast Bay	0	1308
Holdfast Bay	1	6793
Holdfast Bay	2	5627
Holdfast Bay	3	1477
Holdfast Bay	4	742
Kangaroo Island		47
Kangaroo Island	0	91
Kangaroo Island	1	642
Kangaroo Island	2	725
Kangaroo Island	3	270
Kangaroo Island	4	166
Karoonda East Murray		8
Karoonda East Murray	0	17
Karoonda East Murray	1	100
Karoonda East Murray	2	126
Karoonda East Murray	3	76
Karoonda East Murray	4	72
Kimba		6
Kimba	0	10
Kimba	1	105
Kimba	2	138
Kimba	3	85
Kimba	4	44
Kingston (SA)		16
Kingston (SA)	0	40
Kingston (SA)	1	314
Kingston (SA)	2	364
Kingston (SA)	3	150
Kingston (SA)	4	104
Light		67
Light	0	80
Light	1	1149
Light	2	2110
Light	3	1105
Light	4	884
Lower Eyre Peninsula		26
Lower Eyre Peninsula	0	23
Lower Eyre Peninsula	1	463
Lower Eyre Peninsula	2	885
Lower Eyre Peninsula	3	429
Lower Eyre Peninsula	4	246
Loxton Waikerie		94
Loxton Waikerie	0	218
Loxton Waikerie	1	1395
Loxton Waikerie	2	1768
Loxton Waikerie	3	693
Loxton Waikerie	4	472
Maralinga Tjarutja		10
Maralinga Tjarutja	0	5
Maralinga Tjarutja	1	12
Maralinga Tjarutja	2	3
Marion		413
Marion	0	3160
Marion	1	14499
Marion	2	14093
Marion	3	4123
Marion	4	1936
Mid Murray		71
Mid Murray	0	123
Mid Murray	1	1254
Mid Murray	2	1313
Mid Murray	3	593
Mid Murray	4	435
Mitcham		203
Mitcham	0	1224
Mitcham	1	8121
Mitcham	2	10323
Mitcham	3	3380
Mitcham	4	1852
Mount Barker		146
Mount Barker	0	516
Mount Barker	1	4298
Mount Barker	2	5939
Mount Barker	3	2199
Mount Barker	4	1428
Mount Gambier		159
Mount Gambier	0	814
Mount Gambier	1	4098
Mount Gambier	2	3885
Mount Gambier	3	1293
Mount Gambier	4	701
Mount Remarkable		22
Mount Remarkable	0	28
Mount Remarkable	1	314
Mount Remarkable	2	428
Mount Remarkable	3	213
Mount Remarkable	4	171
Murray Bridge		154
Murray Bridge	0	560
Murray Bridge	1	2939
Murray Bridge	2	2845
Murray Bridge	3	1141
Murray Bridge	4	788
Naracoorte Lucindale		65
Naracoorte Lucindale	0	133
Naracoorte Lucindale	1	937
Naracoorte Lucindale	2	1276
Naracoorte Lucindale	3	519
Naracoorte Lucindale	4	354
Northern Areas		34
Northern Areas	0	67
Northern Areas	1	554
Northern Areas	2	685
Northern Areas	3	309
Northern Areas	4	228
Norwood Payneham and St Peters		164
Norwood Payneham and St Peters	0	1671
Norwood Payneham and St Peters	1	7030
Norwood Payneham and St Peters	2	5083
Norwood Payneham and St Peters	3	1332
Norwood Payneham and St Peters	4	682
Onkaparinga		723
Onkaparinga	0	3583
Onkaparinga	1	23812
Onkaparinga	2	26254
Onkaparinga	3	8856
Onkaparinga	4	4912
Orroroo Carrieton		12
Orroroo Carrieton	0	20
Orroroo Carrieton	1	84
Orroroo Carrieton	2	106
Orroroo Carrieton	3	53
Orroroo Carrieton	4	65
Peterborough		20
Peterborough	0	72
Peterborough	1	306
Peterborough	2	193
Peterborough	3	85
Peterborough	4	49
Playford		656
Playford	0	3231
Playford	1	12750
Playford	2	12171
Playford	3	4158
Playford	4	2325
Port Adelaide Enfield		685
Port Adelaide Enfield	0	4760
Port Adelaide Enfield	1	19620
Port Adelaide Enfield	2	18035
Port Adelaide Enfield	3	5318
Port Adelaide Enfield	4	2601
Port Augusta		112
Port Augusta	0	519
Port Augusta	1	1876
Port Augusta	2	1711
Port Augusta	3	613
Port Augusta	4	314
Port Lincoln		125
Port Lincoln	0	428
Port Lincoln	1	2111
Port Lincoln	2	2136
Port Lincoln	3	658
Port Lincoln	4	304
Port Pirie		162
Port Pirie	0	682
Port Pirie	1	2652
Port Pirie	2	2243
Port Pirie	3	900
Port Pirie	4	507
Prospect		83
Prospect	0	662
Prospect	1	3202
Prospect	2	3204
Prospect	3	1003
Prospect	4	484
Renmark Paringa		56
Renmark Paringa	0	215
Renmark Paringa	1	1222
Renmark Paringa	2	1390
Renmark Paringa	3	609
Renmark Paringa	4	341
Robe		11
Robe	0	22
Robe	1	194
Robe	2	275
Robe	3	100
Robe	4	53
Roxby Downs		24
Roxby Downs	0	28
Roxby Downs	1	312
Roxby Downs	2	525
Roxby Downs	3	212
Roxby Downs	4	97
Salisbury		744
Salisbury	0	3661
Salisbury	1	18930
Salisbury	2	18946
Salisbury	3	6626
Salisbury	4	3518
Southern Mallee		10
Southern Mallee	0	37
Southern Mallee	1	228
Southern Mallee	2	289
Southern Mallee	3	139
Southern Mallee	4	99
Streaky Bay		14
Streaky Bay	0	23
Streaky Bay	1	231
Streaky Bay	2	298
Streaky Bay	3	130
Streaky Bay	4	98
Tatiara		63
Tatiara	0	76
Tatiara	1	702
Tatiara	2	971
Tatiara	3	443
Tatiara	4	293
Tea Tree Gully		339
Tea Tree Gully	0	1813
Tea Tree Gully	1	12944
Tea Tree Gully	2	15345
Tea Tree Gully	3	5228
Tea Tree Gully	4	2924
Coorong		44
Coorong	0	103
Coorong	1	699
Coorong	2	748
Coorong	3	323
Coorong	4	270
Tumby Bay		28
Tumby Bay	0	53
Tumby Bay	1	379
Tumby Bay	2	456
Tumby Bay	3	178
Tumby Bay	4	93
Unley		125
Unley	0	1244
Unley	1	6463
Unley	2	5505
Unley	3	1446
Unley	4	734
Victor Harbor		80
Victor Harbor	0	389
Victor Harbor	1	3178
Victor Harbor	2	2448
Victor Harbor	3	704
Victor Harbor	4	352
Wakefield		40
Wakefield	0	114
Wakefield	1	837
Wakefield	2	938
Wakefield	3	430
Wakefield	4	304
Walkerville		31
Walkerville	0	248
Walkerville	1	1164
Walkerville	2	1218
Walkerville	3	326
Walkerville	4	190
Wattle Range		78
Wattle Range	0	201
Wattle Range	1	1455
Wattle Range	2	1727
Wattle Range	3	793
Wattle Range	4	469
West Torrens		268
West Torrens	0	2462
West Torrens	1	10144
West Torrens	2	8539
West Torrens	3	2492
West Torrens	4	1217
Whyalla		192
Whyalla	0	1085
Whyalla	1	3397
Whyalla	2	2777
Whyalla	3	1003
Whyalla	4	529
Wudinna		8
Wudinna	0	18
Wudinna	1	108
Wudinna	2	137
Wudinna	3	76
Wudinna	4	68
Yankalilla		29
Yankalilla	0	48
Yankalilla	1	893
Yankalilla	2	974
Yankalilla	3	342
Yankalilla	4	183
Yorke Peninsula		99
Yorke Peninsula	0	181
Yorke Peninsula	1	1684
Yorke Peninsula	2	1906
Yorke Peninsula	3	668
Yorke Peninsula	4	428
Unincorporated SA		44
Unincorporated SA	0	93
Unincorporated SA	1	349
Unincorporated SA	2	279
Unincorporated SA	3	110
Unincorporated SA	4	134
Albany		220
Albany	0	661
Albany	1	4869
Albany	2	5539
Albany	3	2117
Albany	4	1327
Armadale		419
Armadale	0	1315
Armadale	1	9875
Armadale	2	13661
Armadale	3	4638
Armadale	4	2644
Ashburton		33
Ashburton	0	60
Ashburton	1	614
Ashburton	2	560
Ashburton	3	211
Ashburton	4	104
Augusta Margaret River		110
Augusta Margaret River	0	141
Augusta Margaret River	1	1791
Augusta Margaret River	2	2582
Augusta Margaret River	3	835
Augusta Margaret River	4	427
Bassendean		77
Bassendean	0	400
Bassendean	1	2390
Bassendean	2	2418
Bassendean	3	715
Bassendean	4	347
Bayswater		352
Bayswater	0	1859
Bayswater	1	11192
Bayswater	2	10433
Bayswater	3	2788
Bayswater	4	1431
Belmont		286
Belmont	0	1286
Belmont	1	7139
Belmont	2	5930
Belmont	3	1629
Belmont	4	742
Beverley		12
Beverley	0	22
Beverley	1	181
Beverley	2	247
Beverley	3	121
Beverley	4	95
Boddington		14
Boddington	0	13
Boddington	1	162
Boddington	2	218
Boddington	3	124
Boddington	4	71
Boyup Brook		14
Boyup Brook	0	18
Boyup Brook	1	171
Boyup Brook	2	241
Boyup Brook	3	137
Boyup Brook	4	96
Bridgetown-Greenbushes		28
Bridgetown-Greenbushes	0	52
Bridgetown-Greenbushes	1	621
Bridgetown-Greenbushes	2	794
Bridgetown-Greenbushes	3	327
Bridgetown-Greenbushes	4	219
Brookton		7
Brookton	0	15
Brookton	1	82
Brookton	2	130
Brookton	3	56
Brookton	4	45
Broome		180
Broome	0	489
Broome	1	1662
Broome	2	1748
Broome	3	713
Broome	4	380
Broomehill-Tambellup		6
Broomehill-Tambellup	0	13
Broomehill-Tambellup	1	97
Broomehill-Tambellup	2	101
Broomehill-Tambellup	3	88
Broomehill-Tambellup	4	68
Bruce Rock		4
Bruce Rock	0	13
Bruce Rock	1	98
Bruce Rock	2	122
Bruce Rock	3	42
Bruce Rock	4	43
Bunbury		252
Bunbury	0	850
Bunbury	1	5354
Bunbury	2	4847
Bunbury	3	1423
Bunbury	4	629
Busselton		228
Busselton	0	465
Busselton	1	5078
Busselton	2	6048
Busselton	3	2076
Busselton	4	1095
Cambridge		70
Cambridge	0	493
Cambridge	1	3442
Cambridge	2	4306
Cambridge	3	1332
Cambridge	4	732
Canning		413
Canning	0	1537
Canning	1	10873
Canning	2	13622
Canning	3	4582
Canning	4	2413
Capel		79
Capel	0	128
Capel	1	1575
Capel	2	2603
Capel	3	1173
Capel	4	662
Carnamah		6
Carnamah	0	5
Carnamah	1	74
Carnamah	2	86
Carnamah	3	23
Carnamah	4	24
Carnarvon		36
Carnarvon	0	156
Carnarvon	1	648
Carnarvon	2	607
Carnarvon	3	196
Carnarvon	4	129
Chapman Valley		11
Chapman Valley	0	8
Chapman Valley	1	96
Chapman Valley	2	213
Chapman Valley	3	105
Chapman Valley	4	78
Chittering		18
Chittering	0	18
Chittering	1	307
Chittering	2	721
Chittering	3	461
Chittering	4	403
Christmas Island		6
Christmas Island	0	31
Christmas Island	1	167
Christmas Island	2	129
Christmas Island	3	62
Christmas Island	4	24
Claremont		49
Claremont	0	243
Claremont	1	1832
Claremont	2	1655
Claremont	3	432
Claremont	4	190
Cockburn		468
Cockburn	0	1746
Cockburn	1	14079
Cockburn	2	18228
Cockburn	3	5883
Cockburn	4	3108
Cocos Islands		4
Cocos Islands	1	32
Cocos Islands	2	38
Cocos Islands	3	20
Cocos Islands	4	24
Collie		75
Collie	0	165
Collie	1	1042
Collie	2	1220
Collie	3	553
Collie	4	353
Coolgardie		26
Coolgardie	0	58
Coolgardie	1	370
Coolgardie	2	394
Coolgardie	3	186
Coolgardie	4	101
Coorow	0	6
Coorow	1	121
Coorow	2	157
Coorow	3	76
Coorow	4	49
Corrigin		11
Corrigin	0	6
Corrigin	1	120
Corrigin	2	142
Corrigin	3	63
Corrigin	4	51
Cottesloe		28
Cottesloe	0	96
Cottesloe	1	984
Cottesloe	2	1242
Cottesloe	3	430
Cottesloe	4	220
Cranbrook		5
Cranbrook	0	8
Cranbrook	1	119
Cranbrook	2	134
Cranbrook	3	92
Cranbrook	4	53
Cuballing		7
Cuballing	0	3
Cuballing	1	93
Cuballing	2	114
Cuballing	3	68
Cuballing	4	77
Cue		13
Cue	1	20
Cue	2	23
Cue	3	11
Cue	4	5
Cunderdin		10
Cunderdin	0	17
Cunderdin	1	114
Cunderdin	2	161
Cunderdin	3	91
Cunderdin	4	54
Dalwallinu		12
Dalwallinu	0	7
Dalwallinu	1	113
Dalwallinu	2	176
Dalwallinu	3	74
Dalwallinu	4	48
Dandaragan		21
Dandaragan	0	22
Dandaragan	1	365
Dandaragan	2	501
Dandaragan	3	216
Dandaragan	4	129
Dardanup		63
Dardanup	0	131
Dardanup	1	1572
Dardanup	2	2192
Dardanup	3	873
Dardanup	4	476
Denmark		35
Denmark	0	55
Denmark	1	841
Denmark	2	954
Denmark	3	334
Denmark	4	147
Derby-West Kimberley		84
Derby-West Kimberley	0	561
Derby-West Kimberley	1	625
Derby-West Kimberley	2	360
Derby-West Kimberley	3	134
Derby-West Kimberley	4	82
Donnybrook-Balingup		33
Donnybrook-Balingup	0	35
Donnybrook-Balingup	1	649
Donnybrook-Balingup	2	880
Donnybrook-Balingup	3	428
Donnybrook-Balingup	4	281
Dowerin		6
Dowerin	0	4
Dowerin	1	92
Dowerin	2	102
Dowerin	3	45
Dowerin	4	29
Dumbleyung		6
Dumbleyung	0	3
Dumbleyung	1	53
Dumbleyung	2	93
Dumbleyung	3	36
Dumbleyung	4	43
Dundas		28
Dundas	0	22
Dundas	1	111
Dundas	2	64
Dundas	3	19
Dundas	4	18
East Fremantle		19
East Fremantle	0	124
East Fremantle	1	1037
East Fremantle	2	1197
East Fremantle	3	371
East Fremantle	4	168
East Pilbara		49
East Pilbara	0	163
East Pilbara	1	565
East Pilbara	2	575
East Pilbara	3	198
East Pilbara	4	102
Esperance		79
Esperance	0	223
Esperance	1	1524
Esperance	2	1908
Esperance	3	743
Esperance	4	514
Exmouth		25
Exmouth	0	20
Exmouth	1	335
Exmouth	2	413
Exmouth	3	167
Exmouth	4	137
Fremantle		174
Fremantle	0	1113
Fremantle	1	5448
Fremantle	2	4698
Fremantle	3	1158
Fremantle	4	562
Gingin		48
Gingin	0	34
Gingin	1	540
Gingin	2	752
Gingin	3	373
Gingin	4	285
Gnowangerup		7
Gnowangerup	0	9
Gnowangerup	1	84
Gnowangerup	2	170
Gnowangerup	3	77
Gnowangerup	4	89
Goomalling		9
Goomalling	0	11
Goomalling	1	108
Goomalling	2	134
Goomalling	3	64
Goomalling	4	55
Gosnells		582
Gosnells	0	1775
Gosnells	1	13766
Gosnells	2	16665
Gosnells	3	6264
Gosnells	4	3624
Greater Geraldton		239
Greater Geraldton	0	679
Greater Geraldton	1	4858
Greater Geraldton	2	5457
Greater Geraldton	3	2010
Greater Geraldton	4	1101
Halls Creek		66
Halls Creek	0	398
Halls Creek	1	285
Halls Creek	2	108
Halls Creek	3	33
Halls Creek	4	23
Harvey		131
Harvey	0	238
Harvey	1	2719
Harvey	2	4225
Harvey	3	1737
Harvey	4	1022
Irwin		35
Irwin	0	50
Irwin	1	496
Irwin	2	517
Irwin	3	214
Irwin	4	119
Jerramungup		7
Jerramungup	0	8
Jerramungup	1	115
Jerramungup	2	152
Jerramungup	3	91
Jerramungup	4	63
Joondalup		516
Joondalup	0	1451
Joondalup	1	15938
Joondalup	2	25740
Joondalup	3	8972
Joondalup	4	4897
Kalamunda		247
Kalamunda	0	597
Kalamunda	1	5847
Kalamunda	2	8596
Kalamunda	3	3526
Kalamunda	4	2434
Kalgoorlie-Boulder		213
Kalgoorlie-Boulder	0	479
Kalgoorlie-Boulder	1	3053
Kalgoorlie-Boulder	2	3859
Kalgoorlie-Boulder	3	1516
Kalgoorlie-Boulder	4	872
Karratha		123
Karratha	0	211
Karratha	1	1566
Karratha	2	2768
Karratha	3	1086
Karratha	4	552
Katanning		43
Katanning	0	104
Katanning	1	468
Katanning	2	493
Katanning	3	203
Katanning	4	146
Kellerberrin		10
Kellerberrin	0	32
Kellerberrin	1	122
Kellerberrin	2	137
Kellerberrin	3	72
Kellerberrin	4	63
Kent		6
Kent	1	33
Kent	2	51
Kent	3	35
Kent	4	43
Kojonup		22
Kojonup	0	34
Kojonup	1	180
Kojonup	2	253
Kojonup	3	116
Kojonup	4	135
Kondinin		9
Kondinin	0	10
Kondinin	1	92
Kondinin	2	100
Kondinin	3	48
Kondinin	4	42
Koorda		4
Koorda	0	5
Koorda	1	58
Koorda	2	47
Koorda	3	16
Koorda	4	25
Kulin		9
Kulin	0	3
Kulin	1	56
Kulin	2	91
Kulin	3	44
