LGA_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Coolamon	Flat/apartment	1 or 2 storey block	1	4
Coolamon	Flat/apartment	1 or 2 storey block	2	4
Coolamon	Separate house			33
Coolamon	Separate house		0	10
Coolamon	Separate house		1	43
Coolamon	Separate house		2	195
Coolamon	Separate house		3	670
Coolamon	Separate house		4	502
Coolamon	Separate house		5	121
Coolamon	Separate house		6	21
Coonamble			2	3
Coonamble			3	3
Coonamble			4	3
Coonamble		1 storey	1	4
Coonamble		1 storey	2	14
Coonamble		1 storey	3	6
Coonamble	Flat/apartment	1 or 2 storey block	1	19
Coonamble	Flat/apartment	1 or 2 storey block	2	25
Coonamble	Separate house			35
Coonamble	Separate house		1	26
Coonamble	Separate house		2	186
Coonamble	Separate house		3	522
Coonamble	Separate house		4	352
Coonamble	Separate house		5	64
Coonamble	Separate house		6	25
Cootamundra-Gundagai Regional			2	4
Cootamundra-Gundagai Regional			4	3
Cootamundra-Gundagai Regional			6	4
Cootamundra-Gundagai Regional		1 storey	1	28
Cootamundra-Gundagai Regional		1 storey	2	140
Cootamundra-Gundagai Regional		1 storey	3	22
Cootamundra-Gundagai Regional		2 storeys or more	1	5
Cootamundra-Gundagai Regional		2 storeys or more	2	9
Cootamundra-Gundagai Regional		2 storeys or more	3	4
Cootamundra-Gundagai Regional		2 storeys or more	4	4
Cootamundra-Gundagai Regional	(Other)		0	5
Cootamundra-Gundagai Regional	(Other)		1	4
Cootamundra-Gundagai Regional	(Other)		2	7
Cootamundra-Gundagai Regional	(Other)		3	8
Cootamundra-Gundagai Regional	(Other)		4	3
Cootamundra-Gundagai Regional	(Other)		6	3
Cootamundra-Gundagai Regional	Flat/apartment	1 or 2 storey block	0	4
Cootamundra-Gundagai Regional	Flat/apartment	1 or 2 storey block	1	5
Cootamundra-Gundagai Regional	Flat/apartment	1 or 2 storey block	2	52
Cootamundra-Gundagai Regional	Flat/apartment	1 or 2 storey block	3	9
Cootamundra-Gundagai Regional	Flat/apartment	1 or 2 storey block	6	4
Cootamundra-Gundagai Regional	Flat/apartment	3 storey block	1	4
Cootamundra-Gundagai Regional	Flat/apartment	3 storey block	2	10
Cootamundra-Gundagai Regional	Separate house			83
Cootamundra-Gundagai Regional	Separate house		0	14
Cootamundra-Gundagai Regional	Separate house		1	60
Cootamundra-Gundagai Regional	Separate house		2	496
Cootamundra-Gundagai Regional	Separate house		3	1970
Cootamundra-Gundagai Regional	Separate house		4	1253
Cootamundra-Gundagai Regional	Separate house		5	222
Cootamundra-Gundagai Regional	Separate house		6	48
Cowra			1	5
Cowra			3	5
Cowra			4	3
Cowra		1 storey		4
Cowra		1 storey	1	29
Cowra		1 storey	2	172
Cowra		1 storey	3	30
Cowra		1 storey	4	7
Cowra		2 storeys or more	1	4
Cowra		2 storeys or more	2	23
Cowra		2 storeys or more	3	9
Cowra	(Other)		0	3
Cowra	(Other)		1	13
Cowra	(Other)		2	6
Cowra	(Other)		3	3
Cowra	Flat/apartment	1 or 2 storey block		6
Cowra	Flat/apartment	1 or 2 storey block	0	7
Cowra	Flat/apartment	1 or 2 storey block	1	24
Cowra	Flat/apartment	1 or 2 storey block	2	34
Cowra	Flat/apartment	1 or 2 storey block	3	6
Cowra	Flat/apartment	3 storey block	1	3
Cowra	Flat/apartment	3 storey block	2	8
Cowra	Separate house			94
Cowra	Separate house		0	19
Cowra	Separate house		1	102
Cowra	Separate house		2	607
Cowra	Separate house		3	2199
Cowra	Separate house		4	1325
Cowra	Separate house		5	262
Cowra	Separate house		6	72
Cumberland				33
Cumberland			0	5
Cumberland			1	48
Cumberland			2	103
Cumberland			3	30
Cumberland			4	26
Cumberland			5	5
Cumberland		1 storey		82
Cumberland		1 storey	0	37
Cumberland		1 storey	1	348
Cumberland		1 storey	2	1245
Cumberland		1 storey	3	1034
Cumberland		1 storey	4	173
Cumberland		1 storey	5	21
Cumberland		1 storey	6	5
Cumberland		2 storeys or more		171
Cumberland		2 storeys or more	0	15
Cumberland		2 storeys or more	1	453
Cumberland		2 storeys or more	2	1291
Cumberland		2 storeys or more	3	3862
Cumberland		2 storeys or more	4	1721
Cumberland		2 storeys or more	5	293
Cumberland		2 storeys or more	6	43
Cumberland	(Other)			13
Cumberland	(Other)		1	24
Cumberland	(Other)		2	73
Cumberland	(Other)		3	58
Cumberland	(Other)		4	20
Cumberland	(Other)		5	8
Cumberland	(Other)		6	4
Cumberland	Flat/apartment		0	7
Cumberland	Flat/apartment	1 or 2 storey block		124
Cumberland	Flat/apartment	1 or 2 storey block	0	106
Cumberland	Flat/apartment	1 or 2 storey block	1	761
Cumberland	Flat/apartment	1 or 2 storey block	2	3273
Cumberland	Flat/apartment	1 or 2 storey block	3	435
Cumberland	Flat/apartment	1 or 2 storey block	4	73
Cumberland	Flat/apartment	1 or 2 storey block	5	9
Cumberland	Flat/apartment	1 or 2 storey block	6	7
Cumberland	Flat/apartment	3 storey block		160
Cumberland	Flat/apartment	3 storey block	0	25
Cumberland	Flat/apartment	3 storey block	1	348
Cumberland	Flat/apartment	3 storey block	2	5381
Cumberland	Flat/apartment	3 storey block	3	1037
Cumberland	Flat/apartment	3 storey block	4	32
Cumberland	Flat/apartment	3 storey block	6	4
Cumberland	Flat/apartment	4-8 storey block		171
Cumberland	Flat/apartment	4-8 storey block	0	73
Cumberland	Flat/apartment	4-8 storey block	1	858
Cumberland	Flat/apartment	4-8 storey block	2	5867
Cumberland	Flat/apartment	4-8 storey block	3	1232
Cumberland	Flat/apartment	4-8 storey block	4	66
Cumberland	Flat/apartment	4-8 storey block	5	4
Cumberland	Flat/apartment	9 or more storey block		72
Cumberland	Flat/apartment	9 or more storey block	0	22
Cumberland	Flat/apartment	9 or more storey block	1	314
Cumberland	Flat/apartment	9 or more storey block	2	1472
Cumberland	Flat/apartment	9 or more storey block	3	493
Cumberland	Flat/apartment	9 or more storey block	4	34
Cumberland	Flat/apartment	Attached to a house		33
Cumberland	Flat/apartment	Attached to a house	1	77
Cumberland	Flat/apartment	Attached to a house	2	260
Cumberland	Flat/apartment	Attached to a house	3	205
Cumberland	Flat/apartment	Attached to a house	4	90
Cumberland	Flat/apartment	Attached to a house	5	45
Cumberland	Flat/apartment	Attached to a house	6	17
Cumberland	Separate house			774
Cumberland	Separate house		0	88
Cumberland	Separate house		1	553
Cumberland	Separate house		2	3890
Cumberland	Separate house		3	15880
Cumberland	Separate house		4	11123
Cumberland	Separate house		5	3857
Cumberland	Separate house		6	1092
Dubbo Regional				10
Dubbo Regional			0	4
Dubbo Regional			1	12
Dubbo Regional			2	8
Dubbo Regional			3	13
Dubbo Regional			4	13
Dubbo Regional			6	3
Dubbo Regional		1 storey		51
Dubbo Regional		1 storey	0	3
Dubbo Regional		1 storey	1	90
Dubbo Regional		1 storey	2	928
Dubbo Regional		1 storey	3	288
Dubbo Regional		1 storey	4	59
Dubbo Regional		1 storey	5	11
Dubbo Regional		2 storeys or more	1	7
Dubbo Regional		2 storeys or more	2	35
Dubbo Regional		2 storeys or more	3	13
Dubbo Regional		2 storeys or more	5	4
Dubbo Regional	(Other)			7
Dubbo Regional	(Other)		0	11
Dubbo Regional	(Other)		1	31
Dubbo Regional	(Other)		2	26
Dubbo Regional	(Other)		3	21
Dubbo Regional	(Other)		4	9
Dubbo Regional	(Other)		5	3
Dubbo Regional	Flat/apartment	1 or 2 storey block		30
Dubbo Regional	Flat/apartment	1 or 2 storey block	0	18
Dubbo Regional	Flat/apartment	1 or 2 storey block	1	293
Dubbo Regional	Flat/apartment	1 or 2 storey block	2	688
Dubbo Regional	Flat/apartment	1 or 2 storey block	3	77
Dubbo Regional	Flat/apartment	1 or 2 storey block	4	14
Dubbo Regional	Flat/apartment	1 or 2 storey block	6	4
Dubbo Regional	Flat/apartment	3 storey block	1	5
Dubbo Regional	Flat/apartment	3 storey block	2	6
Dubbo Regional	Flat/apartment	Attached to a house	1	8
Dubbo Regional	Flat/apartment	Attached to a house	2	10
Dubbo Regional	Flat/apartment	Attached to a house	3	3
Dubbo Regional	Flat/apartment	Attached to a house	4	3
Dubbo Regional	Separate house			248
Dubbo Regional	Separate house		0	33
Dubbo Regional	Separate house		1	178
Dubbo Regional	Separate house		2	1211
Dubbo Regional	Separate house		3	6749
Dubbo Regional	Separate house		4	6655
Dubbo Regional	Separate house		5	1130
Dubbo Regional	Separate house		6	237
Dungog			2	4
Dungog			3	5
Dungog		1 storey	1	10
Dungog		1 storey	2	27
Dungog		1 storey	3	9
Dungog		1 storey	4	9
Dungog	(Other)			5
Dungog	(Other)		0	4
Dungog	(Other)		1	15
Dungog	(Other)		2	5
Dungog	(Other)		3	5
Dungog	(Other)		4	4
Dungog	(Other)		6	4
Dungog	Flat/apartment	1 or 2 storey block	1	7
Dungog	Flat/apartment	1 or 2 storey block	2	3
Dungog	Flat/apartment	1 or 2 storey block	3	4
Dungog	Separate house			58
Dungog	Separate house		0	11
Dungog	Separate house		1	100
Dungog	Separate house		2	460
Dungog	Separate house		3	1462
Dungog	Separate house		4	1072
Dungog	Separate house		5	233
Dungog	Separate house		6	83
Edward River				3
Edward River			2	3
Edward River			3	6
Edward River			4	5
Edward River		1 storey		12
Edward River		1 storey	1	39
Edward River		1 storey	2	210
Edward River		1 storey	3	13
Edward River		1 storey	4	3
Edward River		2 storeys or more	2	4
Edward River		2 storeys or more	3	3
Edward River	(Other)		2	5
Edward River	(Other)		3	9
Edward River	Flat/apartment	1 or 2 storey block	1	6
Edward River	Flat/apartment	1 or 2 storey block	2	6
Edward River	Flat/apartment	1 or 2 storey block	3	6
Edward River	Separate house			54
Edward River	Separate house		1	42
Edward River	Separate house		2	329
Edward River	Separate house		3	1507
Edward River	Separate house		4	871
Edward River	Separate house		5	160
Edward River	Separate house		6	32
Eurobodalla				6
Eurobodalla			0	3
Eurobodalla			1	15
Eurobodalla			2	17
Eurobodalla			3	10
Eurobodalla			4	3
Eurobodalla			5	3
Eurobodalla		1 storey		29
Eurobodalla		1 storey	0	5
Eurobodalla		1 storey	1	40
Eurobodalla		1 storey	2	379
Eurobodalla		1 storey	3	337
Eurobodalla		1 storey	4	11
Eurobodalla		1 storey	5	4
Eurobodalla		2 storeys or more		22
Eurobodalla		2 storeys or more	0	6
Eurobodalla		2 storeys or more	1	69
Eurobodalla		2 storeys or more	2	205
Eurobodalla		2 storeys or more	3	236
Eurobodalla		2 storeys or more	4	35
Eurobodalla		2 storeys or more	5	3
Eurobodalla		2 storeys or more	6	3
Eurobodalla	(Other)			18
Eurobodalla	(Other)		0	30
Eurobodalla	(Other)		1	93
Eurobodalla	(Other)		2	147
Eurobodalla	(Other)		3	22
Eurobodalla	(Other)		4	11
Eurobodalla	(Other)		6	3
Eurobodalla	Flat/apartment	1 or 2 storey block		18
Eurobodalla	Flat/apartment	1 or 2 storey block	0	3
Eurobodalla	Flat/apartment	1 or 2 storey block	1	99
Eurobodalla	Flat/apartment	1 or 2 storey block	2	477
Eurobodalla	Flat/apartment	1 or 2 storey block	3	226
Eurobodalla	Flat/apartment	1 or 2 storey block	4	19
Eurobodalla	Flat/apartment	1 or 2 storey block	5	9
Eurobodalla	Flat/apartment	3 storey block	1	3
Eurobodalla	Flat/apartment	3 storey block	2	34
Eurobodalla	Flat/apartment	3 storey block	3	18
Eurobodalla	Flat/apartment	4-8 storey block	2	23
Eurobodalla	Flat/apartment	4-8 storey block	3	10
Eurobodalla	Flat/apartment	Attached to a house		3
Eurobodalla	Flat/apartment	Attached to a house	1	7
Eurobodalla	Flat/apartment	Attached to a house	2	7
Eurobodalla	Flat/apartment	Attached to a house	3	12
Eurobodalla	Separate house			218
Eurobodalla	Separate house		0	48
Eurobodalla	Separate house		1	300
Eurobodalla	Separate house		2	1835
Eurobodalla	Separate house		3	6246
Eurobodalla	Separate house		4	4191
Eurobodalla	Separate house		5	843
Eurobodalla	Separate house		6	190
Fairfield				13
Fairfield			0	9
Fairfield			1	32
Fairfield			2	80
Fairfield			3	31
Fairfield			4	22
Fairfield			5	8
Fairfield		1 storey		34
Fairfield		1 storey	0	16
Fairfield		1 storey	1	166
Fairfield		1 storey	2	407
Fairfield		1 storey	3	829
Fairfield		1 storey	4	67
Fairfield		1 storey	5	19
Fairfield		1 storey	6	4
Fairfield		2 storeys or more		103
Fairfield		2 storeys or more	0	17
Fairfield		2 storeys or more	1	287
Fairfield		2 storeys or more	2	1123
Fairfield		2 storeys or more	3	3511
Fairfield		2 storeys or more	4	881
Fairfield		2 storeys or more	5	124
Fairfield		2 storeys or more	6	12
Fairfield	(Other)			7
Fairfield	(Other)		0	8
Fairfield	(Other)		1	62
Fairfield	(Other)		2	56
Fairfield	(Other)		3	24
Fairfield	(Other)		4	7
Fairfield	(Other)		5	4
Fairfield	(Other)		6	3
Fairfield	Flat/apartment		0	3
Fairfield	Flat/apartment	1 or 2 storey block		74
Fairfield	Flat/apartment	1 or 2 storey block	0	40
Fairfield	Flat/apartment	1 or 2 storey block	1	791
Fairfield	Flat/apartment	1 or 2 storey block	2	1261
Fairfield	Flat/apartment	1 or 2 storey block	3	500
Fairfield	Flat/apartment	1 or 2 storey block	4	48
Fairfield	Flat/apartment	1 or 2 storey block	5	17
Fairfield	Flat/apartment	1 or 2 storey block	6	11
Fairfield	Flat/apartment	3 storey block		65
Fairfield	Flat/apartment	3 storey block	0	20
Fairfield	Flat/apartment	3 storey block	1	274
Fairfield	Flat/apartment	3 storey block	2	2163
Fairfield	Flat/apartment	3 storey block	3	259
Fairfield	Flat/apartment	3 storey block	4	9
Fairfield	Flat/apartment	4-8 storey block		44
Fairfield	Flat/apartment	4-8 storey block	0	7
Fairfield	Flat/apartment	4-8 storey block	1	219
Fairfield	Flat/apartment	4-8 storey block	2	1620
Fairfield	Flat/apartment	4-8 storey block	3	134
Fairfield	Flat/apartment	4-8 storey block	6	3
Fairfield	Flat/apartment	9 or more storey block		14
Fairfield	Flat/apartment	9 or more storey block	0	18
Fairfield	Flat/apartment	9 or more storey block	1	99
Fairfield	Flat/apartment	9 or more storey block	2	328
Fairfield	Flat/apartment	9 or more storey block	3	102
Fairfield	Flat/apartment	Attached to a house		21
Fairfield	Flat/apartment	Attached to a house	1	75
Fairfield	Flat/apartment	Attached to a house	2	404
Fairfield	Flat/apartment	Attached to a house	3	197
Fairfield	Flat/apartment	Attached to a house	4	89
Fairfield	Flat/apartment	Attached to a house	5	53
Fairfield	Flat/apartment	Attached to a house	6	11
Fairfield	Separate house			698
Fairfield	Separate house		0	57
Fairfield	Separate house		1	493
Fairfield	Separate house		2	3529
Fairfield	Separate house		3	18457
Fairfield	Separate house		4	14814
Fairfield	Separate house		5	4622
Fairfield	Separate house		6	1320
Federation			1	3
Federation			2	3
Federation			3	9
Federation			4	5
Federation		1 storey		15
Federation		1 storey	1	43
Federation		1 storey	2	369
Federation		1 storey	3	99
Federation		1 storey	4	4
Federation	(Other)			3
Federation	(Other)		1	15
Federation	(Other)		2	18
Federation	(Other)		3	6
Federation	Flat/apartment	1 or 2 storey block	2	16
Federation	Separate house			82
Federation	Separate house		0	10
Federation	Separate house		1	59
Federation	Separate house		2	548
Federation	Separate house		3	2334
Federation	Separate house		4	1345
Federation	Separate house		5	202
Federation	Separate house		6	35
Forbes				4
Forbes			3	5
Forbes		1 storey		13
Forbes		1 storey	1	4
Forbes		1 storey	2	95
Forbes		1 storey	3	25
Forbes		1 storey	4	14
Forbes		2 storeys or more	2	7
Forbes	(Other)			6
Forbes	(Other)		0	4
Forbes	(Other)		1	16
Forbes	(Other)		2	10
Forbes	(Other)		3	9
Forbes	(Other)		4	4
Forbes	(Other)		5	4
Forbes	Flat/apartment	1 or 2 storey block		12
Forbes	Flat/apartment	1 or 2 storey block	1	27
Forbes	Flat/apartment	1 or 2 storey block	2	106
Forbes	Flat/apartment	1 or 2 storey block	3	6
Forbes	Flat/apartment	1 or 2 storey block	6	3
Forbes	Separate house			70
Forbes	Separate house		0	3
Forbes	Separate house		1	31
Forbes	Separate house		2	385
Forbes	Separate house		3	1501
Forbes	Separate house		4	970
Forbes	Separate house		5	200
Forbes	Separate house		6	28
Georges River				9
Georges River			0	8
Georges River			1	25
Georges River			2	27
Georges River			3	11
Georges River			5	3
Georges River		1 storey		36
Georges River		1 storey	0	50
Georges River		1 storey	1	142
Georges River		1 storey	2	611
Georges River		1 storey	3	1236
Georges River		1 storey	4	96
Georges River		1 storey	5	15
Georges River		1 storey	6	6
Georges River		2 storeys or more		48
Georges River		2 storeys or more	0	4
Georges River		2 storeys or more	1	164
Georges River		2 storeys or more	2	589
Georges River		2 storeys or more	3	1737
Georges River		2 storeys or more	4	1003
Georges River		2 storeys or more	5	239
Georges River		2 storeys or more	6	23
Georges River	(Other)			7
Georges River	(Other)		0	9
Georges River	(Other)		1	73
Georges River	(Other)		2	151
Georges River	(Other)		3	60
Georges River	(Other)		4	7
Georges River	(Other)		5	9
Georges River	Flat/apartment		0	3
Georges River	Flat/apartment	1 or 2 storey block		39
Georges River	Flat/apartment	1 or 2 storey block	0	42
Georges River	Flat/apartment	1 or 2 storey block	1	424
Georges River	Flat/apartment	1 or 2 storey block	2	1119
Georges River	Flat/apartment	1 or 2 storey block	3	256
Georges River	Flat/apartment	1 or 2 storey block	4	27
Georges River	Flat/apartment	1 or 2 storey block	5	10
Georges River	Flat/apartment	3 storey block		71
Georges River	Flat/apartment	3 storey block	0	19
Georges River	Flat/apartment	3 storey block	1	311
Georges River	Flat/apartment	3 storey block	2	4068
Georges River	Flat/apartment	3 storey block	3	1123
Georges River	Flat/apartment	3 storey block	4	65
Georges River	Flat/apartment	4-8 storey block		98
Georges River	Flat/apartment	4-8 storey block	0	46
Georges River	Flat/apartment	4-8 storey block	1	794
Georges River	Flat/apartment	4-8 storey block	2	5361
Georges River	Flat/apartment	4-8 storey block	3	1594
Georges River	Flat/apartment	4-8 storey block	4	86
Georges River	Flat/apartment	4-8 storey block	5	11
Georges River	Flat/apartment	9 or more storey block		49
Georges River	Flat/apartment	9 or more storey block	0	10
Georges River	Flat/apartment	9 or more storey block	1	676
Georges River	Flat/apartment	9 or more storey block	2	1740
Georges River	Flat/apartment	9 or more storey block	3	572
Georges River	Flat/apartment	9 or more storey block	4	27
Georges River	Flat/apartment	Attached to a house		4
Georges River	Flat/apartment	Attached to a house	1	44
Georges River	Flat/apartment	Attached to a house	2	128
Georges River	Flat/apartment	Attached to a house	3	57
Georges River	Flat/apartment	Attached to a house	4	26
Georges River	Flat/apartment	Attached to a house	5	25
Georges River	Flat/apartment	Attached to a house	6	8
Georges River	Separate house			298
Georges River	Separate house		0	33
Georges River	Separate house		1	224
Georges River	Separate house		2	2261
Georges River	Separate house		3	10271
Georges River	Separate house		4	8922
Georges River	Separate house		5	4056
Georges River	Separate house		6	993
Gilgandra		1 storey	1	4
Gilgandra		1 storey	2	28
Gilgandra		1 storey	3	3
Gilgandra	(Other)			8
Gilgandra	(Other)		0	3
Gilgandra	(Other)		3	3
Gilgandra	Flat/apartment	1 or 2 storey block	1	19
Gilgandra	Flat/apartment	1 or 2 storey block	2	28
Gilgandra	Separate house			42
Gilgandra	Separate house		0	8
Gilgandra	Separate house		1	37
Gilgandra	Separate house		2	199
Gilgandra	Separate house		3	631
Gilgandra	Separate house		4	463
Gilgandra	Separate house		5	94
Gilgandra	Separate house		6	14
Glen Innes Severn			2	4
Glen Innes Severn			3	7
Glen Innes Severn		1 storey		10
Glen Innes Severn		1 storey	1	44
Glen Innes Severn		1 storey	2	77
Glen Innes Severn		1 storey	3	21
Glen Innes Severn		2 storeys or more	2	3
Glen Innes Severn	(Other)			3
Glen Innes Severn	(Other)		0	8
Glen Innes Severn	(Other)		1	15
Glen Innes Severn	(Other)		2	8
Glen Innes Severn	(Other)		3	3
Glen Innes Severn	(Other)		4	3
Glen Innes Severn	(Other)		5	3
Glen Innes Severn	Flat/apartment	1 or 2 storey block	1	38
Glen Innes Severn	Flat/apartment	1 or 2 storey block	2	39
Glen Innes Severn	Separate house			75
Glen Innes Severn	Separate house		0	21
Glen Innes Severn	Separate house		1	98
Glen Innes Severn	Separate house		2	504
Glen Innes Severn	Separate house		3	1639
Glen Innes Severn	Separate house		4	847
Glen Innes Severn	Separate house		5	120
Glen Innes Severn	Separate house		6	45
Goulburn Mulwaree				10
Goulburn Mulwaree			1	6
Goulburn Mulwaree			2	5
Goulburn Mulwaree			3	4
Goulburn Mulwaree		1 storey		16
Goulburn Mulwaree		1 storey	0	10
Goulburn Mulwaree		1 storey	1	131
Goulburn Mulwaree		1 storey	2	344
Goulburn Mulwaree		1 storey	3	313
Goulburn Mulwaree		1 storey	4	45
Goulburn Mulwaree		2 storeys or more	1	3
Goulburn Mulwaree		2 storeys or more	2	109
Goulburn Mulwaree		2 storeys or more	3	45
Goulburn Mulwaree		2 storeys or more	4	8
Goulburn Mulwaree	(Other)			7
Goulburn Mulwaree	(Other)		0	10
Goulburn Mulwaree	(Other)		1	31
Goulburn Mulwaree	(Other)		2	23
Goulburn Mulwaree	(Other)		3	15
Goulburn Mulwaree	(Other)		4	7
Goulburn Mulwaree	(Other)		6	3
Goulburn Mulwaree	Flat/apartment	1 or 2 storey block		8
Goulburn Mulwaree	Flat/apartment	1 or 2 storey block	1	73
Goulburn Mulwaree	Flat/apartment	1 or 2 storey block	2	175
Goulburn Mulwaree	Flat/apartment	1 or 2 storey block	3	15
Goulburn Mulwaree	Flat/apartment	1 or 2 storey block	4	6
Goulburn Mulwaree	Flat/apartment	3 storey block	1	29
Goulburn Mulwaree	Flat/apartment	3 storey block	2	34
Goulburn Mulwaree	Flat/apartment	Attached to a house	1	3
Goulburn Mulwaree	Flat/apartment	Attached to a house	2	8
Goulburn Mulwaree	Flat/apartment	Attached to a house	3	4
Goulburn Mulwaree	Separate house			150
Goulburn Mulwaree	Separate house		0	26
Goulburn Mulwaree	Separate house		1	189
Goulburn Mulwaree	Separate house		2	1159
Goulburn Mulwaree	Separate house		3	4588
Goulburn Mulwaree	Separate house		4	3519
Goulburn Mulwaree	Separate house		5	692
Goulburn Mulwaree	Separate house		6	204
Greater Hume Shire			1	4
Greater Hume Shire			2	3
Greater Hume Shire			3	7
Greater Hume Shire		1 storey		4
Greater Hume Shire		1 storey	1	27
Greater Hume Shire		1 storey	2	37
Greater Hume Shire		1 storey	3	8
Greater Hume Shire	(Other)		1	3
Greater Hume Shire	(Other)		3	4
Greater Hume Shire	Separate house			75
Greater Hume Shire	Separate house		0	7
Greater Hume Shire	Separate house		1	61
Greater Hume Shire	Separate house		2	437
Greater Hume Shire	Separate house		3	1675
Greater Hume Shire	Separate house		4	1249
Greater Hume Shire	Separate house		5	259
Greater Hume Shire	Separate house		6	70
Griffith				9
Griffith			1	3
Griffith			2	10
Griffith			3	10
Griffith			4	7
Griffith			5	5
Griffith		1 storey		8
Griffith		1 storey	1	42
Griffith		1 storey	2	140
Griffith		1 storey	3	160
Griffith		1 storey	4	11
Griffith		1 storey	5	3
Griffith		2 storeys or more		6
Griffith		2 storeys or more	1	30
Griffith		2 storeys or more	2	17
Griffith		2 storeys or more	3	8
Griffith		2 storeys or more	4	4
Griffith	(Other)			9
Griffith	(Other)		0	9
Griffith	(Other)		1	33
Griffith	(Other)		2	17
Griffith	(Other)		3	13
Griffith	(Other)		4	5
Griffith	(Other)		6	3
Griffith	Flat/apartment	1 or 2 storey block		26
Griffith	Flat/apartment	1 or 2 storey block	0	5
Griffith	Flat/apartment	1 or 2 storey block	1	140
Griffith	Flat/apartment	1 or 2 storey block	2	524
Griffith	Flat/apartment	1 or 2 storey block	3	179
Griffith	Flat/apartment	1 or 2 storey block	4	8
Griffith	Flat/apartment	1 or 2 storey block	5	4
Griffith	Flat/apartment	3 storey block	1	4
Griffith	Flat/apartment	3 storey block	2	18
Griffith	Flat/apartment	3 storey block	3	3
Griffith	Flat/apartment	3 storey block	4	4
Griffith	Flat/apartment	Attached to a house	1	4
Griffith	Flat/apartment	Attached to a house	2	3
Griffith	Flat/apartment	Attached to a house	3	3
Griffith	Flat/apartment	Attached to a house	4	3
Griffith	Separate house			143
Griffith	Separate house		0	4
Griffith	Separate house		1	64
Griffith	Separate house		2	575
Griffith	Separate house		3	3534
Griffith	Separate house		4	2974
Griffith	Separate house		5	422
Griffith	Separate house		6	65
Gunnedah			1	4
Gunnedah		1 storey		10
Gunnedah		1 storey	1	25
Gunnedah		1 storey	2	195
Gunnedah		1 storey	3	77
Gunnedah		1 storey	4	8
Gunnedah		2 storeys or more	1	7
Gunnedah		2 storeys or more	2	29
Gunnedah		2 storeys or more	4	3
Gunnedah	(Other)		0	6
Gunnedah	(Other)		1	5
Gunnedah	(Other)		2	3
Gunnedah	(Other)		3	5
Gunnedah	(Other)		4	3
Gunnedah	Flat/apartment	1 or 2 storey block		3
Gunnedah	Flat/apartment	1 or 2 storey block	0	3
Gunnedah	Flat/apartment	1 or 2 storey block	1	21
Gunnedah	Flat/apartment	1 or 2 storey block	2	39
Gunnedah	Flat/apartment	1 or 2 storey block	3	8
Gunnedah	Flat/apartment	4-8 storey block	2	5
Gunnedah	Flat/apartment	Attached to a house	2	4
Gunnedah	Separate house			72
Gunnedah	Separate house		0	5
Gunnedah	Separate house		1	40
Gunnedah	Separate house		2	399
Gunnedah	Separate house		3	1880
Gunnedah	Separate house		4	1466
Gunnedah	Separate house		5	284
Gunnedah	Separate house		6	73
Gwydir			3	5
Gwydir			4	5
Gwydir			5	3
Gwydir		1 storey		4
Gwydir		1 storey	1	8
Gwydir		1 storey	2	18
Gwydir		1 storey	3	5
Gwydir	(Other)			6
Gwydir	(Other)		0	3
Gwydir	(Other)		1	7
Gwydir	Flat/apartment	1 or 2 storey block		3
Gwydir	Flat/apartment	1 or 2 storey block	1	8
Gwydir	Separate house			47
Gwydir	Separate house		0	4
Gwydir	Separate house		1	57
Gwydir	Separate house		2	289
Gwydir	Separate house		3	829
Gwydir	Separate house		4	450
Gwydir	Separate house		5	117
Gwydir	Separate house		6	33
Hawkesbury				3
Hawkesbury			0	6
Hawkesbury			1	8
Hawkesbury			2	20
Hawkesbury			3	12
Hawkesbury			4	13
Hawkesbury			5	6
Hawkesbury		1 storey		29
Hawkesbury		1 storey	0	13
Hawkesbury		1 storey	1	132
Hawkesbury		1 storey	2	588
Hawkesbury		1 storey	3	804
Hawkesbury		1 storey	4	61
Hawkesbury		1 storey	5	7
Hawkesbury		1 storey	6	5
Hawkesbury		2 storeys or more		4
Hawkesbury		2 storeys or more	1	55
Hawkesbury		2 storeys or more	2	88
Hawkesbury		2 storeys or more	3	341
Hawkesbury		2 storeys or more	4	67
Hawkesbury		2 storeys or more	5	3
Hawkesbury		2 storeys or more	6	3
Hawkesbury	(Other)		0	25
Hawkesbury	(Other)		1	40
Hawkesbury	(Other)		2	25
Hawkesbury	(Other)		3	14
Hawkesbury	(Other)		4	14
Hawkesbury	Flat/apartment	1 or 2 storey block		5
Hawkesbury	Flat/apartment	1 or 2 storey block	1	142
Hawkesbury	Flat/apartment	1 or 2 storey block	2	238
Hawkesbury	Flat/apartment	1 or 2 storey block	3	60
Hawkesbury	Flat/apartment	1 or 2 storey block	4	21
Hawkesbury	Flat/apartment	1 or 2 storey block	5	3
Hawkesbury	Flat/apartment	1 or 2 storey block	6	4
Hawkesbury	Flat/apartment	3 storey block		4
Hawkesbury	Flat/apartment	3 storey block	0	4
Hawkesbury	Flat/apartment	3 storey block	1	14
Hawkesbury	Flat/apartment	3 storey block	2	68
Hawkesbury	Flat/apartment	3 storey block	3	11
Hawkesbury	Flat/apartment	4-8 storey block	2	17
Hawkesbury	Flat/apartment	Attached to a house	1	12
Hawkesbury	Flat/apartment	Attached to a house	2	19
Hawkesbury	Flat/apartment	Attached to a house	3	10
Hawkesbury	Flat/apartment	Attached to a house	4	16
