LGA_NAME21	PrivateDwelling	persons
Northern Peninsula Area	0	693
Northern Peninsula Area	1	2501
Palm Island	0	170
Palm Island	1	1895
Paroo	0	473
Paroo	1	1561
Pormpuraaw	0	207
Pormpuraaw	1	529
Quilpie	0	246
Quilpie	1	617
Redland	0	6329
Redland	1	151320
Richmond	0	299
Richmond	1	601
Rockhampton	0	8109
Rockhampton	1	73477
Scenic Rim	0	3911
Scenic Rim	1	39340
Somerset	0	1824
Somerset	1	23213
South Burnett	0	3567
South Burnett	1	29365
Southern Downs	0	3492
Southern Downs	1	32727
Sunshine Coast	0	26120
Sunshine Coast	1	317344
Tablelands	0	4416
Tablelands	1	23299
Toowoomba	0	13633
Toowoomba	1	158878
Torres	0	729
Torres	1	3000
Torres Strait Island	0	233
Torres Strait Island	1	3695
Townsville	0	21335
Townsville	1	172908
Weipa	0	1044
Weipa	1	3485
Western Downs	0	6129
Western Downs	1	29578
Whitsunday	0	12403
Whitsunday	1	30353
Winton	0	848
Winton	1	901
Woorabinda	0	84
Woorabinda	1	931
Wujal Wujal	0	10
Wujal Wujal	1	270
Yarrabah	0	91
Yarrabah	1	2403
Migratory - Offshore - Shipping (Qld)	0	354
Adelaide	0	9024
Adelaide	1	19963
Adelaide Hills	0	1755
Adelaide Hills	1	38056
Adelaide Plains	0	515
Adelaide Plains	1	9124
Alexandrina	0	1904
Alexandrina	1	26242
Anangu Pitjantjatjara Yunkunytjatjara	0	174
Anangu Pitjantjatjara Yunkunytjatjara	1	2246
Barossa	0	1286
Barossa	1	23428
Barunga West	0	308
Barunga West	1	2308
Berri Barmera	0	876
Berri Barmera	1	9667
Burnside	0	1768
Burnside	1	43871
Campbelltown (SA)	0	1729
Campbelltown (SA)	1	52577
Ceduna	0	554
Ceduna	1	3168
Charles Sturt	0	5238
Charles Sturt	1	115389
Clare and Gilbert Valleys	0	844
Clare and Gilbert Valleys	1	8367
Cleve	0	219
Cleve	1	1537
Coober Pedy	0	904
Coober Pedy	1	1241
Copper Coast	0	1348
Copper Coast	1	13521
Elliston	0	287
Elliston	1	869
Flinders Ranges	0	452
Flinders Ranges	1	1391
Franklin Harbour	0	218
Franklin Harbour	1	1072
Gawler	0	1272
Gawler	1	23487
Goyder	0	450
Goyder	1	3603
Grant	0	1319
Grant	1	7126
Holdfast Bay	0	2405
Holdfast Bay	1	34717
Kangaroo Island	0	850
Kangaroo Island	1	4184
Karoonda East Murray	0	91
Karoonda East Murray	1	876
Kimba	0	158
Kimba	1	880
Kingston (SA)	0	203
Kingston (SA)	1	2046
Light	0	831
Light	1	14719
Lower Eyre Peninsula	0	702
Lower Eyre Peninsula	1	5176
Loxton Waikerie	0	1077
Loxton Waikerie	1	10561
Maralinga Tjarutja	0	12
Maralinga Tjarutja	1	88
Marion	0	3260
Marion	1	90211
Mid Murray	0	1292
Mid Murray	1	7938
Mitcham	0	3385
Mitcham	1	63821
Mount Barker	0	1700
Mount Barker	1	36778
Mount Gambier	0	1944
Mount Gambier	1	24710
Mount Remarkable	0	589
Mount Remarkable	1	2531
Murray Bridge	0	1819
Murray Bridge	1	19572
Naracoorte Lucindale	0	746
Naracoorte Lucindale	1	7815
Northern Areas	0	376
Northern Areas	1	4124
Norwood Payneham and St Peters	0	2026
Norwood Payneham and St Peters	1	35153
Onkaparinga	0	7078
Onkaparinga	1	165235
Orroroo Carrieton	0	164
Orroroo Carrieton	1	746
Peterborough	0	338
Peterborough	1	1348
Playford	0	5527
Playford	1	93200
Port Adelaide Enfield	0	6755
Port Adelaide Enfield	1	124691
Port Augusta	0	2522
Port Augusta	1	11789
Port Lincoln	0	1353
Port Lincoln	1	12891
Port Pirie	0	1369
Port Pirie	1	15933
Prospect	0	655
Prospect	1	21358
Renmark Paringa	0	1048
Renmark Paringa	1	8910
Robe	0	250
Robe	1	1378
Roxby Downs	0	3490
Roxby Downs	1	3252
Salisbury	0	6263
Salisbury	1	138375
Southern Mallee	0	258
Southern Mallee	1	1733
Streaky Bay	0	412
Streaky Bay	1	1832
Tatiara	0	772
Tatiara	1	6090
Tea Tree Gully	0	2896
Tea Tree Gully	1	96984
Coorong	0	610
Coorong	1	4790
Tumby Bay	0	294
Tumby Bay	1	2532
Unley	0	2072
Unley	1	36105
Victor Harbor	0	1068
Victor Harbor	1	14835
Wakefield	0	470
Wakefield	1	6268
Walkerville	0	613
Walkerville	1	7473
Wattle Range	0	930
Wattle Range	1	10626
West Torrens	0	2851
West Torrens	1	58334
Whyalla	0	1968
Whyalla	1	19521
Wudinna	0	207
Wudinna	1	966
Yankalilla	0	512
Yankalilla	1	5304
Yorke Peninsula	0	1463
Yorke Peninsula	1	10210
Unincorporated SA	0	4069
Unincorporated SA	1	2198
Migratory - Offshore - Shipping (SA)	0	34
Albany	0	3488
Albany	1	34559
Armadale	0	3915
Armadale	1	88312
Ashburton	0	11158
Ashburton	1	4278
Augusta Margaret River	0	2167
Augusta Margaret River	1	14256
Bassendean	0	740
Bassendean	1	14777
Bayswater	0	2950
Bayswater	1	64897
Belmont	0	3303
Belmont	1	38496
Beverley	0	200
Beverley	1	1416
Boddington	0	564
Boddington	1	1444
Boyup Brook	0	234
Boyup Brook	1	1552
Bridgetown-Greenbushes	0	581
Bridgetown-Greenbushes	1	4595
Brookton	0	145
Brookton	1	761
Broome	0	10830
Broome	1	14569
Broomehill-Tambellup	0	103
Broomehill-Tambellup	1	914
Bruce Rock	0	202
Bruce Rock	1	765
Bunbury	0	3222
Bunbury	1	29195
Busselton	0	4122
Busselton	1	35933
Cambridge	0	1358
Cambridge	1	27060
Canning	0	3254
Canning	1	90816
Capel	0	696
Capel	1	16749
Carnamah	0	141
Carnamah	1	429
Carnarvon	0	4019
Carnarvon	1	4139
Chapman Valley	0	221
Chapman Valley	1	1309
Chittering	0	476
Chittering	1	5234
Christmas Island	0	935
Christmas Island	1	1049
Claremont	0	971
Claremont	1	9980
Cockburn	0	4392
Cockburn	1	110974
Cocos Islands	0	222
Cocos Islands	1	491
Collie	0	752
Collie	1	7831
Coolgardie	0	1892
Coolgardie	1	2587
Coorow	0	194
Coorow	1	859
Corrigin	0	104
Corrigin	1	861
Cottesloe	0	342
Cottesloe	1	7300
Cranbrook	0	129
Cranbrook	1	921
Cuballing	0	84
Cuballing	1	779
Cue	0	447
Cue	1	112
Cunderdin	0	236
Cunderdin	1	1078
Dalwallinu	0	283
Dalwallinu	1	1107
Dandaragan	0	914
Dandaragan	1	2727
Dardanup	0	737
Dardanup	1	13353
Denmark	0	1062
Denmark	1	5265
Derby-West Kimberley	0	3764
Derby-West Kimberley	1	5473
Donnybrook-Balingup	0	470
Donnybrook-Balingup	1	5458
Dowerin	0	71
Dowerin	1	619
Dumbleyung	0	142
Dumbleyung	1	532
Dundas	0	577
Dundas	1	474
East Fremantle	0	454
East Fremantle	1	7146
East Pilbara	0	15847
East Pilbara	1	4769
Esperance	0	2204
Esperance	1	11646
Exmouth	0	3635
Exmouth	1	2833
Fremantle	0	2962
Fremantle	1	28569
Gingin	0	647
Gingin	1	4692
Gnowangerup	0	133
Gnowangerup	1	1068
Goomalling	0	104
Goomalling	1	837
Gosnells	0	6170
Gosnells	1	118198
Greater Geraldton	0	4873
Greater Geraldton	1	34436
Halls Creek	0	1735
Halls Creek	1	3137
Harvey	0	1369
Harvey	1	26180
Irwin	0	758
Irwin	1	3137
Jerramungup	0	178
Jerramungup	1	962
Joondalup	0	4504
Joondalup	1	151444
Kalamunda	0	2193
Kalamunda	1	54993
Kalgoorlie-Boulder	0	5318
Kalgoorlie-Boulder	1	25260
Karratha	0	9840
Karratha	1	17699
Katanning	0	477
Katanning	1	3577
Kellerberrin	0	178
Kellerberrin	1	936
Kent	0	64
Kent	1	413
Kojonup	0	173
Kojonup	1	1674
Kondinin	0	450
Kondinin	1	656
Koorda	0	21
Koorda	1	331
Kulin	0	81
Kulin	1	637
Kwinana	0	3057
Kwinana	1	41675
Lake Grace	0	168
Lake Grace	1	1083
Laverton	0	3426
Laverton	1	487
Leonora	0	2937
Leonora	1	796
Mandurah	0	4290
Mandurah	1	81573
Manjimup	0	1145
Manjimup	1	7892
Meekatharra	0	1671
Meekatharra	1	701
Melville	0	4755
Melville	1	97145
Menzies	0	1226
Menzies	1	145
Merredin	0	522
Merredin	1	2605
Mingenew	0	190
Mingenew	1	341
Moora	0	424
Moora	1	1887
Morawa	0	229
Morawa	1	508
Mosman Park	0	619
Mosman Park	1	8273
Mount Magnet	0	1087
Mount Magnet	1	273
Mount Marshall	0	62
Mount Marshall	1	377
Mukinbudin	0	90
Mukinbudin	1	504
Mundaring	0	3074
Mundaring	1	34648
Murchison	0	72
Murchison	1	91
Murray	0	1108
Murray	1	16111
Nannup	0	278
Nannup	1	1276
Narembeen	0	162
Narembeen	1	612
Narrogin	0	792
Narrogin	1	4008
Nedlands	0	1301
Nedlands	1	20769
Ngaanyatjarraku	0	202
Ngaanyatjarraku	1	1241
Northam	0	1516
Northam	1	9620
Northampton	0	1713
Northampton	1	2630
Nungarin	0	57
Nungarin	1	188
Peppermint Grove	0	186
Peppermint Grove	1	1396
Perenjori	0	769
Perenjori	1	316
Perth	0	10326
Perth	1	22019
Pingelly	0	62
Pingelly	1	934
Plantagenet	0	585
Plantagenet	1	4630
Port Hedland	0	5833
Port Hedland	1	12893
Quairading	0	263
Quairading	1	675
Ravensthorpe	0	872
Ravensthorpe	1	1703
Rockingham	0	6579
Rockingham	1	124433
Sandstone	0	216
Sandstone	1	61
Serpentine-Jarrahdale	0	1336
Serpentine-Jarrahdale	1	29782
Shark Bay	0	2172
Shark Bay	1	778
South Perth	0	3217
South Perth	1	39421
Stirling	0	11064
Stirling	1	210311
Subiaco	0	1196
Subiaco	1	15934
Swan	0	7198
Swan	1	142884
Tammin	0	60
Tammin	1	313
Three Springs	0	151
Three Springs	1	458
Toodyay	0	494
Toodyay	1	3904
Trayning	0	44
Trayning	1	239
Upper Gascoyne	0	147
Upper Gascoyne	1	168
Victoria Park	0	3827
Victoria Park	1	33085
Victoria Plains	0	130
Victoria Plains	1	638
Vincent	0	2304
Vincent	1	33149
Wagin	0	192
Wagin	1	1463
Wandering	0	96
Wandering	1	422
Wanneroo	0	6510
Wanneroo	1	196898
Waroona	0	383
Waroona	1	3714
West Arthur	0	110
West Arthur	1	640
Westonia	0	179
Westonia	1	218
Wickepin	0	119
Wickepin	1	538
Williams	0	115
Williams	1	881
Wiluna	0	1070
Wiluna	1	234
Wongan-Ballidu	0	138
Wongan-Ballidu	1	1135
Woodanilling	0	42
Woodanilling	1	388
Wyalkatchem	0	61
Wyalkatchem	1	400
Wyndham-East Kimberley	0	5067
Wyndham-East Kimberley	1	5927
Yalgoo	0	951
Yalgoo	1	116
Yilgarn	0	1150
Yilgarn	1	733
York	0	410
York	1	3018
Migratory - Offshore - Shipping (WA)	0	3234
Migratory - Offshore - Shipping (WA)	1	15
Break O'Day	0	770
Break O'Day	1	6038
Brighton	0	896
Brighton	1	17925
Burnie	0	1317
Burnie	1	18537
Central Coast (Tas.)	0	1271
Central Coast (Tas.)	1	20990
Central Highlands (Tas.)	0	394
Central Highlands (Tas.)	1	2163
Circular Head	0	917
Circular Head	1	7187
Clarence	0	3330
Clarence	1	57319
Derwent Valley	0	774
Derwent Valley	1	10120
Devonport	0	1436
Devonport	1	24396
Dorset	0	569
Dorset	1	6160
Flinders (Tas.)	0	125
Flinders (Tas.)	1	804
George Town	0	479
George Town	1	6482
Glamorgan-Spring Bay	0	901
Glamorgan-Spring Bay	1	4241
Glenorchy	0	2410
Glenorchy	1	47652
Hobart	0	6300
Hobart	1	49953
Huon Valley	0	1327
Huon Valley	1	16709
Kentish	0	887
Kentish	1	5818
King Island	0	184
King Island	1	1344
Kingborough	0	1391
Kingborough	1	37865
Latrobe (Tas.)	0	783
Latrobe (Tas.)	1	11287
Launceston	0	5711
Launceston	1	64485
Meander Valley	0	1080
Meander Valley	1	19348
Northern Midlands	0	770
Northern Midlands	1	12744
Sorell	0	940
Sorell	1	15457
Southern Midlands	0	472
Southern Midlands	1	6131
Tasman	0	340
Tasman	1	2218
Waratah-Wynyard	0	1017
Waratah-Wynyard	1	13140
West Coast	0	826
West Coast	1	3715
West Tamar	0	1227
West Tamar	1	23438
Migratory - Offshore - Shipping (Tas.)	0	366
Alice Springs	0	5820
Alice Springs	1	23119
Barkly	0	2136
Barkly	1	5493
Belyuen	0	3
Belyuen	1	148
Central Desert	0	1452
Central Desert	1	3165
Coomalie	0	1200
Coomalie	1	955
Darwin	0	15304
Darwin	1	72942
Darwin Waterfront Precinct	0	386
Darwin Waterfront Precinct	1	252
East Arnhem	0	1317
East Arnhem	1	8282
Katherine	0	3747
Katherine	1	8000
Litchfield	0	8836
Litchfield	1	17975
MacDonnell	0	2225
MacDonnell	1	4767
Palmerston	0	3163
Palmerston	1	33728
Roper Gulf	0	4277
Roper Gulf	1	5647
Tiwi Islands	0	283
