LGA_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Nambucca Valley	45-54	1	F	281
Nambucca Valley	45-54	1	M	169
Nambucca Valley	55-64		F	132
Nambucca Valley	55-64		M	146
Nambucca Valley	55-64	0	F	1257
Nambucca Valley	55-64	0	M	1252
Nambucca Valley	55-64	1	F	428
Nambucca Valley	55-64	1	M	243
Nambucca Valley	65-74		F	103
Nambucca Valley	65-74		M	136
Nambucca Valley	65-74	0	F	1305
Nambucca Valley	65-74	0	M	1411
Nambucca Valley	65-74	1	F	305
Nambucca Valley	65-74	1	M	208
Nambucca Valley	75-84		F	96
Nambucca Valley	75-84		M	69
Nambucca Valley	75-84	0	F	798
Nambucca Valley	75-84	0	M	772
Nambucca Valley	75-84	1	F	105
Nambucca Valley	75-84	1	M	116
Nambucca Valley	85+		F	52
Nambucca Valley	85+		M	30
Nambucca Valley	85+	0	F	351
Nambucca Valley	85+	0	M	235
Nambucca Valley	85+	1	F	22
Nambucca Valley	85+	1	M	26
Narrabri	15-19		F	53
Narrabri	15-19		M	43
Narrabri	15-19	0	F	279
Narrabri	15-19	0	M	280
Narrabri	15-19	1	F	18
Narrabri	15-19	1	M	17
Narrabri	20-24		F	39
Narrabri	20-24		M	52
Narrabri	20-24	0	F	260
Narrabri	20-24	0	M	319
Narrabri	20-24	1	F	20
Narrabri	20-24	1	M	20
Narrabri	25-34		F	87
Narrabri	25-34		M	82
Narrabri	25-34	0	F	639
Narrabri	25-34	0	M	633
Narrabri	25-34	1	F	76
Narrabri	25-34	1	M	44
Narrabri	35-44		F	66
Narrabri	35-44		M	85
Narrabri	35-44	0	F	527
Narrabri	35-44	0	M	545
Narrabri	35-44	1	F	100
Narrabri	35-44	1	M	73
Narrabri	45-54		F	89
Narrabri	45-54		M	119
Narrabri	45-54	0	F	502
Narrabri	45-54	0	M	588
Narrabri	45-54	1	F	150
Narrabri	45-54	1	M	95
Narrabri	55-64		F	112
Narrabri	55-64		M	112
Narrabri	55-64	0	F	605
Narrabri	55-64	0	M	688
Narrabri	55-64	1	F	179
Narrabri	55-64	1	M	120
Narrabri	65-74		F	76
Narrabri	65-74		M	85
Narrabri	65-74	0	F	488
Narrabri	65-74	0	M	533
Narrabri	65-74	1	F	94
Narrabri	65-74	1	M	71
Narrabri	75-84		F	45
Narrabri	75-84		M	39
Narrabri	75-84	0	F	329
Narrabri	75-84	0	M	288
Narrabri	75-84	1	F	36
Narrabri	75-84	1	M	40
Narrabri	85+		F	25
Narrabri	85+		M	18
Narrabri	85+	0	F	156
Narrabri	85+	0	M	91
Narrabri	85+	1	F	7
Narrabri	85+	1	M	9
Narrandera	15-19		F	21
Narrandera	15-19		M	26
Narrandera	15-19	0	F	127
Narrandera	15-19	0	M	138
Narrandera	15-19	1	F	11
Narrandera	15-19	1	M	5
Narrandera	20-24		F	12
Narrandera	20-24		M	11
Narrandera	20-24	0	F	94
Narrandera	20-24	0	M	111
Narrandera	20-24	1	F	13
Narrandera	20-24	1	M	11
Narrandera	25-34		F	27
Narrandera	25-34		M	29
Narrandera	25-34	0	F	198
Narrandera	25-34	0	M	237
Narrandera	25-34	1	F	43
Narrandera	25-34	1	M	17
Narrandera	35-44		F	36
Narrandera	35-44		M	39
Narrandera	35-44	0	F	240
Narrandera	35-44	0	M	233
Narrandera	35-44	1	F	51
Narrandera	35-44	1	M	24
Narrandera	45-54		F	24
Narrandera	45-54		M	33
Narrandera	45-54	0	F	232
Narrandera	45-54	0	M	263
Narrandera	45-54	1	F	79
Narrandera	45-54	1	M	38
Narrandera	55-64		F	22
Narrandera	55-64		M	33
Narrandera	55-64	0	F	292
Narrandera	55-64	0	M	310
Narrandera	55-64	1	F	108
Narrandera	55-64	1	M	59
Narrandera	65-74		F	29
Narrandera	65-74		M	41
Narrandera	65-74	0	F	242
Narrandera	65-74	0	M	278
Narrandera	65-74	1	F	54
Narrandera	65-74	1	M	36
Narrandera	75-84		F	32
Narrandera	75-84		M	23
Narrandera	75-84	0	F	192
Narrandera	75-84	0	M	158
Narrandera	75-84	1	F	16
Narrandera	75-84	1	M	27
Narrandera	85+		F	10
Narrandera	85+		M	5
Narrandera	85+	0	F	107
Narrandera	85+	0	M	58
Narrandera	85+	1	F	8
Narrandera	85+	1	M	10
Narromine	15-19		F	28
Narromine	15-19		M	34
Narromine	15-19	0	F	132
Narromine	15-19	0	M	150
Narromine	15-19	1	F	11
Narromine	15-19	1	M	16
Narromine	20-24		F	19
Narromine	20-24		M	22
Narromine	20-24	0	F	118
Narromine	20-24	0	M	125
Narromine	20-24	1	F	9
Narromine	20-24	1	M	8
Narromine	25-34		F	60
Narromine	25-34		M	46
Narromine	25-34	0	F	269
Narromine	25-34	0	M	263
Narromine	25-34	1	F	50
Narromine	25-34	1	M	25
Narromine	35-44		F	64
Narromine	35-44		M	48
Narromine	35-44	0	F	240
Narromine	35-44	0	M	248
Narromine	35-44	1	F	54
Narromine	35-44	1	M	41
Narromine	45-54		F	38
Narromine	45-54		M	53
Narromine	45-54	0	F	236
Narromine	45-54	0	M	268
Narromine	45-54	1	F	69
Narromine	45-54	1	M	40
Narromine	55-64		F	57
Narromine	55-64		M	54
Narromine	55-64	0	F	274
Narromine	55-64	0	M	333
Narromine	55-64	1	F	91
Narromine	55-64	1	M	46
Narromine	65-74		F	35
Narromine	65-74		M	53
Narromine	65-74	0	F	277
Narromine	65-74	0	M	282
Narromine	65-74	1	F	62
Narromine	65-74	1	M	48
Narromine	75-84		F	48
Narromine	75-84		M	28
Narromine	75-84	0	F	169
Narromine	75-84	0	M	183
Narromine	75-84	1	F	23
Narromine	75-84	1	M	16
Narromine	85+		F	30
Narromine	85+		M	26
Narromine	85+	0	F	56
Narromine	85+	0	M	52
Narromine	85+	1	F	9
Narromine	85+	1	M	6
Newcastle	15-19		F	313
Newcastle	15-19		M	305
Newcastle	15-19	0	F	4287
Newcastle	15-19	0	M	4389
Newcastle	15-19	1	F	236
Newcastle	15-19	1	M	188
Newcastle	20-24		F	418
Newcastle	20-24		M	526
Newcastle	20-24	0	F	6474
Newcastle	20-24	0	M	6331
Newcastle	20-24	1	F	402
Newcastle	20-24	1	M	282
Newcastle	25-34		F	628
Newcastle	25-34		M	792
Newcastle	25-34	0	F	11652
Newcastle	25-34	0	M	12017
Newcastle	25-34	1	F	1079
Newcastle	25-34	1	M	769
Newcastle	35-44		F	471
Newcastle	35-44		M	578
Newcastle	35-44	0	F	8942
Newcastle	35-44	0	M	9198
Newcastle	35-44	1	F	1588
Newcastle	35-44	1	M	1076
Newcastle	45-54		F	422
Newcastle	45-54		M	530
Newcastle	45-54	0	F	7868
Newcastle	45-54	0	M	8192
Newcastle	45-54	1	F	2269
Newcastle	45-54	1	M	1388
Newcastle	55-64		F	394
Newcastle	55-64		M	463
Newcastle	55-64	0	F	6945
Newcastle	55-64	0	M	7368
Newcastle	55-64	1	F	2515
Newcastle	55-64	1	M	1572
Newcastle	65-74		F	391
Newcastle	65-74		M	398
Newcastle	65-74	0	F	6111
Newcastle	65-74	0	M	5927
Newcastle	65-74	1	F	1398
Newcastle	65-74	1	M	1042
Newcastle	75-84		F	441
Newcastle	75-84		M	312
Newcastle	75-84	0	F	3921
Newcastle	75-84	0	M	3256
Newcastle	75-84	1	F	579
Newcastle	75-84	1	M	461
Newcastle	85+		F	592
Newcastle	85+		M	244
Newcastle	85+	0	F	2176
Newcastle	85+	0	M	1155
Newcastle	85+	1	F	115
Newcastle	85+	1	M	140
North Sydney	15-19		F	60
North Sydney	15-19		M	36
North Sydney	15-19	0	F	946
North Sydney	15-19	0	M	1021
North Sydney	15-19	1	F	38
North Sydney	15-19	1	M	40
North Sydney	20-24		F	66
North Sydney	20-24		M	81
North Sydney	20-24	0	F	1654
North Sydney	20-24	0	M	1423
North Sydney	20-24	1	F	75
North Sydney	20-24	1	M	60
North Sydney	25-34		F	351
North Sydney	25-34		M	329
North Sydney	25-34	0	F	7206
North Sydney	25-34	0	M	6189
North Sydney	25-34	1	F	340
North Sydney	25-34	1	M	238
North Sydney	35-44		F	292
North Sydney	35-44		M	256
North Sydney	35-44	0	F	5619
North Sydney	35-44	0	M	5272
North Sydney	35-44	1	F	506
North Sydney	35-44	1	M	393
North Sydney	45-54		F	174
North Sydney	45-54		M	169
North Sydney	45-54	0	F	3783
North Sydney	45-54	0	M	3525
North Sydney	45-54	1	F	720
North Sydney	45-54	1	M	419
North Sydney	55-64		F	176
North Sydney	55-64		M	170
North Sydney	55-64	0	F	3014
North Sydney	55-64	0	M	2812
North Sydney	55-64	1	F	790
North Sydney	55-64	1	M	475
North Sydney	65-74		F	157
North Sydney	65-74		M	142
North Sydney	65-74	0	F	2847
North Sydney	65-74	0	M	2429
North Sydney	65-74	1	F	517
North Sydney	65-74	1	M	327
North Sydney	75-84		F	151
North Sydney	75-84		M	113
North Sydney	75-84	0	F	1722
North Sydney	75-84	0	M	1462
North Sydney	75-84	1	F	234
North Sydney	75-84	1	M	162
North Sydney	85+		F	128
North Sydney	85+		M	62
North Sydney	85+	0	F	599
North Sydney	85+	0	M	364
North Sydney	85+	1	F	32
North Sydney	85+	1	M	40
Northern Beaches	15-19		F	243
Northern Beaches	15-19		M	285
Northern Beaches	15-19	0	F	7257
Northern Beaches	15-19	0	M	7872
Northern Beaches	15-19	1	F	311
Northern Beaches	15-19	1	M	298
Northern Beaches	20-24		F	248
Northern Beaches	20-24		M	267
Northern Beaches	20-24	0	F	5919
Northern Beaches	20-24	0	M	6588
Northern Beaches	20-24	1	F	399
Northern Beaches	20-24	1	M	321
Northern Beaches	25-34		F	715
Northern Beaches	25-34		M	678
Northern Beaches	25-34	0	F	13235
Northern Beaches	25-34	0	M	12692
Northern Beaches	25-34	1	F	903
Northern Beaches	25-34	1	M	661
Northern Beaches	35-44		F	683
Northern Beaches	35-44		M	725
Northern Beaches	35-44	0	F	15883
Northern Beaches	35-44	0	M	15015
Northern Beaches	35-44	1	F	1965
Northern Beaches	35-44	1	M	1243
Northern Beaches	45-54		F	657
Northern Beaches	45-54		M	652
Northern Beaches	45-54	0	F	16236
Northern Beaches	45-54	0	M	16541
Northern Beaches	45-54	1	F	3740
Northern Beaches	45-54	1	M	2181
Northern Beaches	55-64		F	506
Northern Beaches	55-64		M	581
Northern Beaches	55-64	0	F	12109
Northern Beaches	55-64	0	M	12977
Northern Beaches	55-64	1	F	3819
Northern Beaches	55-64	1	M	2484
Northern Beaches	65-74		F	440
Northern Beaches	65-74		M	450
Northern Beaches	65-74	0	F	10294
Northern Beaches	65-74	0	M	9722
Northern Beaches	65-74	1	F	1969
Northern Beaches	65-74	1	M	1343
Northern Beaches	75-84		F	559
Northern Beaches	75-84		M	379
Northern Beaches	75-84	0	F	7438
Northern Beaches	75-84	0	M	6438
Northern Beaches	75-84	1	F	944
Northern Beaches	75-84	1	M	743
Northern Beaches	85+		F	683
Northern Beaches	85+		M	301
Northern Beaches	85+	0	F	3600
Northern Beaches	85+	0	M	2196
Northern Beaches	85+	1	F	222
Northern Beaches	85+	1	M	250
Oberon	15-19		F	14
Oberon	15-19		M	32
Oberon	15-19	0	F	97
Oberon	15-19	0	M	109
Oberon	15-19	1	F	7
Oberon	15-19	1	M	7
Oberon	20-24		F	17
Oberon	20-24		M	40
Oberon	20-24	0	F	83
Oberon	20-24	0	M	96
Oberon	20-24	1	F	5
Oberon	20-24	1	M	5
Oberon	25-34		F	28
Oberon	25-34		M	62
Oberon	25-34	0	F	199
Oberon	25-34	0	M	205
Oberon	25-34	1	F	32
Oberon	25-34	1	M	13
Oberon	35-44		F	48
Oberon	35-44		M	74
Oberon	35-44	0	F	185
Oberon	35-44	0	M	229
Oberon	35-44	1	F	40
Oberon	35-44	1	M	37
Oberon	45-54		F	32
Oberon	45-54		M	50
Oberon	45-54	0	F	248
Oberon	45-54	0	M	288
Oberon	45-54	1	F	87
Oberon	45-54	1	M	44
Oberon	55-64		F	28
Oberon	55-64		M	44
Oberon	55-64	0	F	283
Oberon	55-64	0	M	345
Oberon	55-64	1	F	75
Oberon	55-64	1	M	54
Oberon	65-74		F	54
Oberon	65-74		M	62
Oberon	65-74	0	F	322
Oberon	65-74	0	M	326
Oberon	65-74	1	F	39
Oberon	65-74	1	M	47
Oberon	75-84		F	31
Oberon	75-84		M	35
Oberon	75-84	0	F	154
Oberon	75-84	0	M	167
Oberon	75-84	1	F	25
Oberon	75-84	1	M	27
Oberon	85+		F	5
Oberon	85+		M	3
Oberon	85+	0	F	50
Oberon	85+	0	M	37
Oberon	85+	1	F	5
Oberon	85+	1	M	3
Orange	15-19		F	82
Orange	15-19		M	86
Orange	15-19	0	F	1122
Orange	15-19	0	M	1259
Orange	15-19	1	F	72
Orange	15-19	1	M	47
Orange	20-24		F	75
Orange	20-24		M	91
Orange	20-24	0	F	1043
Orange	20-24	0	M	1050
Orange	20-24	1	F	91
Orange	20-24	1	M	50
Orange	25-34		F	196
Orange	25-34		M	185
Orange	25-34	0	F	2592
Orange	25-34	0	M	2458
Orange	25-34	1	F	324
Orange	25-34	1	M	136
Orange	35-44		F	168
Orange	35-44		M	162
Orange	35-44	0	F	2281
Orange	35-44	0	M	2166
Orange	35-44	1	F	426
Orange	35-44	1	M	254
Orange	45-54		F	134
Orange	45-54		M	163
Orange	45-54	0	F	1947
Orange	45-54	0	M	2015
Orange	45-54	1	F	537
Orange	45-54	1	M	319
Orange	55-64		F	127
Orange	55-64		M	131
Orange	55-64	0	F	1832
Orange	55-64	0	M	1805
Orange	55-64	1	F	547
Orange	55-64	1	M	343
Orange	65-74		F	129
Orange	65-74		M	127
Orange	65-74	0	F	1806
Orange	65-74	0	M	1648
Orange	65-74	1	F	335
Orange	65-74	1	M	212
Orange	75-84		F	121
Orange	75-84		M	87
Orange	75-84	0	F	1121
Orange	75-84	0	M	922
Orange	75-84	1	F	141
Orange	75-84	1	M	125
Orange	85+		F	105
Orange	85+		M	46
Orange	85+	0	F	509
Orange	85+	0	M	319
Orange	85+	1	F	31
Orange	85+	1	M	39
Parkes	15-19		F	47
Parkes	15-19		M	58
Parkes	15-19	0	F	342
Parkes	15-19	0	M	387
Parkes	15-19	1	F	25
Parkes	15-19	1	M	20
Parkes	20-24		F	28
Parkes	20-24		M	32
Parkes	20-24	0	F	343
Parkes	20-24	0	M	336
Parkes	20-24	1	F	27
Parkes	20-24	1	M	16
Parkes	25-34		F	60
Parkes	25-34		M	79
Parkes	25-34	0	F	644
Parkes	25-34	0	M	702
Parkes	25-34	1	F	94
Parkes	25-34	1	M	57
Parkes	35-44		F	64
Parkes	35-44		M	70
Parkes	35-44	0	F	613
Parkes	35-44	0	M	591
Parkes	35-44	1	F	137
Parkes	35-44	1	M	86
Parkes	45-54		F	57
Parkes	45-54		M	74
Parkes	45-54	0	F	582
Parkes	45-54	0	M	632
Parkes	45-54	1	F	213
Parkes	45-54	1	M	117
Parkes	55-64		F	71
Parkes	55-64		M	82
Parkes	55-64	0	F	666
Parkes	55-64	0	M	747
Parkes	55-64	1	F	205
Parkes	55-64	1	M	143
Parkes	65-74		F	40
Parkes	65-74		M	56
Parkes	65-74	0	F	593
Parkes	65-74	0	M	633
Parkes	65-74	1	F	123
Parkes	65-74	1	M	97
Parkes	75-84		F	49
Parkes	75-84		M	36
Parkes	75-84	0	F	452
Parkes	75-84	0	M	369
Parkes	75-84	1	F	46
Parkes	75-84	1	M	50
Parkes	85+		F	33
Parkes	85+		M	22
Parkes	85+	0	F	229
Parkes	85+	0	M	119
Parkes	85+	1	F	18
Parkes	85+	1	M	18
Parramatta	15-19		F	256
Parramatta	15-19		M	283
Parramatta	15-19	0	F	5068
Parramatta	15-19	0	M	5476
Parramatta	15-19	1	F	244
Parramatta	15-19	1	M	223
Parramatta	20-24		F	500
Parramatta	20-24		M	711
Parramatta	20-24	0	F	7164
Parramatta	20-24	0	M	7821
Parramatta	20-24	1	F	415
Parramatta	20-24	1	M	390
Parramatta	25-34		F	1665
Parramatta	25-34		M	2262
Parramatta	25-34	0	F	21734
Parramatta	25-34	0	M	21756
Parramatta	25-34	1	F	1404
Parramatta	25-34	1	M	1115
Parramatta	35-44		F	1295
Parramatta	35-44		M	1733
Parramatta	35-44	0	F	18334
Parramatta	35-44	0	M	20027
Parramatta	35-44	1	F	2310
Parramatta	35-44	1	M	1834
Parramatta	45-54		F	670
Parramatta	45-54		M	861
Parramatta	45-54	0	F	11646
Parramatta	45-54	0	M	11830
Parramatta	45-54	1	F	2457
Parramatta	45-54	1	M	1633
Parramatta	55-64		F	495
Parramatta	55-64		M	641
Parramatta	55-64	0	F	10175
Parramatta	55-64	0	M	9800
Parramatta	55-64	1	F	2148
Parramatta	55-64	1	M	1536
Parramatta	65-74		F	401
Parramatta	65-74		M	402
Parramatta	65-74	0	F	7812
Parramatta	65-74	0	M	7463
Parramatta	65-74	1	F	1284
Parramatta	65-74	1	M	828
Parramatta	75-84		F	371
Parramatta	75-84		M	233
Parramatta	75-84	0	F	4474
Parramatta	75-84	0	M	3819
Parramatta	75-84	1	F	572
Parramatta	75-84	1	M	482
Parramatta	85+		F	239
Parramatta	85+		M	158
Parramatta	85+	0	F	2044
Parramatta	85+	0	M	1330
Parramatta	85+	1	F	113
Parramatta	85+	1	M	176
Penrith	15-19		F	384
Penrith	15-19		M	497
Penrith	15-19	0	F	5897
Penrith	15-19	0	M	6128
Penrith	15-19	1	F	333
Penrith	15-19	1	M	281
Penrith	20-24		F	539
Penrith	20-24		M	568
Penrith	20-24	0	F	6232
Penrith	20-24	0	M	6629
Penrith	20-24	1	F	479
Penrith	20-24	1	M	344
Penrith	25-34		F	1324
Penrith	25-34		M	1361
Penrith	25-34	0	F	14069
Penrith	25-34	0	M	13620
Penrith	25-34	1	F	1649
Penrith	25-34	1	M	954
Penrith	35-44		F	1102
Penrith	35-44		M	1250
Penrith	35-44	0	F	12507
Penrith	35-44	0	M	12919
Penrith	35-44	1	F	2444
Penrith	35-44	1	M	1542
Penrith	45-54		F	790
Penrith	45-54		M	942
Penrith	45-54	0	F	10244
Penrith	45-54	0	M	10821
Penrith	45-54	1	F	2515
Penrith	45-54	1	M	1544
Penrith	55-64		F	554
Penrith	55-64		M	638
Penrith	55-64	0	F	9157
Penrith	55-64	0	M	9336
Penrith	55-64	1	F	2325
Penrith	55-64	1	M	1321
Penrith	65-74		F	511
Penrith	65-74		M	467
Penrith	65-74	0	F	7345
Penrith	65-74	0	M	6953
Penrith	65-74	1	F	1214
Penrith	65-74	1	M	931
Penrith	75-84		F	444
Penrith	75-84		M	347
Penrith	75-84	0	F	3503
Penrith	75-84	0	M	3086
Penrith	75-84	1	F	385
Penrith	75-84	1	M	403
Penrith	85+		F	394
Penrith	85+		M	172
Penrith	85+	0	F	1305
Penrith	85+	0	M	703
Penrith	85+	1	F	60
Penrith	85+	1	M	84
Port Macquarie-Hastings	15-19		F	134
Port Macquarie-Hastings	15-19		M	177
Port Macquarie-Hastings	15-19	0	F	2170
Port Macquarie-Hastings	15-19	0	M	2191
Port Macquarie-Hastings	15-19	1	F	127
Port Macquarie-Hastings	15-19	1	M	133
Port Macquarie-Hastings	20-24		F	120
Port Macquarie-Hastings	20-24		M	137
Port Macquarie-Hastings	20-24	0	F	1683
Port Macquarie-Hastings	20-24	0	M	1655
Port Macquarie-Hastings	20-24	1	F	166
Port Macquarie-Hastings	20-24	1	M	104
Port Macquarie-Hastings	25-34		F	221
Port Macquarie-Hastings	25-34		M	251
Port Macquarie-Hastings	25-34	0	F	3268
Port Macquarie-Hastings	25-34	0	M	3120
Port Macquarie-Hastings	25-34	1	F	511
Port Macquarie-Hastings	25-34	1	M	271
Port Macquarie-Hastings	35-44		F	230
Port Macquarie-Hastings	35-44		M	254
Port Macquarie-Hastings	35-44	0	F	3448
Port Macquarie-Hastings	35-44	0	M	3422
Port Macquarie-Hastings	35-44	1	F	869
Port Macquarie-Hastings	35-44	1	M	432
Port Macquarie-Hastings	45-54		F	210
Port Macquarie-Hastings	45-54		M	240
Port Macquarie-Hastings	45-54	0	F	4076
Port Macquarie-Hastings	45-54	0	M	3976
Port Macquarie-Hastings	45-54	1	F	1259
Port Macquarie-Hastings	45-54	1	M	697
Port Macquarie-Hastings	55-64		F	260
Port Macquarie-Hastings	55-64		M	273
Port Macquarie-Hastings	55-64	0	F	4683
Port Macquarie-Hastings	55-64	0	M	4412
Port Macquarie-Hastings	55-64	1	F	1578
Port Macquarie-Hastings	55-64	1	M	865
Port Macquarie-Hastings	65-74		F	317
Port Macquarie-Hastings	65-74		M	315
Port Macquarie-Hastings	65-74	0	F	5305
Port Macquarie-Hastings	65-74	0	M	5331
Port Macquarie-Hastings	65-74	1	F	1180
Port Macquarie-Hastings	65-74	1	M	738
Port Macquarie-Hastings	75-84		F	367
Port Macquarie-Hastings	75-84		M	264
Port Macquarie-Hastings	75-84	0	F	3695
Port Macquarie-Hastings	75-84	0	M	3324
Port Macquarie-Hastings	75-84	1	F	515
Port Macquarie-Hastings	75-84	1	M	516
Port Macquarie-Hastings	85+		F	334
Port Macquarie-Hastings	85+		M	199
Port Macquarie-Hastings	85+	0	F	1581
Port Macquarie-Hastings	85+	0	M	1015
Port Macquarie-Hastings	85+	1	F	126
Port Macquarie-Hastings	85+	1	M	153
Port Stephens	15-19		F	125
Port Stephens	15-19		M	152
Port Stephens	15-19	0	F	1814
Port Stephens	15-19	0	M	2041
Port Stephens	15-19	1	F	121
Port Stephens	15-19	1	M	102
Port Stephens	20-24		F	107
Port Stephens	20-24		M	101
Port Stephens	20-24	0	F	1488
Port Stephens	20-24	0	M	1663
Port Stephens	20-24	1	F	133
Port Stephens	20-24	1	M	94
Port Stephens	25-34		F	196
Port Stephens	25-34		M	245
Port Stephens	25-34	0	F	2939
Port Stephens	25-34	0	M	2995
Port Stephens	25-34	1	F	421
Port Stephens	25-34	1	M	246
Port Stephens	35-44		F	202
Port Stephens	35-44		M	233
Port Stephens	35-44	0	F	3066
Port Stephens	35-44	0	M	3123
Port Stephens	35-44	1	F	804
Port Stephens	35-44	1	M	445
Port Stephens	45-54		F	209
Port Stephens	45-54		M	257
Port Stephens	45-54	0	F	3515
Port Stephens	45-54	0	M	3611
Port Stephens	45-54	1	F	1059
Port Stephens	45-54	1	M	610
Port Stephens	55-64		F	237
Port Stephens	55-64		M	276
Port Stephens	55-64	0	F	4015
Port Stephens	55-64	0	M	4215
Port Stephens	55-64	1	F	1285
Port Stephens	55-64	1	M	734
Port Stephens	65-74		F	342
Port Stephens	65-74		M	301
Port Stephens	65-74	0	F	4433
Port Stephens	65-74	0	M	4383
Port Stephens	65-74	1	F	948
Port Stephens	65-74	1	M	654
Port Stephens	75-84		F	297
Port Stephens	75-84		M	283
Port Stephens	75-84	0	F	2635
Port Stephens	75-84	0	M	2589
Port Stephens	75-84	1	F	403
Port Stephens	75-84	1	M	360
Port Stephens	85+		F	201
Port Stephens	85+		M	101
Port Stephens	85+	0	F	866
Port Stephens	85+	0	M	577
Port Stephens	85+	1	F	51
Port Stephens	85+	1	M	72
Queanbeyan-Palerang Regional	15-19		F	85
Queanbeyan-Palerang Regional	15-19		M	98
Queanbeyan-Palerang Regional	15-19	0	F	1472
Queanbeyan-Palerang Regional	15-19	0	M	1623
Queanbeyan-Palerang Regional	15-19	1	F	81
Queanbeyan-Palerang Regional	15-19	1	M	73
Queanbeyan-Palerang Regional	20-24		F	91
Queanbeyan-Palerang Regional	20-24		M	84
Queanbeyan-Palerang Regional	20-24	0	F	1428
Queanbeyan-Palerang Regional	20-24	0	M	1598
Queanbeyan-Palerang Regional	20-24	1	F	115
Queanbeyan-Palerang Regional	20-24	1	M	89
Queanbeyan-Palerang Regional	25-34		F	285
Queanbeyan-Palerang Regional	25-34		M	317
Queanbeyan-Palerang Regional	25-34	0	F	4077
Queanbeyan-Palerang Regional	25-34	0	M	4030
Queanbeyan-Palerang Regional	25-34	1	F	412
Queanbeyan-Palerang Regional	25-34	1	M	226
Queanbeyan-Palerang Regional	35-44		F	243
Queanbeyan-Palerang Regional	35-44		M	243
Queanbeyan-Palerang Regional	35-44	0	F	3661
Queanbeyan-Palerang Regional	35-44	0	M	3746
Queanbeyan-Palerang Regional	35-44	1	F	639
Queanbeyan-Palerang Regional	35-44	1	M	475
Queanbeyan-Palerang Regional	45-54		F	202
Queanbeyan-Palerang Regional	45-54		M	224
Queanbeyan-Palerang Regional	45-54	0	F	3565
Queanbeyan-Palerang Regional	45-54	0	M	3732
Queanbeyan-Palerang Regional	45-54	1	F	883
Queanbeyan-Palerang Regional	45-54	1	M	590
Queanbeyan-Palerang Regional	55-64		F	202
Queanbeyan-Palerang Regional	55-64		M	266
Queanbeyan-Palerang Regional	55-64	0	F	2857
Queanbeyan-Palerang Regional	55-64	0	M	3227
Queanbeyan-Palerang Regional	55-64	1	F	849
Queanbeyan-Palerang Regional	55-64	1	M	622
Queanbeyan-Palerang Regional	65-74		F	148
Queanbeyan-Palerang Regional	65-74		M	168
Queanbeyan-Palerang Regional	65-74	0	F	2015
Queanbeyan-Palerang Regional	65-74	0	M	2184
Queanbeyan-Palerang Regional	65-74	1	F	439
Queanbeyan-Palerang Regional	65-74	1	M	330
Queanbeyan-Palerang Regional	75-84		F	96
Queanbeyan-Palerang Regional	75-84		M	61
Queanbeyan-Palerang Regional	75-84	0	F	1017
Queanbeyan-Palerang Regional	75-84	0	M	987
Queanbeyan-Palerang Regional	75-84	1	F	191
Queanbeyan-Palerang Regional	75-84	1	M	119
Queanbeyan-Palerang Regional	85+		F	53
Queanbeyan-Palerang Regional	85+		M	32
Queanbeyan-Palerang Regional	85+	0	F	380
Queanbeyan-Palerang Regional	85+	0	M	238
Queanbeyan-Palerang Regional	85+	1	F	25
Queanbeyan-Palerang Regional	85+	1	M	48
Randwick	15-19		F	152
Randwick	15-19		M	186
Randwick	15-19	0	F	2944
Randwick	15-19	0	M	3107
Randwick	15-19	1	F	129
Randwick	15-19	1	M	154
Randwick	20-24		F	286
Randwick	20-24		M	384
Randwick	20-24	0	F	4208
Randwick	20-24	0	M	4152
Randwick	20-24	1	F	235
Randwick	20-24	1	M	221
Randwick	25-34		F	758
Randwick	25-34		M	1058
Randwick	25-34	0	F	11368
Randwick	25-34	0	M	10323
Randwick	25-34	1	F	605
Randwick	25-34	1	M	458
Randwick	35-44		F	544
Randwick	35-44		M	798
Randwick	35-44	0	F	8740
Randwick	35-44	0	M	8391
Randwick	35-44	1	F	1131
Randwick	35-44	1	M	744
Randwick	45-54		F	382
Randwick	45-54		M	640
Randwick	45-54	0	F	6854
Randwick	45-54	0	M	6742
Randwick	45-54	1	F	1730
Randwick	45-54	1	M	1116
Randwick	55-64		F	280
Randwick	55-64		M	470
Randwick	55-64	0	F	5283
Randwick	55-64	0	M	5306
Randwick	55-64	1	F	1638
Randwick	55-64	1	M	1109
Randwick	65-74		F	327
Randwick	65-74		M	348
Randwick	65-74	0	F	4500
Randwick	65-74	0	M	4094
Randwick	65-74	1	F	848
Randwick	65-74	1	M	545
Randwick	75-84		F	329
Randwick	75-84		M	309
Randwick	75-84	0	F	3001
Randwick	75-84	0	M	2506
Randwick	75-84	1	F	451
Randwick	75-84	1	M	319
Randwick	85+		F	470
Randwick	85+		M	260
Randwick	85+	0	F	1476
Randwick	85+	0	M	966
Randwick	85+	1	F	94
Randwick	85+	1	M	104
Richmond Valley	15-19		F	94
Richmond Valley	15-19		M	93
Richmond Valley	15-19	0	F	525
Richmond Valley	15-19	0	M	585
Richmond Valley	15-19	1	F	28
Richmond Valley	15-19	1	M	30
Richmond Valley	20-24		F	61
Richmond Valley	20-24		M	84
Richmond Valley	20-24	0	F	487
Richmond Valley	20-24	0	M	492
Richmond Valley	20-24	1	F	47
Richmond Valley	20-24	1	M	32
Richmond Valley	25-34		F	126
