LGA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
Balranald	25-34	Year 10	M	18
Balranald	25-34	Year 11	F	12
Balranald	25-34	Year 11	M	20
Balranald	25-34	Year 12	F	93
Balranald	25-34	Year 12	M	60
Balranald	35-44		F	21
Balranald	35-44		M	22
Balranald	35-44	Year 8 or below	M	4
Balranald	35-44	Year 9	F	6
Balranald	35-44	Year 9	M	9
Balranald	35-44	Year 10	F	18
Balranald	35-44	Year 10	M	22
Balranald	35-44	Year 11	F	11
Balranald	35-44	Year 11	M	15
Balranald	35-44	Year 12	F	51
Balranald	35-44	Year 12	M	32
Balranald	45-54		F	23
Balranald	45-54		M	22
Balranald	45-54	Did not go to school	F	5
Balranald	45-54	Did not go to school	M	3
Balranald	45-54	Year 8 or below	F	7
Balranald	45-54	Year 8 or below	M	9
Balranald	45-54	Year 9	F	8
Balranald	45-54	Year 9	M	15
Balranald	45-54	Year 10	F	28
Balranald	45-54	Year 10	M	33
Balranald	45-54	Year 11	F	19
Balranald	45-54	Year 11	M	18
Balranald	45-54	Year 12	F	66
Balranald	45-54	Year 12	M	44
Balranald	55-64		F	24
Balranald	55-64		M	25
Balranald	55-64	Year 8 or below	F	9
Balranald	55-64	Year 8 or below	M	4
Balranald	55-64	Year 9	F	14
Balranald	55-64	Year 9	M	28
Balranald	55-64	Year 10	F	51
Balranald	55-64	Year 10	M	56
Balranald	55-64	Year 11	F	24
Balranald	55-64	Year 11	M	16
Balranald	55-64	Year 12	F	41
Balranald	55-64	Year 12	M	42
Balranald	65-74		F	26
Balranald	65-74		M	30
Balranald	65-74	Year 8 or below	F	20
Balranald	65-74	Year 8 or below	M	24
Balranald	65-74	Year 9	F	14
Balranald	65-74	Year 9	M	19
Balranald	65-74	Year 10	F	32
Balranald	65-74	Year 10	M	40
Balranald	65-74	Year 11	F	11
Balranald	65-74	Year 11	M	14
Balranald	65-74	Year 12	F	30
Balranald	65-74	Year 12	M	25
Balranald	75-84		F	11
Balranald	75-84		M	9
Balranald	75-84	Did not go to school	F	4
Balranald	75-84	Year 8 or below	F	25
Balranald	75-84	Year 8 or below	M	11
Balranald	75-84	Year 9	F	7
Balranald	75-84	Year 9	M	8
Balranald	75-84	Year 10	F	10
Balranald	75-84	Year 10	M	19
Balranald	75-84	Year 11	F	4
Balranald	75-84	Year 11	M	3
Balranald	75-84	Year 12	F	3
Balranald	75-84	Year 12	M	7
Balranald	85+		F	4
Balranald	85+		M	5
Balranald	85+	Year 8 or below	F	3
Balranald	85+	Year 8 or below	M	12
